energy_ev,total_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-5.32766383,4.86770421,2.43894930,4.16102326,0.00328491,0.10528034,0.73313724,0.00290783
-5.32166083,4.86178429,2.44450017,4.15569341,0.00322482,0.10430761,0.73276455,0.00291414
-5.31565783,4.85915342,2.45309199,4.15095232,0.00316753,0.10343334,0.73567728,0.00292140
-5.30965483,4.86008877,2.46488726,4.14693482,0.00311377,0.10268596,0.74200431,0.00292977
-5.30365183,4.86465386,2.47992339,4.14361978,0.00306405,0.10209151,0.75180637,0.00293922
-5.29764882,4.87269285,2.49810825,4.14083153,0.00301864,0.10167224,0.76506929,0.00294961
-5.29164582,4.88383474,2.51922047,4.13824901,0.00297754,0.10144543,0.78169953,0.00296063
-5.28564282,4.89750711,2.54291451,4.13542232,0.00294054,0.10142232,0.80152219,0.00297185
-5.27963982,4.91295902,2.56873032,4.13179575,0.00290718,0.10160740,0.82428165,0.00298274
-5.27363682,4.92929217,2.59610729,4.12673652,0.00287682,0.10199793,0.84964506,0.00299266
-5.26763382,4.94549882,2.62440211,4.11956762,0.00284868,0.10258374,0.87720868,0.00300091
-5.26163082,4.96050522,2.65290970,4.10960344,0.00282185,0.10334735,0.90650681,0.00300678
-5.25562781,4.97321839,2.68088677,4.09618649,0.00279537,0.10426443,0.93702333,0.00300954
-5.24962481,4.98257461,2.70757700,4.07872369,0.00276826,0.10530449,0.96820538,0.00300854
-5.24362181,4.98758738,2.73223706,4.05672037,0.00273960,0.10643184,0.99947887,0.00300316
-5.23761881,4.98739293,2.75416249,4.02981074,0.00270855,0.10760683,1.03026519,0.00299293
-5.23161581,4.98129132,2.77271259,3.99778327,0.00267440,0.10878720,1.05999872,0.00297751
-5.22561281,4.96878138,2.78733347,3.96059992,0.00263665,0.10992959,1.08814424,0.00295671
-5.21960980,4.94958801,2.79757824,3.91840835,0.00259496,0.11099111,1.11421382,0.00293052
-5.21360680,4.92368052,2.80312387,3.87154646,0.00254923,0.11193097,1.13778226,0.00289911
-5.20760380,4.89128126,2.80378384,3.82053911,0.00249961,0.11271202,1.15850063,0.00286286
-5.20160080,4.85286388,2.79951623,3.76608687,0.00244645,0.11330221,1.17610709,0.00282227
-5.19559780,4.80914141,2.79042687,3.70904742,0.00239034,0.11367593,1.19043463,0.00277805
-5.18959480,4.76104422,2.77676737,3.65041006,0.00233206,0.11381507,1.20141533,0.00273099
-5.18359180,4.70968892,2.75892802,3.59126439,0.00227253,0.11370989,1.20908080,0.00268203
-5.17758879,4.65633913,2.73742592,3.53276440,0.00221283,0.11335963,1.21355875,0.00263211
-5.17158579,4.60235978,2.71288843,3.47608926,0.00215408,0.11277273,1.21506597,0.00258225
-5.16558279,4.54916680,2.68603281,3.42240237,0.00209748,0.11196678,1.21389768,0.00253342
-5.15957979,4.49817395,2.65764254,3.37281035,0.00204417,0.11096813,1.21041398,0.00248652
-5.15357679,4.45073926,2.62854118,3.32832342,0.00199526,0.10981115,1.20502392,0.00244238
-5.14757379,4.40811300,2.59956472,3.28981887,0.00195176,0.10853723,1.19816777,0.00240168
-5.14157079,4.37138936,2.57153334,3.25800880,0.00191452,0.10719340,1.19029845,0.00236494
-5.13556778,4.34146368,2.54522353,3.23341358,0.00188424,0.10583085,1.18186293,0.00233251
-5.12956478,4.31899696,2.52134153,3.21634175,0.00186140,0.10450311,1.17328425,0.00230453
-5.12356178,4.30438884,2.50049894,3.20687713,0.00184630,0.10326422,1.16494517,0.00228094
-5.11755878,4.29775993,2.48319130,3.20487343,0.00183898,0.10216670,1.15717390,0.00226149
-5.11155578,4.29894413,2.46978026,3.20995642,0.00183929,0.10125961,1.15023261,0.00224576
-5.10555278,4.30749069,2.46047991,3.22153333,0.00184685,0.10058662,1.14430904,0.00223312
-5.09954977,4.32267585,2.45534750,3.23880884,0.00186107,0.10018419,1.13951138,0.00222286
-5.09354677,4.34352318,2.45427897,3.26080704,0.00188117,0.10007998,1.13586658,0.00221410
-5.08754377,4.36883151,2.45700916,3.28639806,0.00190624,0.10029148,1.13332186,0.00220592
-5.08154077,4.39720926,2.46311680,3.31432860,0.00193518,0.10082494,1.13174931,0.00219735
-5.07553777,4.42711353,2.47203391,3.34325485,0.00196682,0.10167469,1.13095296,0.00218742
-5.06953477,4.45689258,2.48305949,3.37177691,0.00199992,0.10282283,1.13067813,0.00217519
-5.06353177,4.48483009,2.49537697,3.39847347,0.00203317,0.10423930,1.13062230,0.00215978
-5.05752876,4.50918988,2.50807506,3.42193577,0.00206527,0.10588245,1.13044714,0.00214040
-5.05152576,4.52825968,2.52017139,3.44080007,0.00209496,0.10769992,1.12979102,0.00211638
-5.04552276,4.54039314,2.53063837,3.45377798,0.00212102,0.10963008,1.12828168,0.00208720
-5.03951976,4.54404881,2.53843068,3.45968396,0.00214235,0.11160365,1.12554844,0.00205246
-5.03351676,4.53782583,2.54251361,3.45745986,0.00215795,0.11354581,1.12123378,0.00201193
-5.02751376,4.52049547,2.54189164,3.44619612,0.00216702,0.11537841,1.11500389,0.00196555
-5.02151076,4.49102837,2.53563642,3.42514956,0.00216890,0.11702250,1.10655807,0.00191338
-5.01550775,4.44861713,2.52291346,3.39375757,0.00216316,0.11840081,1.09563676,0.00185565
-5.00950475,4.39269408,2.50300666,3.35164885,0.00214961,0.11944032,1.08202827,0.00179273
-5.00350175,4.32294410,2.47534003,3.29865050,0.00212829,0.12007468,1.06557401,0.00172507
-4.99749875,4.23931233,2.43949585,3.23479147,0.00209950,0.12024647,1.04617233,0.00165326
-4.99149575,4.14200674,2.39522858,3.16030236,0.00206379,0.11990914,1.02378100,0.00157796
