energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.01550775,2.92344512,0.33497131,0.00000000,0.56503292,2.55967038,0.28924599,0.00000000
-5.00950475,2.93345646,0.33410907,0.00000000,0.56750911,2.56581049,0.29167502,0.00000000
-5.00350175,2.93706643,0.33249024,0.00000000,0.56811929,2.56628214,0.29383439,0.00000000
-4.99749875,2.93369962,0.33006662,0.00000000,0.56676966,2.56061041,0.29565257,0.00000000
-4.99149575,2.92290880,0.32680475,0.00000000,0.56340813,2.54843177,0.29706276,0.00000000
-4.98549275,2.90439547,0.32268649,0.00000000,0.55802436,2.52951303,0.29800490,0.00000000
-4.97948974,2.87802650,0.31770944,0.00000000,0.55064872,2.50376678,0.29842755,0.00000000
-4.97348674,2.84384589,0.31188708,0.00000000,0.54135037,2.47126239,0.29828965,0.00000000
-4.96748374,2.80208119,0.30524870,0.00000000,0.53023451,2.43223212,0.29756204,0.00000000
-4.96148074,2.75314421,0.29783903,0.00000000,0.51743886,2.38707189,0.29622872,0.00000000
-4.95547774,2.69762605,0.28971765,0.00000000,0.50312956,2.33633678,0.29428791,0.00000000
-4.94947474,2.63628671,0.28095803,0.00000000,0.48749667,2.28073149,0.29175273,0.00000000
-4.94347174,2.57003997,0.27164636,0.00000000,0.47074935,2.22109625,0.28865164,0.00000000
-4.93746873,2.49993413,0.26188010,0.00000000,0.45311098,2.15838890,0.28502862,0.00000000
-4.93146573,2.42712946,0.25176629,0.00000000,0.43481427,2.09366394,0.28094291,0.00000000
-4.92546273,2.35287347,0.24141957,0.00000000,0.41609659,2.02804951,0.27646858,0.00000000
-4.91945973,2.27847464,0.23096010,0.00000000,0.39719560,1.96272302,0.27169363,0.00000000
-4.91345673,2.20527557,0.22051120,0.00000000,0.37834520,1.89888646,0.26671885,0.00000000
-4.90745373,2.13462615,0.21019698,0.00000000,0.35977194,1.83774178,0.26165620,0.00000000
-4.90145073,2.06785735,0.20013976,0.00000000,0.34169180,1.78046718,0.25662690,0.00000000
-4.89544772,2.00625590,0.19045754,0.00000000,0.32430744,1.72819451,0.25175908,0.00000000
-4.88944472,1.95104022,0.18126143,0.00000000,0.30780587,1.68198797,0.24718505,0.00000000
-4.88344172,1.90333759,0.17265316,0.00000000,0.29235642,1.64282438,0.24303827,0.00000000
-4.87743872,1.86416276,0.16472271,0.00000000,0.27810913,1.61157499,0.23944994,0.00000000
-4.87143572,1.83439798,0.15754613,0.00000000,0.26519335,1.58898866,0.23654547,0.00000000
-4.86543272,1.81477453,0.15118366,0.00000000,0.25371674,1.57567668,0.23444074,0.00000000
-4.85942971,1.80585597,0.14567811,0.00000000,0.24376447,1.57209906,0.23323844,0.00000000
-4.85342671,1.80802335,0.14105377,0.00000000,0.23539875,1.57855258,0.23302451,0.00000000
-4.84742371,1.82146281,0.13731559,0.00000000,0.22865869,1.59516077,0.23386499,0.00000000
-4.84142071,1.84615603,0.13444913,0.00000000,0.22356053,1.62186625,0.23580324,0.00000000
-4.83541771,1.88187423,0.13242085,0.00000000,0.22009829,1.65842581,0.23885785,0.00000000
-4.82941471,1.92817624,0.13117908,0.00000000,0.21824492,1.70440891,0.24302137,0.00000000
-4.82341171,1.98441140,0.13065560,0.00000000,0.21795392,1.75919999,0.24825988,0.00000000
-4.81740870,2.04972778,0.13076774,0.00000000,0.21916162,1.82200523,0.25451350,0.00000000
-4.81140570,2.12308623,0.13142093,0.00000000,0.22178999,1.89186410,0.26169801,0.00000000
-4.80540270,2.20328034,0.13251183,0.00000000,0.22575004,1.96766599,0.26970737,0.00000000
-4.79939970,2.28896250,0.13393166,0.00000000,0.23094584,2.04817201,0.27841719,0.00000000
-4.79339670,2.37867546,0.13556982,0.00000000,0.23727902,2.13204165,0.28768910,0.00000000
-4.78739370,2.47088900,0.13731760,0.00000000,0.24465365,2.21786395,0.29737563,0.00000000
-4.78139070,2.56404059,0.13907186,0.00000000,0.25298153,2.30419230,0.30732573,0.00000000
-4.77538769,2.65657882,0.14073844,0.00000000,0.26218752,2.38958197,0.31739046,0.00000000
-4.76938469,2.74700828,0.14223534,0.00000000,0.27221499,2.47262906,0.32742871,0.00000000
-4.76338169,2.83393397,0.14349538,0.00000000,0.28303092,2.55200943,0.33731279,0.00000000
-4.75737869,2.91610379,0.14446838,0.00000000,0.29463071,2.62651626,0.34693344,0.00000000
-4.75137569,2.99244723,0.14512257,0.00000000,0.30704229,2.69509449,0.35620434,0.00000000
-4.74537269,3.06210859,0.14544544,0.00000000,0.32032933,2.75687098,0.36506568,0.00000000
-4.73936968,3.12447339,0.14544379,0.00000000,0.33459345,2.81117876,0.37348678,0.00000000
-4.73336668,3.17918666,0.14514305,0.00000000,0.34997496,2.85757462,0.38146757,0.00000000
-4.72736368,3.22616217,0.14458597,0.00000000,0.36665222,2.89584895,0.38903900,0.00000000
-4.72136068,3.26558223,0.14383062,0.00000000,0.38483914,2.92602757,0.39626209,0.00000000
-4.71535768,3.29788767,0.14294786,0.00000000,0.40478091,2.94836522,0.40322591,0.00000000
-4.70935468,3.32375836,0.14201837,0.00000000,0.42674778,2.96333104,0.41004442,0.00000000
-4.70335168,3.34408484,0.14112934,0.00000000,0.45102674,2.97158660,0.41685216,0.00000000
-4.69734867,3.35993197,0.14037089,0.00000000,0.47791140,2.97395715,0.42379915,0.00000000
-4.69134567,3.37249585,0.13983244,0.00000000,0.50768997,2.97139737,0.43104491,0.00000000
-4.68534267,3.38305554,0.13959910,0.00000000,0.54063170,2.96495282,0.43875191,0.00000000
-4.67933967,3.39292122,0.13974810,0.00000000,0.57697209,2.95571863,0.44707861,0.00000000
-4.67333667,3.40338066,0.14034562,0.00000000,0.61689729,2.94479678,0.45617235,0.00000000
-4.66733367,3.41564593,0.14144382,0.00000000,0.66052836,2.93325383,0.46616218,0.00000000
-4.66133067,3.43080220,0.14307833,0.00000000,0.70790592,2.92208031,0.47715211,0.00000000
-4.65532766,3.44976071,0.14526634,0.00000000,0.75897595,2.91215353,0.48921476,0.00000000
-4.64932466,3.47321736,0.14800510,0.00000000,0.81357755,2.90420488,0.50238592,0.00000000
-4.64332166,3.50161899,0.15127123,0.00000000,0.87143344,2.89879299,0.51666005,0.00000000
-4.63731866,3.53513835,0.15502052,0.00000000,0.93214383,2.89628358,0.53198713,0.00000000
-4.63131566,3.57365919,0.15918855,0.00000000,0.99518447,2.89683686,0.54827093,0.00000000
-4.62531266,3.61677210,0.16369191,0.00000000,1.05990935,2.90040271,0.56536889,0.00000000
-4.61930965,3.66378166,0.16843016,0.00000000,1.12555827,2.90672421,0.58309383,0.00000000
-4.61330665,3.71372482,0.17328837,0.00000000,1.19126969,2.91534898,0.60121734,0.00000000
-4.60730365,3.76540012,0.17814026,0.00000000,1.25609839,2.92564833,0.61947496,0.00000000
-4.60130065,3.81740683,0.18285185,0.00000000,1.31903792,2.93684315,0.63757306,0.00000000
-4.59529765,3.86819277,0.18728540,0.00000000,1.37904683,2.94803585,0.65519702,0.00000000
-4.58929465,3.91610881,0.19130373,0.00000000,1.43507811,2.95824688,0.67202071,0.00000000
-4.58329165,3.95946822,0.19477449,0.00000000,1.48611047,2.96645443,0.68771669,0.00000000
-4.57728864,3.99660818,0.19757446,0.00000000,1.53118030,2.97163574,0.70196681,0.00000000
-4.57128564,4.02595100,0.19959360,0.00000000,1.56941286,2.97280808,0.71447271,0.00000000
-4.56528264,4.04606235,0.20073870,0.00000000,1.60005142,2.96906784,0.72496582,0.00000000
-4.55927964,4.05570390,0.20093644,0.00000000,1.62248273,2.95962592,0.73321631,0.00000000
-4.55327664,4.05387804,0.20013581,0.00000000,1.63625795,2.94383784,0.73904059,0.00000000
-4.54727364,4.03986257,0.19830976,0.00000000,1.64110767,2.92122739,0.74230701,0.00000000
-4.54127064,4.01323395,0.19545592,0.00000000,1.63695058,2.89150258,0.74293944,0.00000000
-4.53526763,3.97387803,0.19159648,0.00000000,1.62389519,2.85456360,0.74091865,0.00000000
-4.52926463,3.92198795,0.18677717,0.00000000,1.60223464,2.81050215,0.73628132,0.00000000
-4.52326163,3.85804951,0.18106540,0.00000000,1.57243484,2.75959270,0.72911687,0.00000000
-4.51725863,3.78281502,0.17454765,0.00000000,1.53511663,2.70227616,0.71956226,0.00000000
-4.51125563,3.69726709,0.16732631,0.00000000,1.49103281,2.63913692,0.70779506,0.00000000
-4.50525263,3.60257460,0.15951598,0.00000000,1.44104138,2.57087475,0.69402524,0.00000000
-4.49924962,3.50004304,0.15123950,0.00000000,1.38607612,2.49827303,0.67848611,0.00000000
-4.49324662,3.39106213,0.14262392,0.00000000,1.32711617,2.42216515,0.66142491,0.00000000
-4.48724362,3.27705332,0.13379651,0.00000000,1.26515585,2.34340078,0.64309366,0.00000000
