energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Na_s_up,Na_s_down,S_s_up,S_s_down,S_p_up,S_p_down
3.29864932,0.30574341,-1.12817240,0.00000000,-0.03189106,0.16037670,-0.36457593,0.22463067,-0.61567360,0.06758047,-0.36657269,0.00174461,-0.01452763,0.00029974,-0.00481781,0.03779888,-0.14405030
3.30465233,0.34163667,-1.17894497,0.00000000,-0.03395980,0.18038782,-0.38230535,0.25290057,-0.64580578,0.07562667,-0.38275044,0.00139224,-0.01567939,0.00023920,-0.00512932,0.04138606,-0.14834523
3.31065533,0.38065854,-1.23149467,0.00000001,-0.03596981,0.20194406,-0.40065491,0.28331344,-0.67684986,0.08435551,-0.39940695,0.00110305,-0.01685852,0.00018951,-0.00543860,0.04543045,-0.15316953
3.31665833,0.42241933,-1.28565489,0.00000001,-0.03789953,0.22485628,-0.41955114,0.31560744,-0.70866411,0.09368232,-0.41648198,0.00086766,-0.01806043,0.00014907,-0.00574486,0.04987295,-0.15855953
3.32266133,0.46644896,-1.34116845,0.00000001,-0.03972803,0.24889017,-0.43888886,0.34945687,-0.74105592,0.10350436,-0.43388761,0.00067760,-0.01928083,0.00011642,-0.00604784,0.05464663,-0.16453190
3.32866433,0.51219851,-1.39768418,0.00000001,-0.04143537,0.27376710,-0.45853031,0.38447333,-0.77378089,0.11370117,-0.45150734,0.00052537,-0.02051573,0.00009026,-0.00634786,0.05967697,-0.17108180
3.33466733,0.55904499,-1.45475693,0.00000001,-0.04300289,0.29916664,-0.47830547,0.42020932,-0.80654381,0.12413567,-0.46919628,0.00040442,-0.02176139,0.00006948,-0.00664575,0.06488236,-0.17818177
3.34067034,0.60629940,-1.51185118,0.00000001,-0.04441348,0.32473105,-0.49801370,0.45616459,-0.83900178,0.13465590,-0.48678245,0.00030908,-0.02301420,0.00005310,-0.00694288,0.07017494,-0.18578148
3.34667334,0.65321833,-1.56834853,0.00000001,-0.04565178,0.35007162,-0.51742668,0.49179501,-0.87076935,0.14509763,-0.50406921,0.00023452,-0.02427063,0.00004029,-0.00724105,0.07546185,-0.19380833
3.35267634,0.69901878,-1.62355863,0.00000001,-0.04670433,0.37477676,-0.53629263,0.52652402,-0.90142572,0.15528772,-0.52083886,0.00017667,-0.02552709,0.00003035,-0.00754240,0.08064681,-0.20216893
3.35867934,0.74289592,-1.67673374,0.00000001,-0.04755973,0.39842171,-0.55434173,0.55975633,-0.93052389,0.16504798,-0.53685723,0.00013213,-0.02677975,0.00002270,-0.00784928,0.08563202,-0.21075136
3.36468234,0.78404329,-1.72708616,0.00000001,-0.04820870,0.42057958,-0.57129262,0.59089342,-0.95760138,0.17419976,-0.55187925,0.00009811,-0.02802439,0.00001686,-0.00816407,0.09032038,-0.21942814
3.37068534,0.82167460,-1.77380817,0.00000001,-0.04864417,0.44083319,-0.58685965,0.61935026,-0.98219230,0.18256879,-0.56565526,0.00007233,-0.02925628,0.00001243,-0.00848903,0.09461787,-0.22805976
3.37668834,0.85504642,-1.81609376,0.00000001,-0.04886129,0.45878742,-0.60076087,0.64457263,-1.00384036,0.18999021,-0.57793776,0.00005294,-0.03046994,0.00000909,-0.00882611,0.09843602,-0.23649872
3.38269135,0.88348066,-1.85316123,0.00000001,-0.04885749,0.47408143,-0.61272615,0.66605439,-1.02211225,0.19631361,-0.58848858,0.00003848,-0.03165908,0.00000661,-0.00917674,0.10169444,-0.24459376
3.38869435,0.90638587,-1.88427598,0.00000001,-0.04863251,0.48640020,-0.62250540,0.68335369,-1.03661096,0.20140774,-0.59708594,0.00002776,-0.03281645,0.00000477,-0.00954164,0.10432313,-0.25219423
3.39469735,0.92327643,-1.90877236,0.00000001,-0.04818840,0.49548500,-0.62987636,0.69610762,-1.04698834,0.20516485,-0.60353126,0.00001990,-0.03393376,0.00000342,-0.00992070,0.10626462,-0.25915434
3.40070035,0.93378857,-1.92607390,0.00000002,-0.04752955,0.50114202,-0.63465167,0.70404451,-1.05295663,0.20750420,-0.60765545,0.00001416,-0.03500171,0.00000243,-0.01031278,0.10747577,-0.26533721
3.40670335,0.93769259,-1.93571094,0.00000002,-0.04666269,0.50324909,-0.63668500,0.70699319,-1.05429810,0.20837480,-0.60932426,0.00001002,-0.03601000,0.00000171,-0.01071568,0.10792909,-0.27061848
3.41270635,0.93490048,-1.93733498,0.00000002,-0.04559684,0.50175978,-0.63587589,0.70488894,-1.05087275,0.20775713,-0.60844274,0.00000706,-0.03694741,0.00000120,-0.01112603,0.10761359,-0.27488939
