energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-2.75837919,1.48248421,0.59655999,0.07603283,0.02375275,0.39157760,0.04079070,0.46670792
-2.75237619,1.56431317,0.61607124,0.07979032,0.02697146,0.40761585,0.04260463,0.50064200
-2.74637319,1.64858814,0.63652440,0.08372572,0.03042077,0.42471327,0.04444407,0.53516183
-2.74037019,1.73492332,0.65800170,0.08783221,0.03407760,0.44291828,0.04629777,0.57000450
-2.73436718,1.82282038,0.68053347,0.09209543,0.03791159,0.46223503,0.04815220,0.60488961
-2.72836418,1.91166970,0.70409155,0.09649309,0.04188509,0.48261840,0.04999148,0.63952508
-2.72236118,2.00075652,0.72858508,0.10099475,0.04595332,0.50397091,0.05179756,0.67361360
-2.71635818,2.08927179,0.75385886,0.10556205,0.05006496,0.52614173,0.05355042,0.70685939
-2.71035518,2.17632744,0.77969439,0.11014925,0.05416298,0.54892789,0.05522850,0.73897502
-2.70435218,2.26097549,0.80581368,0.11470411,0.05818574,0.57207776,0.05680912,0.76968790
-2.69834917,2.34223033,0.83188551,0.11916910,0.06206843,0.59529660,0.05826907,0.79874627
-2.69234617,2.41909321,0.85753409,0.12348282,0.06574473,0.61825407,0.05958519,0.82592432
-2.68634317,2.49057813,0.88234965,0.12758172,0.06914858,0.64059335,0.06073504,0.85102646
-2.68034017,2.55573801,0.90590052,0.13140182,0.07221619,0.66194160,0.06169756,0.87389036
-2.67433717,2.61369018,0.92774627,0.13488063,0.07488795,0.68192114,0.06245366,0.89438904
-2.66833417,2.66364037,0.94745134,0.13795901,0.07711035,0.70016111,0.06298685,0.91243173
-2.66233117,2.70490420,0.96459860,0.14058289,0.07883781,0.71630901,0.06328376,0.92796385
-2.65632816,2.73692557,0.97880233,0.14270495,0.08003417,0.73004164,0.06333453,0.94096606
-2.65032516,2.75929140,0.98972015,0.14428599,0.08067398,0.74107508,0.06313319,0.95145271
-2.64432216,2.77174225,0.99706345,0.14529607,0.08074341,0.74917332,0.06267789,0.95946972
-2.63831916,2.77417860,1.00060593,0.14571538,0.08024073,0.75415515,0.06197098,0.96509219
-2.63231616,2.76666281,1.00019005,0.14553473,0.07917642,0.75589921,0.06101902,0.96842182
-2.62631316,2.74941668,0.99573115,0.14475572,0.07757277,0.75434694,0.05983266,0.96958430
-2.62031016,2.72281491,0.98721929,0.14339061,0.07546312,0.74950352,0.05842640,0.96872663
-2.61430715,2.68737480,0.97471862,0.14146184,0.07289072,0.74143672,0.05681829,0.96601455
-2.60830415,2.64374249,0.95836459,0.13900127,0.06990725,0.73027386,0.05502950,0.96162988
-2.60230115,2.59267637,0.93835916,0.13604921,0.06657110,0.71619707,0.05308389,0.95576780
-2.59629815,2.53502804,0.91496415,0.13265318,0.06294545,0.69943712,0.05100743,0.94863396
-2.59029515,2.47172163,0.88849321,0.12886658,0.05909633,0.68026609,0.04882771,0.94044128
-2.58429215,2.40373181,0.85930263,0.12474728,0.05509060,0.65898925,0.04657335,0.93140646
-2.57828914,2.33206141,0.82778144,0.12035606,0.05099409,0.63593643,0.04427346,0.92174602
-2.57228614,2.25771903,0.79434114,0.11575520,0.04686982,0.61145326,0.04195711,0.91167200
-2.56628314,2.18169741,0.75940540,0.11100704,0.04277650,0.58589261,0.03965282,0.90138728
-2.56028014,2.10495310,0.72340017,0.10617265,0.03876727,0.55960639,0.03738815,0.89108074
-2.55427714,2.02838793,0.68674429,0.10131062,0.03488873,0.53293808,0.03518927,0.88092236
-2.54827414,1.95283284,0.64984112,0.09647608,0.03118029,0.50621607,0.03308065,0.87105854
-2.54227114,1.87903448,0.61307114,0.09171980,0.02767383,0.47974803,0.03108482,0.86160793
-2.53626813,1.80764484,0.57678584,0.08708754,0.02439362,0.45381624,0.02922211,0.85265800
-2.53026513,1.73921417,0.54130291,0.08261958,0.02135656,0.42867412,0.02751053,0.84426263
-2.52426213,1.67418728,0.50690272,0.07835042,0.01857257,0.40454372,0.02596569,0.83644108
-2.51825913,1.61290320,0.47382620,0.07430867,0.01604526,0.38161425,0.02460069,0.82917826
-2.51225613,1.55559795,0.44227391,0.07051709,0.01377263,0.36004150,0.02342613,0.82242665
-2.50625313,1.50241022,0.41240621,0.06699272,0.01174794,0.33994799,0.02245006,0.81610973
-2.50025013,1.45338948,0.38434452,0.06374725,0.00996057,0.32142380,0.02167803,0.81012684
-2.49424712,1.40850606,0.35817329,0.06078725,0.00839690,0.30452790,0.02111303,0.80435930
-2.48824412,1.36766253,0.33394269,0.05811469,0.00704120,0.28928975,0.02075554,0.79867744
-2.48224112,1.33070592,0.31167167,0.05572730,0.00587638,0.27571123,0.02060354,0.79294828
-2.47623812,1.29744000,0.29135141,0.05361906,0.00488472,0.26376865,0.02065245,0.78704338
-2.47023512,1.26763719,0.27294877,0.05178059,0.00404848,0.25341477,0.02089520,0.78084645
-2.46423212,1.24104954,0.25640976,0.05019954,0.00335041,0.24458089,0.02132223,0.77426032
-2.45822911,1.21741843,0.24166287,0.04886098,0.00277418,0.23717886,0.02192151,0.76721293
-2.45222611,1.19648265,0.22862217,0.04774772,0.00230469,0.23110310,0.02267864,0.75966201
-2.44622311,1.17798481,0.21719010,0.04684055,0.00192823,0.22623259,0.02357700,0.75159823
-2.44022011,1.16167607,0.20725996,0.04611856,0.00163269,0.22243302,0.02459789,0.74304671
-2.43421711,1.14731926,0.19871815,0.04555937,0.00140757,0.21955887,0.02572081,0.73406688
-2.42821411,1.13469066,0.19144607,0.04513935,0.00124399,0.21745585,0.02692380,0.72475076
-2.42221111,1.12358078,0.18532184,0.04483389,0.00113464,0.21596338,0.02818380,0.71521983
