energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
3.62281141,2.23907412,0.51133306,0.00000000,0.56321371,0.00000000,1.63689818,1.09234132
3.62881441,2.29882195,0.53203329,0.00000000,0.56406236,0.00000000,1.70947472,1.10260225
3.63481741,2.35123793,0.55113000,0.00000000,0.56301768,0.00000000,1.77482099,1.10912570
3.64082041,2.39506776,0.56818047,0.00000000,0.56000855,0.00000000,1.83160352,1.11162523
3.64682341,2.42922914,0.58278314,0.00000000,0.55499912,0.00000000,1.87864965,1.10989862
3.65282641,2.45284792,0.59459079,0.00000000,0.54799024,0.00000000,1.91498437,1.10383664
3.65882941,2.46528824,0.60332211,0.00000000,0.53902011,0.00000000,1.93986114,1.09342909
3.66483242,2.46617520,0.60877137,0.00000000,0.52816403,0.00000000,1.95278568,1.07876751
3.67083542,2.45540906,0.61081557,0.00000000,0.51553333,0.00000000,1.95353121,1.06004465
3.67683842,2.43317030,0.60941898,0.00000000,0.50127353,0.00000000,1.94214461,1.03755036
3.68284142,2.39991500,0.60463471,0.00000000,0.48556151,0.00000000,1.91894319,1.01166416
3.68884442,2.35636086,0.59660340,0.00000000,0.46860211,0.00000000,1.88450197,0.98284459
3.69484742,2.30346421,0.58554890,0.00000000,0.45062390,0.00000000,1.83963230,0.95161578
3.70085043,2.24238910,0.57177133,0.00000000,0.43187428,0.00000000,1.78535260,0.91855175
3.70685343,2.17446962,0.55563772,0.00000000,0.41261424,0.00000000,1.72285263,0.88425900
3.71285643,2.10116718,0.53757063,0.00000000,0.39311255,0.00000000,1.65345296,0.84935813
3.71885943,2.02402451,0.51803522,0.00000000,0.37363989,0.00000000,1.57856137,0.81446525
3.72486243,1.94461833,0.49752543,0.00000000,0.35446288,0.00000000,1.49962818,0.78017388
3.73086543,1.86451264,0.47654955,0.00000000,0.33583821,0.00000000,1.41810235,0.74703817
3.73686843,1.78521446,0.45561596,0.00000000,0.31800719,0.00000000,1.33539021,0.71555792
3.74287144,1.70813356,0.43521938,0.00000000,0.30119066,0.00000000,1.25281822,0.68616619
3.74887444,1.63454776,0.41582814,0.00000000,0.28558467,0.00000000,1.17160126,0.65921967
3.75487744,1.56557457,0.39787274,0.00000000,0.27135680,0.00000000,1.09281723,0.63499235
3.76088044,1.50214998,0.38173605,0.00000000,0.25864334,0.00000000,1.01738862,0.61367232
3.76688344,1.44501463,0.36774524,0.00000000,0.24754741,0.00000000,0.94607119,0.59536193
3.77288644,1.39470724,0.35616569,0.00000000,0.23813791,0.00000000,0.87944974,0.58008090
3.77888944,1.35156488,0.34719661,0.00000000,0.23044941,0.00000000,0.81794029,0.56777222
3.78489245,1.31572950,0.34096869,0.00000000,0.22448280,0.00000000,0.76179812,0.55831023
3.79089545,1.28715963,0.33754332,0.00000000,0.22020682,0.00000000,0.71113067,0.55151059
3.79689845,1.26564648,0.33691357,0.00000000,0.21756012,0.00000000,0.66591412,0.54714140
3.80290145,1.25083328,0.33900651,0.00000000,0.21645400,0.00000000,0.62601276,0.54493502
3.80890445,1.24223676,0.34368696,0.00000000,0.21677559,0.00000000,0.59119972,0.54460002
3.81490745,1.23927002,0.35076240,0.00000000,0.21839140,0.00000000,0.56117822,0.54583277
3.82091046,1.24126579,0.35998891,0.00000000,0.22115124,0.00000000,0.53560234,0.54832827
3.82691346,1.24749943,0.37107804,0.00000000,0.22489220,0.00000000,0.51409642,0.55178991
3.83291646,1.25721125,0.38370460,0.00000000,0.22944299,0.00000000,0.49627256,0.55593782
3.83891946,1.26962753,0.39751500,0.00000000,0.23462814,0.00000000,0.48174564,0.56051579
3.84492246,1.28398018,0.41213630,0.00000000,0.24027233,0.00000000,0.47014575,0.56529658
3.85092546,1.29952470,0.42718558,0.00000000,0.24620462,0.00000000,0.46112764,0.57008566
3.85692846,1.31555632,0.44227961,0.00000000,0.25226256,0.00000000,0.45437749,0.57472344
3.86293147,1.33142423,0.45704446,0.00000000,0.25829595,0.00000000,0.44961687,0.57908609
3.86893447,1.34654379,0.47112501,0.00000000,0.26417043,0.00000000,0.44660434,0.58308508
3.87493747,1.36040650,0.48419376,0.00000000,0.26977047,0.00000000,0.44513471,0.58666549
3.88094047,1.37258764,0.49595901,0.00000000,0.27500185,0.00000000,0.44503660,0.58980344
3.88694347,1.38275138,0.50617181,0.00000000,0.27979347,0.00000000,0.44616835,0.59250248
3.89294647,1.39065317,0.51463155,0.00000000,0.28409831,0.00000000,0.44841293,0.59478941
3.89894947,1.39613927,0.52118988,0.00000000,0.28789352,0.00000000,0.45167196,0.59670943
3.90495248,1.39914342,0.52575280,0.00000000,0.29117962,0.00000000,0.45585941,0.59832084
3.91095548,1.39968054,0.52828073,0.00000000,0.29397862,0.00000000,0.46089521,0.59968949
3.91695848,1.39783769,0.52878665,0.00000000,0.29633134,0.00000000,0.46669917,0.60088307
3.92296148,1.39376257,0.52733224,0.00000000,0.29829375,0.00000000,0.47318541,0.60196550
3.92896448,1.38765000,0.52402228,0.00000000,0.29993264,0.00000000,0.48025783,0.60299152
3.93496748,1.37972692,0.51899765,0.00000000,0.30132079,0.00000000,0.48780654,0.60400182
3.94097049,1.37023675,0.51242710,0.00000000,0.30253175,0.00000000,0.49570581,0.60501882
3.94697349,1.35942374,0.50449842,0.00000000,0.30363468,0.00000000,0.50381350,0.60604340
3.95297649,1.34751827,0.49540934,0.00000000,0.30468934,0.00000000,0.51197215,0.60705274
3.95897949,1.33472402,0.48535875,0.00000000,0.30574167,0.00000000,0.52001184,0.60799952
3.96498249,1.32120753,0.47453863,0.00000000,0.30682012,0.00000000,0.52775471,0.60881240
3.97098549,1.30709108,0.46312710,0.00000000,0.30793310,0.00000000,0.53502116,0.60939821
3.97698849,1.29244919,0.45128300,0.00000000,0.30906749,0.00000000,0.54163744,0.60964543
3.98299150,1.27730905,0.43914218,0.00000000,0.31018866,0.00000000,0.54744446,0.60942923
3.98899450,1.26165490,0.42681563,0.00000000,0.31124167,0.00000000,0.55230749,0.60861768
3.99499750,1.24543619,0.41438952,0.00000000,0.31215393,0.00000000,0.55612631,0.60707902
4.00100050,1.22857893,0.40192694,0.00000000,0.31283903,0.00000000,0.55884546,0.60468959
4.00700350,1.21099972,0.38947119,0.00000000,0.31320150,0.00000000,0.56046404,0.60134220
4.01300650,1.19262147,0.37705037,0.00000000,0.31314246,0.00000000,0.56104462,0.59695434
4.01900950,1.17338996,0.36468270,0.00000000,0.31256558,0.00000000,0.56072091,0.59147605
4.02501251,1.15329016,0.35238243,0.00000000,0.31138321,0.00000000,0.55970354,0.58489690
4.03101551,1.13236128,0.34016563,0.00000000,0.30952234,0.00000000,0.55828374,0.57725177
4.03701851,1.11070968,0.32805569,0.00000000,0.30692989,0.00000000,0.55683457,0.56862508
4.04302151,1.08851864,0.31608798,0.00000000,0.30357718,0.00000000,0.55580942,0.55915327
4.04902451,1.06605458,0.30431347,0.00000000,0.29946339,0.00000000,0.55573764,0.54902526
4.05502751,1.04366894,0.29280112,0.00000000,0.29461758,0.00000000,0.55721727,0.53848097
4.06103052,1.02179576,0.28163870,0.00000000,0.28909940,0.00000000,0.56090481,0.52780764
4.06703352,1.00094478,0.27093228,0.00000000,0.28299839,0.00000000,0.56750231,0.51733432
4.07303652,0.98169029,0.26080420,0.00000000,0.27643178,0.00000000,0.57774169,0.50742443
4.07903952,0.96465618,0.25138982,0.00000000,0.26954110,0.00000000,0.59236698,0.49846687
4.08504252,0.95049773,0.24283313,0.00000000,0.26248768,0.00000000,0.61211438,0.49086569
4.09104552,0.93988096,0.23528158,0.00000000,0.25544721,0.00000000,0.63769103,0.48502900
4.09704852,0.93346026,0.22888025,0.00000000,0.24860373,0.00000000,0.66975258,0.48135708
4.10305153,0.93185524,0.22376594,0.00000000,0.24214330,0.00000000,0.70888041,0.48023047
4.10905453,0.93562780,0.22006119,0.00000000,0.23624762,0.00000000,0.75555897,0.48199808
4.11505753,0.94526020,0.21786870,0.00000000,0.23108783,0.00000000,0.81015396,0.48696598
4.12106053,0.96113506,0.21726636,0.00000000,0.22681884,0.00000000,0.87289198,0.49538690
4.12706353,0.98351794,0.21830308,0.00000000,0.22357437,0.00000000,0.94384243,0.50745114
4.13306653,1.01254325,0.22099565,0.00000000,0.22146280,0.00000000,1.02290241,0.52327875
4.13906953,1.04820398,0.22532664,0.00000000,0.22056404,0.00000000,1.10978519,0.54291362
4.14507254,1.09034554,0.23124353,0.00000000,0.22092743,0.00000000,1.20401310,0.56631928
4.15107554,1.13866398,0.23865900,0.00000000,0.22257072,0.00000000,1.30491529,0.59337687
4.15707854,1.19270875,0.24745239,0.00000000,0.22548007,0.00000000,1.41163092,0.62388513
4.16308154,1.25188975,0.25747221,0.00000000,0.22961104,0.00000000,1.52311821,0.65756258
4.16908454,1.31548861,0.26853971,0.00000000,0.23489042,0.00000000,1.63816941,0.69405170
4.17508754,1.38267389,0.28045323,0.00000000,0.24121881,0.00000000,1.75543183,0.73292529
4.18109055,1.45251965,0.29299329,0.00000000,0.24847380,0.00000000,1.87343468,0.77369453
4.18709355,1.52402705,0.30592825,0.00000000,0.25651364,0.00000000,1.99062127,0.81581896
4.19309655,1.59614835,0.31902033,0.00000000,0.26518115,0.00000000,2.10538608,0.85871783
4.19909955,1.66781266,0.33203189,0.00000000,0.27430788,0.00000000,2.21611553,0.90178282
4.20510255,1.73795291,0.34473173,0.00000000,0.28371838,0.00000000,2.32123170,0.94439170
4.21110555,1.80553330,0.35690137,0.00000000,0.29323434,0.00000000,2.41923749,0.98592278
4.21710855,1.86957667,0.36834096,0.00000000,0.30267878,0.00000000,2.50876200,1.02576969
4.22311156,1.92919105,0.37887497,0.00000000,0.31187996,0.00000000,2.58860452,1.06335627
4.22911456,1.98359487,0.38835726,0.00000000,0.32067519,0.00000000,2.65777569,1.09815124
4.23511756,2.03214008,0.39667557,0.00000000,0.32891435,0.00000000,2.71553424,1.12968213
4.24112056,2.07433278,0.40375520,0.00000000,0.33646317,0.00000000,2.76141801,1.15754841
4.24712356,2.10985051,0.40956192,0.00000000,0.34320626,0.00000000,2.79526772,1.18143317
4.25312656,2.13855592,0.41410386,0.00000000,0.34904971,0.00000000,2.81724266,1.20111315
