energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
0.11105553,2.91693836,-3.20287508,0.33538641,-0.31558310,1.00461435,-1.92263653,0.02777383,-0.00586476,0.17719732,-0.08432188,0.64372433,-0.56154679,1.19920164,-0.82047752,0.06023954,-0.02974385,0.30544029,-0.16355066
0.11705853,2.98993848,-3.25740515,0.33980839,-0.32454637,1.03934787,-1.98382148,0.02741107,-0.00586197,0.18582491,-0.08765526,0.67386967,-0.58180620,1.21645846,-0.80608717,0.06326125,-0.03030308,0.30463314,-0.16653340
0.12306153,3.06697343,-3.31319713,0.34391634,-0.33314007,1.07703517,-2.04508411,0.02692921,-0.00591019,0.19468340,-0.09081076,0.70650591,-0.60130676,1.23375042,-0.79301825,0.06643972,-0.03085365,0.30398110,-0.16962323
0.12906453,3.14814989,-3.36965255,0.34773562,-0.34124518,1.11767803,-2.10596451,0.02633507,-0.00600277,0.20374046,-0.09372795,0.74159600,-0.61971849,1.25119505,-0.78133876,0.06976063,-0.03138199,0.30357843,-0.17274158
0.13506753,3.23343800,-3.42618846,0.35129646,-0.34875381,1.16120310,-2.16602727,0.02563781,-0.00613309,0.21295496,-0.09635156,0.77903973,-0.63672977,1.26887886,-0.77110011,0.07320529,-0.03187384,0.30351180,-0.17581469
0.14107054,3.32264022,-3.48226784,0.35463041,-0.35557330,1.20744900,-2.22488100,0.02484872,-0.00629474,0.22227583,-0.09863298,0.81866825,-0.65205754,1.28684591,-0.76234033,0.07675034,-0.03231485,0.30385552,-0.17877634
0.14707354,3.41536516,-3.53742837,0.35776673,-0.36162993,1.25615579,-2.28219631,0.02398075,-0.00648167,0.23164115,-0.10053178,0.86024048,-0.66545694,1.30508821,-0.75508755,0.08036758,-0.03269119,0.30466706,-0.18157046
0.15307654,3.51100830,-3.59130757,0.36072878,-0.36687212,1.30695756,-2.33772097,0.02304814,-0.00668835,0.24097764,-0.10201689,0.90344181,-0.67672987,1.32353845,-0.74936349,0.08402400,-0.03299016,0.30598309,-0.18415332
0.15907954,3.60874100,-3.64366279,0.36353082,-0.37127271,1.35937886,-2.39129131,0.02206589,-0.00690989,0.25020061,-0.10306760,0.94788535,-0.68573210,1.34206549,-0.74518643,0.08768192,-0.03320074,0.30781631,-0.18649533
0.16508254,3.70750906,-3.69438465,0.36617526,-0.37483045,1.41283543,-2.44283904,0.02104926,-0.00714211,0.25921443,-0.10367417,0.99311587,-0.69237848,1.36047307,-0.74257369,0.09129927,-0.03331408,0.31015320,-0.18858223
0.17108554,3.80604179,-3.74350299,0.36865063,-0.37757039,1.46663966,-2.49239299,0.02001330,-0.00738165,0.26791354,-0.10383807,1.03861662,-0.69664602,1.37850182,-0.74154333,0.09483015,-0.03332386,0.31295280,-0.19041570
0.17708854,3.90287165,-3.79118492,0.37093047,-0.37954313,1.52001077,-2.54007543,0.01897237,-0.00762595,0.27618410,-0.10357180,1.08381886,-0.69857480,1.39583464,-0.74211490,0.09822553,-0.03322657,0.31614680,-0.19201327
0.18309155,3.99636451,-3.83772495,0.37297313,-0.38082303,1.57208985,-2.58609321,0.01793972,-0.00787334,0.28390623,-0.10289838,1.12811410,-0.69826639,1.41210536,-0.74430944,0.10143419,-0.03302160,0.31964076,-0.19340756
0.18909455,4.08475966,-3.88352773,0.37472265,-0.38150536,1.62195910,-2.63072401,0.01692716,-0.00812297,0.29095669,-0.10185038,1.17086844,-0.69588021,1.42691025,-0.74814862,0.10440379,-0.03271127,0.32331658,-0.19464482
0.19509755,4.16621832,-3.92908442,0.37611065,-0.38170260,1.66866509,-2.67429844,0.01594481,-0.00837483,0.29721218,-0.10046859,1.21143888,-0.69162772,1.43982211,-0.75365329,0.10708212,-0.03230071,0.32703620,-0.19578297
0.20110055,4.23887905,-3.97494401,0.37705917,-0.38153989,1.71124489,-2.71717889,0.01500092,-0.00862967,0.30255287,-0.09880051,1.24919083,-0.68576496,1.45040614,-0.76084160,0.10941849,-0.03179757,0.33064623,-0.19688901
0.20710355,4.30091773,-4.02168123,0.37748435,-0.38115012,1.74875443,-2.75973638,0.01410177,-0.00888899,0.30686620,-0.09689853,1.28351625,-0.67858370,1.45823716,-0.76972700,0.11136514,-0.03121167,0.33398352,-0.19803607
0.21310655,4.35060997,-4.06986306,0.37730080,-0.38066863,1.78029782,-2.80232654,0.01325176,-0.00915491,0.31005081,-0.09481801,1.31385167,-0.67040166,1.46291720,-0.78031618,0.11287867,-0.03055460,0.33688130,-0.19930025
0.21910955,4.38639301,-4.12001546,0.37642634,-0.38022796,1.80505654,-2.84526606,0.01245342,-0.00943017,0.31202028,-0.09261528,1.33969551,-0.66155236,1.46409278,-0.79260747,0.11392147,-0.02983920,0.33917575,-0.20075728
0.22511256,4.40692474,-4.17259250,0.37478701,-0.37995283,1.82231729,-2.88881099,0.01170768,-0.00971797,0.31270669,-0.09034579,1.36062369,-0.65237488,1.46147112,-0.80658966,0.11446296,-0.02907903,0.34071260,-0.20247924
0.23111556,4.41113707,-4.22794929,0.37232196,-0.37995560,1.83149726,-2.93313782,0.01101402,-0.01002195,0.31206369,-0.08806225,1.37630323,-0.64320419,1.45483456,-0.82224153,0.11448074,-0.02828789,0.34135353,-0.20453147
0.23711856,4.39828129,-4.28632026,0.36898797,-0.38033242,1.83216583,-2.97832853,0.01037081,-0.01034603,0.31006906,-0.08581310,1.38650293,-0.63436232,1.44405242,-0.83953205,0.11396146,-0.02747925,0.34098209,-0.20696983
0.24312156,4.36796339,-4.34780379,0.36476347,-0.38116023,1.82406166,-3.02436023,0.00977555,-0.01069437,0.30672647,-0.08364113,1.39110095,-0.62615067,1.42908993,-0.85842144,0.11290148,-0.02666585,0.33950885,-0.20983843
0.24912456,4.32016773,-4.41235378,0.35965164,-0.38249476,1.80710446,-3.07109989,0.00922526,-0.01107125,0.30206651,-0.08158249,1.39008873,-0.61884383,1.41001380,-0.87886277,0.11130716,-0.02585925,0.33687547,-0.21316787
0.25512756,4.25526791,-4.47977847,0.35368258,-0.38436946,1.78140087,-3.11830435,0.00871669,-0.01148092,0.29614673,-0.07966600,1.38357129,-0.61268482,1.38699409,-0.90080415,0.10919490,-0.02506956,0.33305768,-0.21697415
0.26113057,4.17402441,-4.54974607,0.34691432,-0.38679551,1.74724427,-3.16562559,0.00824668,-0.01192754,0.28905090,-0.07791284,1.37176386,-0.60788207,1.36030247,-0.92419124,0.10659084,-0.02430517,0.32806684,-0.22125819
0.26713357,4.07756893,-4.62179686,0.33943269,-0.38976270,1.70510835,-3.21262070,0.00781234,-0.01241502,0.28088726,-0.07633648,1.35498497,-0.60460775,1.33030688,-0.94896980,0.10353019,-0.02357263,0.32195010,-0.22600606
0.27313657,3.96737630,-4.69536058,0.33134992,-0.39324119,1.65563485,-3.25876618,0.00741130,-0.01294689,0.27178599,-0.07494305,1.33364645,-0.60299759,1.29746288,-0.97508801,0.10005637,-0.02287655,0.31478915,-0.23118978
0.27913957,3.84522499,-4.76977793,0.32280217,-0.39718390,1.59961594,-3.30347565,0.00704181,-0.01352615,0.26189596,-0.07373184,1.30824070,-0.60315182,1.26230209,-1.00249833,0.09621981,-0.02221968,0.30669763,-0.23676868
0.28514257,3.71314810,-4.84432490,0.31394602,-0.40152930,1.53797195,-3.34612002,0.00670292,-0.01415515,0.25138084,-0.07269612,1.27932590,-0.60513689,1.22541826,-1.03115860,0.09207660,-0.02160299,0.29781727,-0.24269122
0.29114557,3.57337681,-4.91823829,0.30495407,-0.40620464,1.47172544,-3.38604917,0.00639448,-0.01483540,0.24041473,-0.07182403,1.24750981,-0.60898792,1.18745152,-1.06103216,0.08768701,-0.02102580,0.28831299,-0.24889708
0.29714857,3.42827866,-4.99074107,0.29600999,-0.41112904,1.40197263,-3.42261406,0.00611716,-0.01556744,0.22917765,-0.07109960,1.21343275,-0.61471126,1.14907151,-1.09208685,0.08311385,-0.02048604,0.27836712,-0.25531957
0.30315158,3.28029332,-5.06106607,0.28730301,-0.41621656,1.32985335,-3.45518824,0.00587249,-0.01635070,0.21785078,-0.07050384,1.17775054,-0.62228715,1.11096008,-1.12429277,0.07842093,-0.01998047,0.26817318,-0.26188795
0.30915458,3.13186821,-5.12847700,0.27902242,-0.42137896,1.25652076,-3.48318784,0.00566275,-0.01718334,0.20661192,-0.07001567,1.14111806,-0.63167207,1.07379423,-1.15761888,0.07367147,-0.01950497,0.25792917,-0.26852975
0.31515758,2.98539654,-5.19228560,0.27135207,-0.42652800,1.18311181,-3.50608920,0.00549093,-0.01806218,0.19563119,-0.06961295,1.10417388,-0.64280059,1.03822975,-1.19202843,0.06892665,-0.01905475,0.24783106,-0.27517289
0.32116058,2.84315996,-5.25186443,0.26446519,-0.43157721,1.11071969,-3.52344347,0.00536066,-0.01898258,0.18506718,-0.06927325,1.06752666,-0.65558674,1.00488641,-1.22747343,0.06424437,-0.01862469,0.23806641,-0.28174742
0.32716358,2.70727773,-5.30665476,0.25851984,-0.43644309,1.04036904,-3.53488769,0.00527613,-0.01993840,0.17506365,-0.06897456,1.03174340,-0.66992474,0.97433487,-1.26388849,0.05967808,-0.01820953,0.22880865,-0.28818696
0.33316658,2.57966389,-5.35616972,0.25365504,-0.44104577,0.97299478,-3.54015212,0.00524200,-0.02092202,0.16574695,-0.06869582,0.99734009,-0.68568908,0.94708573,-1.30118422,0.05527597,-0.01780412,0.22021200,-0.29442958
0.33916958,2.46199356,-5.39999270,0.24998773,-0.44530916,0.90942498,-3.53906352,0.00526336,-0.02192439,0.15722411,-0.06841733,0.96477467,-0.70273429,0.92358104,-1.33924072,0.05108029,-0.01740359,0.21240749,-0.30041836
0.34517259,2.35567903,-5.43777191,0.24761072,-0.44916066,0.85036830,-3.53154478,0.00534566,-0.02293507,0.14958176,-0.06812092,0.93444238,-0.72089431,0.90418825,-1.37790148,0.04712700,-0.01700353,0.20549994,-0.30610135
0.35117559,2.26185555,-5.46921147,0.24659162,-0.45253059,0.79640589,-3.51761092,0.00549465,-0.02394249,0.14288576,-0.06779015,0.90667340,-0.73998187,0.88919664,-1.41696813,0.04344555,-0.01660007,0.19956617,-0.31143127
0.35717859,2.18137678,-5.49406052,0.24697264,-0.45535155,0.74798790,-3.49736203,0.00571636,-0.02493406,0.13718156,-0.06741023,0.88173261,-0.75978814,0.87881609,-1.45619648,0.04005902,-0.01618999,0.19465438,-0.31636483
0.36318159,2.11481899,-5.51210102,0.24877134,-0.45755768,0.70543419,-3.47097379,0.00601708,-0.02589652,0.13249515,-0.06696805,0.85982102,-0.78008277,0.87317800,-1.49529431,0.03698431,-0.01577078,0.19078463,-0.32086185
0.36918459,2.06249304,-5.52313580,0.25198208,-0.45908416,0.66893881,-3.43868615,0.00640328,-0.02681618,0.12883466,-0.06645203,0.84107888,-0.80061476,0.87233798,-1.53392103,0.03423257,-0.01534061,0.18795042,-0.32488432
0.37518759,2.02446277,-5.52697780,0.25657807,-0.45986708,0.63857779,-3.40079098,0.00688162,-0.02767932,0.12619220,-0.06585210,0.82558974,-0.82111427,0.87628009,-1.57168967,0.03180972,-0.01489837,0.18612114,-0.32839544
0.38119060,2.00056831,-5.52344173,0.26251383,-0.45984354,0.61431949,-3.35761956,0.00745884,-0.02847253,0.12454616,-0.06515956,0.81338535,-0.84129553,0.88492213,-1.60817121,0.02971708,-0.01444366,0.18524532,-0.33135888
0.38719360,1.99045263,-5.51233897,0.26972789,-0.45895246,0.59603692,-3.30953048,0.00814171,-0.02918310,0.12386350,-0.06436718,0.80445097,-0.86086096,0.89812164,-1.64290133,0.02795202,-0.01397667,0.18525430,-0.33373821
0.39319660,1.99358988,-5.49347647,0.27814547,-0.45713571,0.58352115,-3.25689886,0.00893685,-0.02979939,0.12410219,-0.06346917,0.79873074,-0.87950649,0.91568212,-1.67538944,0.02650865,-0.01349824,0.18606635,-0.33549678
0.39919960,2.00931376,-5.46666005,0.28768103,-0.45433986,0.57649528,-3.20010734,0.00985063,-0.03031120,0.12521348,-0.06246136,0.79613279,-0.89692794,0.93735926,-1.70512986,0.02537843,-0.01300973,0.18759076,-0.33659792
0.40520260,2.03684465,-5.43170216,0.29824046,-0.45051828,0.57462830,-3.13953931,0.01088890,-0.03071006,0.12714398,-0.06134143,0.79653397,-0.91282829,0.96286672,-1.73161474,0.02455082,-0.01251301,0.18973189,-0.33700564
0.41120560,2.07531438,-5.38843399,0.30972286,-0.44563360,0.57754811,-3.07557469,0.01205677,-0.03098953,0.12983745,-0.06010915,0.79978389,-0.92692557,0.99188128,-1.75434829,0.02401379,-0.01201042,0.19239286,-0.33668567
0.41720860,2.12378751,-5.33672118,0.32202179,-0.43966035,0.58485356,-3.00858831,0.01335829,-0.03114536,0.13323627,-0.05876673,0.80570818,-0.93896103,1.02404711,-1.77286182,0.02375429,-0.01150472,0.19547876,-0.33560696
0.42321161,2.18127874,-5.27648262,0.33502585,-0.43258757,0.59612478,-2.93895087,0.01479612,-0.03117570,0.13728248,-0.05731916,0.81411102,-0.94870714,1.05897922,-1.78672896,0.02375858,-0.01099910,0.19889927,-0.33374343
0.42921461,2.24676602,-5.20771086,0.34861885,-0.42442134,0.61093188,-2.86703200,0.01637115,-0.03108109,0.14191850,-0.05577457,0.82477680,-0.95597513,1.09626585,-1.79558048,0.02401255,-0.01049716,0.20257052,-0.33107591
0.43521761,2.31919943,-5.13049321,0.36267934,-0.41518686,0.62884180,-2.79320527,0.01808213,-0.03086445,0.14708744,-0.05414451,0.83747109,-0.96062157,1.13547017,-1.79911798,0.02450184,-0.01000293,0.20641625,-0.32759420
0.44122061,2.39750615,-5.04503197,0.37707988,-0.40493010,0.64942327,-2.71785421,0.01992526,-0.03053106,0.15273307,-0.05244428,0.85194101,-0.96255368,1.17613129,-1.79712603,0.02521199,-0.00952089,0.21036824,-0.32329897
0.44722361,2.48059218,-4.95166247,0.39168602,-0.39371877,0.67225011,-2.64137901,0.02189387,-0.03008830,0.15879951,-0.05069303,0.86791522,-0.96173315,1.21776481,-1.78948190,0.02612840,-0.00905604,0.21436607,-0.31820357
0.45322661,2.56734162,-4.85086764,0.40635518,-0.38164260,0.69690299,-2.56420291,0.02397808,-0.02954552,0.16523082,-0.04891391,0.88510372,-0.95817808,1.25986345,-1.77616285,0.02723635,-0.00861393,0.21835619,-0.31233543
