energy_ev,total_up,Cu_p_up,Cu_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
3.37668834,3.41120935,2.53605569,0.06564426,0.96711622,0.00002049,0.18378515,0.81298355
3.38269135,3.41688035,2.52764496,0.06544487,0.95074789,0.00001998,0.18154689,0.82181140
3.38869435,3.41363178,2.51468406,0.06511118,0.93327129,0.00001943,0.17847273,0.82827714
3.39469735,3.40163038,2.49741056,0.06464711,0.91477260,0.00001885,0.17461479,0.83229932
3.40070035,3.38112989,2.47605252,0.06405698,0.89531796,0.00001823,0.17003950,0.83382045
3.40670335,3.35247050,2.45082557,0.06334553,0.87495731,0.00001760,0.16482602,0.83280870
3.41270635,3.31607860,2.42193317,0.06251802,0.85372945,0.00001695,0.15906437,0.82925981
3.41870935,3.27246663,2.38956978,0.06158041,0.83166825,0.00001629,0.15285326,0.82319920
3.42471236,3.22223280,2.35392664,0.06053949,0.80880939,0.00001562,0.14629785,0.81468405
3.43071536,3.16606036,2.31519965,0.05940314,0.78519727,0.00001494,0.13950734,0.80380507
3.43671836,3.10471606,2.27359862,0.05818042,0.76089169,0.00001427,0.13259263,0.79068790
3.44272136,3.03904725,2.22935718,0.05688179,0.73597379,0.00001361,0.12566392,0.77549386
3.44872436,2.96997735,2.18274237,0.05551920,0.71055090,0.00001295,0.11882854,0.75841977
3.45472736,2.89849906,2.13406320,0.05410616,0.68476003,0.00001230,0.11218891,0.73969680
3.46073037,2.82566516,2.08367730,0.05265766,0.65876967,0.00001167,0.10584065,0.71958814
3.46673337,2.75257653,2.03199497,0.05119013,0.63277976,0.00001105,0.09987107,0.69838545
3.47273637,2.68036740,1.97948018,0.04972124,0.60701984,0.00001046,0.09435778,0.67640418
3.47873937,2.61018789,1.92664816,0.04826959,0.58174540,0.00000988,0.08936770,0.65397771
3.48474237,2.54318417,1.87405942,0.04685441,0.55723247,0.00000933,0.08495632,0.63145062
3.49074537,2.48047679,1.82231050,0.04549513,0.53377088,0.00000881,0.08116720,0.60917118
3.49674837,2.42313772,1.77202165,0.04421091,0.51165629,0.00000831,0.07803180,0.58748353
3.50275138,2.37216714,1.72382220,0.04302020,0.49118157,0.00000784,0.07556955,0.56671959
3.50875438,2.32847069,1.67833415,0.04194020,0.47262772,0.00000740,0.07378816,0.54719135
3.51475738,2.29283834,1.63615501,0.04098645,0.45625491,0.00000698,0.07268413,0.52918362
3.52076038,2.26592572,1.59784081,0.04017235,0.44229408,0.00000660,0.07224349,0.51294764
3.52676338,2.24823883,1.56389005,0.03950884,0.43093932,0.00000624,0.07244263,0.49869580
3.53276638,2.24012295,1.53472967,0.03900409,0.42234157,0.00000591,0.07324940,0.48659775
3.53876938,2.24175610,1.51070355,0.03866329,0.41660383,0.00000560,0.07462412,0.47677779
3.54477239,2.25314763,1.49206440,0.03848859,0.41377816,0.00000533,0.07652086,0.46931391
3.55077539,2.27414187,1.47896919,0.03847908,0.41386454,0.00000507,0.07888864,0.46423825
3.55677839,2.30442667,1.47147850,0.03863086,0.41681165,0.00000484,0.08167267,0.46153887
3.56278139,2.34354652,1.46955962,0.03893728,0.42251966,0.00000462,0.08481560,0.46116291
3.56878439,2.39091960,1.47309328,0.03938916,0.43084465,0.00000443,0.08825870,0.46302064
3.57478739,2.44585789,1.48188351,0.03997516,0.44160477,0.00000425,0.09194300,0.46699041
3.58079040,2.50758967,1.49567014,0.04068209,0.45458755,0.00000408,0.09581029,0.47292409
3.58679340,2.57528314,1.51414308,0.04149537,0.46955835,0.00000393,0.09980409,0.48065285
3.59279640,2.64807045,1.53695786,0.04239943,0.48626931,0.00000378,0.10387045,0.48999294
3.59879940,2.72507106,1.56375142,0.04337807,0.50446862,0.00000365,0.10795866,0.50075137
3.60480240,2.80541358,1.59415744,0.04441492,0.52390955,0.00000351,0.11202178,0.51273119
3.61080540,2.88825536,1.62782049,0.04549373,0.54435893,0.00000338,0.11601716,0.52573622
3.61680840,2.97279920,1.66440834,0.04659872,0.56560471,0.00000326,0.11990670,0.53957520
3.62281141,3.05830672,1.70362176,0.04771480,0.58746220,0.00000313,0.12365711,0.55406518
3.62881441,3.14410805,1.74520160,0.04882783,0.60977878,0.00000301,0.12723999,0.56903415
3.63481741,3.22960762,1.78893261,0.04992472,0.63243681,0.00000288,0.13063182,0.58432289
3.64082041,3.31428620,1.83464401,0.05099357,0.65535459,0.00000276,0.13381391,0.59978603
3.64682341,3.39769897,1.88220666,0.05202369,0.67848532,0.00000264,0.13677214,0.61529233
3.65282641,3.47947019,1.93152715,0.05300562,0.70181408,0.00000251,0.13949674,0.63072428
3.65882941,3.55928451,1.98253877,0.05393108,0.72535293,0.00000239,0.14198189,0.64597709
3.66483242,3.63687545,2.03519007,0.05479286,0.74913425,0.00000226,0.14422528,0.66095699
3.67083542,3.71201161,2.08943119,0.05558479,0.77320274,0.00000214,0.14622758,0.67557921
3.67683842,3.78448115,2.14519880,0.05630153,0.79760625,0.00000202,0.14799182,0.68976544
3.68284142,3.85407524,2.20240015,0.05693848,0.82238597,0.00000191,0.14952274,0.70344114
3.68884442,3.92057124,2.26089713,0.05749159,0.84756645,0.00000179,0.15082612,0.71653268
3.69484742,3.98371652,2.32049102,0.05795725,0.87314580,0.00000168,0.15190799,0.72896454
3.70085043,4.04321368,2.38090889,0.05833209,0.89908676,0.00000158,0.15277396,0.74065669
3.70685343,4.09870812,2.44179228,0.05861292,0.92530901,0.00000147,0.15342853,0.75152235
3.71285643,4.14977885,2.50268920,0.05879660,0.95168333,0.00000138,0.15387448,0.76146628
3.71885943,4.19593333,2.56305004,0.05887993,0.97802784,0.00000129,0.15411235,0.77038372
3.72486243,4.23660702,2.62222790,0.05885970,1.00410689,0.00000120,0.15414011,0.77816026
3.73086543,4.27116822,2.67948404,0.05873263,1.02963269,0.00000113,0.15395298,0.78467254
3.73686843,4.29892850,2.73399857,0.05849547,1.05426985,0.00000106,0.15354344,0.78978999
3.74287144,4.31915880,2.78488633,0.05814508,1.07764290,0.00000099,0.15290143,0.79337764
3.74887444,4.33111097,2.83121802,0.05767859,1.09934655,0.00000093,0.15201487,0.79529981
3.75487744,4.33404419,2.87204590,0.05709361,1.11895841,0.00000088,0.15087023,0.79542480
3.76088044,4.32725547,2.90643333,0.05638840,1.13605387,0.00000084,0.14945347,0.79363016
3.76688344,4.31011297,2.93348726,0.05556219,1.15022230,0.00000080,0.14775096,0.78980854
3.77288644,4.28209084,2.95239241,0.05461541,1.16108425,0.00000077,0.14575065,0.78387375
3.77888944,4.24280386,2.96244566,0.05354993,1.16830855,0.00000075,0.14344318,0.77576674
3.78489245,4.19204014,2.96308920,0.05236933,1.17162874,0.00000073,0.14082304,0.76546114
3.79089545,4.12979016,2.95394097,0.05107910,1.17085795,0.00000072,0.13788965,0.75296814
3.79689845,4.05627038,2.93482054,0.04968680,1.16590140,0.00000072,0.13464830,0.73834027
3.80290145,3.97193982,2.90576949,0.04820213,1.15676588,0.00000073,0.13111084,0.72167401
3.80890445,3.87750847,2.86706459,0.04663698,1.14356570,0.00000075,0.12729623,0.70311068
3.81490745,3.77393642,2.81922326,0.04500535,1.12652451,0.00000077,0.12323071,0.68283593
3.82091046,3.66242340,2.76300049,0.04332319,1.10597293,0.00000081,0.11894770,0.66107731
3.82691346,3.54438850,2.69937717,0.04160815,1.08234190,0.00000086,0.11448741,0.63810024
3.83291646,3.42144066,2.62953993,0.03987926,1.05615182,0.00000093,0.10989613,0.61420240
3.83891946,3.29534079,2.55485327,0.03815655,1.02799806,0.00000101,0.10522521,0.58970672
3.84492246,3.16795695,2.47682495,0.03646053,0.99853320,0.00000110,0.10052991,0.56495324
3.85092546,3.04121422,2.39706598,0.03481175,0.96844683,0.00000121,0.09586791,0.54029016
3.85692846,2.91704143,2.31724690,0.03323020,0.93844380,0.00000135,0.09129788,0.51606450
3.86293147,2.79731682,2.23905211,0.03173484,0.90922161,0.00000150,0.08687783,0.49261269
3.86893447,2.68381501,2.16413423,0.03034306,0.88144823,0.00000168,0.08266361,0.47025152
3.87493747,2.57815745,2.09407017,0.02907022,0.85574098,0.00000188,0.07870737,0.44926984
3.88094047,2.48176826,2.03032081,0.02792921,0.83264745,0.00000211,0.07505630,0.42992127
3.88694347,2.39583746,1.97419570,0.02693020,0.81262926,0.00000236,0.07175141,0.41241829
