energy_ev,total_up,B_p_up,B_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-2.74037019,3.92261818,0.69648274,0.00000000,1.50224590,2.74066577,0.01307678,0.60524183
-2.73436718,3.97662194,0.70428842,0.00000000,1.50519440,2.79549891,0.01329660,0.60054541
-2.72836418,4.02588809,0.71015111,0.00000000,1.50423183,2.84784745,0.01350166,0.59546261
-2.72236118,4.07014248,0.71397787,0.00000000,1.49935250,2.89738625,0.01369109,0.59010935
-2.71635818,4.10913135,0.71571517,0.00000000,1.49061072,2.94379291,0.01386376,0.58457890
-2.71035518,4.14260702,0.71534776,0.00000000,1.47811595,2.98673868,0.01401829,0.57893783
-2.70435218,4.17031531,0.71289637,0.00000000,1.46202668,3.02588076,0.01415293,0.57322340
-2.69834917,4.19198580,0.70841458,0.00000000,1.44254350,3.06085696,0.01426564,0.56744255
-2.69234617,4.20732589,0.70198490,0.00000000,1.41990155,3.09128320,0.01435410,0.56157249
-2.68634317,4.21601928,0.69371436,0.00000000,1.39436281,3.11675471,0.01441574,0.55556295
-2.68034017,4.21772930,0.68372974,0.00000000,1.36620848,3.13685083,0.01444785,0.54933981
-2.67433717,4.21210696,0.67217273,0.00000000,1.33573172,3.15114369,0.01444768,0.54281006
-2.66833417,4.19880352,0.65919514,0.00000000,1.30323096,3.15921033,0.01441258,0.53586774
-2.66233117,4.17748685,0.64495442,0.00000000,1.26900403,3.16064775,0.01434014,0.52840058
-2.65632816,4.14786052,0.62960946,0.00000000,1.23334305,3.15509012,0.01422831,0.52029686
-2.65032516,4.10968454,0.61331702,0.00000000,1.19653035,3.14222709,0.01407556,0.51145236
-2.64432216,4.06279624,0.59622866,0.00000000,1.15883517,3.12182209,0.01388095,0.50177672
-2.63831916,4.00712999,0.57848828,0.00000000,1.12051128,3.09372952,0.01364431,0.49119919
-2.63231616,3.94273427,0.56023039,0.00000000,1.08179531,3.05790955,0.01336621,0.47967322
-2.62631316,3.86978492,0.54157881,0.00000000,1.04290574,3.01443957,0.01304807,0.46717985
-2.62031016,3.78859342,0.52264609,0.00000000,1.00404239,2.96352140,0.01269210,0.45372963
-2.61430715,3.69960963,0.50353331,0.00000000,0.96538631,2.90548356,0.01230128,0.43936311
-2.60830415,3.60341841,0.48433034,0.00000000,0.92709995,2.84077837,0.01187929,0.42414984
-2.60230115,3.50073028,0.46511641,0.00000000,0.88932746,2.76997378,0.01143040,0.40818603
-2.59629815,3.39236635,0.44596090,0.00000000,0.85219521,2.69374015,0.01095933,0.39159106
-2.59029515,3.27923829,0.42692435,0.00000000,0.81581226,2.61283277,0.01047111,0.37450302
-2.58429215,3.16232433,0.40805951,0.00000000,0.78027099,2.52807071,0.00997090,0.35707358
-2.57828914,3.04264260,0.38941242,0.00000000,0.74564774,2.44031326,0.00946388,0.33946257
-2.57228614,2.92122313,0.37102351,0.00000000,0.71200360,2.35043504,0.00895506,0.32183247
-2.56628314,2.79908000,0.35292868,0.00000000,0.67938527,2.25930117,0.00844918,0.30434307
-2.56028014,2.67718513,0.33516020,0.00000000,0.64782623,2.16774358,0.00795057,0.28714680
-2.55427714,2.55644495,0.31774771,0.00000000,0.61734803,2.07653983,0.00746311,0.27038462
-2.54827414,2.43768115,0.30071898,0.00000000,0.58796189,1.98639523,0.00699014,0.25418285
-2.54227114,2.32161630,0.28410070,0.00000000,0.55967059,1.89792932,0.00653445,0.23865103
-2.53626813,2.20886495,0.26791917,0.00000000,0.53247065,1.81166696,0.00609831,0.22388071
-2.53026513,2.09993046,0.25220089,0.00000000,0.50635471,1.72803452,0.00568348,0.20994533
-2.52426213,1.99520741,0.23697315,0.00000000,0.48131414,1.64736105,0.00529131,0.19690096
-2.51825913,1.89498922,0.22226448,0.00000000,0.45734182,1.56988412,0.00492275,0.18478790
-2.51225613,1.79948028,0.20810512,0.00000000,0.43443485,1.49575984,0.00457854,0.17363286
-2.50625313,1.70881179,0.19452729,0.00000000,0.41259735,1.42507621,0.00425921,0.16345167
-2.50025013,1.62306001,0.18156548,0.00000000,0.39184294,1.35786897,0.00396524,0.15425221
-2.49424712,1.54226591,0.16925656,0.00000000,0.37219702,1.29413889,0.00369714,0.14603743
-2.48824412,1.46645504,0.15763980,0.00000000,0.35369861,1.23386942,0.00345551,0.13880826
-2.48224112,1.39565618,0.14675671,0.00000000,0.33640173,1.17704370,0.00324114,0.13256622
-2.47623812,1.32991806,0.13665077,0.00000000,0.32037616,1.12365986,0.00305504,0.12731557
-2.47023512,1.26932274,0.12736696,0.00000000,0.30570746,1.07374386,0.00289847,0.12306499
-2.46423212,1.21399536,0.11895111,0.00000000,0.29249643,1.02735904,0.00277298,0.11982853
-2.45822911,1.16410929,0.11144912,0.00000000,0.28085765,0.98461199,0.00268033,0.11762598
-2.45222611,1.11988669,0.10490593,0.00000000,0.27091732,0.94565434,0.00262255,0.11648251
-2.44622311,1.08159421,0.09936440,0.00000000,0.26281039,0.91068041,0.00260181,0.11642764
-2.44022011,1.04953414,0.09486399,0.00000000,0.25667691,0.87992091,0.00262040,0.11749369
-2.43421711,1.02403137,0.09143939,0.00000000,0.25265782,0.85363289,0.00268062,0.11971361
