energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.77188594,4.21372448,0.01024393,0.15062756,1.04033080,3.11121440,0.89616092,0.00000000,0.82020058,0.06027500
-5.76588294,4.14534837,0.01037658,0.14581603,1.05053732,3.04391687,0.89783045,0.00000000,0.81816736,0.05979595
-5.75987994,4.06707950,0.01046433,0.14115401,1.05912243,2.96790266,0.89769517,0.00000000,0.81517503,0.05922747
-5.75387694,3.98059901,0.01050612,0.13674344,1.06612623,2.88463885,0.89591304,0.00000000,0.81138869,0.05858903
-5.74787394,3.88763383,0.01050164,0.13267683,1.07159756,2.79564723,0.89265339,0.00000000,0.80696343,0.05789961
-5.74187094,3.78989033,0.01045130,0.12903334,1.07558544,2.70245077,0.88808718,0.00000000,0.80203567,0.05717676
-5.73586793,3.68899314,0.01035625,0.12587564,1.07813157,2.60652364,0.88237807,0.00000000,0.79671580,0.05643589
-5.72986493,3.58643173,0.01021824,0.12324737,1.07926415,2.50924675,0.87567437,0.00000000,0.79108254,0.05568956
-5.72386193,3.48351655,0.01003965,0.12117152,1.07899343,2.41187039,0.86810263,0.00000000,0.78517924,0.05494704
-5.71785893,3.38134636,0.00982333,0.11964966,1.07730894,2.31548529,0.85976280,0.00000000,0.77901207,0.05421398
-5.71185593,3.28078749,0.00957255,0.11866207,1.07417871,2.22100255,0.85072536,0.00000000,0.77255034,0.05349233
-5.70585293,3.18246526,0.00929086,0.11816877,1.06955030,2.12914299,0.84103044,0.00000000,0.76572883,0.05278036
-5.69984992,3.08676727,0.00898203,0.11811136,1.06335374,2.04043537,0.83068882,0.00000000,0.75845189,0.05207296
-5.69384692,2.99385759,0.00864997,0.11841558,1.05550594,1.95522313,0.81968487,0.00000000,0.75059929,0.05136203
-5.68784392,2.90370052,0.00829858,0.11899445,1.04591659,1.87367841,0.80798098,0.00000000,0.74203330,0.05063710
-5.68184092,2.81609212,0.00793172,0.11975198,1.03449504,1.79582225,0.79552341,0.00000000,0.73260686,0.04988594
-5.67583792,2.73069747,0.00755314,0.12058706,1.02115778,1.72154935,0.78224903,0.00000000,0.72217231,0.04909539
-5.66983492,2.64709162,0.00716645,0.12139754,1.00583628,1.65065595,0.76809261,0.00000000,0.71059028,0.04825211
-5.66383192,2.56480175,0.00677504,0.12208433,0.98848456,1.58286912,0.75299433,0.00000000,0.69773837,0.04734344
-5.65782891,2.48334861,0.00638208,0.12255524,0.96908614,1.51787598,0.73690690,0.00000000,0.68351918,0.04635814
-5.65182591,2.40228526,0.00599053,0.12272852,0.94766012,1.45535158,0.71980211,0.00000000,0.66786725,0.04528712
-5.64582291,2.32123128,0.00560310,0.12253592,0.92426582,1.39498398,0.70167638,0.00000000,0.65075477,0.04412401
-5.63981991,2.23990116,0.00522230,0.12192521,0.89900592,1.33649585,0.68255498,0.00000000,0.63219550,0.04286567
-5.63381691,2.15812596,0.00485039,0.12086192,0.87202781,1.27966181,0.66249488,0.00000000,0.61224710,0.04151249
-5.62781391,2.07586748,0.00448948,0.11933054,0.84352311,1.22432101,0.64158599,0.00000000,0.59101143,0.04006855
-5.62181091,1.99322487,0.00414144,0.11733480,0.81372538,1.17038494,0.61995081,0.00000000,0.56863307,0.03854164
-5.61580790,1.91043381,0.00380801,0.11489734,0.78290604,1.11784041,0.59774256,0.00000000,0.54529604,0.03694307
-5.60980490,1.82785880,0.00349074,0.11205861,0.75136875,1.06674820,0.57514188,0.00000000,0.52121890,0.03528737
-5.60380190,1.74597922,0.00319103,0.10887513,0.71944250,1.01723757,0.55235234,0.00000000,0.49664854,0.03359184
-5.59779890,1.66537036,0.00291014,0.10541724,0.68747368,0.96949753,0.52959499,0.00000000,0.47185285,0.03187597
-5.59179590,1.58668029,0.00264920,0.10176635,0.65581746,0.92376530,0.50710207,0.00000000,0.44711264,0.03016081
-5.58579290,1.51060408,0.00240918,0.09801179,0.62482881,0.88031278,0.48511044,0.00000000,0.42271326,0.02846827
-5.57978989,1.43785627,0.00219094,0.09424754,0.59485364,0.83943182,0.46385470,0.00000000,0.39893604,0.02682038
-5.57378689,1.36914305,0.00199519,0.09056880,0.56622011,0.80141880,0.44356045,0.00000000,0.37605015,0.02523858
-5.56778389,1.30513500,0.00182255,0.08706855,0.53923074,0.76655931,0.42443787,0.00000000,0.35430488,0.02374302
-5.56178089,1.24644164,0.00167352,0.08383433,0.51415524,0.73511352,0.40667579,0.00000000,0.33392288,0.02235193
-5.55577789,1.19358834,0.00154854,0.08094518,0.49122454,0.70730260,0.39043649,0.00000000,0.31509434,0.02108106
-5.54977489,1.14699654,0.00144797,0.07846904,0.47062600,0.68329680,0.37585128,0.00000000,0.29797237,0.01994321
-5.54377189,1.10696772,0.00137216,0.07646045,0.45249999,0.66320540,0.36301710,0.00000000,0.28266967,0.01894787
-5.53776888,1.07367155,0.00132145,0.07495885,0.43693787,0.64706897,0.35199407,0.00000000,0.26925650,0.01810101
