energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
1.22761381,2.19508857,0.01380612,0.13484555,0.37623920,1.12913078,0.58075105,0.40148245,0.05667372,0.27999951
1.23361681,2.22745007,0.01294010,0.13910439,0.37972702,1.15370454,0.58868317,0.39353382,0.05816028,0.28712410
1.23961981,2.25984846,0.01209836,0.14346871,0.38338071,1.17733455,0.59603557,0.38675399,0.05991693,0.29368007
1.24562281,2.29236137,0.01129383,0.14793122,0.38718918,1.19995455,0.60272730,0.38132391,0.06196922,0.29959465
1.25162581,2.32503802,0.01053934,0.15248175,0.39113742,1.22149611,0.60867887,0.37739522,0.06433674,0.30481133
1.25762881,2.35789964,0.00984747,0.15710729,0.39520641,1.24189113,0.61381825,0.37508695,0.06703227,0.30929218
1.26363182,2.39094253,0.00923028,0.16179212,0.39937362,1.26107551,0.61808716,0.37448350,0.07006118,0.31301967
1.26963482,2.42414310,0.00869914,0.16651815,0.40361399,1.27899348,0.62144710,0.37563377,0.07342103,0.31599792
1.27563782,2.45746425,0.00826460,0.17126526,0.40790126,1.29560223,0.62388465,0.37855146,0.07710147,0.31825317
1.28164082,2.49086232,0.00793618,0.17601181,0.41220969,1.31087644,0.62541571,0.38321632,0.08108432,0.31983358
1.28764382,2.52429380,0.00772228,0.18073514,0.41651578,1.32481209,0.62608828,0.38957628,0.08534388,0.32080813
1.29364682,2.55772109,0.00763004,0.18541218,0.42080001,1.33742930,0.62598351,0.39755020,0.08984749,0.32126487
1.29964982,2.59111672,0.00766522,0.19002003,0.42504843,1.34877357,0.62521487,0.40703124,0.09455624,0.32130831
1.30565283,2.62446549,0.00783206,0.19453660,0.42925383,1.35891542,0.62392551,0.41789058,0.09942578,0.32105638
1.31165583,2.65776443,0.00813316,0.19894130,0.43341652,1.36794802,0.62228375,0.42998146,0.10440739,0.32063676
1.31765883,2.69102040,0.00856938,0.20321566,0.43754459,1.37598300,0.62047706,0.44314341,0.10944900,0.32018303
1.32366183,2.72424572,0.00913966,0.20734411,0.44165350,1.38314449,0.61870482,0.45720656,0.11449638,0.31983058
1.32966483,2.75745204,0.00984097,0.21131463,0.44576527,1.38956170,0.61717029,0.47199604,0.11949431,0.31971267
1.33566783,2.79064332,0.01066817,0.21511952,0.44990697,1.39536057,0.61607217,0.48733636,0.12438778,0.31995669
1.34167084,2.82380841,0.01161394,0.21875610,0.45410899,1.40065488,0.61559644,0.50305573,0.12912319,0.32068086
1.34767384,2.85691415,0.01266878,0.22222747,0.45840285,1.40553759,0.61590879,0.51899025,0.13364949,0.32199145
1.35367684,2.88989973,0.01382098,0.22554309,0.46281900,1.41007302,0.61714817,0.53498793,0.13791929,0.32398073
1.35967984,2.92267299,0.01505672,0.22871935,0.46738461,1.41429041,0.61942182,0.55091244,0.14188984,0.32672557
1.36568284,2.95510918,0.01636017,0.23177998,0.47212150,1.41817952,0.62280203,0.56664646,0.14552395,0.33028687
1.37168584,2.98705245,0.01771372,0.23475619,0.47704448,1.42168858,0.62732470,0.58209445,0.14879076,0.33470961
1.37768884,3.01832013,0.01909825,0.23768663,0.48216003,1.42472497,0.63298992,0.59718484,0.15166630,0.34002358
1.38369185,3.04870957,0.02049342,0.24061688,0.48746556,1.42715859,0.63976416,0.61187131,0.15413394,0.34624464
1.38969485,3.07800698,0.02187815,0.24359869,0.49294907,1.42882782,0.64758401,0.62613314,0.15618458,0.35337622
1.39569785,3.10599752,0.02323098,0.24668867,0.49858940,1.42954782,0.65636112,0.63997437,0.15781658,0.36141111
1.40170085,3.13247580,0.02453061,0.24994662,0.50435679,1.42912053,0.66598781,0.65342180,0.15903551,0.37033312
1.40770385,3.15725571,0.02575642,0.25343331,0.51021385,1.42734587,0.67634298,0.66652169,0.15985359,0.38011864
1.41370685,3.18017850,0.02688892,0.25720797,0.51611656,1.42403321,0.68729778,0.67933515,0.16028888,0.39073772
1.41970985,3.20111839,0.02791028,0.26132528,0.52201535,1.41901260,0.69872071,0.69193247,0.16036429,0.40215479
1.42571286,3.21998481,0.02880473,0.26583229,0.52785609,1.41214466,0.71048163,0.70438638,0.16010635,0.41432872
1.43171586,3.23672084,0.02955898,0.27076508,0.53358077,1.40332880,0.72245456,0.71676455,0.15954380,0.42721236
1.43771886,3.25129789,0.03016251,0.27614554,0.53912790,1.39250892,0.73451903,0.72912187,0.15870623,0.44075158
1.44372186,3.26370669,0.03060776,0.28197844,0.54443254,1.37967648,0.74656004,0.74149253,0.15762253,0.45488377
1.44972486,3.27394530,0.03089026,0.28824882,0.54942605,1.36487053,0.75846662,0.75388278,0.15631954,0.46953621
1.45572786,3.28200514,0.03100864,0.29492012,0.55403546,1.34817500,0.77012940,0.76626456,0.15482081,0.48462427
1.46173087,3.28785603,0.03096454,0.30193299,0.55818286,1.32971329,0.78143740,0.77857049,0.15314556,0.50004981
1.46773387,3.29143193,0.03076243,0.30920518,0.56178467,1.30964083,0.79227454,0.79069086,0.15130798,0.51569991
1.47373687,3.29261852,0.03040934,0.31663240,0.56475117,1.28813593,0.80251627,0.80247263,0.14931685,0.53144630
1.47973987,3.29124410,0.02991453,0.32409028,0.56698644,1.26538994,0.81202675,0.81372092,0.14717560,0.54714553
1.48574287,3.28707499,0.02928913,0.33143749,0.56838876,1.24159719,0.82065712,0.82420310,0.14488270,0.56264004
1.49174587,3.27981618,0.02854575,0.33851986,0.56885182,1.21694562,0.82824501,0.83365519,0.14243251,0.57776032
1.49774887,3.26911791,0.02769805,0.34517540,0.56826661,1.19160854,0.83461573,0.84179077,0.13981644,0.59232800
1.50375188,3.25458795,0.02676034,0.35123999,0.56652420,1.16573835,0.83958497,0.84831168,0.13702442,0.60615991
1.50975488,3.23580942,0.02574724,0.35655365,0.56351922,1.13946229,0.84296326,0.85292038,0.13404659,0.61907285
1.51575788,3.21236312,0.02467335,0.36096683,0.55915410,1.11288056,0.84456185,0.85533314,0.13087506,0.63088896
1.52176088,3.18385331,0.02355294,0.36434670,0.55334367,1.08606685,0.84419974,0.85529361,0.12750570,0.64144122
1.52776388,3.14993520,0.02239974,0.36658296,0.54602009,1.05907094,0.84171149,0.85258597,0.12393989,0.65057902
1.53376688,3.11034265,0.02122681,0.36759297,0.53713779,1.03192326,0.83695536,0.84704703,0.12018591,0.65817329
1.53976988,3.06491425,0.02004637,0.36732591,0.52667806,1.00464069,0.82982118,0.83857672,0.11626018,0.66412092
1.54577289,3.01361601,0.01886977,0.36576572,0.51465307,0.97723338,0.82023765,0.82714629,0.11218802,0.66834831
1.55177589,2.95655937,0.01770745,0.36293279,0.50110904,0.94971167,0.80817838,0.81280395,0.10800401,0.67081372
1.55777889,2.89401310,0.01656895,0.35888423,0.48612835,0.92209281,0.79366641,0.79567750,0.10375190,0.67150836
1.56378189,2.82640846,0.01546292,0.35371274,0.46983041,0.89440695,0.77677688,0.77597404,0.09948398,0.67045624
1.56978489,2.75433719,0.01439721,0.34754416,0.45237114,0.86670178,0.75763775,0.75397652,0.09526009,0.66771268
1.57578789,2.67854230,0.01337884,0.34053384,0.43394115,0.83904573,0.73642831,0.73003754,0.09114616,0.66336170
1.58179090,2.59990221,0.01241411,0.33286201,0.41476259,0.81152955,0.71337585,0.70457051,0.08721241,0.65751259
1.58779390,2.51940907,0.01150858,0.32472834,0.39508474,0.78426599,0.68875031,0.67803876,0.08353132,0.65029560
1.59379690,2.43814230,0.01066716,0.31634607,0.37517862,0.75738800,0.66285756,0.65094296,0.08017540,0.64185740
1.59979990,2.35723880,0.00989403,0.30793579,0.35533078,0.73104531,0.63603132,0.62380741,0.07721490,0.63235634
1.60580290,2.27786114,0.00919276,0.29971925,0.33583655,0.70539990,0.60862432,0.59716588,0.07471555,0.62195777
1.61180590,2.20116529,0.00856620,0.29191346,0.31699291,0.68062055,0.58099902,0.57154734,0.07273638,0.61082988
1.61780890,2.12826904,0.00801658,0.28472513,0.29909138,0.65687688,0.55351833,0.54746220,0.07132778,0.59913993
1.62381191,2.06022253,0.00754543,0.27834577,0.28241111,0.63433324,0.52653658,0.52538950,0.07052979,0.58705114
1.62981491,1.99798165,0.00715361,0.27294745,0.26721230,0.61314270,0.50039118,0.50576528,0.07037075,0.57472035
1.63581791,1.94238508,0.00684133,0.26867929,0.25373026,0.59344154,0.47539512,0.48897255,0.07086632,0.56229614
1.64182091,1.89413547,0.00660816,0.26566480,0.24217015,0.57534443,0.45183058,0.47533282,0.07201881,0.54991770
1.64782391,1.85378487,0.00645308,0.26399986,0.23270250,0.55894041,0.42994352,0.46509952,0.07381703,0.53771396
1.65382691,1.82172444,0.00637450,0.26375144,0.22545962,0.54428987,0.40993968,0.45845314,0.07623646,0.52580311
1.65982991,1.79817824,0.00637033,0.26495695,0.22053280,0.53142254,0.39198152,0.45549807,0.07923978,0.51429214
1.66583292,1.78320078,0.00643804,0.26762400,0.21797045,0.52033640,0.37618645,0.45626118,0.08277776,0.50327640
1.67183592,1.77667792,0.00657474,0.27173075,0.21777707,0.51099764,0.36262597,0.46069186,0.08679049,0.49283899
1.67783892,1.77833083,0.00677722,0.27722646,0.21991295,0.50334142,0.35132584,0.46866354,0.09120878,0.48304989
1.68384192,1.78772249,0.00704207,0.28403239,0.22429480,0.49727345,0.34226698,0.47997646,0.09595579,0.47396489
1.68984492,1.80426656,0.00736566,0.29204300,0.23079700,0.49267218,0.33538724,0.49436172,0.10094882,0.46562427
1.69584792,1.82723838,0.00774430,0.30112731,0.23925367,0.48939167,0.33058380,0.51148639,0.10610116,0.45805140
1.70185093,1.85578789,0.00817420,0.31113056,0.24946148,0.48726481,0.32771617,0.53095970,0.11132396,0.45125127
1.70785393,1.88895456,0.00865151,0.32187610,0.26118315,0.48610702,0.32660989,0.55234027,0.11652808,0.44520932
1.71385693,1.92568415,0.00917239,0.33316769,0.27415163,0.48572022,0.32706064,0.57514430,0.12162591,0.43989051
1.71985993,1.96484744,0.00973299,0.34479212,0.28807512,0.48589711,0.32883907,0.59885462,0.12653307,0.43523908
1.72586293,2.00526094,0.01032943,0.35652228,0.30264259,0.48642556,0.33169598,0.62293070,0.13116992,0.43117889
1.73186593,2.04570947,0.01095784,0.36812071,0.31753003,0.48709320,0.33536809,0.64681939,0.13546302,0.42761472
1.73786893,2.08497046,0.01161437,0.37934368,0.33240718,0.48769207,0.33958414,0.66996629,0.13934630,0.42443448
1.74387194,2.12183983,0.01229515,0.38994569,0.34694470,0.48802328,0.34407142,0.69182763,0.14276211,0.42151238
1.74987494,2.15515892,0.01299634,0.39968449,0.36082156,0.48790169,0.34856240,0.71188240,0.14566211,0.41871303
1.75587794,2.18384200,0.01371417,0.40832641,0.37373257,0.48716032,0.35280154,0.72964443,0.14800782,0.41589637
1.76188094,2.20690369,0.01444494,0.41565198,0.38539564,0.48565475,0.35655195,0.74467417,0.14977115,0.41292329
1.76788394,2.22348541,0.01518506,0.42146158,0.39555879,0.48326701,0.35960177,0.75658972,0.15093463,0.40966161
1.77388694,2.23288011,0.01593117,0.42558104,0.40400641,0.47990924,0.36177011,0.76507684,0.15149142,0.40599233
1.77988994,2.23455413,0.01668010,0.42786690,0.41056470,0.47552668,0.36291227,0.76989743,0.15144522,0.40181571
1.78589295,2.22816552,0.01742902,0.42821113,0.41510589,0.47010019,0.36292410,0.77089623,0.15080990,0.39705696
1.79189595,2.21357766,0.01817539,0.42654510,0.41755128,0.46364789,0.36174529,0.76800542,0.14960896,0.39167128
1.79789895,2.19086767,0.01891706,0.42284257,0.41787268,0.45622612,0.35936147,0.76124674,0.14787484,0.38564788
1.80390195,2.16032885,0.01965220,0.41712160,0.41609233,0.44792947,0.35580501,0.75073115,0.14564796,0.37901285
1.80990495,2.12246688,0.02037932,0.40944514,0.41228129,0.43888983,0.35115443,0.73665572,0.14297569,0.37183074
1.81590795,2.07798953,0.02109718,0.39992024,0.40655619,0.42927451,0.34553244,0.71929809,0.13991102,0.36420455
1.82191096,2.02779019,0.02180468,0.38869594,0.39907463,0.41928343,0.33910266,0.69900836,0.13651123,0.35627437
1.82791396,1.97292540,0.02250074,0.37595979,0.39002936,0.40914523,0.33206506,0.67619881,0.13283638,0.34821440
1.83391696,1.91458720,0.02318414,0.36193311,0.37964140,0.39911266,0.32465036,0.65133185,0.12894771,0.34022868
1.83991996,1.85407111,0.02385329,0.34686513,0.36815261,0.38945703,0.31711342,0.62490647,0.12490605,0.33254551
1.84592296,1.79274084,0.02450611,0.33102627,0.35581774,0.38046203,0.30972597,0.59744392,0.12077027,0.32541085
1.85192596,1.73199084,0.02513979,0.31470079,0.34289657,0.37241701,0.30276885,0.56947289,0.11659574,0.31908086
1.85792896,1.67320806,0.02575068,0.29817891,0.32964625,0.36560983,0.29652397,0.54151493,0.11243300,0.31381390
1.86393197,1.61773413,0.02633412,0.28174902,0.31631430,0.36031952,0.29126631,0.51407057,0.10832657,0.30986229
1.86993497,1.56682922,0.02688439,0.26568990,0.30313236,0.35680885,0.28725612,0.48760655,0.10431402,0.30746393
1.87593797,1.52163867,0.02739476,0.25026341,0.29031103,0.35531707,0.28473153,0.46254463,0.10042528,0.30683435
1.88194097,1.48316335,0.02785746,0.23570790,0.27803586,0.35605300,0.28390185,0.43925225,0.09668232,0.30815911
1.88794397,1.45223461,0.02826395,0.22223244,0.26646452,0.35918854,0.28494157,0.41803534,0.09309908,0.31158703
1.89394697,1.42949426,0.02860507,0.21001207,0.25572530,0.36485289,0.28798531,0.39913328,0.08968172,0.31722431
1.89994997,1.41538010,0.02887137,0.19918424,0.24591663,0.37312756,0.29312382,0.38271615,0.08642919,0.32512976
1.90595298,1.41011709,0.02905351,0.18984642,0.23710773,0.38404231,0.30040096,0.36888413,0.08333403,0.33531118
1.91195598,1.41371411,0.02914264,0.18205500,0.22934014,0.39757214,0.30981186,0.35766895,0.08038345,0.34772314
1.91795898,1.42596622,0.02913087,0.17582528,0.22262992,0.41363538,0.32130221,0.34903711,0.07756043,0.36226603
1.92396198,1.44646199,0.02901172,0.17113279,0.21697036,0.43209307,0.33476865,0.34289481,0.07484509,0.37878653
