energy_ev,total_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
1.68384192,1.85785680,0.28052809,0.50530085,0.20799970,0.81281925,0.01301170,0.20541878,0.02405381,0.33295280
1.68984492,1.87871030,0.28046383,0.51233401,0.21341635,0.82176732,0.01294721,0.20778562,0.02500638,0.33678007
1.69584792,1.90070797,0.28091944,0.51922029,0.21940845,0.83160644,0.01288308,0.21048995,0.02614662,0.34004300
1.70185093,1.92392501,0.28187734,0.52593930,0.22597783,0.84237002,0.01282263,0.21357639,0.02747174,0.34276601
1.70785393,1.94845916,0.28332791,0.53249147,0.23312130,0.85408749,0.01277121,0.21708268,0.02897645,0.34498910
1.71385693,1.97440610,0.28526818,0.53889151,0.24082766,0.86677405,0.01273610,0.22103597,0.03065280,0.34676288
1.71985993,2.00183431,0.28770001,0.54516120,0.24907473,0.88042062,0.01272630,0.22544962,0.03249005,0.34814330
1.72586293,2.03076123,0.29062798,0.55132177,0.25782677,0.89498487,0.01275235,0.23032042,0.03447478,0.34918622
1.73186593,2.06113251,0.29405718,0.55738667,0.26703237,0.91038391,0.01282610,0.23562666,0.03659107,0.34994225
1.73786893,2.09280593,0.29799111,0.56335499,0.27662317,0.92648948,0.01296051,0.24132712,0.03882093,0.35045214
1.74387194,2.12554123,0.30242986,0.56920614,0.28651353,0.94312593,0.01316938,0.24736106,0.04114483,0.35074309
1.74987494,2.15899681,0.30736878,0.57489608,0.29660115,0.96007143,0.01346715,0.25364931,0.04354241,0.35082610
1.75587794,2.19273367,0.31279761,0.58035551,0.30676875,0.97706237,0.01386861,0.26009644,0.04599322,0.35069461
1.76188094,2.22622648,0.31870038,0.58548992,0.31688681,0.99380089,0.01438871,0.26659383,0.04847763,0.35032442
1.76788394,2.25888135,0.32505569,0.59018177,0.32681709,1.00996514,0.01504219,0.27302368,0.05097762,0.34967493
1.77388694,2.29005896,0.33183769,0.59429447,0.33641698,1.02522166,0.01584335,0.27926354,0.05347763,0.34869162
1.77988994,2.31910186,0.33901731,0.59767801,0.34554412,1.03923918,0.01680565,0.28519131,0.05596524,0.34730949
1.78589295,2.34536389,0.34656381,0.60017582,0.35406139,1.05170293,0.01794136,0.29069025,0.05843173,0.34545733
1.79189595,2.36823997,0.35444624,0.60163243,0.36184158,1.06232862,0.01926106,0.29565387,0.06087237,0.34306241
1.79789895,2.38719406,0.36263477,0.60190136,0.36877180,1.07087502,0.02077321,0.29999029,0.06328654,0.34005544
1.80390195,2.40178349,0.37110157,0.60085286,0.37475705,1.07715446,0.02248358,0.30362587,0.06567750,0.33637524
1.80990495,2.41167792,0.37982110,0.59838078,0.37972295,1.08104046,0.02439474,0.30650786,0.06805190,0.33197306
1.81590795,2.41667168,0.38876974,0.59440832,0.38361738,1.08247194,0.02650544,0.30860599,0.07041904,0.32681612
1.82191096,2.41668863,0.39792456,0.58889220,0.38641085,1.08145373,0.02881013,0.30991272,0.07278984,0.32089017
1.82791396,2.41177918,0.40726142,0.58182499,0.38809584,1.07805343,0.03129843,0.31044236,0.07517561,0.31420103
1.83391696,2.40210977,0.41675230,0.57323558,0.38868486,1.07239463,0.03395477,0.31022900,0.07758671,0.30677493
1.83991996,2.38794564,0.42636225,0.56318763,0.38820771,1.06464709,0.03675806,0.30932336,0.08003112,0.29865774
1.84592296,2.36962793,0.43604589,0.55177634,0.38670792,1.05501455,0.03968163,0.30778885,0.08251302,0.28991309
1.85192596,2.34754705,0.44574407,0.53912361,0.38423878,1.04372084,0.04269325,0.30569705,0.08503153,0.28061963
