energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-5.69984992,0.08298470,0.00002461,0.00190696,0.03010952,0.00051819,0.04516293,0.00604481,0.00547414
-5.69384692,0.07444519,0.00003215,0.00167748,0.02678441,0.00046561,0.04058635,0.00563369,0.00487764
-5.68784392,0.06689249,0.00004174,0.00146535,0.02378258,0.00041941,0.03655816,0.00532900,0.00434085
-5.68184092,0.06041191,0.00005382,0.00127131,0.02112713,0.00038016,0.03312745,0.00514516,0.00386812
-5.67583792,0.05507886,0.00006893,0.00109565,0.01883626,0.00034844,0.03033832,0.00509727,0.00346296
-5.66983492,0.05096152,0.00008771,0.00093827,0.01692423,0.00032478,0.02823139,0.00520138,0.00312817
-5.66383192,0.04812368,0.00011087,0.00079879,0.01540239,0.00030971,0.02684535,0.00547476,0.00286605
-5.65782891,0.04662752,0.00013925,0.00067656,0.01428015,0.00030377,0.02621848,0.00593607,0.00267857
-5.65182591,0.04653611,0.00017377,0.00057076,0.01356594,0.00030757,0.02638993,0.00660550,0.00256759
-5.64582291,0.04791553,0.00021548,0.00048044,0.01326809,0.00032176,0.02740091,0.00750489,0.00253497
-5.63981991,0.05083662,0.00026550,0.00040463,0.01339549,0.00034708,0.02929552,0.00865765,0.00258275
-5.63381691,0.05537606,0.00032511,0.00034235,0.01395820,0.00038437,0.03212135,0.01008873,0.00271325
-5.62781391,0.06161704,0.00039565,0.00029271,0.01496774,0.00043455,0.03592969,0.01182433,0.00292920
-5.62181091,0.06964933,0.00047856,0.00025492,0.01643737,0.00049869,0.04077550,0.01389169,0.00323375
-5.61580790,0.07956883,0.00057537,0.00022837,0.01838208,0.00057799,0.04671707,0.01631864,0.00363058
-5.60980490,0.09147678,0.00068767,0.00021262,0.02081848,0.00067376,0.05381551,0.01913322,0.00412390
-5.60380190,0.10547868,0.00081708,0.00020751,0.02376459,0.00078747,0.06213395,0.02236308,0.00471846
-5.59779890,0.12168297,0.00096524,0.00021312,0.02723955,0.00092072,0.07173687,0.02603505,0.00541956
-5.59179590,0.14019980,0.00113378,0.00022983,0.03126329,0.00107530,0.08268919,0.03017452,0.00623308
-5.58579290,0.16113976,0.00132430,0.00025836,0.03585620,0.00125311,0.09505562,0.03480498,0.00716547
-5.57978989,0.18461294,0.00153831,0.00029974,0.04103884,0.00145626,0.10890008,0.03994752,0.00822375
-5.57378689,0.21072819,0.00177720,0.00035539,0.04683179,0.00168701,0.12428524,0.04562043,0.00941556
-5.56778389,0.23959280,0.00204220,0.00042708,0.05325548,0.00194780,0.14127241,0.05183892,0.01074919
-5.56178089,0.27131238,0.00233435,0.00051694,0.06033027,0.00224127,0.15992151,0.05861485,0.01223356
-5.55577789,0.30599105,0.00265444,0.00062749,0.06807650,0.00257021,0.18029128,0.06595664,0.01387831
-5.54977489,0.34373172,0.00300296,0.00076161,0.07651468,0.00293762,0.20243946,0.07386920,0.01569377
-5.54377189,0.38463617,0.00338007,0.00092251,0.08566573,0.00334661,0.22642306,0.08235389,0.01769092
-5.53776888,0.42880488,0.00378554,0.00111368,0.09555111,0.00380046,0.25229829,0.09140861,0.01988137
-5.53176588,0.47633611,0.00421869,0.00133890,0.10619295,0.00430247,0.28012021,0.10102774,0.02227717
-5.52576288,0.52732406,0.00467839,0.00160211,0.11761392,0.00485597,0.30994177,0.11120208,0.02489063
-5.51975988,0.58185578,0.00516297,0.00190736,0.12983686,0.00546418,0.34181214,0.12191867,0.02773403
-5.51375688,0.64000654,0.00567022,0.00225869,0.14288407,0.00613012,0.37577416,0.13316045,0.03081917
-5.50775388,0.70183355,0.00619733,0.00266005,0.15677616,0.00685642,0.41186073,0.14490572,0.03415684
-5.50175088,0.76736789,0.00674089,0.00311514,0.17153045,0.00764519,0.45009022,0.15712738,0.03775624
-5.49574787,0.83660480,0.00729688,0.00362725,0.18715891,0.00849783,0.49046082,0.16979199,0.04162417
-5.48974487,0.90949247,0.00786068,0.00419914,0.20366557,0.00941477,0.53294400,0.18285867,0.04576426
-5.48374187,0.98591968,0.00842708,0.00483287,0.22104365,0.01039532,0.57747730,0.19627775,0.05017604
-5.47773887,1.06570299,0.00899030,0.00552962,0.23927225,0.01143742,0.62395671,0.20998948,0.05485407
-5.47173587,1.14857395,0.00954410,0.00628954,0.25831301,0.01253741,0.67222913,0.22392272,0.05978702
-5.46573287,1.23416729,0.01008184,0.00711164,0.27810671,0.01368992,0.72208529,0.23799375,0.06495689
-5.45972986,1.32201092,0.01059657,0.00799362,0.29857020,0.01488768,0.77325373,0.25210537,0.07033827
-5.45372686,1.41151865,0.01108116,0.00893178,0.31959370,0.01612143,0.82539634,0.26614641,0.07589789
-5.44772386,1.50198648,0.01152848,0.00992097,0.34103890,0.01737995,0.87810596,0.27999169,0.08159430
-5.44172086,1.59259325,0.01193151,0.01095455,0.36273790,0.01865005,0.93090657,0.29350272,0.08737791
-5.43571786,1.68240629,0.01228355,0.01202441,0.38449339,0.01991677,0.98325635,0.30652898,0.09319127
-5.42971486,1.77039236,0.01257839,0.01312099,0.40607994,0.02116354,1.03455393,0.31890997,0.09896975
-5.42371186,1.85543410,0.01281050,0.01423343,0.42724680,0.02237255,1.08414787,0.33047808,0.10464255
-5.41770885,1.93635173,0.01297516,0.01534969,0.44772197,0.02352509,1.13134921,0.34106209,0.11013398
-5.41170585,2.01192954,0.01306870,0.01645676,0.46721765,0.02460205,1.17544699,0.35049128,0.11536517
-5.40570285,2.08094637,0.01308854,0.01754088,0.48543686,0.02558442,1.21572607,0.35860009,0.12025586
-5.39969985,2.14220897,0.01303337,0.01858784,0.50208105,0.02645383,1.25148671,0.36523296,0.12472657
-5.39369685,2.19458703,0.01290319,0.01958322,0.51685836,0.02719314,1.28206518,0.37024939,0.12870073
