energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
0.42921461,1.36978568,0.14518336,0.00000000,0.01579678,0.10806720,0.50614566,1.00027216
0.43521761,1.43741797,0.15856760,0.00000000,0.01629884,0.11085879,0.53692530,1.04473186
0.44122061,1.50595319,0.17237842,0.00000000,0.01674159,0.11350759,0.56737039,1.09003839
0.44722361,1.57478930,0.18647178,0.00000000,0.01711776,0.11597486,0.59704666,1.13590482
0.45322661,1.64324801,0.20068328,0.00000000,0.01742114,0.11822284,0.62551355,1.18198557
0.45922961,1.71057983,0.21483056,0.00000000,0.01764670,0.12021496,0.65233169,1.22787580
0.46523262,1.77597322,0.22871664,0.00000000,0.01779062,0.12191625,0.67707106,1.27311388
0.47123562,1.83856792,0.24213402,0.00000000,0.01785037,0.12329376,0.69931966,1.31718708
0.47723862,1.89747230,0.25486957,0.00000000,0.01782471,0.12431707,0.71869247,1.35954062
0.48324162,1.95178429,0.26670993,0.00000000,0.01771368,0.12495896,0.73484057,1.39958992
0.48924462,2.00061528,0.27744730,0.00000000,0.01751859,0.12519598,0.74745987,1.43673566
0.49524762,2.04311602,0.28688550,0.00000000,0.01724192,0.12500920,0.75629941,1.47038122
0.50125063,2.07850356,0.29484576,0.00000000,0.01688730,0.12438484,0.76116865,1.49995161
0.50725363,2.10608784,0.30117238,0.00000000,0.01645937,0.12331495,0.76194351,1.52491322
0.51325663,2.12529679,0.30573773,0.00000000,0.01596372,0.12179793,0.75857092,1.54479337
0.51925963,2.13569857,0.30844648,0.00000000,0.01540672,0.11983897,0.75107135,1.55919852
0.52526263,2.13701972,0.30923886,0.00000000,0.01479544,0.11745033,0.73953949,1.56783041
0.53126563,2.12915823,0.30809281,0.00000000,0.01413748,0.11465142,0.72414267,1.57049891
0.53726863,2.11219069,0.30502491,0.00000000,0.01344086,0.11146865,0.70511711,1.56713115
0.54327164,2.08637293,0.30009006,0.00000000,0.01271384,0.10793513,0.68276215,1.55777596
0.54927464,2.05213409,0.29337989,0.00000000,0.01196480,0.10409006,0.65743257,1.54260362
0.55527764,2.01006412,0.28502010,0.00000000,0.01120212,0.09997803,0.62952927,1.52190064
0.56128064,1.96089538,0.27516666,0.00000000,0.01043397,0.09564804,0.59948876,1.49605986
0.56728364,1.90547906,0.26400127,0.00000000,0.00966829,0.09115245,0.56777181,1.46556627
0.57328664,1.84475769,0.25172612,0.00000000,0.00891258,0.08654583,0.53485174,1.43097945
0.57928964,1.77973489,0.23855829,0.00000000,0.00817388,0.08188373,0.50120283,1.39291330
0.58529265,1.71144408,0.22472395,0.00000000,0.00745861,0.07722157,0.46728933,1.35201441
0.59129565,1.64091748,0.21045263,0.00000000,0.00677259,0.07261347,0.43355544,1.30894006
0.59729865,1.56915697,0.19597184,0.00000000,0.00612094,0.06811127,0.40041662,1.26433711
