energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-5.56178089,2.00373180,-2.01509433,0.35493726,-0.41643663,0.68064412,-0.57824446,0.41625836,-0.25375425,0.00000000,-0.00000000,0.01144961,-0.01713316,0.30896980,-0.40145051,0.02093658,-0.05664238,0.70130496,-0.76791585
-5.55577789,2.00272014,-2.02625864,0.36315342,-0.41276520,0.68071740,-0.57239189,0.41373783,-0.25622273,0.00000000,-0.00000000,0.01184003,-0.01818402,0.31292054,-0.39603543,0.02090669,-0.05959791,0.69333868,-0.78166458
-5.54977489,2.00162933,-2.03209499,0.37200674,-0.40834478,0.68091351,-0.56497777,0.41016886,-0.25834085,0.00000000,-0.00000000,0.01225347,-0.01917510,0.31783986,-0.38960663,0.02091175,-0.06230848,0.68464234,-0.79329752
-5.54377189,1.99994473,-2.03234802,0.38135430,-0.40317442,0.68100648,-0.55603612,0.40548709,-0.26010730,0.00000000,-0.00000000,0.01268022,-0.02009163,0.32353264,-0.38222305,0.02093452,-0.06472724,0.67522934,-0.80257758
-5.53776888,1.99730693,-2.02698334,0.39108041,-0.39730084,0.68080889,-0.54566995,0.39966967,-0.26154741,0.00000000,-0.00000000,0.01311091,-0.02092013,0.32980453,-0.37399546,0.02096114,-0.06681195,0.66519521,-0.80934083
-5.53176588,1.99352815,-2.01619605,0.40110082,-0.39081907,0.68017829,-0.53405000,0.39273813,-0.26271362,0.00000000,-0.00000000,0.01353663,-0.02164889,0.33646767,-0.36508521,0.02098159,-0.06852628,0.65471817,-0.81350336
-5.52576288,1.98860039,-2.00041114,0.41136532,-0.38387145,0.67902141,-0.52141092,0.38475917,-0.26368494,0.00000000,-0.00000000,0.01394905,-0.02226840,0.34334595,-0.35570100,0.02098996,-0.06984115,0.64405569,-0.81506565
-5.51975988,1.98269468,-1.98027568,0.42185885,-0.37664483,0.67729605,-0.50804513,0.37584347,-0.26456536,0.00000000,-0.00000000,0.01434049,-0.02277180,0.35027948,-0.34609382,0.02098457,-0.07073573,0.63353720,-0.81411400
-5.51375688,1.97615191,-1.95664322,0.43260090,-0.36936631,0.67501065,-0.49429459,0.36614235,-0.26548128,0.00000000,-0.00000000,0.01470389,-0.02315508,0.35712827,-0.33655034,0.02096794,-0.07119824,0.62355323,-0.81081910
-5.50775388,1.96946526,-1.93055066,0.44364312,-0.36229751,0.67222164,-0.48054090,0.35584262,-0.26657788,0.00000000,-0.00000000,0.01503290,-0.02341735,0.36377487,-0.32738496,0.02094657,-0.07122641,0.61454131,-0.80543174
-5.50175088,1.96325528,-1.90318855,0.45506514,-0.35572767,0.66902879,-0.46719399,0.34515974,-0.26801472,0.00000000,-0.00000000,0.01532179,-0.02356089,0.37012604,-0.31893077,0.02093057,-0.07082765,0.60696922,-0.79827566
-5.49574787,1.95823850,-1.87586553,0.46696884,-0.34996565,0.66556856,-0.45467990,0.33432962,-0.26996045,0.00000000,-0.00000000,0.01556550,-0.02359111,0.37611314,-0.31152970,0.02093313,-0.07001881,0.60131635,-0.78973789
-5.48974487,1.95519093,-1.84996806,0.47947098,-0.34533114,0.66200607,-0.44342800,0.32359949,-0.27258694,0.00000000,-0.00000000,0.01575959,-0.02351634,0.38169153,-0.30552222,0.02096995,-0.06882569,0.59805374,-0.78025679
-5.48374187,1.95490785,-1.82691650,0.49269458,-0.34214527,0.65852571,-0.43385796,0.31321814,-0.27606290,0.00000000,-0.00000000,0.01590024,-0.02334760,0.38683876,-0.30123674,0.02105846,-0.06728214,0.59762366,-0.77030818
-5.47773887,1.95816164,-1.80811902,0.50675940,-0.34072070,0.65532098,-0.42636694,0.30342612,-0.28054719,0.00000000,-0.00000000,0.01598423,-0.02309813,0.39155180,-0.29897910,0.02121703,-0.06542896,0.60041962,-0.76039000
-5.47173587,1.96565935,-1.79492455,0.52177172,-0.34135165,0.65258388,-0.42131729,0.29444618,-0.28618216,0.00000000,-0.00000000,0.01600900,-0.02278288,0.39584332,-0.29902238,0.02146409,-0.06331248,0.60676742,-0.75100613
-5.46573287,1.97800172,-1.78857637,0.53781407,-0.34430388,0.65049424,-0.41902503,0.28647444,-0.29308705,0.00000000,-0.00000000,0.01597260,-0.02241797,0.39973733,-0.30159719,0.02181734,-0.06098301,0.61690810,-0.74264979
-5.45972986,1.99564548,-1.79016763,0.55493518,-0.34980503,0.64920957,-0.41974945,0.27967264,-0.30135193,0.00000000,-0.00000000,0.01587379,-0.02202001,0.40326431,-0.30688290,0.02229280,-0.05849320,0.63098352,-0.73578721
-5.45372686,2.01887050,-1.80060044,0.57314088,-0.35803546,0.64885561,-0.42368409,0.27416182,-0.31103224,0.00000000,-0.00000000,0.01571204,-0.02160546,0.40645614,-0.31499975,0.02290408,-0.05589632,0.64902504,-0.73084211
-5.44772386,2.04775344,-1.82054978,0.59238625,-0.36911993,0.64951833,-0.43094926,0.27001760,-0.32214432,0.00000000,-0.00000000,0.01548758,-0.02118994,0.40934102,-0.32600238,0.02366162,-0.05324456,0.67094595,-0.72818159
-5.44172086,2.08214902,-1.85043355,0.61256964,-0.38312031,0.65123735,-0.44158637,0.26726734,-0.33466212,0.00000000,-0.00000000,0.01520149,-0.02078767,0.41193883,-0.33987469,0.02457209,-0.05058748,0.69653797,-0.72810387
-5.43571786,2.12168014,-1.89038986,0.63352902,-0.40002975,0.65400151,-0.45555421,0.26588921,-0.34851515,0.00000000,-0.00000000,0.01485567,-0.02041088,0.41425704,-0.35652653,0.02563788,-0.04797060,0.72547199,-0.73082836
-5.42971486,2.16573748,-1.94026260,0.65504082,-0.41976834,0.65774653,-0.47272728,0.26581319,-0.36358804,0.00000000,-0.00000000,0.01445289,-0.02006936,0.41628749,-0.37579212,0.02685677,-0.04543417,0.75730339,-0.73648837
-5.42371186,2.21348895,-1.99959574,0.67682175,-0.44218070,0.66235509,-0.49289631,0.26692398,-0.37972159,0.00000000,-0.00000000,0.01399679,-0.01977007,0.41800427,-0.39743055,0.02822178,-0.04301226,0.79148160,-0.74512672
-5.41770885,2.26389896,-2.06763707,0.69853355,-0.46703560,0.66765941,-0.51577102,0.26906566,-0.39671543,0.00000000,-0.00000000,0.01349185,-0.01951700,0.41936285,-0.42112840,0.02972116,-0.04073204,0.82736390,-0.75669420
-5.41170585,2.31575712,-2.14335109,0.71979074,-0.49402776,0.67344626,-0.54098504,0.27204790,-0.41433223,0.00000000,-0.00000000,0.01294335,-0.01931102,0.42030048,-0.44650456,0.03133861,-0.03861348,0.86423299,-0.77105111
-5.40570285,2.36771535,-2.22544119,0.74017113,-0.52278202,0.67946425,-0.56810305,0.27565345,-0.43230329,0.00000000,-0.00000000,0.01235725,-0.01914993,0.42073798,-0.47311718,0.03305364,-0.03666919,0.90131784,-0.78797154
-5.39969985,2.41833222,-2.31238032,0.75922876,-0.55285977,0.68543320,-0.59662989,0.27964663,-0.45033534,0.00000000,-0.00000000,0.01174011,-0.01902868,0.42058271,-0.50047280,0.03484209,-0.03490469,0.93781708,-0.80715017
-5.39369685,2.46612279,-2.40244932,0.77650888,-0.58376770,0.69105516,-0.62602155,0.28378247,-0.46811832,0.00000000,-0.00000000,0.01109896,-0.01893968,0.41973275,-0.52803737,0.03667688,-0.03331884,0.97292421,-0.82821140
-5.38769385,2.50961209,-2.49378178,0.79156421,-0.61496860,0.69602674,-0.65569777,0.28781609,-0.48533384,0.00000000,-0.00000000,0.01044111,-0.01887319,0.41808193,-0.55524912,0.03852877,-0.03190451,1.00585360,-0.85072027
-5.38169085,2.54738977,-2.58441407,0.80397194,-0.64589412,0.70005199,-0.68505584,0.29151203,-0.50166396,0.00000000,-0.00000000,0.00977400,-0.01881786,0.41552546,-0.58153267,0.04036726,-0.03064945,1.03586646,-0.87419484
-5.37568784,2.57816396,-2.67233882,0.81335060,-0.67595900,0.70285555,-0.71348542,0.29465311,-0.51679998,0.00000000,-0.00000000,0.00910505,-0.01876128,0.41196596,-0.60631426,0.04216156,-0.02953726,1.06229562,-0.89811956
-5.36968484,2.60081166,-2.75556019,0.81937605,-0.70457649,0.70419518,-0.74038381,0.29704856,-0.53045097,0.00000000,-0.00000000,0.00844144,-0.01869058,0.40731935,-0.62903749,0.04388157,-0.02854848,1.08456825,-0.92195920
-5.36368184,2.61442365,-2.83214931,0.82179587,-0.73117445,0.70387329,-0.76517128,0.29854096,-0.54235159,0.00000000,-0.00000000,0.00778994,-0.01859304,0.40152043,-0.64917902,0.04549876,-0.02766165,1.10222554,-0.94517297
-5.35767884,2.61834178,-2.90029780,0.82044136,-0.75521153,0.70174673,-0.78730598,0.29901199,-0.55226909,0.00000000,-0.00000000,0.00715683,-0.01845667,0.39452783,-0.66626379,0.04698704,-0.02685443,1.11493857,-0.96722845
