energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.70585293,6.88066330,-7.01774878,0.06127335,-0.06702203,0.96712605,-1.00375746,1.85563532,-1.87486750,0.77111446,-0.79527109,2.20982947,-2.19802748,0.38600275,-0.40240981,0.13004326,-0.13470417,2.87038122,-2.89918189
-5.69984992,6.82050280,-6.97090147,0.05836154,-0.06427962,0.95113882,-0.99065029,1.87057869,-1.89301129,0.74498707,-0.77209824,2.24421756,-2.23574973,0.38017935,-0.39728686,0.12705852,-0.13177107,2.86711078,-2.89956095
-5.69384692,6.75476783,-6.91715447,0.05544581,-0.06145459,0.93358718,-0.97545890,1.88407729,-1.90937740,0.71770438,-0.74722551,2.27588128,-2.27118348,0.37426529,-0.39199784,0.12412903,-0.12886557,2.86252382,-2.89866515
-5.68784392,6.68373606,-6.85664301,0.05256898,-0.05859209,0.91470364,-0.95839832,1.89607022,-1.92386425,0.68959942,-0.72097407,2.30427198,-2.30370202,0.36830870,-0.38658242,0.12125340,-0.12598821,2.85635260,-2.89616019
-5.68184092,6.60780952,-6.78964556,0.04977021,-0.05573558,0.89473695,-0.93971177,1.90653747,-1.93641865,0.66100592,-0.69367852,2.32893361,-2.33275768,0.36236160,-0.38108521,0.11842802,-0.12313724,2.84839440,-2.89176845
-5.67583792,6.52751811,-6.71659234,0.04708400,-0.05292563,0.87394755,-0.91966600,1.91549959,-1.94703726,0.63225213,-0.66568000,2.34951410,-2.35789717,0.35647935,-0.37555553,0.11564785,-0.12030942,2.83852155,-2.88528289
-5.66983492,6.44351060,-6.63806053,0.04453947,-0.05019876,0.85260214,-0.89854530,1.92301384,-1.95576409,0.60365479,-0.63731895,2.36576999,-2.37877053,0.35071944,-0.37004646,0.11290718,-0.11750079,2.82668452,-2.87657398
-5.66383192,6.35653365,-6.55475651,0.04215978,-0.04758659,0.83096738,-0.87664447,1.92916697,-1.96268429,0.57551297,-0.60892765,2.37756455,-2.39513338,0.34513973,-0.36461316,0.11020026,-0.11470730,2.81290810,-2.86558967
-5.65782891,6.26740037,-6.46748619,0.03996185,-0.04511510,0.80930318,-0.85426081,1.93406510,-1.96791459,0.54810240,-0.58082280,2.38485986,-2.40684302,0.33979618,-0.35931069,0.10752178,-0.11192523,2.79728132,-2.85234875
-5.65182591,6.17695070,-6.37711583,0.03795633,-0.04280424,0.78785549,-0.83168566,1.93782140,-1.97159087,0.52167009,-0.55329847,2.38770381,-2.41384898,0.33474023,-0.35419135,0.10486719,-0.10915164,2.77994227,-2.83692841
-5.64582291,6.08600644,-6.28452614,0.03614781,-0.04066773,0.76684933,-0.80919574,1.94054229,-1.97385394,0.49642973,-0.52661959,2.38621337,-2.41617923,0.33001613,-0.34930183,0.10223300,-0.10638447,2.76105908,-2.81944754
-5.63981991,5.99532443,-6.19056282,0.03453524,-0.03871316,0.74648197,-0.78704465,1.94231327,-1.97483419,0.47255782,-0.50101630,2.38055534,-2.41392327,0.32565822,-0.34468030,0.09961688,-0.10362278,2.74080896,-2.80004703
-5.63381691,5.90555124,-6.09598760,0.03311255,-0.03694229,0.72691702,-0.76545507,1.94318531,-1.97463637,0.45019087,-0.47667941,2.37092644,-2.40721377,0.32168858,-0.34035382,0.09701776,-0.10086669,2.71935690,-2.77886923
-5.62781391,5.81718278,-6.00143290,0.03186944,-0.03535161,0.70827940,-0.74461190,1.94316283,-1.97332547,0.42942377,-0.45375701,2.35753397,-2.39620815,0.31811513,-0.33633607,0.09443583,-0.09811743,2.69683583,-2.75603791
-5.62181091,5.73053212,-5.90736393,0.03079229,-0.03393306,0.69065179,-0.72465686,1.94219407,-1.97091478,0.41030932,-0.43235261,2.34057861,-2.38107157,0.31493036,-0.33262575,0.09187257,-0.09537726,2.67332988,-2.73164080
-5.61580790,5.64570776,-5.81405074,0.02986510,-0.03267488,0.67407261,-0.70568466,1.94016493,-1.96735694,0.39285921,-0.41252474,2.32024041,-2.36196257,0.31211079,-0.32920577,0.08933065,-0.09264945,2.64886204,-2.70571593
-5.60980490,5.56260453,-5.72155268,0.02907049,-0.03156261,0.65853579,-0.68774119,1.93689652,-1.96253881,0.37704632,-0.39428811,2.29666892,-2.33902243,0.30961738,-0.32604333,0.08681402,-0.08993819,2.62338716,-2.67824292
-5.60380190,5.48090781,-5.62971633,0.02839073,-0.03058004,0.64399242,-0.67082367,1.93214700,-1.95628054,0.36280833,-0.37761628,2.26997791,-2.31236869,0.30739671,-0.32309084,0.08432783,-0.08724864,2.59679096,-2.64914009
-5.59779890,5.40011135,-5.53818766,0.02780858,-0.02971022,0.63035430,-0.65488295,1.92561781,-1.94833921,0.35005256,-0.36244582,2.24024483,-2.28209335,0.30538306,-0.32028784,0.08187846,-0.08458695,2.56889504,-2.61826744
-5.59179590,5.31954778,-5.44643753,0.02730819,-0.02893648,0.61749919,-0.63982777,1.91696395,-1.93841685,0.33866194,-0.34868170,2.20751480,-2.24826543,0.30350123,-0.31756375,0.07947353,-0.08196023,2.53946762,-2.58543554
-5.58579290,5.23843016,-5.35379939,0.02687583,-0.02824323,0.60527765,-0.62553096,1.90580806,-1.92617269,0.32850180,-0.33620383,2.17180855,-2.21093757,0.30166995,-0.31484121,0.07712193,-0.07937671,2.50823923,-2.55041956
-5.57978989,5.15590214,-5.25951680,0.02650039,-0.02761677,0.59352126,-0.61183714,1.89175749,-1.91123888,0.31942734,-0.32487432,2.13313347,-2.17015585,0.29980569,-0.31204005,0.07483379,-0.07684576,2.47492231,-2.51297748
-5.57378689,5.07109378,-5.16279798,0.02617393,-0.02704592,0.58205163,-0.59857178,1.87442362,-1.89323900,0.31129141,-0.31454545,2.09149674,-2.12597185,0.29782681,-0.30908147,0.07262045,-0.07437795,2.43923319,-2.47287125
-5.56778389,4.98317971,-5.06287399,0.02589186,-0.02652250,0.57069002,-0.58555098,1.85344219,-1.87180841,0.30395225,-0.30506764,2.04691931,-2.07845583,0.29565751,-0.30589235,0.07049443,-0.07198510,2.40091522,-2.42988926
-5.56178089,4.89143611,-4.95905720,0.02565312,-0.02604162,0.55926697,-0.57259176,1.82849381,-1.84661512,0.29728108,-0.29629754,1.99944963,-2.02770979,0.29323169,-0.30240928,0.06846925,-0.06968027,2.35976111,-2.38386867
-5.55577789,4.79529324,-4.85079633,0.02546008,-0.02560187,0.54763160,-0.55952214,1.79932325,-1.81738028,0.29116885,-0.28810550,1.94917591,-1.97387925,0.29049631,-0.29858221,0.06655928,-0.06747764,2.31563329,-2.33471589
-5.54977489,4.69438024,-4.73772489,0.02531847,-0.02520530,0.53565995,-0.54619075,1.76575664,-1.78389698,0.28553222,-0.28038240,1.89623593,-1.91716269,0.28741404,-0.29437751,0.06477950,-0.06539242,2.26848073,-2.28242397
-5.54377189,4.58855984,-4.61970016,0.02523695,-0.02485728,0.52326217,-0.53247532,1.72771544,-1.74604630,0.28031824,-0.27304546,1.84082370,-1.85781784,0.28396528,-0.28978009,0.06314515,-0.06344062,2.21835121,-2.22708544
-5.53776888,4.47795083,-4.49683055,0.02522681,-0.02456621,0.51038800,-0.51828987,1.68522662,-1.70380984,0.27550760,-0.26604279,1.78319233,-1.79616424,0.28014913,-0.28479476,0.06167143,-0.06163872,2.16539830,-2.16889996
-5.53176588,4.36293725,-4.36948967,0.02530141,-0.02434318,0.49703042,-0.50359004,1.63842816,-1.65727782,0.27111631,-0.25935652,1.72365294,-1.73258160,0.27598358,-0.27944646,0.06037306,-0.06000335,2.10988255,-2.10817606
-5.52576288,4.24416379,-4.23831666,0.02547561,-0.02420144,0.48322724,-0.48837653,1.58756991,-1.60665254,0.26719569,-0.25300439,1.66256964,-1.66750417,0.27150471,-0.27377962,0.05926386,-0.05855086,2.05216687,-2.04532699
-5.51975988,4.12251783,-4.10420269,0.02576518,-0.02415593,0.46906053,-0.47269644,1.53300946,-1.55224668,0.26383058,-0.24703977,1.60035099,-1.60141132,0.26676504,-0.26785645,0.05835633,-0.05729684,1.99270650,-1.98086071
-5.51375688,3.99909933,-3.96826468,0.02618616,-0.02422263,0.45465392,-0.45664233,1.47520349,-1.49447694,0.26113601,-0.24155004,1.53743845,-1.53481482,0.26183123,-0.26175452,0.05766123,-0.05625568,1.93203421,-1.91536485
-5.50775388,3.87518026,-3.83180774,0.02675417,-0.02441801,0.44016800,-0.44034938,1.41469480,-1.43385294,0.25925219,-0.23665352,1.47429255,-1.46824371,0.25678105,-0.25556357,0.05718718,-0.05544008,1.87074152,-1.84948742
-5.50175088,3.75215593,-3.69627863,0.02748381,-0.02475838,0.42579391,-0.42399045,1.35209603,-1.37096236,0.25833826,-0.23249493,1.41137785,-1.40222765,0.25170006,-0.24938183,0.05694031,-0.05486060,1.80945728,-1.78391428
-5.49574787,3.63149087,-3.56321259,0.02838803,-0.02525935,0.41174557,-0.40776965,1.28807057,-1.30645280,0.25856495,-0.22923972,1.34914748,-1.33727971,0.24667794,-0.24331207,0.05692404,-0.05452525,1.74882464,-1.71934494
-5.48974487,3.51466205,-3.43417658,0.02947757,-0.02593518,0.39825084,-0.39191438,1.22331192,-1.24101151,0.26010639,-0.22706731,1.28802828,-1.27387973,0.24180484,-0.23745750,0.05713879,-0.05443915,1.68947777,-1.65646774
-5.48374187,3.40310226,-3.31071159,0.03076042,-0.02679832,0.38554206,-0.37666656,1.15852233,-1.17534390,0.26313162,-0.22616368,1.22840742,-1.21245912,0.23716779,-0.23191779,0.05758193,-0.05460425,1.63201953,-1.59593579
-5.47773887,3.29814630,-3.19427687,0.03224144,-0.02785887,0.37384642,-0.36227320,1.09439177,-1.11015189,0.26779588,-0.22671344,1.17062122,-1.15338800,0.23284736,-0.22678534,0.05824764,-0.05501917,1.57700101,-1.53834493
-5.47173587,3.20098241,-3.08619838,0.03392193,-0.02912418,0.36337661,-0.34897684,1.03157816,-1.04611313,0.27423236,-0.22889178,1.11494675,-1.09696536,0.22891480,-0.22214198,0.05912698,-0.05567901,1.52490401,-1.48421451
-5.46573287,3.11261064,-2.98762378,0.03579935,-0.03059844,0.35432214,-0.33700626,0.97068970,-0.98386189,0.28254451,-0.23285653,1.06159647,-1.04341259,0.22542950,-0.21805620,0.06020795,-0.05657539,1.47612690,-1.43397197
-5.45972986,3.03380994,-2.89948533,0.03786721,-0.03228243,0.34684176,-0.32656783,0.91226990,-0.92397254,0.29279942,-0.23874066,1.01071619,-0.99287078,0.22243709,-0.21458096,0.06147555,-0.05769646,1.43097436,-1.38794154
