energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
0.77138569,0.27259378,0.00020359,0.01357265,0.14696636,0.00803319,0.00237208,0.01335332,0.01548381,0.17022901
0.77738869,0.30546265,0.00023271,0.01548818,0.16682277,0.00894237,0.00268718,0.01493758,0.01744764,0.19010417
0.78339170,0.34184326,0.00026409,0.01756074,0.18841625,0.00996024,0.00303382,0.01669714,0.01960482,0.21221291
0.78939470,0.38144374,0.00029756,0.01977935,0.21161162,0.01107780,0.00341060,0.01861772,0.02194001,0.23636444
0.79539770,0.42389608,0.00033287,0.02212867,0.23622695,0.01228403,0.00381560,0.02068148,0.02443337,0.26232165
0.80140070,0.46875538,0.00036971,0.02458900,0.26203283,0.01356586,0.00424638,0.02286702,0.02706047,0.28980063
0.80740370,0.51550215,0.00040767,0.02713634,0.28875353,0.01490831,0.00470010,0.02514948,0.02979250,0.31847209
0.81340670,0.56354774,0.00044632,0.02974276,0.31606997,0.01629460,0.00517355,0.02750084,0.03259653,0.34796467
0.81940970,0.61224330,0.00048512,0.03237688,0.34362477,0.01770643,0.00566331,0.02989034,0.03543608,0.37787034
0.82541271,0.66089221,0.00052352,0.03500456,0.37102938,0.01912436,0.00616586,0.03228514,0.03827183,0.40775203
0.83141571,0.70876581,0.00056090,0.03758981,0.39787305,0.02052825,0.00667774,0.03465107,0.04106258,0.43715319
0.83741871,0.75512197,0.00059664,0.04009578,0.42373348,0.02189781,0.00719580,0.03695352,0.04376630,0.46560918
0.84342171,0.79922600,0.00063011,0.04248594,0.44818887,0.02321318,0.00771733,0.03915853,0.04634140,0.49266008
0.84942471,0.84037294,0.00066068,0.04472527,0.47083077,0.02445555,0.00824028,0.04123378,0.04874806,0.51786441
0.85542771,0.87791048,0.00068778,0.04678154,0.49127729,0.02560782,0.00876346,0.04314980,0.05094949,0.54081316
0.86143072,0.91126127,0.00071086,0.04862652,0.50918615,0.02665521,0.00928667,0.04488094,0.05291335,0.56114360
0.86743372,0.93994363,0.00072947,0.05023706,0.52426679,0.02758583,0.00981083,0.04640643,0.05461291,0.57855208
0.87343672,0.96358964,0.00074323,0.05159611,0.53629114,0.02839111,0.01033805,0.04771118,0.05602811,0.59280524
0.87943972,0.98195957,0.00075185,0.05269344,0.54510240,0.02906623,0.01087162,0.04878647,0.05714646,0.60374896
0.88544272,0.99495184,0.00075519,0.05352622,0.55062137,0.02961026,0.01141598,0.04963034,0.05796360,0.61131472
0.89144572,1.00260799,0.00075317,0.05409921,0.55285013,0.03002630,0.01197656,0.05024781,0.05848367,0.61552275
0.89744872,1.00511222,0.00074590,0.05442478,0.55187261,0.03032130,0.01255962,0.05065075,0.05871923,0.61648201
0.90345173,1.00278557,0.00073355,0.05452254,0.54785230,0.03050588,0.01317191,0.05085755,0.05869103,0.61438674
0.90945473,0.99607480,0.00071645,0.05441874,0.54102700,0.03059385,0.01382041,0.05089247,0.05842737,0.60950992
