energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.59179590,3.18564952,0.41824033,0.01830741,0.27625014,1.61432372,1.51363122,1.22257853,0.00000000
-5.58579290,3.17378827,0.41169060,0.01789525,0.27620633,1.60108367,1.51220289,1.21654966,0.00000000
-5.57978989,3.15553319,0.40453712,0.01749217,0.27550025,1.58563973,1.50762811,1.20832695,0.00000000
-5.57378689,3.13213135,0.39698531,0.01710986,0.27422533,1.56847710,1.50056924,1.19832455,0.00000000
-5.56778389,3.10490267,0.38923691,0.01675869,0.27248537,1.55009759,1.49174627,1.18696335,0.00000000
-5.56178089,3.07520907,0.38148595,0.01644742,0.27039227,1.53100570,1.48192114,1.17466026,0.00000000
-5.55577789,3.04442540,0.37391549,0.01618308,0.26806370,1.51169628,1.47188182,1.16181922,0.00000000
-5.54977489,3.01391235,0.36669495,0.01597079,0.26562059,1.49264379,1.46242633,1.14882402,0.00000000
-5.54377189,2.98499191,0.35997811,0.01581379,0.26318473,1.47429334,1.45434688,1.13603309,0.00000000
-5.53776888,2.95892505,0.35390162,0.01571337,0.26087621,1.45705340,1.44841428,1.12377586,0.00000000
-5.53176588,2.93689160,0.34858399,0.01566901,0.25881091,1.44128994,1.44536259,1.11235060,0.00000000
-5.52576288,2.91997182,0.34412489,0.01567844,0.25709803,1.42732182,1.44587418,1.10202332,0.00000000
-5.51975988,2.90912948,0.34060472,0.01573784,0.25583754,1.41541699,1.45056514,1.09302718,0.00000000
-5.51375688,2.90519581,0.33808431,0.01584198,0.25511788,1.40578948,1.45997118,1.08556217,0.00000000
-5.50775388,2.90885443,0.33660465,0.01598444,0.25501358,1.39859670,1.47453418,1.07979460,0.00000000
-5.50175088,2.92062683,0.33618678,0.01615785,0.25558318,1.39393711,1.49458951,1.07585615,0.00000000
-5.49574787,2.94085888,0.33683157,0.01635411,0.25686729,1.39184820,1.52035463,1.07384228,0.00000000
-5.48974487,2.96970850,0.33851964,0.01656461,0.25888696,1.39230484,1.55191910,1.07381001,0.00000000
-5.48374187,3.00713526,0.34121137,0.01678049,0.26164240,1.39521819,1.58923668,1.07577524,0.00000000
-5.47773887,3.05289245,0.34484706,0.01699284,0.26511214,1.40043551,1.63211993,1.07970962,0.00000000
-5.47173587,3.10652279,0.34934735,0.01719292,0.26925264,1.40774103,1.68023780,1.08553761,0.00000000
-5.46573287,3.16735839,0.35461404,0.01737235,0.27399849,1.41685843,1.73311679,1.09313385,0.00000000
-5.45972986,3.23452612,0.36053124,0.01752333,0.27926320,1.42745490,1.79014602,1.10232149,0.00000000
-5.45372686,3.30695885,0.36696712,0.01763872,0.28494062,1.43914727,1.85058650,1.11287183,0.00000000
-5.44772386,3.38341333,0.37377608,0.01771227,0.29090697,1.45151017,1.91358488,1.12450557,0.00000000
-5.44172086,3.46249469,0.38080157,0.01773865,0.29702353,1.46408617,1.97819150,1.13689623,0.00000000
-5.43571786,3.54268759,0.38787936,0.01771360,0.30313982,1.47639782,2.04338258,1.14967556,0.00000000
-5.42971486,3.62239343,0.39484127,0.01763398,0.30909740,1.48796113,2.10808598,1.16244136,0.00000000
-5.42371186,3.69997268,0.40151926,0.01749779,0.31473390,1.49830018,2.17121007,1.17476726,0.00000000
-5.41770885,3.77379111,0.40774977,0.01730419,0.31988743,1.50696215,2.23167452,1.18621452,0.00000000
-5.41170585,3.84226828,0.41337817,0.01705351,0.32440112,1.51353227,2.28844213,1.19634520,0.00000000
-5.40570285,3.90392648,0.41826302,0.01674720,0.32812752,1.51764790,2.34055057,1.20473632,0.00000000
-5.39969985,3.95743810,0.42228021,0.01638774,0.33093293,1.51901113,2.38714258,1.21099443,0.00000000
-5.39369685,4.00166941,0.42532656,0.01597864,0.33270130,1.51739934,2.42749350,1.21476987,0.00000000
-5.38769385,4.03571883,0.42732288,0.01552428,0.33333766,1.51267315,2.46103487,1.21577005,0.00000000
-5.38169085,4.05894776,0.42821633,0.01502981,0.33277088,1.50478150,2.48737306,1.21377120,0.00000000
-5.37568784,4.07100265,0.42798180,0.01450107,0.33095576,1.49376354,2.50630191,1.20862792,0.00000000
-5.36968484,4.07182716,0.42662257,0.01394443,0.32787420,1.47974744,2.51780887,1.20028019,0.00000000
-5.36368184,4.06166355,0.42416982,0.01336665,0.32353562,1.46294619,2.52207410,1.18875725,0.00000000
-5.35767884,4.04104349,0.42068129,0.01277476,0.31797646,1.44365078,2.51946262,1.17417852,0.00000000
-5.35167584,4.01076826,0.41623899,0.01217592,0.31125889,1.42222115,2.51050963,1.15675113,0.00000000
-5.34567284,3.97187949,0.41094612,0.01157726,0.30346870,1.39907553,2.49589965,1.13676442,0.00000000
-5.33966983,3.92562149,0.40492325,0.01098578,0.29471264,1.37467885,2.47644033,1.11458170,0.00000000
-5.33366683,3.87339710,0.39830399,0.01040818,0.28511516,1.34953075,2.45303205,1.09062942,0.00000000
-5.32766383,3.81671885,0.39123033,0.00985077,0.27481483,1.32415392,2.42663467,1.06538454,0.00000000
-5.32166083,3.75715772,0.38384776,0.00931937,0.26396044,1.29908332,2.39823274,1.03936047,0.00000000
-5.31565783,3.69629171,0.37630051,0.00881917,0.25270714,1.27485662,2.36880088,1.01309236,0.00000000
-5.30965483,3.63565643,0.36872703,0.00835467,0.24121261,1.25200631,2.33927066,0.98712224,0.00000000
-5.30365183,3.57669973,0.36125591,0.00792960,0.22963339,1.23105342,2.31050035,0.96198467,0.00000000
-5.29764882,3.52074207,0.35400241,0.00754689,0.21812167,1.21250307,2.28324894,0.93819341,0.00000000
-5.29164582,3.46894414,0.34706576,0.00720861,0.20682231,1.19684142,2.25815507,0.91622969,0.00000000
-5.28564282,3.42228258,0.34052732,0.00691595,0.19587049,1.18453379,2.23572201,0.89653214,0.00000000
-5.27963982,3.38153432,0.33444956,0.00666927,0.18538971,1.17602355,2.21630867,0.87948895,0.00000000
-5.27363682,3.34726973,0.32887605,0.00646809,0.17549039,1.17173121,2.20012704,0.86543209,0.00000000
-5.26763382,3.31985395,0.32383226,0.00631117,0.16626885,1.17205314,2.18724570,0.85463368,0.00000000
-5.26163082,3.29945590,0.31932708,0.00619658,0.15780670,1.17735952,2.17759899,0.84730445,0.00000000
-5.25562781,3.28606362,0.31535510,0.00612179,0.15017070,1.18799100,2.17100097,0.84359384,0.00000000
-5.24962481,3.27950474,0.31189927,0.00608378,0.14341269,1.20425373,2.16716355,0.84359176,0.00000000
-5.24362181,3.27947067,0.30893397,0.00607918,0.13756994,1.22641273,2.16571740,0.84733144,0.00000000
-5.23761881,3.28554283,0.30642806,0.00610443,0.13266549,1.25468350,2.16623480,0.85479307,0.00000000
-5.23161581,3.29721962,0.30434801,0.00615589,0.12870869,1.28922204,2.16825329,0.86590806,0.00000000
-5.22561281,3.31394269,0.30266059,0.00622999,0.12569565,1.33011380,2.17129896,0.88056333,0.00000000
-5.21960980,3.33512154,0.30133528,0.00632342,0.12360985,1.37736206,2.17490852,0.89860567,0.00000000
-5.21360680,3.36015543,0.30034605,0.00643323,0.12242267,1.43087632,2.17864946,0.91984580,0.00000000
-5.20760380,3.38845199,0.29967243,0.00655693,0.12209395,1.49046164,2.18213738,0.94406210,0.00000000
-5.20160080,3.41944231,0.29929999,0.00669262,0.12257258,1.55580961,2.18505028,0.97100389,0.00000000
-5.19559780,3.45259235,0.29922000,0.00683905,0.12379716,1.62649189,2.18713948,1.00039443,0.00000000
-5.18959480,3.48741070,0.29942846,0.00699562,0.12569675,1.70195685,2.18823687,1.03193352,0.00000000
-5.18359180,3.52345321,0.29992457,0.00716244,0.12819173,1.78153006,2.18825872,1.06530000,0.00000000
-5.17758879,3.56032469,0.30070865,0.00734024,0.13119484,1.86441900,2.18720611,1.10015418,0.00000000
-5.17158579,3.59767830,0.30177982,0.00753031,0.13461237,1.94972217,2.18516212,1.13614036,0.00000000
-5.16558279,3.63521313,0.30313352,0.00773440,0.13834555,2.03644262,2.18228633,1.17288960,0.00000000
-5.15957979,3.67267043,0.30475900,0.00795458,0.14229212,2.12350555,2.17880662,1.21002288,0.00000000
-5.15357679,3.70982885,0.30663710,0.00819303,0.14634803,2.20977963,2.17500905,1.24715458,0.00000000
-5.14757379,3.74649918,0.30873838,0.00845191,0.15040932,2.29410122,2.17122587,1.28389645,0.00000000
-5.14157079,3.78251876,0.31102174,0.00873314,0.15437399,2.37530068,2.16782221,1.31986202,0.00000000
-5.13556778,3.81774573,0.31343367,0.00903815,0.15814399,2.45222982,2.16518181,1.35467130,0.00000000
-5.12956478,3.85205326,0.31590825,0.00936779,0.16162703,2.52378934,2.16369214,1.38795576,0.00000000
-5.12356178,3.88532382,0.31836783,0.00972207,0.16473844,2.58895536,2.16372928,1.41936335,0.00000000
-5.11755878,3.91744350,0.32072443,0.01010008,0.16740271,2.64680388,2.16564299,1.44856354,0.00000000
-5.11155578,3.94829644,0.32288180,0.01049988,0.16955487,2.69653240,2.16974222,1.47525204,0.00000000
-5.10555278,3.97775935,0.32473811,0.01091846,0.17114159,2.73747780,2.17628151,1.49915518,0.00000000
-5.09954977,4.00569628,0.32618897,0.01135174,0.17212191,2.76913011,2.18544872,1.52003373,0.00000000
-5.09354677,4.03195366,0.32713085,0.01179468,0.17246772,2.79114146,2.19735425,1.53768599,0.00000000
-5.08754377,4.05635585,0.32746457,0.01224136,0.17216381,2.80333045,2.21202230,1.55195017,0.00000000
-5.08154077,4.07870142,0.32709880,0.01268520,0.17120767,2.80568159,2.22938435,1.56270584,0.00000000
-5.07553777,4.09876020,0.32595335,0.01311919,0.16960891,2.79834024,2.24927520,1.56987459,0.00000000
-5.06953477,4.11627166,0.32396208,0.01353614,0.16738848,2.78160340,2.27143177,1.57341970,0.00000000
-5.06353177,4.13094449,0.32107539,0.01392899,0.16457758,2.75590685,2.29549481,1.57334511,0.00000000
-5.05752876,4.14245786,0.31726208,0.01429112,0.16121649,2.72180927,2.32101367,1.56969350,0.00000000
-5.05152576,4.15046442,0.31251066,0.01461663,0.15735316,2.67997403,2.34745392,1.56254376,0.00000000
-5.04552276,4.15459506,0.30682986,0.01490062,0.15304178,2.63114941,2.37420795,1.55200792,0.00000000
-5.03951976,4.15446559,0.30024857,0.01513944,0.14834136,2.57614789,2.40060825,1.53822759,0.00000000
-5.03351676,4.14968516,0.29281510,0.01533082,0.14331420,2.51582535,2.42594292,1.52137018,0.00000000
-5.02751376,4.13986639,0.28459583,0.01547404,0.13802453,2.45106064,2.44947331,1.50162489,0.00000000
-5.02151076,4.12463683,0.27567344,0.01556991,0.13253715,2.38273624,2.47045313,1.47919878,0.00000000
-5.01550775,4.10365159,0.26614463,0.01562079,0.12691619,2.31172046,2.48814846,1.45431287,0.00000000
-5.00950475,4.07660660,0.25611767,0.01563039,0.12122400,2.23885151,2.50185825,1.42719853,0.00000000
-5.00350175,4.04325230,0.24570970,0.01560365,0.11552016,2.16492385,2.51093455,1.39809415,0.00000000
-4.99749875,4.00340694,0.23504396,0.01554642,0.10986060,2.09067699,2.51480186,1.36724225,0.00000000
-4.99149575,3.95696925,0.22424711,0.01546518,0.10429685,2.01678682,2.51297502,1.33488704,0.00000000
-4.98549275,3.90392986,0.21344663,0.01536665,0.09887553,1.94385948,2.50507492,1.30127242,0.00000000
-4.97948974,3.84438087,0.20276840,0.01525748,0.09363781,1.87242782,2.49084163,1.26664045,0.00000000
-4.97348674,3.77852317,0.19233455,0.01514386,0.08861913,1.80295015,2.47014428,1.23123024,0.00000000
-4.96748374,3.70667099,0.18226153,0.01503117,0.08384900,1.73581120,2.44298740,1.19527716,0.00000000
-4.96148074,3.62925328,0.17265847,0.01492370,0.07935096,1.67132489,2.40951334,1.15901229,0.00000000
-4.95547774,3.54681167,0.16362581,0.01482442,0.07514262,1.60973862,2.37000067,1.12266203,0.00000000
-4.94947474,3.45999465,0.15525416,0.01473482,0.07123583,1.55123879,2.32485829,1.08644761,0.00000000
-4.94347174,3.36954806,0.14762330,0.01465482,0.06763701,1.49595701,2.27461566,1.05058457,0.00000000
-4.93746873,3.27630184,0.14080145,0.01458277,0.06434747,1.44397668,2.21990902,1.01528188,0.00000000
-4.93146573,3.18115313,0.13484458,0.01451557,0.06136393,1.39533953,2.16146425,0.98074074,0.00000000
-4.92546273,3.08504627,0.12979580,0.01444883,0.05867898,1.35005177,2.10007666,0.94715292,0.00000000
-4.91945973,2.98895005,0.12568487,0.01437711,0.05628172,1.30808947,2.03658851,0.91469858,0.00000000
-4.91345673,2.89383282,0.12252770,0.01429422,0.05415829,1.26940305,1.97186484,0.88354363,0.00000000
-4.90745373,2.80063638,0.12032592,0.01419354,0.05229247,1.23392051,1.90676851,0.85383669,0.00000000
-4.90145073,2.71024937,0.11906649,0.01406841,0.05066627,1.20154953,1.84213527,0.82570566,0.00000000
-4.89544772,2.62348120,0.11872144,0.01391247,0.04926041,1.17217833,1.77874973,0.79925418,0.00000000
-4.88944472,2.54103747,0.11924766,0.01371997,0.04805481,1.14567540,1.71732316,0.77455804,0.00000000
-4.88344172,2.46349798,0.12058700,0.01348613,0.04702896,1.12188838,1.65847375,0.75166190,0.00000000
-4.87743872,2.39129810,0.12266648,0.01320733,0.04616224,1.10064233,1.60271033,0.73057640,0.00000000
-4.87143572,2.32471458,0.12539890,0.01288133,0.04543413,1.08173769,1.55041988,0.71127605,0.00000000
-4.86543272,2.26385638,0.12868379,0.01250736,0.04482439,1.06494843,1.50185944,0.69369800,0.00000000
-4.85942971,2.20866116,0.13240868,0.01208621,0.04431312,1.05002066,1.45715277,0.67774199,0.00000000
-4.85342671,2.15889772,0.13645092,0.01162011,0.04388083,1.03667217,1.41629169,0.66327150,0.00000000
-4.84742371,2.11417452,0.14067980,0.01111274,0.04350839,1.02459320,1.37914220,0.65011631,0.00000000
-4.84142071,2.07395418,0.14495914,0.01056897,0.04317711,1.01344869,1.34545508,0.63807645,0.00000000
-4.83541771,2.03757346,0.14915025,0.00999474,0.04286866,1.00288222,1.31488047,0.62692743,0.00000000
-4.82941471,2.00426812,0.15311505,0.00939675,0.04256518,0.99252164,1.28698590,0.61642666,0.00000000
-4.82341171,1.97320171,0.15671956,0.00878224,0.04224929,0.98198642,1.26127694,0.60632092,0.00000000
-4.81740870,1.94349727,0.15983728,0.00815868,0.04190429,0.97089638,1.23721976,0.59635448,0.00000000
-4.81140570,1.91427063,0.16235259,0.00753357,0.04151429,0.95888168,1.21426449,0.58627768,0.00000000
-4.80540270,1.88466397,0.16416394,0.00691414,0.04106451,0.94559351,1.19186860,0.57585556,0.00000000
-4.79939970,1.85387829,0.16518671,0.00630717,0.04054153,0.93071518,1.16951915,0.56487615,0.00000000
-4.79339670,1.82120343,0.16535555,0.00571878,0.03993365,0.91397287,1.14675321,0.55315819,0.00000000
-4.78739370,1.78604444,0.16462623,0.00515436,0.03923123,0.89514568,1.12317550,0.54055771,0.00000000
-4.78139070,1.74794312,0.16297677,0.00461839,0.03842702,0.87407444,1.09847265,0.52697352,0.00000000
-4.77538769,1.70659404,0.16040790,0.00411449,0.03751649,0.85066873,1.07242350,0.51235103,0.00000000
-4.76938469,1.66185437,0.15694279,0.00364534,0.03649811,0.82491182,1.04490524,0.49668448,0.00000000
-4.76338169,1.61374722,0.15262604,0.00321276,0.03537353,0.79686330,1.01589508,0.48001750,0.00000000
-4.75737869,1.56245856,0.14752202,0.00281777,0.03414768,0.76665913,0.98546779,0.46244189,0.00000000
-4.75137569,1.50832818,0.14171264,0.00246067,0.03282885,0.73450922,0.95378913,0.44409483,0.00000000
-4.74537269,1.45183505,0.13529464,0.00214116,0.03142855,0.70069265,0.92110592,0.42515465,0.00000000
-4.73936968,1.39357830,0.12837646,0.00185848,0.02996139,0.66555077,0.88773313,0.40583546,0.00000000
-4.73336668,1.33425458,0.12107500,0.00161152,0.02844476,0.62947848,0.85403900,0.38638081,0.00000000
-4.72736368,1.27463330,0.11351223,0.00139896,0.02689854,0.59291425,0.82042879,0.36705684,0.00000000
-4.72136068,1.21553075,0.10581185,0.00121941,0.02534463,0.55632919,0.78732823,0.34814507,0.00000000
-4.71535768,1.15778456,0.09809619,0.00107151,0.02380655,0.52021582,0.75516742,0.32993535,0.00000000
-4.70935468,1.10222952,0.09048336,0.00095403,0.02230889,0.48507690,0.72436598,0.31271904,0.00000000
-4.70335168,1.04967581,0.08308478,0.00086598,0.02087690,0.45141485,0.69532014,0.29678276,0.00000000
-4.69734867,1.00089044,0.07600316,0.00080667,0.01953591,0.41972190,0.66839235,0.28240290,0.00000000
-4.69134567,0.95658242,0.06933090,0.00077576,0.01831096,0.39047159,0.64390368,0.26984088,0.00000000
-4.68534267,0.91739193,0.06314903,0.00077329,0.01722630,0.36411139,0.62212925,0.25933934,0.00000000
-4.67933967,0.88388347,0.05752653,0.00079971,0.01630505,0.34105674,0.60329669,0.25111914,0.00000000
-4.67333667,0.85654281,0.05252007,0.00085585,0.01556881,0.32168640,0.58758730,0.24537701,0.00000000
-4.66733367,0.83577712,0.04817415,0.00094288,0.01503741,0.30633891,0.57513974,0.24228394,0.00000000
-4.66133067,0.82191766,0.04452146,0.00106230,0.01472856,0.29531007,0.56605546,0.24198386,0.00000000
-4.65532766,0.81522423,0.04158348,0.00121582,0.01465768,0.28885105,0.56040554,0.24459265,0.00000000
-4.64932466,0.81589059,0.03937121,0.00140530,0.01483761,0.28716694,0.55823804,0.25019720,0.00000000
-4.64332166,0.82404977,0.03788594,0.00163264,0.01527844,0.29041549,0.55958525,0.25885436,0.00000000
-4.63731866,0.83977872,0.03712009,0.00189961,0.01598726,0.29870567,0.56447019,0.27058969,0.00000000
-4.63131566,0.86310146,0.03705793,0.00220777,0.01696798,0.31209600,0.57291174,0.28539596,0.00000000
-4.62531266,0.89399030,0.03767627,0.00255829,0.01822109,0.33059250,0.58492792,0.30323131,0.00000000
-4.61930965,0.93236482,0.03894502,0.00295179,0.01974346,0.35414609,0.60053696,0.32401721,0.00000000
-4.61330665,0.97808852,0.04082769,0.00338819,0.02152814,0.38264971,0.61975602,0.34763624,0.00000000
-4.60730365,1.03096334,0.04328173,0.00386661,0.02356412,0.41593510,0.64259749,0.37392998,0.00000000
-4.60130065,1.09072237,0.04625887,0.00438515,0.02583626,0.45376960,0.66906309,0.40269705,0.00000000
-4.59529765,1.15702132,0.04970535,0.00494090,0.02832509,0.49585314,0.69913597,0.43369166,0.00000000
-4.58929465,1.22942953,0.05356219,0.00552974,0.03100682,0.54181591,0.73277138,0.46662289,0.00000000
-4.58329165,1.30742128,0.05776545,0.00614641,0.03385337,0.59121688,0.76988639,0.50115492,0.00000000
-4.57728864,1.39036822,0.06224661,0.00678445,0.03683247,0.64354377,0.81034936,0.53690847,0.00000000
-4.57128564,1.47753390,0.06693298,0.00743626,0.03990797,0.69821458,0.85396975,0.57346352,0.00000000
-4.56528264,1.56807113,0.07174834,0.00809322,0.04304018,0.75458122,0.90048908,0.61036363,0.00000000
-4.55927964,1.66102285,0.07661364,0.00874583,0.04618639,0.81193528,0.94957358,0.64712165,0.00000000
-4.55327664,1.75532702,0.08144796,0.00938391,0.04930153,0.86951617,1.00080919,0.68322704,0.00000000
-4.54727364,1.84982597,0.08616955,0.00999684,0.05233890,0.92652169,1.05369938,0.71815454,0.00000000
-4.54127064,1.94328016,0.09069711,0.01057385,0.05525109,0.98212081,1.10766619,0.75137397,0.00000000
-4.53526763,2.03438641,0.09495114,0.01110432,0.05799094,1.03546861,1.16205460,0.78236110,0.00000000
-4.52926463,2.12180012,0.09885541,0.01157808,0.06051254,1.08572290,1.21614050,0.81060898,0.00000000
-4.52326163,2.20416103,0.10233850,0.01198576,0.06277238,1.13206216,1.26914197,0.83563968,0.00000000
-4.51725863,2.28012169,0.10533532,0.01231907,0.06473033,1.17370421,1.32023379,0.85701567,0.00000000
-4.51125563,2.34837781,0.10778857,0.01257109,0.06635072,1.20992497,1.36856467,0.87435078,0.00000000
-4.50525263,2.40769941,0.10965012,0.01273650,0.06760330,1.24007665,1.41327675,0.88732006,0.00000000
-4.49924962,2.45696163,0.11088220,0.01281179,0.06846400,1.26360474,1.45352672,0.89566835,0.00000000
-4.49324662,2.49517423,0.11145834,0.01279532,0.06891569,1.28006298,1.48850776,0.89921706,0.00000000
