energy_ev,total_up,P_s_up,P_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-5.35167584,1.06943932,0.00412159,0.00879179,0.19871324,0.81414598,0.22146199,0.00000000
-5.34567284,0.93690661,0.00394074,0.00802039,0.17698272,0.70782075,0.19815683,0.00000000
-5.33966983,0.82148470,0.00376114,0.00749628,0.15954366,0.61348142,0.17916299,0.00000000
-5.33366683,0.72262910,0.00358650,0.00721814,0.14630091,0.53066688,0.16440406,0.00000000
-5.32766383,0.63973298,0.00342115,0.00718654,0.13716751,0.45883431,0.15381590,0.00000000
-5.32166083,0.57216621,0.00327001,0.00740419,0.13206987,0.39739217,0.14735221,0.00000000
-5.31565783,0.51931014,0.00313844,0.00787608,0.13095145,0.34573065,0.14498865,0.00000000
-5.30965483,0.48058750,0.00303223,0.00860950,0.13377493,0.30324889,0.14672558,0.00000000
-5.30365183,0.45548686,0.00295756,0.00961403,0.14052264,0.26937837,0.15258935,0.00000000
-5.29764882,0.44358141,0.00292089,0.01090145,0.15119567,0.24360240,0.16263218,0.00000000
-5.29164582,0.44454233,0.00292907,0.01248558,0.16581151,0.22547157,0.17693081,0.00000000
-5.28564282,0.45814682,0.00298922,0.01438211,0.18440061,0.21461524,0.19558394,0.00000000
-5.27963982,0.48428144,0.00310883,0.01660831,0.20700201,0.21074941,0.21870876,0.00000000
-5.27363682,0.52294105,0.00329574,0.01918281,0.23365843,0.21368106,0.24643668,0.00000000
-5.26763382,0.57422400,0.00355819,0.02212533,0.26441095,0.22330938,0.27890851,0.00000000
-5.26163082,0.63832393,0.00390480,0.02545634,0.29929373,0.23962406,0.31626929,0.00000000
-5.25562781,0.71551882,0.00434462,0.02919682,0.33832893,0.26270102,0.35866281,0.00000000
-5.24962481,0.80615728,0.00488709,0.03336794,0.38152206,0.29269554,0.40622618,0.00000000
-5.24362181,0.91064274,0.00554205,0.03799074,0.42885802,0.32983324,0.45908426,0.00000000
-5.23761881,1.02941519,0.00631960,0.04308584,0.48029779,0.37439870,0.51734426,0.00000000
-5.23161581,1.16293106,0.00723007,0.04867304,0.53577604,0.42672212,0.58109027,0.00000000
-5.22561281,1.31164076,0.00828381,0.05477093,0.59519935,0.48716374,0.65037793,0.00000000
-5.21960980,1.47596430,0.00949104,0.06139644,0.65844521,0.55609651,0.72522897,0.00000000
-5.21360680,1.65626472,0.01086159,0.06856424,0.72536155,0.63388685,0.80562566,0.00000000
-5.20760380,1.85281965,0.01240461,0.07628609,0.79576656,0.72087384,0.89150511,0.00000000
-5.20160080,2.06579125,0.01412821,0.08457005,0.86944872,0.81734722,0.98275328,0.00000000
-5.19559780,2.29519477,0.01603916,0.09341960,0.94616673,0.92352444,1.07919877,0.00000000
-5.18959480,2.54086659,0.01814244,0.10283258,1.02564921,1.03952751,1.18060651,0.00000000
-5.18359180,2.80243247,0.02044085,0.11280012,1.10759402,1.16536015,1.28667125,0.00000000
-5.17758879,3.07927694,0.02293459,0.12330545,1.19166703,1.30088599,1.39701130,0.00000000
-5.17158579,3.37051529,0.02562088,0.13432263,1.27750054,1.44580879,1.51116266,0.00000000
-5.16558279,3.67496929,0.02849362,0.14581546,1.36469119,1.59965532,1.62857394,0.00000000
-5.15957979,3.99114828,0.03154305,0.15773630,1.45279767,1.76176202,1.74860247,0.00000000
-5.15357679,4.31723695,0.03475554,0.17002523,1.54133852,1.93126605,1.87051201,0.00000000
-5.14757379,4.65109123,0.03811344,0.18260932,1.62979015,2.10710161,1.99347269,0.00000000
-5.14157079,4.99024354,0.04159503,0.19540234,1.71758566,2.28800216,2.11656331,0.00000000
-5.13556778,5.33191821,0.04517461,0.20830472,1.80411469,2.47250876,2.23877672,0.00000000
-5.12956478,5.67305785,0.04882269,0.22120416,1.88872478,2.65898509,2.35902825,0.00000000
-5.12356178,6.01036073,0.05250626,0.23397652,1.97072448,2.84563880,2.47616759,0.00000000
-5.11755878,6.34032889,0.05618931,0.24648743,2.04938861,3.03054917,2.58899402,0.00000000
-5.11155578,6.65932644,0.05983334,0.25859427,2.12396568,3.21170045,2.69627480,0.00000000
-5.10555278,6.96364665,0.06339804,0.27014873,2.19368775,3.38702017,2.79676657,0.00000000
-5.09954977,7.24958640,0.06684206,0.28099982,2.25778246,3.55442153,2.88923912,0.00000000
-5.09354677,7.51352587,0.07012381,0.29099715,2.31548718,3.71184865,2.97250104,0.00000000
-5.08754377,7.75201129,0.07320239,0.29999463,2.36606494,3.85732355,3.04542641,0.00000000
-5.08154077,7.96183829,0.07603847,0.30785419,2.40882159,3.98899341,3.10698178,0.00000000
-5.07553777,8.14013311,0.07859519,0.31444959,2.44312388,4.10517688,3.15625257,0.00000000
-5.06953477,8.28442931,0.08083906,0.31967009,2.46841756,4.20440791,3.19246784,0.00000000
-5.06353177,8.39273728,0.08274078,0.32342386,2.48424504,4.28547602,3.21502276,0.00000000
-5.05752876,8.46360440,0.08427598,0.32564105,2.49026191,4.34746149,3.22349786,0.00000000
-5.05152576,8.49616358,0.08542587,0.32627623,2.48625143,4.38976464,3.21767427,0.00000000
-5.04552276,8.49016866,0.08617777,0.32531038,2.47213663,4.41212799,3.19754450,0.00000000
-5.03951976,8.44601505,0.08652548,0.32275198,2.44798923,4.41465062,3.16331814,0.00000000
-5.03351676,8.36474481,0.08646952,0.31863753,2.41403497,4.39779402,3.11542230,0.00000000
-5.02751376,8.24803540,0.08601719,0.31303112,2.37065496,4.36237896,3.05449657,0.00000000
-5.02151076,8.09817214,0.08518248,0.30602332,2.31838278,4.30957313,2.98138253,0.00000000
-5.01550775,7.91800453,0.08398578,0.29772922,2.25789733,4.24086940,2.89710805,0.00000000
-5.00950475,7.71088724,0.08245347,0.28828578,2.19001125,4.15805505,2.80286669,0.00000000
-5.00350175,7.48060693,0.08061729,0.27784859,2.11565539,4.06317225,2.69999272,0.00000000
-4.99749875,7.23129652,0.07851362,0.26658802,2.03585944,3.95847040,2.58993242,0.00000000
-4.99149575,6.96733892,0.07618258,0.25468501,1.95172939,3.84635159,2.47421242,0.00000000
-4.98549275,6.69326264,0.07366708,0.24232654,1.86442235,3.72931000,2.35440589,0.00000000
-4.97948974,6.41363205,0.07101174,0.22970103,1.77511955,3.60986711,2.23209766,0.00000000
-4.97348674,6.13293532,0.06826176,0.21699368,1.68499823,3.49050429,2.10884910,0.00000000
-4.96748374,5.85547340,0.06546179,0.20438198,1.59520355,3.37359482,1.98616389,0.00000000
-4.96148074,5.58525334,0.06265481,0.19203157,1.50682120,3.26133756,1.86545573,0.00000000
-4.95547774,5.32588961,0.05988103,0.18009248,1.42085182,3.15569450,1.74801879,0.00000000
-4.94947474,5.08051656,0.05717694,0.16869589,1.33818800,3.05833457,1.63500199,0.00000000
