energy_ev,total_up,As_p_up,As_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.19559780,0.50018588,0.11123745,0.00000000,0.16413208,0.00000000,0.34576035,0.02296144
-5.18959480,0.50478344,0.10482694,0.00000000,0.17496192,0.00000000,0.34898450,0.02274258
-5.18359180,0.51114228,0.09848492,0.00000000,0.18633275,0.00000000,0.35240955,0.02273710
-5.17758879,0.51900036,0.09224567,0.00000000,0.19809774,0.00000000,0.35594938,0.02291665
-5.17158579,0.52809404,0.08615252,0.00000000,0.21009947,0.00000000,0.35951860,0.02325315
-5.16558279,0.53815974,0.08025587,0.00000000,0.22217214,0.00000000,0.36303086,0.02371914
-5.15957979,0.54893637,0.07461094,0.00000000,0.23414446,0.00000000,0.36639797,0.02428810
-5.15357679,0.56016866,0.06927556,0.00000000,0.24584327,0.00000000,0.36953003,0.02493481
-5.14757379,0.57161121,0.06430791,0.00000000,0.25709779,0.00000000,0.37233656,0.02563565
-5.14157079,0.58303321,0.05976448,0.00000000,0.26774418,0.00000000,0.37472866,0.02636891
-5.13556778,0.59422342,0.05569818,0.00000000,0.27763032,0.00000000,0.37662182,0.02711511
-5.12956478,0.60499522,0.05215671,0.00000000,0.28662040,0.00000000,0.37793951,0.02785717
-5.12356178,0.61519127,0.04918126,0.00000000,0.29459923,0.00000000,0.37861696,0.02858063
-5.11755878,0.62468738,0.04680550,0.00000000,0.30147584,0.00000000,0.37860510,0.02927376
-5.11155578,0.63339551,0.04505496,0.00000000,0.30718631,0.00000000,0.37787428,0.02992758
-5.10555278,0.64126524,0.04394668,0.00000000,0.31169557,0.00000000,0.37641752,0.03053580
-5.09954977,0.64828404,0.04348931,0.00000000,0.31499805,0.00000000,0.37425318,0.03109469
-5.09354677,0.65447593,0.04368347,0.00000000,0.31711719,0.00000000,0.37142686,0.03160286
-5.08754377,0.65989885,0.04452253,0.00000000,0.31810392,0.00000000,0.36801245,0.03206095
-5.08154077,0.66464098,0.04599361,0.00000000,0.31803404,0.00000000,0.36411243,0.03247129
-5.07553777,0.66881624,0.04807903,0.00000000,0.31700486,0.00000000,0.35985748,0.03283753
-5.06953477,0.67255951,0.05075798,0.00000000,0.31513124,0.00000000,0.35540549,0.03316421
-5.06353177,0.67602196,0.05400852,0.00000000,0.31254135,0.00000000,0.35094029,0.03345643
-5.05752876,0.67936706,0.05780976,0.00000000,0.30937239,0.00000000,0.34667011,0.03371953
-5.05152576,0.68276751,0.06214432,0.00000000,0.30576659,0.00000000,0.34282610,0.03395880
-5.04552276,0.68640358,0.06700083,0.00000000,0.30186759,0.00000000,0.33966101,0.03417934
-5.03951976,0.69046294,0.07237650,0.00000000,0.29781770,0.00000000,0.33744808,0.03438600
-5.03351676,0.69514197,0.07827960,0.00000000,0.29375569,0.00000000,0.33648012,0.03458337
-5.02751376,0.70064842,0.08473168,0.00000000,0.28981567,0.00000000,0.33706873,0.03477595
-5.02151076,0.70720504,0.09176947,0.00000000,0.28612652,0.00000000,0.33954347,0.03496834
-5.01550775,0.71505362,0.09944617,0.00000000,0.28281219,0.00000000,0.34425062,0.03516551
-5.00950475,0.72445877,0.10783206,0.00000000,0.27999232,0.00000000,0.35155124,0.03537309
-5.00350175,0.73571076,0.11701417,0.00000000,0.27778317,0.00000000,0.36181816,0.03559761
-4.99749875,0.74912646,0.12709501,0.00000000,0.27629848,0.00000000,0.37543145,0.03584680
-4.99149575,0.76504788,0.13819001,0.00000000,0.27565001,0.00000000,0.39277199,0.03612965
-4.98549275,0.78383743,0.15042388,0.00000000,0.27594747,0.00000000,0.41421299,0.03645652
-4.97948974,0.80586961,0.16392563,0.00000000,0.27729764,0.00000000,0.44010905,0.03683894
-4.97348674,0.83151881,0.17882248,0.00000000,0.27980253,0.00000000,0.47078309,0.03728942
-4.96748374,0.86114340,0.19523266,0.00000000,0.28355648,0.00000000,0.50651094,0.03782094
-4.96148074,0.89506636,0.21325745,0.00000000,0.28864225,0.00000000,0.54750433,0.03844636
-4.95547774,0.93355322,0.23297267,0.00000000,0.29512627,0.00000000,0.59389263,0.03917776
-4.94947474,0.97678827,0.25441996,0.00000000,0.30305314,0.00000000,0.64570432,0.04002552
-4.94347174,1.02485036,0.27759839,0.00000000,0.31243987,0.00000000,0.70284897,0.04099750
-4.93746873,1.07768966,0.30245677,0.00000000,0.32327016,0.00000000,0.76510099,0.04209812
-4.93146573,1.13510697,0.32888718,0.00000000,0.33548914,0.00000000,0.83208626,0.04332754
-4.92546273,1.19673725,0.35672018,0.00000000,0.34899903,0.00000000,0.90327275,0.04468095
-4.91945973,1.26203868,0.38572218,0.00000000,0.36365622,0.00000000,0.97796625,0.04614804
-4.91345673,1.33028874,0.41559531,0.00000000,0.37927006,0.00000000,1.05531216,0.04771266
-4.90745373,1.40058823,0.44598000,0.00000000,0.39560377,0.00000000,1.13430395,0.04935279
-4.90145073,1.47187381,0.47646049,0.00000000,0.41237758,0.00000000,1.21379875,0.05104076
-4.89544772,1.54293927,0.50657324,0.00000000,0.42927423,0.00000000,1.29253993,0.05274383
-4.88944472,1.61246527,0.53581806,0.00000000,0.44594687,0.00000000,1.36918650,0.05442499
-4.88344172,1.67905660,0.56367163,0.00000000,0.46202891,0.00000000,1.44234838,0.05604410
-4.87743872,1.74128574,0.58960300,0.00000000,0.47714579,0.00000000,1.51062643,0.05755922
-4.87143572,1.79774103,0.61309039,0.00000000,0.49092800,0.00000000,1.57265579,0.05892814
-4.86543272,1.84707732,0.63363869,0.00000000,0.50302483,0.00000000,1.62715070,0.06010999
-4.85942971,1.88806682,0.65079675,0.00000000,0.51311834,0.00000000,1.67294884,0.06106691
-4.85342671,1.91964783,0.66417384,0.00000000,0.52093669,0.00000000,1.70905328,0.06176566
-4.84742371,1.94096891,0.67345436,0.00000000,0.52626640,0.00000000,1.73466990,0.06217909
-4.84142071,1.95142638,0.67841015,0.00000000,0.52896268,0.00000000,1.74923861,0.06228742
-4.83541771,1.95069315,0.67890984,0.00000000,0.52895748,0.00000000,1.75245676,0.06207924
-4.82941471,1.93873754,0.67492468,0.00000000,0.52626474,0.00000000,1.74429348,0.06155224
-4.82341171,1.91583098,0.66653073,0.00000000,0.52098249,0.00000000,1.72499437,0.06071349
-4.81740870,1.88254415,0.65390710,0.00000000,0.51329169,0.00000000,1.69507600,0.05957946
-4.81140570,1.83973170,0.63733049,0.00000000,0.50345183,0.00000000,1.65531067,0.05817559
-4.80540270,1.78850624,0.61716626,0.00000000,0.49179338,0.00000000,1.60670194,0.05653550
-4.79939970,1.73020260,0.59385648,0.00000000,0.47870734,0.00000000,1.55045210,0.05470001
-4.79339670,1.66633413,0.56790543,0.00000000,0.46463241,0.00000000,1.48792301,0.05271568
