energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-2.22411206,17.18030127,0.03326303,0.05514194,0.43899385,3.83418821,1.25816943,12.41225603,0.04750531,0.90043090
-2.21810905,17.34082386,0.03478051,0.05562164,0.44941267,3.96935384,1.28189454,12.41800803,0.04745387,0.91688381
-2.21210605,17.47940558,0.03622565,0.05622824,0.45900398,4.11152779,1.30380048,12.39549084,0.04746146,0.93223753
-2.20610305,17.59477734,0.03758277,0.05696128,0.46766218,4.26105827,1.32369247,12.34321760,0.04755243,0.94637013
-2.20010005,17.68606105,0.03883750,0.05782091,0.47529948,4.41830562,1.34142290,12.26003426,0.04775513,0.95920356
-2.19409705,17.75285290,0.03997715,0.05880827,0.48184956,4.58364515,1.35689719,12.14519260,0.04810136,0.97070999
-2.18809405,17.79529604,0.04099095,0.05992572,0.48727089,4.75746875,1.37007834,11.99841506,0.04862589,0.98091730
-2.18209105,17.81413706,0.04187032,0.06117714,0.49154947,4.94018438,1.38098988,11.81994693,0.04936581,0.98991328
-2.17608804,17.81076120,0.04260904,0.06256815,0.49470091,5.13221248,1.38971691,11.61059215,0.05035979,0.99784816
-2.17008504,17.78720170,0.04320337,0.06410625,0.49677145,5.33397836,1.39640499,11.37172987,0.05164730,1.00493499
-2.16408204,17.74612061,0.04365212,0.06580075,0.49783801,5.54590010,1.40125682,11.10530966,0.05326772,1.01144760
-2.15807904,17.69075934,0.04395664,0.06766270,0.49800693,5.76837125,1.40452652,10.81382460,0.05525939,1.01771581
-2.15207604,17.62485915,0.04412074,0.06970453,0.49741151,6.00173835,1.40651170,10.50026283,0.05765857,1.02411791
-2.14607304,17.55255346,0.04415056,0.07193960,0.49620831,6.24627339,1.40754346,10.16803882,0.06049845,1.03107037
-2.14007004,17.47823538,0.04405439,0.07438157,0.49457225,6.50214172,1.40797462,9.82090744,0.06380801,1.03901499
-2.13406703,17.40640557,0.04384243,0.07704358,0.49269083,6.76936657,1.40816666,9.46286417,0.06761102,1.04840386
-2.12806403,17.34150665,0.04352649,0.07993736,0.49075739,7.04779125,1.40847577,9.09803590,0.07192496,1.05968261
-2.12206103,17.28775138,0.04311974,0.08307223,0.48896401,7.33704099,1.40923871,8.73056718,0.07676014,1.07327267
-2.11605803,17.24895238,0.04263638,0.08645402,0.48749415,7.63648617,1.41075908,8.36450683,0.08211878,1.08955315
-2.11005503,17.22836148,0.04209130,0.09008409,0.48651539,7.94520924,1.41329463,8.00369982,0.08799445,1.10884324
-2.10405203,17.22852613,0.04149983,0.09395831,0.48617275,8.26197744,1.41704617,7.65168902,0.09437149,1.13138596
-2.09804902,17.25117017,0.04087743,0.09806622,0.48658267,8.58522353,1.42214884,7.31163063,0.10122484,1.15733405
-2.09204602,17.29710472,0.04023944,0.10239041,0.48782829,8.91303655,1.42866594,6.98622654,0.10852006,1.18673874
-2.08604302,17.36617390,0.03960085,0.10690606,0.48995594,9.24316417,1.43658591,6.67767582,0.11621363,1.21954213
-2.08004002,17.45723835,0.03897615,0.11158081,0.49297334,9.57302798,1.44582251,6.38764651,0.12425356,1.25557354
-2.07403702,17.56819771,0.03837909,0.11637493,0.49684938,9.89975226,1.45621830,6.11726798,0.13258029,1.29455028
-2.06803402,17.69605155,0.03782262,0.12124179,0.50151575,10.22020642,1.46755127,5.86714303,0.14112789,1.33608287
-2.06203102,17.83699609,0.03731876,0.12612871,0.50687019,10.53106039,1.47954431,5.63737803,0.14982541,1.37968460
-2.05602801,17.98655284,0.03687848,0.13097806,0.51278134,10.82885168,1.49187709,5.42762881,0.15859850,1.42478511
-2.05002501,18.13972332,0.03651162,0.13572870,0.51909494,11.11006212,1.50419972,5.23715913,0.16737113,1.47074754
-2.04402201,18.29116310,0.03622683,0.14031757,0.52564106,11.37120181,1.51614754,5.06490832,0.17606732,1.51688827
-2.03801901,18.43536766,0.03603142,0.14468152,0.53224214,11.60889716,1.52735625,4.90956461,0.18461290,1.56249871
-2.03201601,18.56686171,0.03593130,0.14875913,0.53872127,11.81997974,1.53747666,4.76964040,0.19293716,1.60686792
-2.02601301,18.68038417,0.03593081,0.15249268,0.54491049,12.00157244,1.54618825,4.64354594,0.20097428,1.64930514
-2.02001001,18.77106077,0.03603264,0.15582986,0.55065858,12.15116939,1.55321103,4.52965850,0.20866456,1.68916114
-2.01400700,18.83455752,0.03623764,0.15872547,0.55583802,12.26670651,1.55831498,4.42638423,0.21595540,1.72584761
-2.00800400,18.86720920,0.03654470,0.16114285,0.56035075,12.34661969,1.56132675,4.33221058,0.22280184,1.75885354
-2.00200100,18.86611821,0.03695065,0.16305497,0.56413246,12.38988843,1.56213346,4.24574803,0.22916690,1.78775806
-1.99599800,18.82922122,0.03745010,0.16444525,0.56715523,12.39606316,1.56068353,4.16576005,0.23502150,1.81223931
-1.98999500,18.75532207,0.03803544,0.16530798,0.56942834,12.36527560,1.55698457,4.09118137,0.24034410,1.83207897
-1.98399200,18.64409156,0.03869678,0.16564838,0.57099729,12.29823178,1.55109884,4.02112494,0.24512011,1.84716259
-1.97798899,18.49603609,0.03942205,0.16548230,0.57194110,12.19618875,1.54313659,3.95487846,0.24934107,1.85747579
-1.97198599,18.31243845,0.04019711,0.16483556,0.57236792,12.06091610,1.53324789,3.89189203,0.25300369,1.86309695
-1.96598299,18.09527520,0.04100599,0.16374299,0.57240945,11.89464445,1.52161349,3.83175861,0.25610887,1.86418678
-1.95997999,17.84711594,0.04183116,0.16224727,0.57221414,11.70000338,1.50843552,3.77418918,0.25866070,1.86097569
-1.95397699,17.57101002,0.04265395,0.16039750,0.57193979,11.47995137,1.49392834,3.71898472,0.26066558,1.85374954
