energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.84992496,14.90082916,0.00606989,4.04104267,9.12869720,8.68058768,1.38570893,0.00000000
-5.84392196,14.66507692,0.00577768,3.98358258,9.18543090,8.51132956,1.37066722,0.00000000
-5.83791896,14.37365097,0.00551584,3.90956249,9.21069461,8.30723071,1.35263358,0.00000000
-5.83191596,14.02988659,0.00528350,3.81990614,9.20400980,8.07090258,1.33161287,0.00000000
-5.82591296,13.63813436,0.00507929,3.71584029,9.16553816,7.80558036,1.30766281,0.00000000
-5.81990995,13.20365741,0.00490152,3.59886383,9.09608237,7.51504222,1.28089681,0.00000000
-5.81390695,12.73249695,0.00474820,3.47070746,8.99706447,7.20350967,1.25148478,0.00000000
-5.80790395,12.23131207,0.00461717,3.33328605,8.87048329,6.87553329,1.21965194,0.00000000
-5.80190095,11.70720101,0.00450619,3.18864575,8.71885266,6.53586910,1.18567567,0.00000000
-5.79589795,11.16751183,0.00441298,3.03890808,8.54512375,6.18935093,1.14988052,0.00000000
-5.78989495,10.61965091,0.00433535,2.88621353,8.35259496,5.84076437,1.11263178,0.00000000
-5.78389195,10.07089718,0.00427120,2.73266701,8.14481371,5.49472745,1.07432769,0.00000000
-5.77788894,9.52822973,0.00421861,2.58028719,7.92547461,5.15558288,1.03539097,0.00000000
-5.77188594,8.99817502,0.00417585,2.43096170,7.69831838,4.82730562,0.99625972,0.00000000
-5.76588294,8.48667879,0.00414140,2.28640946,7.46703571,4.51342860,0.95737838,0.00000000
-5.75987994,7.99900615,0.00411399,2.14815124,7.23517974,4.21698858,0.91918891,0.00000000
-5.75387694,7.53967152,0.00409260,2.01748888,7.00609016,3.94049249,0.88212258,0.00000000
-5.74787394,7.11239861,0.00407642,1.89549319,6.78283098,3.68590408,0.84659262,0.00000000
-5.74187094,6.72010908,0.00406491,1.78300014,6.56814332,3.45464932,0.81298791,0.00000000
-5.73586793,6.36493689,0.00405774,1.68061451,6.36441342,3.24763820,0.78166772,0.00000000
-5.72986493,6.04826479,0.00405477,1.58871999,6.17365536,3.06530031,0.75295774,0.00000000
-5.72386193,5.77077820,0.00405609,1.50749442,5.99750702,2.90763076,0.72714700,0.00000000
-5.71785893,5.53253164,0.00406192,1.43692869,5.83723746,2.77424300,0.70448592,0.00000000
-5.71185593,5.33302283,0.00407267,1.37684811,5.69376316,2.66442540,0.68518513,0.00000000
-5.70585293,5.17126975,0.00408884,1.32693485,5.56767065,2.57719838,0.66941492,0.00000000
-5.69984992,5.04588655,0.00411107,1.28675018,5.45924291,2.51136945,0.65730524,0.00000000
-5.69384692,4.95515531,0.00414007,1.25575592,5.36848713,2.46558424,0.64894596,0.00000000
-5.68784392,4.89709112,0.00417661,1.23333411,5.29516214,2.43837202,0.64438737,0.00000000
-5.68184092,4.86949933,0.00422150,1.21880468,5.23880380,2.42818491,0.64364089,0.00000000
-5.67583792,4.87002469,0.00427557,1.21144099,5.19874792,2.43343082,0.64667978,0.00000000
-5.66983492,4.89619298,0.00433966,1.21048334,5.17415043,2.45250033,0.65344016,0.00000000
-5.66383192,4.94544643,0.00441460,1.21515071,5.16400537,2.48378856,0.66382224,0.00000000
-5.65782891,5.01517486,0.00450118,1.22465124,5.16716158,2.52571313,0.67769186,0.00000000
-5.65182591,5.10274457,0.00460017,1.23819199,5.18233957,2.57672950,0.69488268,0.00000000
-5.64582291,5.20552709,0.00471232,1.25498834,5.20814976,2.63534509,0.71519891,0.00000000
-5.63981991,5.32092953,0.00483834,1.27427374,5.24311373,2.70013322,0.73841887,0.00000000
-5.63381691,5.44642792,0.00497892,1.29530979,5.28568940,2.76974779,0.76429925,0.00000000
-5.62781391,5.57960409,0.00513474,1.31739718,5.33430078,2.84293919,0.79258029,0.00000000
-5.62181091,5.71818590,0.00530649,1.33988716,5.38737261,2.91857137,0.82299156,0.00000000
-5.61580790,5.86008986,0.00549484,1.36219339,5.44336902,2.99563981,0.85525830,0.00000000
-5.60980490,6.00346433,0.00570052,1.38380374,5.50083512,3.07328931,0.88910807,0.00000000
-5.60380190,6.14673089,0.00592425,1.40429149,5.55843977,3.15083054,0.92427733,0.00000000
-5.59779890,6.28862091,0.00616675,1.42332495,5.61501697,3.22775392,0.96051766,0.00000000
-5.59179590,6.42820433,0.00642875,1.44067509,5.66960343,3.30373901,0.99760117,0.00000000
-5.58579290,6.56490747,0.00671092,1.45622009,5.72146958,3.37865823,1.03532491,0.00000000
-5.57978989,6.69851732,0.00701384,1.46994625,5.77014130,3.45257327,1.07351369,0.00000000
-5.57378689,6.82917026,0.00733797,1.48194482,5.81541036,3.52572339,1.11202141,0.00000000
-5.56778389,6.95732391,0.00768352,1.49240425,5.85733192,3.59850506,1.15073051,0.00000000
-5.56178089,7.08371223,0.00805047,1.50159795,5.89620826,3.67144297,1.18954972,0.00000000
-5.55577789,7.20928483,0.00843840,1.50986778,5.93255891,3.74515313,1.22841005,0.00000000
-5.54977489,7.33513263,0.00884650,1.51760373,5.96707822,3.82029942,1.26725951,0.00000000
-5.54377189,7.46240345,0.00927347,1.52522075,6.00058222,3.89754527,1.30605673,0.00000000
-5.53776888,7.59221148,0.00971751,1.53313360,6.03394779,3.97750314,1.34476408,0.00000000
-5.53176588,7.72554576,0.01017626,1.54173113,6.06804732,4.06068417,1.38334067,0.00000000
-5.52576288,7.86318278,0.01064686,1.55135126,6.10368286,4.14745112,1.42173599,0.00000000
-5.51975988,8.00560860,0.01112595,1.56225803,6.14152379,4.23797730,1.45988440,0.00000000
-5.51375688,8.15295519,0.01160979,1.57462208,6.18205175,4.33221415,1.49770116,0.00000000
-5.50775388,8.30495529,0.01209432,1.58850567,6.22551646,4.42986969,1.53508028,0.00000000
-5.50175088,8.46091891,0.01257533,1.60385317,6.27190517,4.53039948,1.57189423,0.00000000
-5.49574787,8.61973324,0.01304858,1.62048769,6.32092779,4.63301093,1.60799575,0.00000000
-5.48974487,8.77988646,0.01351001,1.63811407,6.37201856,4.73668118,1.64322151,0.00000000
-5.48374187,8.93951436,0.01395587,1.65632816,6.42435428,4.84018781,1.67739743,0.00000000
-5.47773887,9.09646737,0.01438292,1.67463197,6.47688783,4.94215087,1.71034503,0.00000000
-5.47173587,9.24839397,0.01478855,1.69245373,6.52839485,5.04108401,1.74188867,0.00000000
-5.46573287,9.39283611,0.01517090,1.70917204,6.57753066,5.13545209,1.77186265,0.00000000
-5.45972986,9.52733066,0.01552892,1.72414239,6.62289372,5.22373190,1.80011797,0.00000000
-5.45372686,9.64951146,0.01586241,1.73672496,6.66309175,5.30447284,1.82652800,0.00000000
-5.44772386,9.75720600,0.01617200,1.74631193,6.69680653,5.37635418,1.85099264,0.00000000
-5.44172086,9.84852161,0.01645904,1.75235288,6.72285345,5.43823598,1.87344073,0.00000000
-5.43571786,9.92191649,0.01672549,1.75437707,6.74023258,5.48920091,1.89383050,0.00000000
-5.42971486,9.97625250,0.01697376,1.75201135,6.74816856,5.52858533,1.91214810,0.00000000
-5.42371186,10.01082748,0.01720649,1.74499296,6.74613745,5.55599817,1.92840445,0.00000000
-5.41770885,10.02538648,0.01742634,1.73317683,6.73387984,5.57132733,1.94263071,0.00000000
-5.41170585,10.02011275,0.01763576,1.71653709,6.71140011,5.57473394,1.95487301,0.00000000
-5.40570285,9.99560032,0.01783682,1.69516319,6.67895295,5.56663557,1.96518682,0.00000000
-5.39969985,9.95281140,0.01803094,1.66925112,6.63701896,5.54768019,1.97363176,0.00000000
-5.39369685,9.89302227,0.01821886,1.63909051,6.58627158,5.51871283,1.98026734,0.00000000
-5.38769385,9.81776191,0.01840045,1.60504876,6.52753820,5.48073753,1.98515003,0.00000000
-5.38169085,9.72874782,0.01857478,1.56755313,6.46175829,5.43487705,1.98833224,0.00000000
-5.37568784,9.62782274,0.01874009,1.52707218,6.38994142,5.38233257,1.98986312,0.00000000
-5.36968484,9.51689608,0.01889390,1.48409746,6.31312762,5.32434553,1.98979133,0.00000000
-5.36368184,9.39789241,0.01903319,1.43912662,6.23235214,5.26216329,1.98816949,0.00000000
-5.35767884,9.27270895,0.01915458,1.39264856,6.14861601,5.19700968,1.98505988,0.00000000
-5.35167584,9.14318267,0.01925459,1.34513129,6.06286334,5.13006099,1.98054090,0.00000000
-5.34567284,9.01106671,0.01932984,1.29701274,5.97596541,5.06242769,1.97471352,0.00000000
-5.33966983,8.87801536,0.01937733,1.24869468,5.88871113,4.99514118,1.96770712,0.00000000
-5.33366683,8.74557557,0.01939469,1.20053940,5.80180317,4.92914515,1.95968399,0.00000000
-5.32766383,8.61518328,0.01938029,1.15286891,5.71585852,4.86529034,1.95084190,0.00000000
-5.32166083,8.48816225,0.01933346,1.10596622,5.63141209,4.80433173,1.94141432,0.00000000
-5.31565783,8.36572345,0.01925452,1.06007783,5.54892225,4.74692716,1.93166802,0.00000000
-5.30965483,8.24896335,0.01914484,1.01541716,5.46877705,4.69363637,1.92189807,0.00000000
-5.30365183,8.13886000,0.01900671,0.97216810,5.39130026,4.64492001,1.91242033,0.00000000
-5.29764882,8.03626628,0.01884331,0.93048829,5.31675674,4.60113802,1.90356196,0.00000000
-5.29164582,7.94190063,0.01865847,0.89051175,5.24535700,4.56254757,1.89565049,0.00000000
-5.28564282,7.85633583,0.01845649,0.85235066,5.17726094,4.52930061,1.88900211,0.00000000
-5.27963982,7.77998705,0.01824187,0.81609615,5.11258132,4.50144165,1.88391011,0.00000000
-5.27363682,7.71310072,0.01801909,0.78181826,5.05138748,4.47890621,1.88063414,0.00000000
-5.26763382,7.65574586,0.01779232,0.74956520,4.99370977,4.46152081,1.87939119,0.00000000
-5.26163082,7.60780935,0.01756521,0.71936224,4.93954552,4.44900502,1.88034871,0.00000000
-5.25562781,7.56899658,0.01734070,0.69121052,4.88886653,4.44097610,1.88362049,0.00000000
-5.24962481,7.53883837,0.01712086,0.66508624,4.84162857,4.43695666,1.88926552,0.00000000
-5.24362181,7.51670442,0.01690681,0.64094033,4.79778235,4.43638532,1.89728972,0.00000000
-5.23761881,7.50182343,0.01669873,0.61869918,4.75728576,4.43863036,1.90765052,0.00000000
-5.23161581,7.49330888,0.01649582,0.59826625,4.72011643,4.44300574,1.92026376,0.00000000
-5.22561281,7.49018951,0.01629646,0.57952493,4.68628366,4.44878918,1.93501239,0.00000000
-5.21960980,7.49144281,0.01609836,0.56234237,4.65583880,4.45524127,1.95175626,0.00000000
-5.21360680,7.49602969,0.01589870,0.54657433,4.62888279,4.46162479,1.97034231,0.00000000
-5.20760380,7.50292853,0.01569437,0.53207060,4.60557007,4.46722359,1.99061438,0.00000000
-5.20160080,7.51116664,0.01548220,0.51868088,4.58610807,4.47135981,2.01242192,0.00000000
-5.19559780,7.51984753,0.01525921,0.50626061,4.57075182,4.47340914,2.03562718,0.00000000
-5.18959480,7.52817284,0.01502279,0.49467645,4.55979377,4.47281326,2.06011017,0.00000000
-5.18359180,7.53545775,0.01477091,0.48381106,4.55354896,4.46908933,2.08577147,0.00000000
-5.17758879,7.54113979,0.01450227,0.47356687,4.55233634,4.46183622,2.11253248,0.00000000
-5.17158579,7.54478083,0.01421642,0.46386856,4.55645736,4.45073776,2.14033347,0.00000000
-5.16558279,7.54606277,0.01391380,0.45466426,4.56617289,4.43556296,2.16912948,0.00000000
-5.15957979,7.54477782,0.01359578,0.44592513,4.58167998,4.41616378,2.19888452,0.00000000
-5.15357679,7.54081420,0.01326459,0.43764366,4.60308986,4.39247084,2.22956452,0.00000000
-5.14757379,7.53413874,0.01292322,0.42983065,4.63040854,4.36448752,2.26112952,0.00000000
-5.14157079,7.52477737,0.01257535,0.42251110,4.66352092,4.33228293,2.29352554,0.00000000
-5.13556778,7.51279488,0.01222512,0.41571933,4.70217954,4.29598431,2.32667672,0.00000000
-5.12956478,7.49827489,0.01187695,0.40949360,4.74599824,4.25576903,2.36047799,0.00000000
-5.12356178,7.48130108,0.01153537,0.40387064,4.79445098,4.21185676,2.39478876,0.00000000
-5.11755878,7.46194027,0.01120478,0.39888024,4.84687561,4.16450170,2.42942773,0.00000000
-5.11155578,7.44022791,0.01088925,0.39454047,4.90248212,4.11398536,2.46416915,0.00000000
-5.10555278,7.41615637,0.01059234,0.39085362,4.96036466,4.06060969,2.49874046,0.00000000
-5.09954977,7.38966610,0.01031693,0.38780305,5.01951651,4.00469079,2.53282156,0.00000000
-5.09354677,7.36063986,0.01006509,0.38535127,5.07884712,3.94655312,2.56604545,0.00000000
-5.08754377,7.32890005,0.00983799,0.38343920,5.13720042,3.88652439,2.59800060,0.00000000
-5.08154077,7.29420906,0.00963585,0.38198660,5.19337367,3.82493100,2.62823464,0.00000000
-5.07553777,7.25627272,0.00945794,0.38089381,5.24613645,3.76209431,2.65625976,0.00000000
-5.06953477,7.21474682,0.00930262,0.38004439,5.29424934,3.69832762,2.68155952,0.00000000
-5.06353177,7.16924674,0.00916738,0.37930878,5.33648245,3.63393407,2.70359730,0.00000000
-5.05752876,7.11935998,0.00904902,0.37854868,5.37163371,3.56920551,2.72182623,0.00000000
-5.05152576,7.06466161,0.00894378,0.37762182,5.39854728,3.50442231,2.73570069,0.00000000
-5.04552276,7.00473235,0.00884750,0.37638709,5.41613238,3.43985406,2.74468920,0.00000000
-5.03951976,6.93917870,0.00875583,0.37470962,5.42338279,3.37576116,2.74828853,0.00000000
-5.03351676,6.86765477,0.00866442,0.37246569,5.41939716,3.31239697,2.74603883,0.00000000
-5.02751376,6.78988491,0.00856913,0.36954722,5.40340027,3.25001034,2.73753925,0.00000000
-5.02151076,6.70568614,0.00846620,0.36586565,5.37476483,3.18884817,2.72246378,0.00000000
-5.01550775,6.61498941,0.00835246,0.36135515,5.33303341,3.12915768,2.70057649,0.00000000
-5.00950475,6.51785860,0.00822540,0.35597487,5.27793983,3.07118796,2.67174573,0.00000000
-5.00350175,6.41450601,0.00808334,0.34971047,5.20942890,3.01519058,2.63595641,0.00000000
-4.99749875,6.30530343,0.00792545,0.34257452,5.12767355,2.96141899,2.59331996,0.00000000
-4.99149575,6.19078794,0.00775180,0.33460614,5.03308814,2.91012659,2.54408094,0.00000000
-4.98549275,6.07166187,0.00756335,0.32586972,4.92633666,2.86156355,2.48862026,0.00000000
-4.97948974,5.94878674,0.00736185,0.31645285,4.80833508,2.81597241,2.42745422,0.00000000
-4.97348674,5.82317120,0.00714981,0.30646356,4.68024678,2.77358302,2.36122936,0.00000000
-4.96748374,5.69595356,0.00693034,0.29602715,4.54347066,2.73460702,2.29071314,0.00000000
-4.96148074,5.56837966,0.00670699,0.28528243,4.39962185,2.69923254,2.21678055,0.00000000
-4.95547774,5.44177717,0.00648363,0.27437784,4.25050511,2.66761966,2.14039699,0.00000000
-4.94947474,5.31752756,0.00626424,0.26346743,4.09808166,2.63989722,2.06259821,0.00000000
-4.94347174,5.19703717,0.00605275,0.25270689,3.94443028,2.61616134,1.98446770,0.00000000
-4.93746873,5.08170862,0.00585289,0.24224964,3.79170392,2.59647626,1.90711259,0.00000000
-4.93146573,4.97291380,0.00566802,0.23224331,3.64208338,2.58087737,1.83163871,0.00000000
-4.92546273,4.87196950,0.00550099,0.22282642,3.49772938,2.56937675,1.75912576,0.00000000
-4.91945973,4.78011631,0.00535409,0.21412554,3.36073480,2.56197077,1.69060342,0.00000000
-4.91345673,4.69850130,0.00522891,0.20625282,3.23307850,2.55864941,1.62702900,0.00000000
-4.90745373,4.62816449,0.00512636,0.19930396,3.11658216,2.55940673,1.56926735,0.00000000
-4.90145073,4.57002906,0.00504662,0.19335660,3.01287121,2.56425171,1.51807357,0.00000000
-4.89544772,4.52489485,0.00498918,0.18846919,2.92334100,2.57321866,1.47407872,0.00000000
-4.88944472,4.49343446,0.00495290,0.18468013,2.84912885,2.58637649,1.43777902,0.00000000
-4.88344172,4.47619147,0.00493609,0.18200735,2.79109243,2.60383583,1.40952841,0.00000000
-4.87743872,4.47358009,0.00493661,0.18044824,2.74979497,2.62575357,1.38953475,0.00000000
-4.87143572,4.48588553,0.00495199,0.17997982,2.72549710,2.65233429,1.37785944,0.00000000
-4.86543272,4.51326480,0.00497959,0.18055934,2.71815562,2.68382809,1.37442036,0.00000000
-4.85942971,4.55574759,0.00501674,0.18212506,2.72742874,2.72052494,1.37899806,0.00000000
-4.85342671,4.61323708,0.00506085,0.18459742,2.75268770,2.76274559,1.39124485,0.00000000
-4.84742371,4.68551076,0.00510961,0.18788053,2.79303433,2.81082932,1.41069655,0.00000000
-4.84142071,4.77222145,0.00516111,0.19186397,2.84732413,2.86511908,1.43678666,0.00000000
-4.83541771,4.87289876,0.00521393,0.19642491,2.91419433,2.92594457,1.46886239,0.00000000
-4.82941471,4.98695117,0.00526726,0.20143062,2.99209632,2.99360405,1.50620238,0.00000000
-4.82341171,5.11366916,0.00532100,0.20674120,3.07933168,3.06834550,1.54803536,0.00000000
-4.81740870,5.25222925,0.00537575,0.21221266,3.17409097,3.15034797,1.59355940,0.00000000
-4.81140570,5.40169932,0.00543288,0.21770018,3.27449428,3.23970367,1.64196101,0.00000000
-4.80540270,5.56104476,0.00549445,0.22306149,3.37863249,3.33640156,1.69243364,0.00000000
-4.79939970,5.72913544,0.00556321,0.22816028,3.48460800,3.44031278,1.74419474,0.00000000
-4.79339670,5.90475305,0.00564248,0.23286952,3.59057371,3.55117846,1.79650091,0.00000000
-4.78739370,6.08659848,0.00573604,0.23707462,3.69476903,3.66860016,1.84866055,0.00000000
-4.78139070,6.27329875,0.00584794,0.24067618,3.79555176,3.79203317,1.90004352,0.00000000
-4.77538769,6.46341321,0.00598239,0.24359232,3.89142478,3.92078288,1.95008749,0.00000000
-4.76938469,6.65543880,0.00614352,0.24576042,3.98105671,4.05400428,1.99830080,0.00000000
-4.76338169,6.84781442,0.00633514,0.24713824,4.06329607,4.19070467,2.04426191,0.00000000
-4.75737869,7.03892456,0.00656062,0.24770432,4.13717864,4.32974977,2.08761560,0.00000000
-4.75137569,7.22710267,0.00682259,0.24745760,4.20192818,4.46987318,2.12806633,0.00000000
-4.74537269,7.41063521,0.00712282,0.24641646,4.25695111,4.60968939,2.16536951,0.00000000
-4.73936968,7.58776706,0.00746198,0.24461695,4.30182587,4.74771040,2.19932135,0.00000000
-4.73336668,7.75670972,0.00783958,0.24211060,4.33628828,4.88236617,2.22974818,0.00000000
-4.72736368,7.91565338,0.00825383,0.23896171,4.36021435,5.01202879,2.25649630,0.00000000
-4.72136068,8.06278408,0.00870160,0.23524443,4.37360192,5.13504065,2.27942328,0.00000000
-4.71535768,8.19630708,0.00917847,0.23103966,4.37655303,5.24974636,2.29839156,0.00000000
-4.70935468,8.31447716,0.00967875,0.22643204,4.36925836,5.35452841,2.31326513,0.00000000
-4.70335168,8.41563641,0.01019561,0.22150713,4.35198503,5.44784606,2.32390995,0.00000000
-4.69734867,8.49825912,0.01072132,0.21634897,4.32506908,5.52827703,2.33019817,0.00000000
-4.69134567,8.56100347,0.01124741,0.21103808,4.28891280,5.59456108,2.33201648,0.00000000
-4.68534267,8.60276825,0.01176502,0.20565005,4.24398746,5.64564445,2.32927797,0.00000000
-4.67933967,8.62275299,0.01226516,0.20025464,4.19084084,5.68072373,2.32193716,0.00000000
-4.67333667,8.62051859,0.01273908,0.19491557,4.13010876,5.69928765,2.31000712,0.00000000
-4.66733367,8.59604552,0.01317859,0.18969074,4.06252929,5.70115476,2.29357767,0.00000000
-4.66133067,8.54978575,0.01357644,0.18463297,3.98895798,5.68650516,2.27283323,0.00000000
-4.65532766,8.48270489,0.01392655,0.17979102,3.91038202,5.65590404,2.24806895,0.00000000
-4.64932466,8.39631052,0.01422436,0.17521085,3.82793138,5.61031501,2.21970367,0.00000000
-4.64332166,8.29266319,0.01446701,0.17093684,3.74288465,5.55110143,2.18828828,0.00000000
-4.63731866,8.17436707,0.01465345,0.16701293,3.65666786,5.48001395,2.15450834,0.00000000
-4.63131566,8.04453776,0.01478458,0.16348345,3.57084452,5.39916324,2.11917993,0.00000000
-4.62531266,7.90674610,0.01486317,0.16039357,3.48709588,5.31097733,2.08323821,0.00000000
-4.61930965,7.76493761,0.01489377,0.15778923,3.40719077,5.21814368,2.04771836,0.00000000
-4.61330665,7.62332878,0.01488255,0.15571653,3.33294531,5.12353684,2.01372922,0.00000000
-4.60730365,7.48628267,0.01483700,0.15422050,3.26617314,5.03013350,1.98242018,0.00000000
-4.60130065,7.35816778,0.01476563,0.15334342,3.20862783,4.94091754,1.95494255,0.00000000
-4.59529765,7.24320520,0.01467755,0.15312263,3.16193968,4.85877830,1.93240685,0.00000000
-4.58929465,7.14531035,0.01458211,0.15358802,3.12754958,4.78640612,1.91583778,0.00000000
-4.58329165,7.06793631,0.01448842,0.15475936,3.10664318,4.72618977,1.90612922,0.00000000
-4.57728864,7.01392624,0.01440497,0.15664362,3.10008879,4.68012031,1.90400120,0.00000000
-4.57128564,6.98538239,0.01433920,0.15923253,3.10838250,4.64970639,1.90996136,0.00000000
-4.56528264,6.98355908,0.01429723,0.16250051,3.13160393,4.63590552,1.92427295,0.00000000
-4.55927964,7.00878583,0.01428353,0.16640315,3.16938560,4.63907530,1.94693133,0.00000000
-4.55327664,7.06042612,0.01430074,0.17087651,3.22089846,4.65894796,1.97765067,0.00000000
-4.54727364,7.13687520,0.01434960,0.17583719,3.28485525,4.69463046,2.01586188,0.00000000
-4.54127064,7.23559890,0.01442895,0.18118337,3.35953274,4.74463112,2.06072243,0.00000000
-4.53526763,7.35321308,0.01453579,0.18679675,3.44281269,4.80691258,2.11113815,0.00000000
-4.52926463,7.48560127,0.01466549,0.19254545,3.53224068,4.87896925,2.16579630,0.00000000
-4.52326163,7.62806615,0.01481209,0.19828768,3.62510069,4.95792640,2.22320879,0.00000000
-4.51725863,7.77550825,0.01496858,0.20387605,3.71850254,5.04065640,2.28176367,0.00000000
-4.51125563,7.92262388,0.01512732,0.20916238,3.80947876,5.12390680,2.33978282,0.00000000
-4.50525263,8.06411313,0.01528043,0.21400276,3.89508638,5.20443433,2.39558291,0.00000000
-4.49924962,8.19488781,0.01542022,0.21826256,3.97250926,5.27913800,2.44753709,0.00000000
-4.49324662,8.31026927,0.01553957,0.22182120,4.03915613,5.34518492,2.49413425,0.00000000
-4.48724362,8.40616648,0.01563230,0.22457647,4.09274989,5.40012241,2.53403306,0.00000000
-4.48124062,8.47922548,0.01569347,0.22644801,4.13140395,5.44197093,2.56610830,0.00000000
-4.47523762,8.52694328,0.01571961,0.22738000,4.15368218,5.46929313,2.58948712,0.00000000
-4.46923462,8.54774075,0.01570888,0.22734275,4.15863979,5.48123593,2.60357379,0.00000000
-4.46323162,8.54099173,0.01566114,0.22633318,4.14584353,5.47754377,2.60806180,0.00000000
-4.45722861,8.50700775,0.01557790,0.22437417,4.11537076,5.45854302,2.60293308,0.00000000
-4.45122561,8.44698043,0.01546230,0.22151287,4.06778791,5.42509904,2.58844482,0.00000000
-4.44522261,8.36288581,0.01531886,0.21781798,4.00411001,5.37854891,2.56510484,0.00000000
-4.43921961,8.25735691,0.01515334,0.21337629,3.92574406,5.32061427,2.53363741,0.00000000
-4.43321661,8.13353272,0.01497242,0.20828852,3.83441957,5.25329966,2.49494163,0.00000000
-4.42721361,7.99489249,0.01478346,0.20266487,3.73211031,5.17878243,2.45004494,0.00000000
-4.42121061,7.84508517,0.01459420,0.19662040,3.62095166,5.09930074,2.40005460,0.00000000
-4.41520760,7.68776341,0.01441251,0.19027050,3.50315778,5.01704600,2.34610977,0.00000000
-4.40920460,7.52643121,0.01424610,0.18372674,3.38094295,4.93406549,2.28933695,0.00000000
-4.40320160,7.36431283,0.01410239,0.17709322,3.25645056,4.85218032,2.23081090,0.00000000
-4.39719860,7.20424910,0.01398827,0.17046357,3.13169281,4.77292259,2.17152286,0.00000000
-4.39119560,7.04862524,0.01391006,0.16391884,3.00850339,4.69749432,2.11235745,0.00000000
-4.38519260,6.89933220,0.01387342,0.15752610,2.88850415,4.62674948,2.05407867,0.00000000
-4.37918959,6.75776150,0.01388333,0.15133802,2.77308629,4.56119863,1.99732520,0.00000000
-4.37318659,6.62483104,0.01394409,0.14539314,2.66340532,4.50103472,1.94261423,0.00000000
-4.36718359,6.50103832,0.01405941,0.13971689,2.56038839,4.44617716,1.89035271,0.00000000
-4.36118059,6.38653515,0.01423241,0.13432316,2.46475183,4.39633042,1.84085461,0.00000000
-4.35517759,6.28121776,0.01446569,0.12921628,2.37702643,4.35105264,1.79436203,0.00000000
-4.34917459,6.18482502,0.01476133,0.12439328,2.29758753,4.30982953,1.75106848,0.00000000
-4.34317159,6.09703776,0.01512095,0.11984618,2.22668702,4.27214864,1.71114208,0.00000000
-4.33716858,6.01757256,0.01554563,0.11556422,2.16448449,4.23756948,1.67474683,0.00000000
-4.33116558,5.94626405,0.01603589,0.11153591,2.11107517,4.20578531,1.64206050,0.00000000
-4.32516258,5.88313089,0.01659157,0.10775070,2.06651255,4.17667340,1.61328758,0.00000000
-4.31915958,5.82842227,0.01721169,0.10420027,2.03082459,4.15033129,1.58866679,0.00000000
-4.31315658,5.78264261,0.01789438,0.10087939,2.00402260,4.12709743,1.56847247,0.00000000
-4.30715358,5.74655443,0.01863664,0.09778632,1.98610276,4.10755599,1.55301014,0.00000000
