energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
3.61080540,0.36628979,-0.00549173,0.09325037,-0.00105858,0.00276404,-0.00022046,0.23095104,-0.00124315,0.05229428,-0.00096229,0.02920489,-0.00009036,0.03445679,-0.00015212,0.04837970,-0.00037271,0.07030547,-0.00052538
3.61680840,0.38832158,-0.00675729,0.09697425,-0.00131125,0.00291977,-0.00019386,0.24908791,-0.00159242,0.05584090,-0.00119865,0.02943345,-0.00011528,0.03722568,-0.00013203,0.05205198,-0.00047570,0.07415588,-0.00062267
3.62281141,0.41042072,-0.00836423,0.10107332,-0.00162830,0.00307302,-0.00018153,0.26694255,-0.00203064,0.05934849,-0.00149424,0.02971601,-0.00014613,0.03994080,-0.00012336,0.05570468,-0.00060328,0.07801665,-0.00075557
3.62881441,0.43226492,-0.01036426,0.10553371,-0.00201965,0.00322135,-0.00018206,0.28425737,-0.00257643,0.06275866,-0.00185863,0.03005053,-0.00018406,0.04256240,-0.00012559,0.05928905,-0.00076027,0.08183476,-0.00092891
3.63481741,0.45352847,-0.01281691,0.11033420,-0.00249649,0.00336230,-0.00019465,0.30077907,-0.00325151,0.06601381,-0.00230264,0.03043211,-0.00023038,0.04505108,-0.00013884,0.06275710,-0.00095213,0.08555461,-0.00114870
3.64082041,0.47389295,-0.01578915,0.11544702,-0.00307120,0.00349344,-0.00021905,0.31626754,-0.00408106,0.06905895,-0.00283825,0.03085328,-0.00028657,0.04736917,-0.00016385,0.06606332,-0.00118503,0.08911990,-0.00142220
3.64682341,0.49305836,-0.01935502,0.12083892,-0.00375727,0.00361253,-0.00025549,0.33050480,-0.00509399,0.07184360,-0.00347856,0.03130442,-0.00035428,0.04948208,-0.00020200,0.06916641,-0.00146588,0.09247555,-0.00175794
3.65282641,0.51075434,-0.02359479,0.12647252,-0.00456903,0.00371752,-0.00030467,0.34330381,-0.00632318,0.07432360,-0.00423764,0.03177424,-0.00043530,0.05135962,-0.00025536,0.07203101,-0.00180231,0.09556980,-0.00216573
3.65882941,0.52675076,-0.02859406,0.13230771,-0.00552149,0.00380674,-0.00036769,0.35451644,-0.00780569,0.07646279,-0.00513030,0.03225036,-0.00053164,0.05297722,-0.00032666,0.07462919,-0.00220266,0.09835620,-0.00265667
3.66483242,0.54086728,-0.03444244,0.13830322,-0.00663000,0.00387889,-0.00044602,0.36404026,-0.00958296,0.07823455,-0.00617188,0.03271986,-0.00064542,0.05431699,-0.00041940,0.07694179,-0.00267598,0.10079546,-0.00324315
3.67083542,0.55298112,-0.04123202,0.14441804,-0.00790991,0.00393318,-0.00054152,0.37182393,-0.01170079,0.07962290,-0.00737797,0.03316989,-0.00077893,0.05536854,-0.00053784,0.07895948,-0.00323192,0.10285706,-0.00393882
3.67683842,0.56303282,-0.04905551,0.15061285,-0.00937616,0.00396932,-0.00065634,0.37787051,-0.01420935,0.08062335,-0.00876401,0.03358821,-0.00093458,0.05612949,-0.00068704,0.08068332,-0.00388072,0.10452059,-0.00475846
3.68284142,0.57102949,-0.05800406,0.15685113,-0.01104282,0.00398761,-0.00079293,0.38223879,-0.01716292,0.08124325,-0.01034492,0.03396364,-0.00111485,0.05660578,-0.00087290,0.08212505,-0.00463301,0.10577665,-0.00571796
3.68884442,0.57704532,-0.06816489,0.16310017,-0.01292264,0.00398890,-0.00095402,0.38504222,-0.02061960,0.08150170,-0.01213467,0.03428653,-0.00132230,0.05681148,-0.00110215,0.08330676,-0.00549972,0.10662729,-0.00683410
3.69484742,0.58121930,-0.07961868,0.16933162,-0.01502646,0.00397458,-0.00114256,0.38644560,-0.02464064,0.08142896,-0.01414577,0.03454901,-0.00155949,0.05676840,-0.00138235,0.08426023,-0.00649187,0.10708613,-0.00812433
3.70085043,0.58375025,-0.09243670,0.17552187,-0.01736275,0.00394659,-0.00136166,0.38665949,-0.02928972,0.08106548,-0.01638879,0.03474519,-0.00182896,0.05650530,-0.00172183,0.08502572,-0.00762037,0.10717782,-0.00960655
3.70685343,0.58488922,-0.10667796,0.18165196,-0.01993704,0.00390731,-0.00161457,0.38593264,-0.03463184,0.08046040,-0.01887185,0.03487132,-0.00213314,0.05605679,-0.00212961,0.08565041,-0.00889575,0.10693731,-0.01129871
3.71285643,0.58492988,-0.12238627,0.18770727,-0.02275148,0.00385953,-0.00190457,0.38454271,-0.04073204,0.07966983,-0.02160012,0.03492567,-0.00247428,0.05546203,-0.00261528,0.08618646,-0.01032788,0.10640853,-0.01321845
3.71885943,0.58419713,-0.13958730,0.19367688,-0.02580437,0.00380633,-0.00223491,0.38278579,-0.04765371,0.07875475,-0.02457532,0.03490853,-0.00285442,0.05476318,-0.00318881,0.08668881,-0.01192565,0.10564293,-0.01538258
3.72486243,0.58303474,-0.15828587,0.19955276,-0.02908978,0.00375104,-0.00260869,0.38096515,-0.05545673,0.07777887,-0.02779531,0.03482191,-0.00327525,0.05400377,-0.00386032,0.08721290,-0.01369660,0.10469772,-0.01780655
3.73086543,0.58179254,-0.17846336,0.20532877,-0.03259731,0.00369708,-0.00302878,0.37937984,-0.06419524,0.07680634,-0.03125369,0.03466934,-0.00373810,0.05322699,-0.00463978,0.08781223,-0.01564656,0.10363397,-0.02050381
3.73686843,0.58081398,-0.20007551,0.21099967,-0.03631191,0.00364792,-0.00349767,0.37831366,-0.07391519,0.07589959,-0.03493947,0.03445556,-0.00424376,0.05247409,-0.00553670,0.08853612,-0.01777924,0.10251481,-0.02348514
3.74287144,0.58042464,-0.22305061,0.21656015,-0.04021382,0.00360697,-0.00401730,0.37802513,-0.08465170,0.07511733,-0.03883689,0.03418614,-0.00479250,0.05178278,-0.00655967,0.08942760,-0.02009586,0.10140352,-0.02675794
3.74887444,0.58092233,-0.24728813,0.22200403,-0.04427868,0.00357752,-0.00458899,0.37873897,-0.09642623,0.07451284,-0.04292521,0.03386721,-0.00538389,0.05118598,-0.00771600,0.09052167,-0.02259473,0.10036198,-0.03032546
3.75487744,0.58256947,-0.27265793,0.22732373,-0.04847779,0.00356263,-0.00521323,0.38063947,-0.10924377,0.07413263,-0.04717880,0.03350511,-0.00601680,0.05071068,-0.00901120,0.09184393,-0.02527087,0.09944923,-0.03418610
3.76088044,0.58558786,-0.29900017,0.23251013,-0.05277847,0.00356515,-0.00588953,0.38386617,-0.12309005,0.07401552,-0.05156714,0.03310610,-0.00668929,0.05037723,-0.01044854,0.09340971,-0.02811569,0.09872038,-0.03833265
3.76688344,0.59015645,-0.32612580,0.23755276,-0.05714464,0.00358767,-0.00661635,0.38851195,-0.13792894,0.07419221,-0.05605509,0.03267618,-0.00739857,0.05019886,-0.01202855,0.09522372,-0.03111670,0.09822587,-0.04275166
3.77288644,0.59641189,-0.35381793,0.24244052,-0.06153751,0.00363248,-0.00739087,0.39462369,-0.15370029,0.07468533,-0.06060320,0.03222091,-0.00814099,0.05018165,-0.01374861,0.09728030,-0.03425734,0.09801102,-0.04742292
3.77888944,0.60445193,-0.38183392,0.24716285,-0.06591636,0.00370163,-0.00820901,0.40220540,-0.17031816,0.07550992,-0.06516824,0.03174535,-0.00891202,0.05032480,-0.01560259,0.09956415,-0.03751680,0.09811601,-0.05231905
3.78489245,0.61434132,-0.40990834,0.25171137,-0.07023960,0.00379689,-0.00906526,0.41122352,-0.18766982,0.07667437,-0.06970371,0.03125403,-0.00970627,0.05062122,-0.01758051,0.10205159,-0.04087014,0.09857605,-0.05740532
3.79089545,0.62611968,-0.43775678,0.25608179,-0.07446573,0.00391984,-0.00995274,0.42161410,-0.20561555,0.07818169,-0.07416062,0.03075102,-0.01051756,0.05105839,-0.01966840,0.10471221,-0.04428837,0.09942184,-0.06263968
3.79689845,0.63981094,-0.46508053,0.26027620,-0.07855460,0.00407186,-0.01086317,0.43329133,-0.22398945,0.08003094,-0.07848830,0.03024010,-0.01133905,0.05161953,-0.02184826,0.10751087,-0.04773880,0.10068021,-0.06797304
3.80290145,0.65543328,-0.49157206,0.26430536,-0.08246859,0.00425419,-0.01178701,0.44615688,-0.24260129,0.08221893,-0.08263531,0.02972488,-0.01216331,0.05228479,-0.02409816,0.11040991,-0.05118558,0.10237477,-0.07334989
3.80890445,0.67300914,-0.51692137,0.26819104,-0.08617392,0.00446794,-0.01271355,0.46010950,-0.26123959,0.08474179,-0.08655048,0.02920907,-0.01298258,0.05303263,-0.02639254,0.11337138,-0.05459028,0.10452658,-0.07870923
3.81490745,0.69257422,-0.54082293,0.27196798,-0.08964195,0.00471413,-0.01363113,0.47505403,-0.27967582,0.08759647,-0.09018404,0.02869668,-0.01378894,0.05384117,-0.02870264,0.11635925,-0.05791281,0.10715471,-0.08398574
3.82091046,0.71418472,-0.56298333,0.27568549,-0.09285048,0.00499368,-0.01452741,0.49090948,-0.29766980,0.09078201,-0.09348871,0.02819226,-0.01457458,0.05468939,-0.03099719,0.11934137,-0.06111242,0.11027655,-0.08911137
3.82691346,0.73792220,-0.58312923,0.27940829,-0.09578495,0.00530743,-0.01538968,0.50761543,-0.31497612,0.09430041,-0.09642095,0.02770109,-0.01533212,0.05555833,-0.03324317,0.12229117,-0.06414884,0.11390789,-0.09401708
3.83291646,0.76389537,-0.60101561,0.28321657,-0.09843962,0.00565607,-0.01620523,0.52513636,-0.33135146,0.09815710,-0.09894211,0.02722935,-0.01605488,0.05643193,-0.03540676,0.12518883,-0.06698358,0.11806267,-0.09863492
3.83891946,0.79223840,-0.61643397,0.28720508,-0.10081860,0.00604010,-0.01696171,0.54346363,-0.34656249,0.10236090,-0.10101963,0.02678415,-0.01673722,0.05729771,-0.03745441,0.12802203,-0.06958127,0.12275237,-0.10290017
3.84492246,0.82310563,-0.62922013,0.29148105,-0.10293660,0.00645981,-0.01764760,0.56261478,-0.36039418,0.10692342,-0.10262810,0.02637359,-0.01737490,0.05814710,-0.03935395,0.13078609,-0.07191101,0.12798503,-0.10675361
3.85092546,0.85666258,-0.63926153,0.29616109,-0.10481960,0.00691513,-0.01825259,0.58263029,-0.37265806,0.11185798,-0.10375028,0.02600665,-0.01796532,0.05897556,-0.04107575,0.13348358,-0.07394770,0.13376399,-0.11014379
3.85692846,0.89307372,-0.64650333,0.30136700,-0.10650508,0.00740559,-0.01876799,0.60356790,-0.38320008,0.11717801,-0.10437791,0.02569299,-0.01850783,0.05978228,-0.04259383,0.13612334,-0.07567330,0.14008638,-0.11302907
3.86293147,0.93248731,-0.65095341,0.30722058,-0.10804203,0.00793021,-0.01918710,0.62549472,-0.39190767,0.12289506,-0.10451234,0.02544272,-0.01900396,0.06056972,-0.04388689,0.13871903,-0.07707785,0.14694139,-0.11537959
3.86893447,0.97501818,-0.65268549,0.31383770,-0.10949047,0.00848741,-0.01950552,0.64847767,-0.39871569,0.12901655,-0.10416499,0.02526599,-0.01945756,0.06134287,-0.04493925,0.14128736,-0.07816030,0.15430852,-0.11717875
3.87493747,1.02072943,-0.65184043,0.32132188,-0.11092061,0.00907488,-0.01972139,0.67257276,-0.40361074,0.13554325,-0.10335741,0.02517261,-0.01987486,0.06210833,-0.04574149,0.14384589,-0.07892905,0.16215589,-0.11842438
3.88094047,1.06961396,-0.64862520,0.32975764,-0.11241156,0.00968960,-0.01983555,0.69781393,-0.40663366,0.14246686,-0.10212115,0.02517160,-0.02026447,0.06287328,-0.04629102,0.14641084,-0.07940213,0.17043871,-0.11912932
3.88694347,1.12157707,-0.64330954,0.33920399,-0.11404947,0.01032769,-0.01985155,0.72420202,-0.40787996,0.14976770,-0.10049724,0.02527065,-0.02063728,0.06364443,-0.04659223,0.14899482,-0.07960700,0.17909811,-0.11932148
