energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
3.71885943,1.81120473,-1.57676150,0.89542764,-0.75470090,0.04853098,-0.04550634,0.25797861,-0.21419033,0.17842139,-0.14701774,0.18156781,-0.16881674,0.00000000,-0.00000000
3.72486243,1.83112147,-1.64375785,0.91169226,-0.79180637,0.04875737,-0.04721398,0.26333447,-0.22572355,0.18261668,-0.15525026,0.18086188,-0.17384058,0.00000000,-0.00000000
3.73086543,1.83899171,-1.70278623,0.92214026,-0.82569359,0.04865095,-0.04865504,0.26694773,-0.23624042,0.18563629,-0.16286992,0.17889320,-0.17776995,0.00000000,-0.00000000
3.73686843,1.83457283,-1.75256091,0.92649630,-0.85562147,0.04821364,-0.04979975,0.26874303,-0.24554316,0.18741182,-0.16972527,0.17570207,-0.18051823,0.00000000,-0.00000000
3.74287144,1.81789235,-1.79197613,0.92462157,-0.88092250,0.04745438,-0.05062403,0.26868227,-0.25345131,0.18790144,-0.17567610,0.17135478,-0.18202370,0.00000000,-0.00000000
3.74887444,1.78924455,-1.82013802,0.91651673,-0.90102132,0.04638884,-0.05111032,0.26676602,-0.25980748,0.18709122,-0.18059767,0.16594132,-0.18225155,0.00000000,-0.00000000
3.75487744,1.74917875,-1.83639045,0.90232064,-0.91545091,0.04503891,-0.05124812,0.26303362,-0.26448246,0.18499557,-0.18438456,0.15957231,-0.18119491,0.00000000,-0.00000000
3.76088044,1.69847989,-1.84033380,0.88230465,-0.92386602,0.04343197,-0.05103432,0.25756193,-0.26737966,0.18165673,-0.18695402,0.15237537,-0.17887500,0.00000000,-0.00000000
3.76688344,1.63814232,-1.83183580,0.85686298,-0.92605296,0.04160009,-0.05047328,0.25046288,-0.26843836,0.17714336,-0.18824867,0.14449114,-0.17534030,0.00000000,-0.00000000
3.77288644,1.56933799,-1.81103381,0.82649943,-0.92193533,0.03957907,-0.04957671,0.24187993,-0.26763590,0.17154830,-0.18823835,0.13606903,-0.17066480,0.00000000,-0.00000000
3.77888944,1.49338077,-1.77832860,0.79181129,-0.91157554,0.03740744,-0.04836327,0.23198345,-0.26498858,0.16498563,-0.18692116,0.12726307,-0.16494548,0.00000000,-0.00000000
3.78489245,1.41168838,-1.73436992,0.75347104,-0.89517192,0.03512542,-0.04685795,0.22096554,-0.26055120,0.15758711,-0.18432348,0.11822781,-0.15829903,0.00000000,-0.00000000
3.79089545,1.32574372,-1.68003453,0.71220674,-0.87305148,0.03277399,-0.04509131,0.20903427,-0.25441531,0.14949829,-0.18049914,0.10911470,-0.15085811,0.00000000,-0.00000000
