energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-3.33466733,3.09665222,-1.79737351,1.03715635,-0.67692768,2.13637415,-1.09280792,0.31898251,-0.08564314,0.00146267,-0.00029654,1.62161139,-1.29355812,0.00000000,-0.00000000
-3.32866433,3.01410227,-1.88658270,0.99382797,-0.70486826,2.09335933,-1.15404868,0.31435205,-0.08700586,0.00142102,-0.00031272,1.56880919,-1.35578994,0.00000000,-0.00000000
-3.32266133,2.93348289,-1.98148325,0.95020799,-0.73531830,2.05203956,-1.21815955,0.30969056,-0.08998581,0.00138105,-0.00033354,1.51716695,-1.42026774,0.00000000,-0.00000000
-3.31665833,2.85601712,-2.08132203,0.90687360,-0.76802308,2.01311662,-1.28466831,0.30514702,-0.09454706,0.00134350,-0.00035905,1.46730768,-1.48641710,0.00000000,-0.00000000
-3.31065533,2.78286300,-2.18528879,0.86438369,-0.80269968,1.97725249,-1.35306330,0.30085461,-0.10064079,0.00130907,-0.00038934,1.41983761,-1.55363401,0.00000000,-0.00000000
-3.30465233,2.71507689,-2.29252652,0.82326594,-0.83904056,1.94504579,-1.42280036,0.29692658,-0.10820457,0.00127838,-0.00042443,1.37532800,-1.62129532,0.00000000,-0.00000000
-3.29864932,2.65358004,-2.40214174,0.78400537,-0.87671695,1.91700994,-1.49331056,0.29345293,-0.11716145,0.00125192,-0.00046436,1.33429789,-1.68876925,0.00000000,-0.00000000
-3.29264632,2.59912969,-2.51321491,0.74703452,-0.91538213,1.89355399,-1.56400889,0.29049778,-0.12741898,0.00123009,-0.00050911,1.29719863,-1.75542609,0.00000000,-0.00000000
-3.28664332,2.55229589,-2.62481104,0.71272576,-0.95467459,1.87496705,-1.63430370,0.28809760,-0.13886838,0.00121311,-0.00055865,1.26440079,-1.82064885,0.00000000,-0.00000000
-3.28064032,2.51344494,-2.73599058,0.68138567,-0.99422140,1.86140692,-1.70360688,0.28626042,-0.15138396,0.00120110,-0.00061289,1.23618388,-1.88384373,0.00000000,-0.00000000
-3.27463732,2.48272995,-2.84582072,0.65325155,-1.03364167,1.85289348,-1.77134448,0.28496588,-0.16482295,0.00119398,-0.00067168,1.21272933,-1.94445026,0.00000000,-0.00000000
-3.26863432,2.46008867,-2.95338688,0.62849003,-1.07255041,1.84930689,-1.83696754,0.28416624,-0.17902595,0.00119157,-0.00073482,1.19411668,-2.00195082,0.00000000,-0.00000000
-3.26263132,2.44524863,-3.05780439,0.60719753,-1.11056268,1.85039078,-1.89996267,0.28378829,-0.19381802,0.00119349,-0.00080201,1.18032311,-2.05587931,0.00000000,-0.00000000
-3.25662831,2.43773885,-3.15823013,0.58940243,-1.14729810,1.85575989,-1.95986206,0.28373608,-0.20901046,0.00119928,-0.00087290,1.17122610,-2.10582866,0.00000000,-0.00000000
-3.25062531,2.43690767,-3.25387362,0.57506848,-1.18238566,1.86491203,-2.01625242,0.28389443,-0.22440345,0.00120832,-0.00094703,1.16660872,-2.15145692,0.00000000,-0.00000000
-3.24462231,2.44194559,-3.34400746,0.56409946,-1.21546877,1.87724341,-2.06878239,0.28413307,-0.23978934,0.00121991,-0.00102389,1.16616734,-2.19249153,0.00000000,-0.00000000
-3.23861931,2.45191206,-3.42797647,0.55634439,-1.24621031,1.89206684,-2.11716801,0.28431132,-0.25495660,0.00123327,-0.00110284,1.16952119,-2.22873164,0.00000000,-0.00000000
-3.23261631,2.46576515,-3.50520523,0.55160338,-1.27429759,1.90863180,-2.16119598,0.28428308,-0.26969433,0.00124757,-0.00118320,1.17622323,-2.26004824,0.00000000,-0.00000000
-3.22661331,2.48239267,-3.57520365,0.54963371,-1.29944701,1.92614576,-2.20072428,0.28390208,-0.28379705,0.00126197,-0.00126418,1.18577189,-2.28638202,0.00000000,-0.00000000
-3.22061031,2.50064380,-3.63757029,0.55015589,-1.32140816,1.94379565,-2.23568038,0.28302712,-0.29706970,0.00127561,-0.00134495,1.19762327,-2.30773892,0.00000000,-0.00000000
-3.21460730,2.51935999,-3.69199322,0.55285986,-1.33996729,1.96076903,-2.26605673,0.28152705,-0.30933252,0.00128770,-0.00142462,1.21120329,-2.32418365,0.00000000,-0.00000000
-3.20860430,2.53740432,-3.73824850,0.55741089,-1.35494988,1.97627404,-2.29190401,0.27928554,-0.32042567,0.00129746,-0.00150227,1.22591970,-2.33583133,0.00000000,-0.00000000
-3.20260130,2.55368834,-3.77619628,0.56345558,-1.36622236,1.98955779,-2.31332233,0.27620521,-0.33021324,0.00130423,-0.00157696,1.24117354,-2.34283767,0.00000000,-0.00000000
-3.19659830,2.56719596,-3.80577498,0.57062762,-1.37369278,1.99992261,-2.33045099,0.27221108,-0.33858663,0.00130743,-0.00164775,1.25636991,-2.34538830,0.00000000,-0.00000000
-3.19059530,2.57700377,-3.82699373,0.57855359,-1.37731055,2.00673994,-2.34345730,0.26725329,-0.34546699,0.00130661,-0.00171373,1.27092820,-2.34368767,0.00000000,-0.00000000
-3.18459230,2.58229768,-3.83992383,0.58685886,-1.37706528,2.00946164,-2.35252519,0.26130885,-0.35080663,0.00130142,-0.00177404,1.28429139,-2.33794820,0.00000000,-0.00000000
-3.17858929,2.58238558,-3.84468971,0.59517339,-1.37298493,2.00762863,-2.35784428,0.25438246,-0.35458946,0.00129167,-0.00182786,1.29593471,-2.32838038,0.00000000,-0.00000000
-3.17258629,2.57670616,-3.84146003,0.60313783,-1.36513328,2.00087692,-2.35960000,0.24650639,-0.35683023,0.00127728,-0.00187448,1.30537345,-2.31518423,0.00000000,-0.00000000
-3.16658329,2.56483398,-3.83043954,0.61040957,-1.35360712,1.98894103,-2.35796544,0.23773939,-0.35757285,0.00125832,-0.00191328,1.31217007,-2.29854282,0.00000000,-0.00000000
-3.16058029,2.54648095,-3.81186217,0.61666887,-1.33853312,1.97165504,-2.35309535,0.22816480,-0.35688778,0.00123494,-0.00194376,1.31594042,-2.27861795,0.00000000,-0.00000000
-3.15457729,2.52149469,-3.78598591,0.62162487,-1.32006483,1.94895133,-2.34512263,0.21788788,-0.35486861,0.00120745,-0.00196555,1.31635918,-2.25554855,0.00000000,-0.00000000
