energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-4.91345673,5.59487156,0.00997299,0.15904448,0.04323773,2.73229821,3.43480548,1.93274813,0.00000000
-4.90745373,5.56208701,0.01009307,0.16602500,0.04514257,2.79429920,3.35862840,1.95835984,0.00000000
-4.90145073,5.52051926,0.01022796,0.17252911,0.04740427,2.84981277,3.27923471,1.97919256,0.00000000
-4.89544772,5.47054731,0.01037307,0.17843972,0.05007087,2.89781511,3.19758254,1.99489024,0.00000000
-4.88944472,5.41273104,0.01052586,0.18365236,0.05319883,2.93749812,3.11463531,2.00522784,0.00000000
-4.88344172,5.34779004,0.01068578,0.18807743,0.05685188,2.96828322,3.03133828,2.01011122,0.00000000
-4.87743872,5.27658764,0.01085417,0.19164220,0.06109958,2.98983202,2.94860244,2.00957605,0.00000000
-4.87143572,5.20011960,0.01103422,0.19429242,0.06601556,3.00205351,2.86729544,2.00378587,0.00000000
-4.86543272,5.11950683,0.01123084,0.19599353,0.07167545,3.00510717,2.78823871,1.99302901,0.00000000
-4.85942971,5.03599070,0.01145060,0.19673148,0.07815449,2.99940151,2.71220963,1.97771426,0.00000000
-4.85342671,4.95092940,0.01170159,0.19651304,0.08552495,2.98558770,2.63994740,1.95836500,0.00000000
-4.84742371,4.86579366,0.01199330,0.19536565,0.09385329,2.96454796,2.57216088,1.93561154,0.00000000
-4.84142071,4.78216008,0.01233647,0.19333674,0.10319720,2.93737852,2.50953697,1.91018145,0.00000000
-4.83541771,4.70170068,0.01274294,0.19049266,0.11360259,2.90536720,2.45274788,1.88288761,0.00000000
-4.82941471,4.62616713,0.01322545,0.18691711,0.12510058,2.86996577,2.40245611,1.85461396,0.00000000
-4.82341171,4.55736918,0.01379740,0.18270918,0.13770462,2.83275745,2.35931617,1.82629891,0.00000000
-4.81740870,4.49714661,0.01447265,0.17798105,0.15140793,2.79542022,2.32397221,1.79891637,0.00000000
-4.81140570,4.44733483,0.01526516,0.17285541,0.16618124,2.75968658,2.29705139,1.77345489,0.00000000
-4.80540270,4.40972484,0.01618877,0.16746269,0.18197110,2.72730070,2.27915302,1.75089504,0.00000000
-4.79939970,4.38601845,0.01725674,0.16193805,0.19869874,2.69997412,2.27083380,1.73218562,0.00000000
-4.79339670,4.37778016,0.01848145,0.15641839,0.21625966,2.67934099,2.27258982,1.71821922,0.00000000
-4.78739370,4.38638748,0.01987395,0.15103932,0.23452409,2.66691412,2.28483626,1.70980793,0.00000000
-4.78139070,4.41298156,0.02144352,0.14593215,0.25333811,2.66404314,2.30788582,1.70765982,0.00000000
-4.77538769,4.45842012,0.02319727,0.14122107,0.27252580,2.67187578,2.34192700,1.71235693,0.00000000
-4.76938469,4.52323467,0.02513963,0.13702044,0.29189209,2.69132352,2.38700339,1.72433561,0.00000000
-4.76338169,4.60759385,0.02727196,0.13343235,0.31122634,2.72303251,2.44299510,1.74386988,0.00000000
-4.75737869,4.71127461,0.02959214,0.13054441,0.33030668,2.76736071,2.50960331,1.77105837,0.00000000
-4.75137569,4.83364246,0.03209417,0.12842785,0.34890473,2.82436172,2.58633886,1.80581540,0.00000000
-4.74537269,4.97364199,0.03476791,0.12713599,0.36679070,2.89377601,2.67251552,1.84786660,0.00000000
-4.73936968,5.12979827,0.03759883,0.12670297,0.38373866,2.97502966,2.76724860,1.89674932,0.00000000
-4.73336668,5.30022944,0.04056787,0.12714295,0.39953175,3.06724061,2.86945905,1.95181787,0.00000000
-4.72736368,5.48267059,0.04365144,0.12844963,0.41396708,3.16923258,2.97788343,2.01225355,0.00000000
-4.72136068,5.67450835,0.04682155,0.13059619,0.42686037,3.27955589,3.09108955,2.07707934,0.00000000
-4.71535768,5.87282581,0.05004602,0.13353568,0.43804980,3.39651518,3.20749776,2.14517885,0.00000000
-4.70935468,6.07445663,0.05328892,0.13720177,0.44739933,3.51820292,3.32540747,2.21531898,0.00000000
-4.70335168,6.27604728,0.05651111,0.14150994,0.45480111,3.64253831,3.44302848,2.28617601,0.00000000
-4.69734867,6.47412595,0.05967090,0.14635912,0.46017710,3.76731044,3.55851646,2.35636407,0.00000000
-4.69134567,6.66517672,0.06272494,0.15163367,0.46347976,3.89022496,3.67001188,2.42446574,0.00000000
-4.68534267,6.84571708,0.06562913,0.15720585,0.46469201,4.00895300,3.77568154,2.48906359,0.00000000
-4.67933967,7.01237709,0.06833965,0.16293849,0.46382632,4.12118141,3.87376149,2.54877218,0.00000000
-4.67333667,7.16197811,0.07081410,0.16868812,0.46092321,4.22466320,3.96260047,2.60226967,0.00000000
-4.66733367,7.29160900,0.07301259,0.17430825,0.45604915,4.31726693,4.04070236,2.64832805,0.00000000
-4.66133067,7.39869776,0.07489884,0.17965286,0.44929404,4.39702393,4.10676634,2.68584153,0.00000000
-4.65532766,7.48107630,0.07644129,0.18457994,0.44076836,4.46217234,4.15972338,2.71385212,0.00000000
-4.64932466,7.53703633,0.07761400,0.18895509,0.43060022,4.51119661,4.19876759,2.73157180,0.00000000
-4.64332166,7.56537430,0.07839747,0.19265490,0.41893223,4.54286173,4.22338100,2.73840072,0.00000000
