energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.25562781,1.28958841,0.13346161,0.12695466,0.00022744,0.02268412,0.32594181,0.92026092,0.35193772,0.00000000
-5.24962481,1.19316699,0.12122948,0.11806415,0.00020361,0.02023001,0.29787316,0.85217910,0.32773586,0.00000000
-5.24362181,1.09914866,0.10967588,0.10944328,0.00018127,0.01794824,0.27101956,0.78550888,0.30391504,0.00000000
-5.23761881,1.00825022,0.09881760,0.10116917,0.00016048,0.01584039,0.24547388,0.72080523,0.28066669,0.00000000
-5.23161581,0.92112781,0.08866505,0.09331251,0.00014125,0.01390579,0.22131409,0.65857808,0.25817344,0.00000000
-5.22561281,0.83836430,0.07922225,0.08593595,0.00012361,0.01214170,0.19860191,0.59928287,0.23660425,0.00000000
-5.21960980,0.76045907,0.07048715,0.07909278,0.00010754,0.01054353,0.17738191,0.54331318,0.21611022,0.00000000
-5.21360680,0.68782058,0.06245175,0.07282579,0.00009299,0.00910509,0.15768110,0.49099528,0.19682105,0.00000000
-5.20760380,0.62076166,0.05510251,0.06716653,0.00007993,0.00781888,0.13950892,0.44258500,0.17884225,0.00000000
-5.20160080,0.55949778,0.04842067,0.06213479,0.00006827,0.00667633,0.12285777,0.39826665,0.16225320,0.00000000
-5.19559780,0.50414799,0.04238274,0.05773843,0.00005796,0.00566806,0.10770387,0.35815417,0.14710613,0.00000000
-5.18959480,0.45473854,0.03696096,0.05397349,0.00004889,0.00478419,0.09400859,0.32229405,0.13342585,0.00000000
-5.18359180,0.41120871,0.03212395,0.05082458,0.00004098,0.00401450,0.08172000,0.29067006,0.12121042,0.00000000
-5.17758879,0.37341868,0.02783731,0.04826559,0.00003413,0.00334873,0.07077476,0.26320918,0.11043244,0.00000000
-5.17158579,0.34115884,0.02406424,0.04626058,0.00002824,0.00277669,0.06110007,0.23978877,0.10104112,0.00000000
-5.16558279,0.31416027,0.02076627,0.04476493,0.00002321,0.00228850,0.05261582,0.22024431,0.09296482,0.00000000
-5.15957979,0.29210593,0.01790391,0.04372665,0.00001895,0.00187469,0.04523668,0.20437748,0.08611405,0.00000000
-5.15357679,0.27464200,0.01543731,0.04308789,0.00001537,0.00152631,0.03887414,0.19196435,0.08038482,0.00000000
-5.14757379,0.26138913,0.01332687,0.04278647,0.00001239,0.00123501,0.03343845,0.18276317,0.07566213,0.00000000
-5.14157079,0.25195311,0.01153385,0.04275758,0.00000992,0.00099312,0.02884040,0.17652165,0.07182359,0.00000000
-5.13556778,0.24593470,0.01002082,0.04293544,0.00000788,0.00079363,0.02499282,0.17298338,0.06874295,0.00000000
-5.12956478,0.24293835,0.00875217,0.04325493,0.00000622,0.00063025,0.02181192,0.17189332,0.06629354,0.00000000
-5.12356178,0.24257958,0.00769444,0.04365323,0.00000488,0.00049740,0.01921835,0.17300218,0.06435142,0.00000000
-5.11755878,0.24449093,0.00681660,0.04407124,0.00000381,0.00039013,0.01713796,0.17606961,0.06279833,0.00000000
-5.11155578,0.24832640,0.00609029,0.04445497,0.00000295,0.00030415,0.01550239,0.18086625,0.06152411,0.00000000
-5.10555278,0.25376435,0.00548995,0.04475662,0.00000227,0.00023576,0.01424935,0.18717469,0.06042885,0.00000000
-5.09954977,0.26050903,0.00499284,0.04493556,0.00000174,0.00018181,0.01332278,0.19478938,0.05942452,0.00000000
-5.09354677,0.26829079,0.00457910,0.04495898,0.00000134,0.00013963,0.01267272,0.20351580,0.05843611,0.00000000
-5.08754377,0.27686517,0.00423168,0.04480232,0.00000103,0.00010703,0.01225517,0.21316886,0.05740240,0.00000000
-5.08154077,0.28601123,0.00393622,0.04444949,0.00000080,0.00008219,0.01203174,0.22357109,0.05627614,0.00000000
-5.07553777,0.29552922,0.00368092,0.04389272,0.00000064,0.00006365,0.01196925,0.23455050,0.05502400,0.00000000
-5.06953477,0.30523806,0.00345639,0.04313233,0.00000053,0.00005027,0.01203937,0.24593873,0.05362592,0.00000000
-5.06353177,0.31497287,0.00325545,0.04217615,0.00000048,0.00004119,0.01221817,0.25756948,0.05207440,0.00000000
-5.05752876,0.32458281,0.00307296,0.04103889,0.00000047,0.00003578,0.01248575,0.26927763,0.05037327,0.00000000
-5.05152576,0.33392962,0.00290564,0.03974134,0.00000051,0.00003368,0.01282593,0.28089918,0.04853653,0.00000000
-5.04552276,0.34288700,0.00275184,0.03830944,0.00000059,0.00003468,0.01322598,0.29227216,0.04658689,0.00000000
-5.03951976,0.35134100,0.00261142,0.03677341,0.00000074,0.00003883,0.01367650,0.30323862,0.04455436,0.00000000
-5.03351676,0.35919158,0.00248560,0.03516684,0.00000095,0.00004632,0.01417133,0.31364771,0.04247487,0.00000000
-5.02751376,0.36635526,0.00237681,0.03352582,0.00000123,0.00005759,0.01470764,0.32335979,0.04038897,0.00000000
-5.02151076,0.37276884,0.00228860,0.03188824,0.00000162,0.00007325,0.01528604,0.33225146,0.03834062,0.00000000
-5.01550775,0.37839399,0.00222557,0.03029313,0.00000213,0.00009413,0.01591083,0.34022120,0.03637625,0.00000000
-5.00950475,0.38322247,0.00219333,0.02878016,0.00000278,0.00012129,0.01659024,0.34719551,0.03454388,0.00000000
-5.00350175,0.38728158,0.00219843,0.02738925,0.00000363,0.00015605,0.01733676,0.35313499,0.03289255,0.00000000
-4.99749875,0.39063958,0.00224837,0.02616039,0.00000471,0.00019998,0.01816742,0.35804024,0.03147184,0.00000000
-4.99149575,0.39341050,0.00235159,0.02513343,0.00000607,0.00025493,0.01910409,0.36195694,0.03033160,0.00000000
-4.98549275,0.39575804,0.00251745,0.02434803,0.00000777,0.00032307,0.02017361,0.36497988,0.02952175,0.00000000
-4.97948974,0.39789802,0.00275622,0.02384362,0.00000989,0.00040686,0.02140791,0.36725560,0.02909212,0.00000000
-4.97348674,0.40009907,0.00307905,0.02365937,0.00001250,0.00050908,0.02284386,0.36898311,0.02909235,0.00000000
-4.96748374,0.40268117,0.00349792,0.02383403,0.00001571,0.00063285,0.02452301,0.37041273,0.02957163,0.00000000
-4.96148074,0.40601184,0.00402551,0.02440573,0.00001961,0.00078158,0.02649111,0.37184268,0.03057844,0.00000000
-4.95547774,0.41049983,0.00467512,0.02541161,0.00002433,0.00095897,0.02879732,0.37361337,0.03216001,0.00000000
-4.94947474,0.41658629,0.00546044,0.02688729,0.00003000,0.00116898,0.03149323,0.37609955,0.03436162,0.00000000
-4.94347174,0.42473358,0.00639533,0.02886613,0.00003675,0.00141576,0.03463166,0.37970031,0.03722572,0.00000000
-4.93746873,0.43541180,0.00749354,0.03137828,0.00004475,0.00170364,0.03826516,0.38482733,0.04079067,0.00000000
-4.93146573,0.44908367,0.00876837,0.03444959,0.00005415,0.00203697,0.04244439,0.39189161,0.04508946,0.00000000
-4.92546273,0.46618803,0.01023228,0.03810032,0.00006513,0.00242011,0.04721628,0.40128919,0.05014810,0.00000000
-4.91945973,0.48712263,0.01189651,0.04234376,0.00007785,0.00285726,0.05262217,0.41338637,0.05598395,0.00000000
-4.91345673,0.51222696,0.01377064,0.04718479,0.00009248,0.00335237,0.05869589,0.42850501,0.06260405,0.00000000
-4.90745373,0.54176570,0.01586218,0.05261855,0.00010921,0.00390903,0.06546193,0.44690847,0.07000349,0.00000000
-4.90145073,0.57591369,0.01817617,0.05862909,0.00012818,0.00453031,0.07293375,0.46878885,0.07816389,0.00000000
-4.89544772,0.61474307,0.02071483,0.06518843,0.00014955,0.00521862,0.08111229,0.49425605,0.08705228,0.00000000
-4.88944472,0.65821332,0.02347728,0.07225572,0.00017343,0.00597564,0.08998491,0.52332925,0.09662030,0.00000000
-4.88344172,0.70616475,0.02645937,0.07977701,0.00019993,0.00680215,0.09952459,0.55593118,0.10680388,0.00000000
-4.87743872,0.75831603,0.02965361,0.08768535,0.00022911,0.00769797,0.10968972,0.59188562,0.11752353,0.00000000
-4.87143572,0.81426598,0.03304921,0.09590149,0.00026099,0.00866184,0.12042428,0.63091824,0.12868525,0.00000000
-4.86543272,0.87349979,0.03663231,0.10433515,0.00029555,0.00969144,0.13165866,0.67266101,0.14018208,0.00000000
-4.85942971,0.93539969,0.04038631,0.11288688,0.00033271,0.01078331,0.14331085,0.71665992,0.15189628,0.00000000
-4.85342671,0.99925964,0.04429238,0.12145041,0.00037233,0.01193294,0.15528831,0.76238602,0.16370213,0.00000000
-4.84742371,1.06430382,0.04833007,0.12991554,0.00041420,0.01313477,0.16749010,0.80924917,0.17546918,0.00000000
-4.84142071,1.12970798,0.05247808,0.13817143,0.00045807,0.01438234,0.17980946,0.85661419,0.18706592,0.00000000
-4.83541771,1.19462308,0.05671504,0.14611013,0.00050358,0.01566842,0.19213663,0.90381861,0.19836367,0.00000000
-4.82941471,1.25820004,0.06102041,0.15363027,0.00055034,0.01698517,0.20436176,0.95019150,0.20924043,0.00000000
-4.82341171,1.31961479,0.06537535,0.16064067,0.00059788,0.01832439,0.21637794,0.99507238,0.21958475,0.00000000
-4.81740870,1.37809232,0.06976357,0.16706375,0.00064566,0.01967773,0.22808399,1.03782968,0.22929909,0.00000000
-4.81140570,1.43292888,0.07417205,0.17283862,0.00069310,0.02103696,0.23938712,1.07787778,0.23830280,0.00000000
-4.80540270,1.48351126,0.07859167,0.17792352,0.00073957,0.02239421,0.25020523,1.11469205,0.24653438,0.00000000
