energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-5.90995498,6.14555255,0.07263683,1.06869322,0.24088550,0.27007884,2.34220942,1.12234070,0.06922211,1.64669359
-5.90395198,5.97873933,0.07064269,1.01886542,0.23449995,0.26673573,2.24753449,1.07784813,0.06767197,1.63794265
-5.89794897,5.81830687,0.06888826,0.96927638,0.22988405,0.26428511,2.15108260,1.03503479,0.06638440,1.63169596
-5.89194597,5.66602356,0.06741576,0.92051160,0.22709565,0.26276799,2.05406161,0.99453064,0.06537610,1.62793881
-5.88594297,5.52348677,0.06626421,0.87312162,0.22616687,0.26221010,1.95762550,0.95692617,0.06465899,1.62662383
-5.87993997,5.39209716,0.06546863,0.82761329,0.22710239,0.26262083,1.86285425,0.92276186,0.06424001,1.62767187
-5.87393697,5.27303736,0.06505929,0.78444222,0.22987802,0.26399262,1.77073631,0.89251828,0.06412110,1.63097357
-5.86793397,5.16725544,0.06506102,0.74400642,0.23443967,0.26630082,1.68215428,0.86660738,0.06429929,1.63639125
-5.86193097,5.07545304,0.06549256,0.70664139,0.24070275,0.26950400,1.59787401,0.84536504,0.06476693,1.64376124
-5.85592796,4.99807844,0.06636603,0.67261670,0.24855221,0.27354467,1.51853727,0.82904510,0.06551205,1.65289614
-5.84992496,4.93532436,0.06768648,0.64213410,0.25784308,0.27835046,1.44465807,0.81781522,0.06651875,1.66358726
-5.84392196,4.88713053,0.06945158,0.61532723,0.26840194,0.28383564,1.37662246,0.81175443,0.06776766,1.67560679
-5.83791896,4.85319075,0.07165144,0.59226273,0.28002904,0.28990293,1.31469166,0.81085256,0.06923656,1.68871006
-5.83191596,4.83296410,0.07426856,0.57294279,0.29250129,0.29644557,1.25900801,0.81501153,0.07090080,1.70263748
-5.82591296,4.82568990,0.07727790,0.55730895,0.30557607,0.30334954,1.20960328,0.82404832,0.07273396,1.71711656
-5.81990995,4.83040589,0.08064715,0.54524678,0.31899580,0.31049585,1.16640886,0.83769948,0.07470828,1.73186375
-5.81390695,4.84596895,0.08433702,0.53659147,0.33249313,0.31776283,1.12926709,0.85562707,0.07679517,1.74658637
-5.80790395,4.87107784,0.08830180,0.53113390,0.34579675,0.32502842,1.09794314,0.87742557,0.07896563,1.76098454
-5.80190095,4.90429715,0.09248986,0.52862691,0.35863749,0.33217222,1.07213693,0.90262975,0.08119056,1.77475329
-5.79589795,4.94408203,0.09684446,0.52879178,0.37075460,0.33907749,1.05149445,0.93072304,0.08344108,1.78758480
-5.78989495,4.98880293,0.10130443,0.53132435,0.38190198,0.34563279,1.03561816,0.96114626,0.08568869,1.79917090
-5.78389195,5.03677015,0.10580513,0.53590096,0.39185415,0.35173357,1.02407613,0.99330650,0.08790541,1.80920583
-5.77788894,5.08625780,0.11027936,0.54218386,0.40041174,0.35728338,1.01640982,1.02658591,0.09006384,1.81738930
-5.77188594,5.13552706,0.11465836,0.54982621,0.40740622,0.36219497,1.01214045,1.06035046,0.09213725,1.82342992
-5.76588294,5.18284883,0.11887290,0.55847655,0.41270385,0.36639118,1.01077419,1.09395850,0.09409953,1.82704895
-5.75987994,5.22652594,0.12285430,0.56778285,0.41620867,0.36980571,1.01180633,1.12676917,0.09592528,1.82798450
-5.75387694,5.26491525,0.12653565,0.57739621,0.41786437,0.37238380,1.01472486,1.15815071,0.09758978,1.82599604
-5.74787394,5.29644995,0.12985284,0.58697446,0.41765516,0.37408291,1.01901379,1.18748881,0.09906918,1.82086946
-5.74187094,5.31966254,0.13274577,0.59618561,0.41560557,0.37487340,1.02415678,1.21419500,0.10034059,1.81242245
-5.73586793,5.33320870,0.13515941,0.60471141,0.41177927,0.37473928,1.02964126,1.23771518,0.10138238,1.80051028
-5.72986493,5.33589234,0.13704486,0.61225114,0.40627714,0.37367907,1.03496360,1.25753836,0.10217447,1.78503197
-5.72386193,5.32669171,0.13836042,0.61852563,0.39923450,0.37170672,1.03963539,1.27320550,0.10269882,1.76593670
-5.71785893,5.30478638,0.13907242,0.62328159,0.39081798,0.36885267,1.04319098,1.28431850,0.10293985,1.74323024
-5.71185593,5.26958447,0.13915609,0.62629620,0.38122188,0.36516490,1.04519627,1.29054892,0.10288510,1.71698140
-5.70585293,5.22074929,0.13859618,0.62738184,0.37066450,0.36070998,1.04525854,1.29164649,0.10252580,1.68732808
-5.69984992,5.15822421,0.13738744,0.62639075,0.35938425,0.35557400,1.04303684,1.28744676,0.10185753,1.65448267
-5.69384692,5.08225448,0.13553493,0.62321955,0.34763599,0.34986332,1.03825276,1.27787773,0.10088077,1.61873641
-5.68784392,4.99340419,0.13305408,0.61781313,0.33568739,0.34370488,1.03070067,1.26296498,0.09960149,1.58046233
-5.68184092,4.89256699,0.12997050,0.61016785,0.32381554,0.33724613,1.02025709,1.24283480,0.09803157,1.54011644
-5.67583792,4.78096878,0.12631954,0.60033365,0.31230369,0.33065427,1.00688836,1.21771510,0.09618907,1.49823651
-5.66983492,4.66016106,0.12214568,0.58841478,0.30143812,0.32411477,0.99065609,1.18793357,0.09409831,1.45543837
-5.66383192,4.53200362,0.11750157,0.57456911,0.29150519,0.31782911,0.97171984,1.15391306,0.09178982,1.41240925
-5.65782891,4.39863606,0.11244688,0.55900563,0.28278825,0.31201149,0.95033656,1.11616398,0.08929993,1.36989802
-5.65182591,4.26243775,0.10704704,0.54198030,0.27556458,0.30688475,0.92685668,1.07527370,0.08667023,1.32870225
-5.64582291,4.12597663,0.10137165,0.52379010,0.27010217,0.30267525,0.90171650,1.03189330,0.08394673,1.28965222
-5.63981991,3.99194796,0.09549299,0.50476558,0.26665638,0.29960701,0.87542722,0.98672187,0.08117883,1.25359218
-5.63381691,3.86310450,0.08948427,0.48526186,0.26546635,0.29789515,0.84856079,0.94048890,0.07841810,1.22135926
-5.62781391,3.74218048,0.08341804,0.46564867,0.26675140,0.29773873,0.82173303,0.89393533,0.07571694,1.19376076
-5.62181091,3.63181203,0.07736453,0.44629957,0.27070736,0.29931355,0.79558465,0.84779404,0.07312709,1.17155063
-5.61580790,3.53445722,0.07139020,0.42758087,0.27750304,0.30276479,0.77076094,0.80277040,0.07069818,1.15540599
-5.60980490,3.45231916,0.06555636,0.40984070,0.28727701,0.30820024,0.74789093,0.75952372,0.06847632,1.14590497
-5.60380190,3.38727555,0.05991807,0.39339858,0.30013488,0.31568411,0.72756687,0.71865029,0.06650275,1.14350677
-5.59779890,3.34081814,0.05452321,0.37853605,0.31614738,0.32523213,0.71032496,0.68066882,0.06481273,1.14853507
-5.59179590,3.31400499,0.04941184,0.36548866,0.33534938,0.33680787,0.69662803,0.64600861,0.06343460,1.16116590
-5.58579290,3.30742832,0.04461586,0.35443969,0.35774011,0.35032103,0.68685107,0.61500110,0.06238921,1.18142068
-5.57978989,3.32119976,0.04015885,0.34551580,0.38328466,0.36562746,0.68127004,0.58787510,0.06168959,1.20916519
-5.57378689,3.35495410,0.03605627,0.33878487,0.41191690,0.38253148,0.68005453,0.56475559,0.06134100,1.24411472
-5.56778389,3.40787198,0.03231584,0.33425600,0.44354385,0.40079026,0.68326449,0.54566642,0.06134133,1.28584558
-5.56178089,3.47872071,0.02893811,0.33188169,0.47805128,0.42012030,0.69085120,0.53053642,0.06168181,1.33381265
-5.55577789,3.56591165,0.02591725,0.33156208,0.51531039,0.44020588,0.70266227,0.51920870,0.06234799,1.38737224
-5.54977489,3.66757179,0.02324192,0.33315102,0.55518526,0.46070916,0.71845055,0.51145264,0.06332102,1.44580949
-5.54377189,3.78162604,0.02089620,0.33646373,0.59754067,0.48128149,0.73788632,0.50697807,0.06457900,1.50836877
-5.53776888,3.90588657,0.01886067,0.34128558,0.64224965,0.50157554,0.76057236,0.50545079,0.06609855,1.57428583
-5.53176588,4.03814462,0.01711329,0.34738183,0.68920041,0.52125763,0.78606102,0.50650894,0.06785626,1.64281983
-5.52576288,4.17626037,0.01563045,0.35450762,0.73830193,0.54001977,0.81387257,0.50977938,0.06983017,1.71328349
-5.51975988,4.31824618,0.01438776,0.36241798,0.78948770,0.55759069,0.84351396,0.51489341,0.07200098,1.78506974
-5.51375688,4.46233900,0.01336082,0.37087735,0.84271712,0.57374547,0.87449713,0.52150119,0.07435313,1.85767310
-5.50775388,4.60705809,0.01252590,0.37966827,0.89797419,0.58831303,0.90635597,0.52928425,0.07687548,1.93070450
-5.50175088,4.75124510,0.01186040,0.38859879,0.95526324,0.60118139,0.93866119,0.53796572,0.07956165,2.00389855
-5.49574787,4.89408428,0.01134321,0.39750833,1.01460161,0.61230007,0.97103250,0.54731777,0.08241007,2.07711249
-5.48974487,5.03510190,0.01095498,0.40627189,1.07600945,0.62167975,1.00314746,0.55716611,0.08542351,2.15031687
-5.48374187,5.17414486,0.01067817,0.41480221,1.13949705,0.62938905,1.03474669,0.56739146,0.08860831,2.22357813
-5.47773887,5.31133987,0.01049708,0.42305005,1.20505005,0.63554856,1.06563530,0.57792804,0.09197327,2.29703405
-5.47173587,5.44703542,0.01039772,0.43100252,1.27261357,0.64032259,1.09568052,0.58875914,0.09552824,2.37086337
-5.46573287,5.58173002,0.01036767,0.43867955,1.34207585,0.64390882,1.12480587,0.59991030,0.09928253,2.44525127
-5.45972986,5.71599071,0.01039581,0.44612877,1.41325272,0.64652661,1.15298211,0.61144018,0.10324323,2.52035268
-5.45372686,5.85036677,0.01047215,0.45341902,1.48587359,0.64840449,1.18021579,0.62343001,0.10741344,2.59625574
-5.44772386,5.98530340,0.01058751,0.46063288,1.55957039,0.64976739,1.20653601,0.63597181,0.11179070,2.67294756
-5.44172086,6.12106064,0.01073334,0.46785859,1.63387003,0.65082448,1.23198032,0.64915627,0.11636549,2.75028447
-5.43571786,6.25764222,0.01090151,0.47518181,1.70819148,0.65175801,1.25658057,0.66306078,0.12112013,2.82796881
-5.42971486,6.39473865,0.01108417,0.48267761,1.78184792,0.65271390,1.28034978,0.67773826,0.12602791,2.90553364
-5.42371186,6.53168800,0.01127365,0.49040314,1.85405428,0.65379435,1.30327082,0.69320744,0.13105275,2.98233696
-5.41770885,6.66745706,0.01146244,0.49839149,1.92394029,0.65505298,1.32528771,0.70944499,0.13614923,3.05756563
-5.41170585,6.80064423,0.01164322,0.50664686,1.99056883,0.65649251,1.34630022,0.72638004,0.14126314,3.13024961
-5.40570285,6.92950451,0.01180897,0.51514160,2.05295891,0.65806527,1.36616223,0.74389145,0.14633247,3.19928572
-5.39969985,7.05199594,0.01195306,0.52381514,2.11011258,0.65967620,1.38468411,0.76180796,0.15128888,3.26347020
-5.39369685,7.16584532,0.01206948,0.53257496,2.16104481,0.66118836,1.40163923,0.77991132,0.15605952,3.32153870
-5.38769385,7.26863069,0.01215301,0.54129968,2.20481486,0.66243045,1.41677430,0.79794246,0.16056920,3.37221165
-5.38169085,7.35787658,0.01219945,0.54984413,2.24055821,0.66320604,1.42982326,0.81561041,0.16474278,3.41424335
-5.37568784,7.43115800,0.01220585,0.55804616,2.26751738,0.66330403,1.44052396,0.83260361,0.16850778,3.44647217
-5.36968484,7.48620832,0.01217065,0.56573498,2.28507051,0.66250970,1.44863688,0.84860335,0.17179694,3.46786987
-5.36368184,7.52102635,0.01209392,0.57274059,2.29275642,0.66061601,1.45396493,0.86329855,0.17455082,3.47758767
-5.35767884,7.53397754,0.01197744,0.57890386,2.29029507,0.65743449,1.45637319,0.87640137,0.17672021,3.47499715
-5.35167584,7.52388506,0.01182480,0.58408678,2.27760265,0.65280527,1.45580756,0.88766301,0.17826827,3.45972409
-5.34567284,7.49010632,0.01164144,0.58818228,2.25480057,0.64660587,1.45231117,0.89688867,0.17917236,3.43167388
-5.33966983,7.43259158,0.01143460,0.59112323,2.22221807,0.63875839,1.44603747,0.90395131,0.17942543,3.39104738
-5.33366683,7.35192169,0.01121322,0.59288991,2.18038831,0.62923472,1.43725903,0.90880308,0.17903694,3.33834661
-5.32766383,7.24932300,0.01098783,0.59351563,2.13003806,0.61805973,1.42637139,0.91148411,0.17803319,3.27436982
-5.32166083,7.12665820,0.01077031,0.59309008,2.07207137,0.60531221,1.41389116,0.91212782,0.17645714,3.20019630
-5.31565783,6.98639295,0.01057367,0.59176006,2.00754788,0.59112367,1.40044829,0.91096252,0.17436761,3.11716127
-5.30965483,6.83153883,0.01041173,0.58972752,1.93765631,0.57567486,1.38677218,0.90830881,0.17183787,3.02682165
-5.30365183,6.66557432,0.01029878,0.58724468,1.86368418,0.55919045,1.37367203,0.90457290,0.16895367,2.93091404
-5.29764882,6.49234603,0.01024925,0.58460648,1.78698472,0.54193183,1.36201178,0.90023567,0.16581083,2.83130610
-5.29164582,6.31595360,0.01027730,0.58214055,1.70894183,0.52418846,1.35268057,0.89583792,0.16251229,2.72994300
-5.28564282,6.14062201,0.01039642,0.58019493,1.63093435,0.50626807,1.34655958,0.89196232,0.15916482,2.62879081
-5.27963982,5.97056576,0.01061904,0.57912415,1.55430063,0.48848605,1.34448664,0.88921243,0.15587556,2.52977855
-5.27363682,5.80985005,0.01095615,0.57927425,1.48030435,0.47115454,1.34721998,0.88818997,0.15274827,2.43474088
-5.26763382,5.66225382,0.01141689,0.58096727,1.41010270,0.45457151,1.35540280,0.88947098,0.14987976,2.34536348
-5.26163082,5.53114026,0.01200826,0.58448607,1.34471783,0.43901042,1.36953007,0.89358207,0.14735634,2.26313276
-5.25562781,5.41933977,0.01273476,0.59006014,1.28501232,0.42471066,1.38991948,0.90097777,0.14525062,2.18929202
-5.24962481,5.32905034,0.01359818,0.59785306,1.23166948,0.41186941,1.41668776,0.91202005,0.14361867,2.12480529
-5.24362181,5.26175966,0.01459737,0.60795244,1.18517903,0.40063503,1.44973393,0.92696106,0.14249783,2.07033058
-5.23761881,5.21819253,0.01572816,0.62036264,1.14582870,0.39110241,1.48873056,0.94592987,0.14190510,2.02620333
-5.23161581,5.19828629,0.01698329,0.63500095,1.11370186,0.38331042,1.53312371,0.96892408,0.14183635,1.99243104
-5.22561281,5.20119578,0.01835251,0.65169740,1.08868157,0.37724164,1.58214214,0.99580671,0.14226627,1.96869929
-5.21960980,5.22532816,0.01982266,0.67019830,1.07046061,0.37282426,1.63481567,1.02630859,0.14314922,1.95438913
-5.21360680,5.26840667,0.02137795,0.69017350,1.05855751,0.36993630,1.69000231,1.06003640,0.14442083,1.94860532
-5.20760380,5.32756097,0.02300028,0.71122710,1.05233792,0.36841181,1.74642331,1.09648585,0.14600046,1.95021441
-5.20160080,5.39944059,0.02466961,0.73291110,1.05104050,0.36804883,1.80270472,1.13505970,0.14779425,1.95789133
-5.19559780,5.48034674,0.02636450,0.75474148,1.05380673,0.36861882,1.85742410,1.17508947,0.14969876,1.97017260
-5.18959480,5.56637695,0.02806255,0.77621598,1.05971327,0.36987711,1.90916001,1.21586018,0.15160501,1.98551412
-5.18359180,5.65357623,0.02974105,0.79683265,1.06780580,0.37157385,1.95654260,1.25663658,0.15340279,2.00235116
-5.17758879,5.73808795,0.03137746,0.81610843,1.07713312,0.37346503,1.99830270,1.29668983,0.15498489,2.01915804
-5.17158579,5.81629786,0.03295004,0.83359680,1.08678004,0.37532309,2.03331734,1.33532326,0.15625135,2.03450505
-5.16558279,5.88496481,0.03443831,0.84890361,1.09589792,0.37694656,2.06064973,1.37189583,0.15711320,2.04711009
-5.15957979,5.94133215,0.03582355,0.86170052,1.10373158,0.37816823,2.07958158,1.40584237,0.15749586,2.05588299
-5.15357679,5.98321542,0.03708917,0.87173524,1.10964155,0.37886171,2.08963664,1.43668945,0.15734178,2.05996056
-5.14757379,6.00906224,0.03822097,0.87883827,1.11312083,0.37894582,2.09059418,1.46406636,0.15661234,2.05873101
-5.14157079,6.01798259,0.03920740,0.88292583,1.11380553,0.37838678,2.08249191,1.48771072,0.15528904,2.05184684
-5.13556778,6.00974862,0.04003958,0.88399893,1.11147915,0.37719809,2.06561848,1.50746859,0.15337365,2.03922591
-5.12956478,5.98476500,0.04071133,0.88213877,1.10607039,0.37543808,2.04049590,1.52328943,0.15088773,2.02104084
-5.12356178,5.94401211,0.04121904,0.87749885,1.09764486,0.37320542,2.00785287,1.53521634,0.14787120,1.99769770
-5.11755878,5.88896590,0.04156151,0.87029420,1.08639127,0.37063264,1.96859067,1.54337235,0.14438036,1.96980518
-5.11155578,5.82149914,0.04173970,0.86078851,1.07260287,0.36787822,1.92374304,1.54794384,0.14048528,1.93813603
-5.10555278,5.74376978,0.04175646,0.84927986,1.05665537,0.36511749,1.87443241,1.54916203,0.13626676,1.90358301
-5.09954977,5.65810241,0.04161621,0.83608579,1.03898227,0.36253293,1.82182424,1.54728399,0.13181311,1.86711138
-5.09354677,5.56686918,0.04132470,0.82152859,1.02004918,0.36030420,1.76708200,1.54257400,0.12721679,1.82971063
-5.08754377,5.47237592,0.04088868,0.80592143,1.00032825,0.35859862,1.71132446,1.53528665,0.12257110,1.79234758
-5.08154077,5.37675910,0.04031572,0.78955616,0.98027399,0.35756225,1.65558738,1.52565238,0.11796708,1.75592306
-5.07553777,5.28189796,0.03961400,0.77269306,0.96030162,0.35731225,1.60079091,1.51386632,0.11349076,1.72123417
-5.06953477,5.18934554,0.03879219,0.75555319,0.94076890,0.35793066,1.54771404,1.50008091,0.10922077,1.68894350
-5.06353177,5.10028072,0.03785935,0.73831337,0.92196212,0.35945996,1.49697670,1.48440245,0.10522646,1.65955640
-5.05752876,5.01548252,0.03682489,0.72110397,0.90408666,0.36190051,1.44903000,1.46689172,0.10156647,1.63340698
-5.05152576,4.93532642,0.03569858,0.70400939,0.88726244,0.36520997,1.40415441,1.44756826,0.09828786,1.61065291
-5.04552276,4.85980136,0.03449054,0.68707105,0.87152400,0.36930463,1.36246549,1.42641805,0.09542563,1.59127862
-5.03951976,4.78854535,0.03321128,0.67029252,0.85682506,0.37406258,1.32392651,1.40340390,0.09300273,1.57510623
-5.03351676,4.72089638,0.03187168,0.65364640,0.84304683,0.37932841,1.28836671,1.37847778,0.09103041,1.56181317
-5.02751376,4.65595529,0.03048302,0.63708256,0.83000957,0.38491931,1.25550424,1.35159454,0.08950884,1.55095497
-5.02151076,4.59265652,0.02905691,0.62053714,0.81748640,0.39063216,1.22497221,1.32272608,0.08842793,1.54199186
-5.01550775,4.52984287,0.02760522,0.60394192,0.80521857,0.39625122,1.19634669,1.29187530,0.08776835,1.53431766
-5.00950475,4.46634056,0.02613996,0.58723359,0.79293124,0.40155623,1.16917524,1.25908926,0.08750256,1.52728920
-5.00350175,4.40103092,0.02467313,0.57036257,0.78034898,0.40633037,1.14300466,1.22447100,0.08759591,1.52025511
-4.99749875,4.33291609,0.02321655,0.55330089,0.76721017,0.41036788,1.11740703,1.18818949,0.08800772,1.51258259
-4.99149575,4.26117615,0.02178158,0.53604915,0.75327971,0.41348099,1.09200301,1.15048765,0.08869231,1.50368112
-4.98549275,4.18521618,0.02037901,0.51864206,0.73835952,0.41550594,1.06648170,1.11168812,0.08960006,1.49302255
-4.97948974,4.10470223,0.01901875,0.50115272,0.72229653,0.41630793,1.04061665,1.07219675,0.09067834,1.48015691
-4.97348674,4.01958577,0.01770966,0.48369542,0.70498805,0.41578483,1.01427761,1.03250395,0.09187254,1.46472389
-4.96748374,3.93011697,0.01645939,0.46642703,0.68638438,0.41386969,0.98743815,0.99318385,0.09312700,1.44646004
-4.96148074,3.83684744,0.01527426,0.44954707,0.66648900,0.41053190,0.96017895,0.95489160,0.09438605,1.42520183
-4.95547774,3.74062336,0.01415914,0.43329644,0.64535642,0.40577728,0.93268734,0.91835881,0.09559502,1.40088535
-4.94947474,3.64257045,0.01311744,0.41795511,0.62308821,0.39964704,0.90525321,0.88438740,0.09670133,1.37354273
-4.94347174,3.54407200,0.01215114,0.40383868,0.59982740,0.39221580,0.87826190,0.85384194,0.09765566,1.34329643
-4.93746873,3.44674147,0.01126088,0.39129405,0.57575195,0.38358896,0.85218454,0.82764067,0.09841307,1.31035157
-4.93146573,3.35239089,0.01044604,0.38069435,0.55106743,0.37389935,0.82756638,0.80674525,0.09893423,1.27498727
-4.92546273,3.26299640,0.00970498,0.37243317,0.52599953,0.36330371,0.80501364,0.79214931,0.09918655,1.23754726
-4.91945973,3.18066171,0.00903513,0.36691829,0.50078666,0.35197880,0.78517947,0.78486592,0.09914528,1.19843041
-4.91345673,3.10758069,0.00843329,0.36456492,0.47567293,0.34011757,0.76874948,0.78591402,0.09879449,1.15808140
-4.90745373,3.04599945,0.00789579,0.36578868,0.45090173,0.32792548,0.75642725,0.79630390,0.09812786,1.11698178
-4.90145073,2.99817866,0.00741873,0.37099840,0.42671009,0.31561695,0.74892028,0.81702187,0.09714933,1.07564166
-4.89544772,2.96635658,0.00699813,0.38058878,0.40332394,0.30341223,0.74692667,0.84901440,0.09587336,1.03459192
-4.88944472,2.95271313,0.00663013,0.39493321,0.38095419,0.29153455,0.75112287,0.89317183,0.09432507,0.99437704
-4.88344172,2.95933538,0.00631113,0.41437677,0.35979376,0.28020774,0.76215261,0.95031211,0.09253989,0.95554850
-4.87743872,2.98818496,0.00603783,0.43922960,0.34001538,0.26965420,0.78061728,1.02116485,0.09056305,0.91865858
-4.87143572,3.04106757,0.00580737,0.46976081,0.32177015,0.26009325,0.80706776,1.10635619,0.08844864,0.88425450
-4.86543272,3.11960523,0.00561729,0.50619303,0.30518677,0.25173982,0.84199773,1.20639482,0.08625848,0.85287286
-4.85942971,3.22521124,0.00546557,0.54869779,0.29037133,0.24480336,0.88583840,1.32165968,0.08406063,0.82503421
-4.85342671,3.35906850,0.00535055,0.59739175,0.27740749,0.23948695,0.93895451,1.45238954,0.08192778,0.80123776
-4.84742371,3.52211091,0.00527092,0.65233385,0.26635710,0.23598649,1.00164133,1.59867498,0.07993543,0.78195605
-4.84142071,3.71500816,0.00522559,0.71352342,0.25726100,0.23448974,1.07412239,1.76045257,0.07815995,0.76762968
-4.83541771,3.93815336,0.00521366,0.78089908,0.25014008,0.23517536,1.15654754,1.93750162,0.07667666,0.75866184
-4.82941471,4.19165321,0.00523427,0.85433838,0.24499631,0.23821149,1.24899085,2.12944302,0.07555780,0.75541284
-4.82341171,4.47531992,0.00528655,0.93365800,0.24181395,0.24375408,1.35144807,2.33574002,0.07487067,0.75819424
-4.81740870,4.78866417,0.00536955,1.01861427,0.24056054,0.25194452,1.46383299,2.55570050,0.07467576,0.76726289
-4.81140570,5.13088804,0.00548211,1.10890371,0.24118789,0.26290684,1.58597255,2.78848005,0.07502510,0.78281442
-4.80540270,5.50087726,0.00562287,1.20416350,0.24363282,0.27674410,1.71760029,3.03308546,0.07596070,0.80497655
-4.79939970,5.89719186,0.00579017,1.30397158,0.24781775,0.29353419,1.85834817,3.28837801,0.07751324,0.83380194
-4.79339670,6.31805512,0.00598204,1.40784626,0.25365097,0.31332496,2.00773682,3.55307613,0.07970096,0.86926075
-4.78739370,6.76134068,0.00619616,1.51524542,0.26102669,0.33612876,2.16516460,3.82575730,0.08252875,0.91123309
-4.78139070,7.22455859,0.00642990,1.62556529,0.26982487,0.36191667,2.32989609,4.10485924,0.08598760,0.95950163
-4.77538769,7.70484155,0.00668025,1.73813914,0.27991083,0.39061256,2.50105093,4.38868066,0.09005416,1.01374458
-4.76938469,8.19893324,0.00694391,1.85223622,0.29113479,0.42208731,2.67759410,4.67538250,0.09469080,1.07352963
-4.76338169,8.70318127,0.00721726,1.96706149,0.30333134,0.45615350,2.85832892,4.96299035,0.09984581,1.13830940
-4.75737869,9.21353757,0.00749639,2.08175665,0.31631916,0.49256115,3.04189414,5.24939963,0.10545406,1.20741882
-4.75137569,9.72556953,0.00777718,2.19540330,0.32990087,0.53099465,3.22676647,5.53238467,0.11143791,1.28007530
-4.74537269,10.23448488,0.00805528,2.30702862,0.34386347,0.57107156,3.41126983,5.80961328,0.11770855,1.35538209
-4.73936968,10.73517314,0.00832622,2.41561436,0.35797925,0.61234348,3.59359225,6.07866808,0.12416761,1.43233549
-4.73336668,11.22226583,0.00858541,2.52010936,0.37200755,0.65429945,3.77181100,6.33707553,0.13070916,1.50983627
-4.72736368,11.69021644,0.00882826,2.61944601,0.38569722,0.69637196,3.94392618,6.58234335,0.13722191,1.58670548
-4.72136068,12.13340031,0.00905019,2.71256033,0.39879006,0.73794578,4.10790214,6.81200625,0.14359178,1.66170474
-4.71535768,12.54623272,0.00924676,2.79841556,0.41102516,0.77836956,4.26171601,7.02367934,0.14970448,1.73356066
-4.70935468,12.92330231,0.00941375,2.87602843,0.42214396,0.81696987,4.40341146,7.21511764,0.15544836,1.80099294
-4.70335168,13.25951548,0.00954720,2.94449726,0.43189619,0.85306754,4.53115574,7.38427985,0.16071713,1.86274527
-4.69734867,13.55024578,0.00964356,3.00303047,0.44004611,0.88599556,4.64329746,7.52939327,0.16541252,1.91761810
-4.69134567,13.79148186,0.00969978,3.05097429,0.44637923,0.91511809,4.73842214,7.64901683,0.16944680,1.96450203
-4.68534267,13.97996624,0.00971333,3.08783799,0.45070887,0.93984973,4.81540276,7.74209860,0.17274492,2.00241035
-4.67933967,14.11331772,0.00968236,3.11331512,0.45288251,0.95967426,4.87344239,7.80802402,0.17524634,2.03050954
-4.67333667,14.19012999,0.00960575,3.12729935,0.45278740,0.97416202,4.91210630,7.84665163,0.17690639,2.04814619
-4.66733367,14.21004030,0.00948314,3.12989368,0.45035531,0.98298522,4.93134155,7.85833313,0.17769705,2.05486907
-4.66133067,14.17376321,0.00931495,3.12141206,0.44556612,0.98593035,4.93148247,7.84391568,0.17760738,2.05044547
-4.65532766,14.08308626,0.00910247,3.10237304,0.43844988,0.98290712,4.91324152,7.80472504,0.17664320,2.03487084
-4.64932466,13.94082652,0.00884776,3.07348527,0.42908747,0.97395361,4.87768538,7.74252943,0.17482642,2.00837131
-4.64332166,13.75074895,0.00855366,3.03562534,0.41760955,0.95923721,4.82619742,7.65948481,0.17219386,1.97139908
