energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-5.47773887,0.82128387,0.03443641,0.03497626,0.31173984,0.06201762,0.01374665,0.35219943,0.27188501,0.12191935
-5.47173587,0.84548129,0.03581771,0.03615161,0.32356192,0.06407593,0.01418822,0.36302375,0.28299929,0.12443062
-5.46573287,0.86916659,0.03721271,0.03727935,0.33524493,0.06617753,0.01463427,0.37365102,0.29388160,0.12680595
-5.45972986,0.89234980,0.03861717,0.03835343,0.34673012,0.06834188,0.01508607,0.38408563,0.30445177,0.12905508
-5.45372686,0.91502437,0.04002483,0.03936763,0.35794643,0.07058965,0.01554435,0.39432641,0.31462226,0.13118450
-5.44772386,0.93716821,0.04142761,0.04031585,0.36881196,0.07294276,0.01600926,0.40436726,0.32430059,0.13319717
-5.44172086,0.95874686,0.04281587,0.04119240,0.37923665,0.07542441,0.01648040,0.41419853,0.33339250,0.13509261
-5.43571786,0.97971852,0.04417882,0.04199239,0.38912574,0.07805921,0.01695685,0.42380918,0.34180568,0.13686740
-5.42971486,1.00004079,0.04550511,0.04271204,0.39838410,0.08087324,0.01743729,0.43318932,0.34945386,0.13851603
-5.42371186,1.01967812,0.04678348,0.04334904,0.40692088,0.08389405,0.01792012,0.44233316,0.35626100,0.14003205
-5.41770885,1.03860964,0.04800348,0.04390287,0.41465447,0.08715061,0.01840360,0.45124174,0.36216526,0.14140934
-5.41170585,1.05683633,0.04915623,0.04437496,0.42151715,0.09067303,0.01888602,0.45992536,0.36712254,0.14264355
-5.40570285,1.07438692,0.05023510,0.04476884,0.42745925,0.09449209,0.01936581,0.46840533,0.37110921,0.14373339
-5.39969985,1.09132173,0.05123632,0.04509009,0.43245244,0.09863861,0.01984170,0.47671468,0.37412387,0.14468183
-5.39369685,1.10773394,0.05215947,0.04534616,0.43649184,0.10314251,0.02031280,0.48489783,0.37618795,0.14549695
-5.38769385,1.12374790,0.05300775,0.04554607,0.43959683,0.10803169,0.02077863,0.49300888,0.37734498,0.14619248
-5.38169085,1.13951430,0.05378808,0.04569996,0.44181034,0.11333078,0.02123916,0.50110870,0.37765860,0.14678785
-5.37568784,1.15520241,0.05451091,0.04581854,0.44319672,0.11905969,0.02169476,0.50926082,0.37720934,0.14730773
-5.36968484,1.17098958,0.05518989,0.04591238,0.44383813,0.12523224,0.02214610,0.51752640,0.37609032,0.14778120
-5.36368184,1.18704891,0.05584121,0.04599130,0.44382987,0.13185478,0.02259410,0.52595855,0.37440217,0.14824030
-5.35767884,1.20353549,0.05648279,0.04606359,0.44327463,0.13892511,0.02303973,0.53459644,0.37224736,0.14871841
-5.35167584,1.22057261,0.05713327,0.04613541,0.44227636,0.14643155,0.02348391,0.54345961,0.36972446,0.14924817
-5.34567284,1.23823856,0.05781096,0.04621018,0.44093383,0.15435259,0.02392741,0.55254296,0.36692251,0.14985940
-5.33966983,1.25655537,0.05853264,0.04628819,0.43933453,0.16265687,0.02437067,0.56181284,0.36391602,0.15057690
-5.33366683,1.27548020,0.05931244,0.04636634,0.43754921,0.17130384,0.02481384,0.57120467,0.36076085,0.15141845
-5.32766383,1.29490025,0.06016074,0.04643802,0.43562741,0.18024486,0.02525667,0.58062234,0.35749121,0.15239303
-5.32166083,1.31463177,0.06108328,0.04649334,0.43359435,0.18942496,0.02569858,0.58993960,0.35411810,0.15349946
-5.31565783,1.33442339,0.06208036,0.04651940,0.43144931,0.19878503,0.02613874,0.59900342,0.35062914,0.15472556
-5.30965483,1.35396376,0.06314642,0.04650089,0.42916564,0.20826439,0.02657623,0.60763938,0.34698997,0.15604773
-5.30365183,1.37289326,0.06426974,0.04642074,0.42669244,0.21780368,0.02701017,0.61565865,0.34314692,0.15743135
-5.29764882,1.39081914,0.06543260,0.04626105,0.42395771,0.22734778,0.02743992,0.62286637,0.33903103,0.15883153
-5.29164582,1.40733320,0.06661160,0.04600391,0.42087294,0.23684864,0.02786529,0.62907089,0.33456298,0.16019464
-5.28564282,1.42203114,0.06777837,0.04563245,0.41733862,0.24626785,0.02828673,0.63409336,0.32965866,0.16146018
-5.27963982,1.43453238,0.06890050,0.04513167,0.41325064,0.25557874,0.02870547,0.63777715,0.32423512,0.16256314
-5.27363682,1.44449915,0.06994274,0.04448939,0.40850688,0.26476787,0.02912360,0.63999639,0.31821644,0.16343658
-5.26763382,1.45165391,0.07086828,0.04369690,0.40301396,0.27383574,0.02954415,0.64066337,0.31153926,0.16401446
-5.26163082,1.45579394,0.07164029,0.04274957,0.39669343,0.28279676,0.02997101,0.63973419,0.30415758,0.16423441
-5.25562781,1.45680249,0.07222335,0.04164722,0.38948738,0.29167826,0.03040881,0.63721234,0.29604668,0.16404042
-5.24962481,1.45465583,0.07258500,0.04039427,0.38136299,0.30051875,0.03086278,0.63315012,0.28720585,0.16338530
-5.24362181,1.44942589,0.07269712,0.03899973,0.37231595,0.30936547,0.03133842,0.62764781,0.27765991,0.16223281
-5.23761881,1.44127861,0.07253717,0.03747690,0.36237251,0.31827125,0.03184124,0.62085058,0.26745947,0.16055934
-5.23161581,1.43046808,0.07208928,0.03584301,0.35159018,0.32729099,0.03237641,0.61294349,0.25667988,0.15835511
-5.22561281,1.41732702,0.07134500,0.03411855,0.34005712,0.33647796,0.03294841,0.60414485,0.24541910,0.15562482
-5.21960980,1.40225422,0.07030389,0.03232663,0.32789022,0.34587993,0.03356070,0.59469826,0.23379458,0.15238781
-5.21360680,1.38569977,0.06897364,0.03049217,0.31523216,0.35553570,0.03421545,0.58486392,0.22193939,0.14867761
-5.20760380,1.36814881,0.06737007,0.02864106,0.30224745,0.36547192,0.03491331,0.57490958,0.20999773,0.14454103
-5.20160080,1.35010488,0.06551665,0.02679937,0.28911789,0.37570047,0.03565323,0.56510167,0.19812025,0.14003685
-5.19559780,1.33207338,0.06344388,0.02499254,0.27603748,0.38621670,0.03643245,0.55569696,0.18645921,0.13523402
-5.18959480,1.31454621,0.06118829,0.02324472,0.26320713,0.39699830,0.03724650,0.54693511,0.17516387,0.13020971
-5.18359180,1.29798787,0.05879131,0.02157812,0.25082935,0.40800522,0.03808934,0.53903256,0.16437610,0.12504700
-5.17758879,1.28282377,0.05629798,0.02001251,0.23910315,0.41918028,0.03895357,0.53217768,0.15422663,0.11983256
-5.17158579,1.26943085,0.05375547,0.01856491,0.22821920,0.43045071,0.03983068,0.52652748,0.14483175,0.11465426
-5.16558279,1.25813076,0.05121164,0.01724926,0.21835561,0.44173033,0.04071139,0.52220587,0.13629078,0.10959878
-5.15957979,1.24918559,0.04871353,0.01607634,0.20967418,0.45292239,0.04158597,0.51930335,0.12868419,0.10474943
-5.15357679,1.24279607,0.04630599,0.01505374,0.20231737,0.46392288,0.04244461,0.51787806,0.12207241,0.10018405
-5.14757379,1.23910204,0.04403033,0.01418594,0.19640599,0.47462412,0.04327775,0.51795795,0.11649538,0.09597328
-5.14157079,1.23818490,0.04192321,0.01347441,0.19203755,0.48491861,0.04407633,0.51954396,0.11197260,0.09217899
-5.13556778,1.24007184,0.04001566,0.01291790,0.18928539,0.49470283,0.04483209,0.52261389,0.10850385,0.08885311
-5.12956478,1.24474136,0.03833236,0.01251262,0.18819843,0.50388101,0.04553771,0.52712680,0.10607025,0.08603678
-5.12356178,1.25212989,0.03689114,0.01225255,0.18880154,0.51236867,0.04618692,0.53302758,0.10463586,0.08375981
-5.11755878,1.26213911,0.03570274,0.01212973,0.19109651,0.52009581,0.04677460,0.54025168,0.10414942,0.08204054
-5.11155578,1.27464360,0.03477085,0.01213454,0.19506350,0.52700969,0.04729671,0.54872953,0.10454648,0.08088596
-5.10555278,1.28949863,0.03409229,0.01225602,0.20066280,0.53307710,0.04775031,0.55839065,0.10575155,0.08029218
-5.09954977,1.30654756,0.03365752,0.01248213,0.20783698,0.53828600,0.04813339,0.56916721,0.10768045,0.08024518
-5.09354677,1.32562876,0.03345127,0.01280001,0.21651318,0.54264652,0.04844487,0.58099683,0.11024263,0.08072176
-5.08754377,1.34658161,0.03345338,0.01319628,0.22660543,0.54619122,0.04868439,0.59382462,0.11334343,0.08169064
-5.08154077,1.36925140,0.03363974,0.01365722,0.23801707,0.54897453,0.04885225,0.60760419,0.11688636,0.08311380
-5.07553777,1.39349292,0.03398327,0.01416907,0.25064292,0.55107139,0.04894930,0.62229771,0.12077518,0.08494783
-5.06953477,1.41917238,0.03445505,0.01471821,0.26437135,0.55257507,0.04897686,0.63787494,0.12491579,0.08714530
-5.06353177,1.44616795,0.03502537,0.01529136,0.27908604,0.55359413,0.04893668,0.65431125,0.12921802,0.08965618
-5.05752876,1.47436851,0.03566477,0.01587578,0.29466747,0.55424873,0.04883088,0.67158481,0.13359710,0.09242914
-5.05152576,1.50367106,0.03634500,0.01645950,0.31099413,0.55466619,0.04866195,0.68967293,0.13797494,0.09541278
-5.04552276,1.53397682,0.03703991,0.01703141,0.32794340,0.55497618,0.04843277,0.70854800,0.14228112,0.09855674
-5.03951976,1.56518664,0.03772622,0.01758147,0.34539236,0.55530557,0.04814656,0.72817317,0.14645368,0.10181269
-5.03351676,1.59719589,0.03838411,0.01810085,0.36321840,0.55577332,0.04780698,0.74849818,0.15043967,0.10513513
-5.02751376,1.62988980,0.03899772,0.01858203,0.38129986,0.55648559,0.04741809,0.76945564,0.15419545,0.10848209
-5.02151076,1.66313956,0.03955544,0.01901894,0.39951687,0.55753143,0.04698439,0.79095833,0.15768691,0.11181568
-5.01550775,1.69680009,0.04005014,0.01940706,0.41775250,0.55897937,0.04651083,0.81289766,0.16088953,0.11510256
-5.00950475,1.73070995,0.04047917,0.01974350,0.43589423,0.56087503,0.04600286,0.83514383,0.16378833,0.11831432
-5.00350175,1.76469388,0.04084431,0.02002707,0.45383608,0.56324019,0.04546637,0.85754786,0.16637790,0.12142781
-4.99749875,1.79856837,0.04115157,0.02025840,0.47148118,0.56607327,0.04490780,0.87994556,0.16866234,0.12442543
-4.99149575,1.83215029,0.04141093,0.02043995,0.48874497,0.56935141,0.04433407,0.90216358,0.17065533,0.12729543
-4.98549275,1.86526830,0.04163598,0.02057612,0.50555885,0.57303398,0.04375268,0.92402731,0.17238022,0.13003219
-4.97948974,1.89777679,0.04184352,0.02067324,0.52187417,0.57706748,0.04317167,0.94537024,0.17387016,0.13263649
-4.97348674,1.92957131,0.04205309,0.02073967,0.53766628,0.58139147,0.04259968,0.96604444,0.17516831,0.13511575
-4.96748374,1.96060466,0.04228652,0.02078578,0.55293842,0.58594524,0.04204595,0.98593143,0.17632800,0.13748420
-4.96148074,1.99090225,0.04256735,0.02082396,0.56772500,0.59067465,0.04152032,1.00495275,0.17741276,0.13976292
-4.95547774,2.02057539,0.04292030,0.02086857,0.58209400,0.59553876,0.04103319,1.02307932,0.17849627,0.14197978
-4.94947474,2.04983116,0.04337068,0.02093585,0.59614808,0.60051574,0.04059546,1.04033906,0.17966195,0.14416907
-4.94347174,2.07897733,0.04394373,0.02104376,0.61002398,0.60560738,0.04021839,1.05682158,0.18100222,0.14637092
-4.93746873,2.10842144,0.04466399,0.02121177,0.62389004,0.61084207,0.03991347,1.07267969,0.18261735,0.14863037
-4.93146573,2.13866283,0.04555456,0.02146057,0.63794157,0.61627554,0.03969213,1.08812700,0.18461371,0.15099614
-4.92546273,2.17027752,0.04663639,0.02181164,0.65239405,0.62198950,0.03956544,1.10343133,0.18710146,0.15351894
-4.91945973,2.20389565,0.04792749,0.02228679,0.66747414,0.62808779,0.03954376,1.11890411,0.19019174,0.15624956
-4.91345673,2.24017213,0.04944219,0.02290754,0.68340893,0.63469044,0.03963633,1.13488577,0.19399318,0.15923656
-4.90745373,2.27975156,0.05119038,0.02369449,0.70041351,0.64192555,0.03985076,1.15172785,0.19860796,0.16252384
-4.90145073,2.32322879,0.05317679,0.02466656,0.71867764,0.64991971,0.04019258,1.16977245,0.20412752,0.16614800
-4.89544772,2.37110730,0.05540040,0.02584018,0.73835211,0.65878731,0.04066479,1.18933024,0.21062801,0.17013578
-4.88944472,2.42375738,0.05785392,0.02722846,0.75953534,0.66861946,0.04126739,1.21065798,0.21816569,0.17450156
-4.88344172,2.48137690,0.06052345,0.02884036,0.78226132,0.67947313,0.04199703,1.23393703,0.22677258,0.17924527
-4.87743872,2.54395683,0.06338836,0.03067993,0.80648937,0.69136140,0.04284675,1.25925406,0.23645244,0.18435067
-4.87143572,2.61125418,0.06642134,0.03274559,0.83209661,0.70424530,0.04380581,1.28658523,0.24717756,0.18978423
-4.86543272,2.68277428,0.06958882,0.03502955,0.85887380,0.71802799,0.04485973,1.31578495,0.25888630,0.19549472
-4.85942971,2.75776409,0.07285155,0.03751741,0.88652484,0.73255172,0.04599041,1.34658013,0.27148185,0.20141357
-4.85342671,2.83521775,0.07616551,0.04018793,0.91467050,0.74759793,0.04717651,1.37857050,0.28483227,0.20745609
-4.84742371,2.91389477,0.07948309,0.04301312,0.94285619,0.76289061,0.04839389,1.41123534,0.29877189,0.21352349
-4.84142071,2.99235054,0.08275448,0.04595842,0.97056380,0.77810293,0.04961632,1.44394647,0.31310414,0.21950571
-4.83541771,3.06897843,0.08592927,0.04898336,0.99722716,0.79286687,0.05081624,1.47598722,0.32760591,0.22528489
-4.82941471,3.14206161,0.08895812,0.05204231,1.02225053,0.80678547,0.05196566,1.50657645,0.34203311,0.23073944
