energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.20160080,4.56127268,0.00299004,0.98429473,3.00946120,1.51479507,0.02262745,1.62196515,0.81142630,0.57954950
-5.19559780,4.61724972,0.00296557,1.00185858,3.09466092,1.53923581,0.02185897,1.63536485,0.81553837,0.58592955
-5.18959480,4.66936082,0.00294980,1.01820956,3.17781190,1.56137276,0.02112539,1.64840043,0.81857023,0.59201619
-5.18359180,4.71716941,0.00294128,1.03337637,3.25876261,1.58108206,0.02042970,1.66069683,0.82050220,0.59767443
-5.17758879,4.76028219,0.00293874,1.04740731,3.33738985,1.59827322,0.01977398,1.67187142,0.82133824,0.60276730
-5.17158579,4.79837515,0.00294108,1.06037010,3.41360046,1.61289461,0.01915964,1.68155451,0.82110979,0.60716279
-5.16558279,4.83121797,0.00294746,1.07235102,3.48733274,1.62493792,0.01858755,1.68940976,0.81987884,0.61074081
-5.15957979,4.85869537,0.00295727,1.08345366,3.55855698,1.63444143,0.01805825,1.69515337,0.81773995,0.61339970
-5.15357679,4.88082389,0.00297021,1.09379699,3.62727527,1.64149176,0.01757209,1.69857106,0.81482114,0.61506198
-5.14757379,4.89776307,0.00298624,1.10351283,3.69352009,1.64622394,0.01712933,1.69953188,0.81128347,0.61567911
-5.14157079,4.90982004,0.00300563,1.11274278,3.75735162,1.64881972,0.01673028,1.69799799,0.80731913,0.61523471
-5.13556778,4.91744676,0.00302891,1.12163452,3.81885352,1.64950391,0.01637529,1.69402995,0.80314817,0.61374641
-5.12956478,4.92122978,0.00305686,1.13033753,3.87812702,1.64853885,0.01606480,1.68778704,0.79901362,0.61126586
-5.12356178,4.92187230,0.00309050,1.13899836,3.93528333,1.64621715,0.01579932,1.67952252,0.79517533,0.60787715
-5.11755878,4.92016928,0.00313100,1.14775542,3.99043435,1.64285266,0.01557936,1.66957405,0.79190252,0.60369348
-5.11155578,4.91697609,0.00317968,1.15673346,4.04368170,1.63877022,0.01540530,1.65834950,0.78946522,0.59885238
-5.10555278,4.91317199,0.00323789,1.16603792,4.09510452,1.63429413,0.01527734,1.64630898,0.78812485,0.59350967
-5.09954977,4.90961987,0.00330697,1.17574919,4.14474613,1.62973608,0.01519534,1.63394371,0.78812430,0.58783237
-5.09354677,4.90712374,0.00338816,1.18591703,4.19260015,1.62538266,0.01515866,1.62175286,0.78967769,0.58199105
-5.08754377,4.90638604,0.00348251,1.19655538,4.23859666,1.62148312,0.01516604,1.61021932,0.79296034,0.57615185
-5.08154077,4.90796651,0.00359082,1.20763779,4.28258889,1.61823776,0.01521549,1.59978563,0.79809925,0.57046865
-5.07553777,4.91224459,0.00371354,1.21909355,4.32434136,1.61578745,0.01530415,1.59083121,0.80516450,0.56507572
-5.06953477,4.91938741,0.00385072,1.23080507,4.36352006,1.61420482,0.01542823,1.58365183,0.81416197,0.56008122
-5.06353177,4.92932487,0.00400190,1.24260640,4.39968556,1.61348757,0.01558298,1.57844263,0.82502792,0.55556190
