energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-1.85792896,5.47704302,0.17413575,0.00000000,0.66570852,4.31769460,0.23146298,0.97185268
-1.85192596,5.37225812,0.16970955,0.00000000,0.65210803,4.23514353,0.22753645,0.95208127
-1.84592296,5.24522815,0.16445928,0.00000000,0.63611372,4.13569545,0.22231072,0.92802815
-1.83991996,5.09822739,0.15847053,0.00000000,0.61805161,4.02114035,0.21589421,0.90008852
-1.83391696,4.93388932,0.15184739,0.00000000,0.59828776,3.89350976,0.20842166,0.86875230
-1.82791396,4.75511554,0.14470888,0.00000000,0.57721815,3.75500738,0.20004954,0.83458557
-1.82191096,4.56498248,0.13718518,0.00000000,0.55525860,3.60793884,0.19095095,0.79821119
-1.81590795,4.36664990,0.12941393,0.00000000,0.53283511,3.45464354,0.18131036,0.76028930
-1.80990495,4.16327460,0.12153653,0.00000000,0.51037509,3.29743104,0.17131835,0.72149868
-1.80390195,3.95793258,0.11369488,0.00000000,0.48829951,3.13852447,0.16116656,0.68251946
-1.79789895,3.75355220,0.10602825,0.00000000,0.46701628,2.98001265,0.15104306,0.64401794
-1.79189595,3.55286004,0.09867082,0.00000000,0.44691499,2.82381220,0.14112822,0.60663387
-1.78589295,3.35834046,0.09174945,0.00000000,0.42836284,2.67164032,0.13159131,0.57097039
-1.77988994,3.17220906,0.08538210,0.00000000,0.41170172,2.52499831,0.12258766,0.53758677
-1.77388694,2.99639927,0.07967661,0.00000000,0.39724634,2.38516514,0.11425662,0.50699389
-1.76788394,2.83256080,0.07472991,0.00000000,0.38528300,2.25320011,0.10672010,0.47965198
-1.76188094,2.68206796,0.07062758,0.00000000,0.37606882,2.12995305,0.10008176,0.45597060
-1.75587794,2.54603554,0.06744362,0.00000000,0.36983112,2.01608017,0.09442663,0.43631006
-1.74987494,2.42533966,0.06524043,0.00000000,0.36676656,1.91206371,0.08982110,0.42098397
-1.74387194,2.32064104,0.06406889,0.00000000,0.36703999,1.81823327,0.08631321,0.41026228
-1.73786893,2.23240831,0.06396836,0.00000000,0.37078269,1.73478707,0.08393302,0.40437444
-1.73186593,2.16093927,0.06496677,0.00000000,0.37808992,1.66181142,0.08269305,0.40351215
-1.72586293,2.10637862,0.06708049,0.00000000,0.38901788,1.59929729,0.08258873,0.40783141
-1.71985993,2.06873102,0.07031417,0.00000000,0.40358024,1.54715304,0.08359873,0.41745365
-1.71385693,2.04786927,0.07466055,0.00000000,0.42174428,1.50521302,0.08568525,0.43246593
-1.70785393,2.04353779,0.08010007,0.00000000,0.44342721,1.47324211,0.08879426,0.45292015
-1.70185093,2.05535203,0.08660068,0.00000000,0.46849286,1.45093671,0.09285573,0.47883144
-1.69584792,2.08279533,0.09411758,0.00000000,0.49674930,1.43792315,0.09778391,0.51017608
-1.68984492,2.12521449,0.10259322,0.00000000,0.52794767,1.43375439,0.10347784,0.54688904
-1.68384192,2.18181580,0.11195749,0.00000000,0.56178282,1.43790656,0.10982206,0.58886179
-1.67783892,2.25166332,0.12212829,0.00000000,0.59789578,1.44977630,0.11668766,0.63594035
-1.67183592,2.33368069,0.13301235,0.00000000,0.63587853,1.46868030,0.12393383,0.68792424
-1.66583292,2.42665776,0.14450663,0.00000000,0.67528093,1.49385778,0.13140977,0.74456627
-1.65982991,2.52926263,0.15649993,0.00000000,0.71561988,1.52447669,0.13895720,0.80557348
-1.65382691,2.64005937,0.16887499,0.00000000,0.75639028,1.55964385,0.14641329,0.87060924
-1.64782391,2.75753108,0.18151084,0.00000000,0.79707755,1.59841898,0.15361403,0.93929636
-1.64182091,2.88010729,0.19428534,0.00000000,0.83717102,1.63983210,0.16039796,1.01122113
-1.63581791,3.00619445,0.20707783,0.00000000,0.87617765,1.68290362,0.16661012,1.08593796
-1.62981491,3.13420788,0.21977172,0.00000000,0.91363531,1.72666591,0.17210601,1.16297431
-1.62381191,3.26260309,0.23225680,0.00000000,0.94912485,1.77018527,0.17675554,1.24183551
-1.61780890,3.38990476,0.24443131,0.00000000,0.98228041,1.81258283,0.18044662,1.32200916
-1.61180590,3.51473139,0.25620344,0.00000000,1.01279720,1.85305329,0.18308837,1.40296878
-1.60580290,3.63581413,0.26749232,0.00000000,1.04043641,1.89088012,0.18461363,1.48417637
-1.59979990,3.75200865,0.27822831,0.00000000,1.06502691,1.92544660,0.18498085,1.56508390
-1.59379690,3.86229956,0.28835272,0.00000000,1.08646369,1.95624183,0.18417500,1.64513363
-1.58779390,3.96579716,0.29781683,0.00000000,1.10470311,1.98286171,0.18220770,1.72375744
-1.58179090,4.06172737,0.30658044,0.00000000,1.11975541,2.00500487,0.17911641,1.80037541
-1.57578789,4.14941588,0.31461000,0.00000000,1.13167497,2.02246413,0.17496266,1.87439414
-1.56978489,4.22826821,0.32187642,0.00000000,1.14054894,2.03511433,0.16982967,1.94520529
-1.56378189,4.29774778,0.32835291,0.00000000,1.14648519,2.04289758,0.16381911,2.01218495
-1.55777889,4.35735423,0.33401294,0.00000000,1.14960038,2.04580723,0.15704749,2.07469441
-1.55177589,4.40660422,0.33882852,0.00000000,1.15000896,2.04387192,0.14964212,2.13208292
-1.54577289,4.44501687,0.34276896,0.00000000,1.14781392,2.03714088,0.14173697,2.18369302
-1.53976988,4.47210567,0.34580042,0.00000000,1.14309999,2.02567184,0.13346853,2.22886858
