energy_ev,total_up,Ge_p_up,Ge_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-5.81390695,1.13800201,0.16267487,0.00000000,0.33031503,0.32409980,0.15454146,0.13363124
-5.80790395,1.15573614,0.16505016,0.00000000,0.33798130,0.32833085,0.15703950,0.13578385
-5.80190095,1.16984202,0.16707108,0.00000000,0.34524153,0.33126958,0.15900383,0.13771303
-5.79589795,1.18045532,0.16878654,0.00000000,0.35209355,0.33293674,0.16047400,0.13944365
-5.78989495,1.18781302,0.17026137,0.00000000,0.35856806,0.33338343,0.16149995,0.14101383
-5.78389195,1.19223263,0.17157213,0.00000000,0.36472217,0.33268635,0.16213871,0.14247138
-5.77788894,1.19408870,0.17280230,0.00000000,0.37063227,0.33094223,0.16245083,0.14386993
-5.77188594,1.19378803,0.17403720,0.00000000,0.37638640,0.32826199,0.16249672,0.14526496
-5.76588294,1.19174471,0.17535884,0.00000000,0.38207670,0.32476461,0.16233299,0.14670983
-5.75987994,1.18835624,0.17684098,0.00000000,0.38779194,0.32057136,0.16200916,0.14825213
-5.75387694,1.18398188,0.17854457,0.00000000,0.39361064,0.31580036,0.16156480,0.14993036
-5.74787394,1.17892434,0.18051385,0.00000000,0.39959498,0.31056195,0.16102733,0.15177123
-5.74187094,1.17341549,0.18277333,0.00000000,0.40578563,0.30495489,0.16041060,0.15378762
-5.73586793,1.16760679,0.18532565,0.00000000,0.41219794,0.29906358,0.15971434,0.15597735
-5.72986493,1.16156475,0.18815059,0.00000000,0.41881932,0.29295644,0.15892442,0.15832269
-5.72386193,1.15527132,0.19120521,0.00000000,0.42560811,0.28668524,0.15801402,0.16079077
-5.71785893,1.14862911,0.19442502,0.00000000,0.43249378,0.28028562,0.15694560,0.16333470
-5.71185593,1.14147082,0.19772631,0.00000000,0.43937857,0.27377828,0.15567342,0.16589540
-5.70585293,1.13357230,0.20100932,0.00000000,0.44614033,0.26717114,0.15414663,0.16840406
-5.69984992,1.12466826,0.20416220,0.00000000,0.45263649,0.26046183,0.15231264,0.17078494
-5.69384692,1.11446968,0.20706554,0.00000000,0.45870894,0.25364064,0.15012058,0.17295857
-5.68784392,1.10268206,0.20959724,0.00000000,0.46418963,0.24669355,0.14752471,0.17484500
-5.68184092,1.08902331,0.21163756,0.00000000,0.46890662,0.23960518,0.14448744,0.17636708
-5.67583792,1.07324066,0.21307397,0.00000000,0.47269045,0.23236156,0.14098199,0.17745352
-5.66983492,1.05512559,0.21380579,0.00000000,0.47538050,0.22495248,0.13699444,0.17804175
-5.66383192,1.03452644,0.21374826,0.00000000,0.47683116,0.21737343,0.13252509,0.17808034
-5.65782891,1.01135810,0.21283600,0.00000000,0.47691777,0.20962702,0.12758914,0.17753100
-5.65182591,0.98560879,0.21102574,0.00000000,0.47554204,0.20172397,0.12221656,0.17637020
-5.64582291,0.95734388,0.20829817,0.00000000,0.47263685,0.19368354,0.11645141,0.17459024
-5.63981991,0.92670688,0.20465903,0.00000000,0.46817054,0.18553366,0.11035047,0.17219999
-5.63381691,0.89391816,0.20013936,0.00000000,0.46215053,0.17731072,0.10398145,0.16922526
-5.62781391,0.85927174,0.19479505,0.00000000,0.45462629,0.16905920,0.09742078,0.16570892
-5.62181091,0.82313074,0.18870573,0.00000000,0.44569177,0.16083118,0.09075131,0.16171081
-5.61580790,0.78592214,0.18197320,0.00000000,0.43548741,0.15268591,0.08405986,0.15730765
-5.60980490,0.74813145,0.17471948,0.00000000,0.42420159,0.14468956,0.07743492,0.15259286
-5.60380190,0.71029773,0.16708467,0.00000000,0.41207194,0.13691507,0.07096457,0.14767657
-5.59779890,0.67300957,0.15922473,0.00000000,0.39938628,0.12944232,0.06473468,0.14268568
-5.59179590,0.63690211,0.15130940,0.00000000,0.38648338,0.12235859,0.05882756,0.13776416
-5.58579290,0.60265555,0.14352015,0.00000000,0.37375363,0.11575922,0.05332104,0.13307345
-5.57978989,0.57099494,0.13604850,0.00000000,0.36163939,0.10974861,0.04828794,0.12879306
-5.57378689,0.54269115,0.12909453,0.00000000,0.35063505,0.10444122,0.04379606,0.12512113
-5.56778389,0.51856270,0.12286571,0.00000000,0.34128676,0.09996277,0.03990843,0.12227507
-5.56178089,0.49947793,0.11757589,0.00000000,0.33419131,0.09645131,0.03668398,0.12049185
-5.55577789,0.48635678,0.11344444,0.00000000,0.32999422,0.09405806,0.03417832,0.12002804
-5.54977489,0.48017158,0.11069544,0.00000000,0.32938647,0.09294795,0.03244464,0.12115921
-5.54377189,0.48194582,0.10955665,0.00000000,0.33309960,0.09329960,0.03153454,0.12417863
-5.53776888,0.49275016,0.11025831,0.00000000,0.34189883,0.09530460,0.03149879,0.12939493
-5.53176588,0.51369472,0.11303132,0.00000000,0.35657368,0.09916599,0.03238772,0.13712860
-5.52576288,0.54591696,0.11810500,0.00000000,0.37792587,0.10509578,0.03425136,0.14770709
-5.51975988,0.59056434,0.12570389,0.00000000,0.40675418,0.11331133,0.03713904,0.16145852
-5.51375688,0.64877151,0.13604390,0.00000000,0.44383610,0.12403065,0.04109853,0.17870370
-5.50775388,0.72163162,0.14932737,0.00000000,0.48990629,0.13746652,0.04617470,0.19974665
-5.50175088,0.81016204,0.16573740,0.00000000,0.54563195,0.15381952,0.05240758,0.22486361
-5.49574787,0.91526485,0.18543123,0.00000000,0.61158568,0.17326998,0.05983004,0.25429080
-5.48974487,1.03768305,0.20853298,0.00000000,0.68821622,0.19596915,0.06846503,0.28821120
-5.48374187,1.17795374,0.23512599,0.00000000,0.77581817,0.22202979,0.07832256,0.32674077
-5.47773887,1.33635990,0.26524491,0.00000000,0.87450166,0.25151648,0.08939655,0.36991463
-5.47173587,1.51288294,0.29886799,0.00000000,0.98416337,0.28443608,0.10166174,0.41767396
-5.46573287,1.70715812,0.33591001,0.00000000,1.10446043,0.32072880,0.11507083,0.46985406
