energy_ev,total_up,As_p_up,As_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-2.46423212,1.26085714,0.83867547,0.00000000,1.30843742,0.67266398,0.26205122,0.00000000
-2.45822911,1.15296015,0.76842860,0.00000000,1.20757261,0.61135725,0.23681150,0.00000000
-2.45222611,1.05837026,0.70632504,0.00000000,1.12108625,0.55584200,0.21483232,0.00000000
-2.44622311,0.97673058,0.65240215,0.00000000,1.04896963,0.50608769,0.19580236,0.00000000
-2.44022011,0.90762948,0.60662403,0.00000000,0.99110263,0.46201527,0.17942886,0.00000000
-2.43421711,0.85061454,0.56888601,0.00000000,0.94725983,0.42350366,0.16544455,0.00000000
-2.42821411,0.80520267,0.53901854,0.00000000,0.91711465,0.39039558,0.15361249,0.00000000
-2.42221111,0.77088676,0.51679044,0.00000000,0.90024205,0.36250248,0.14372873,0.00000000
-2.41620810,0.74713912,0.50191189,0.00000000,0.89612008,0.33960870,0.13562292,0.00000000
-2.41020510,0.73341239,0.49403720,0.00000000,0.90413102,0.32147496,0.12915714,0.00000000
-2.40420210,0.72913821,0.49276767,0.00000000,0.92356252,0.30784122,0.12422325,0.00000000
-2.39819910,0.73372475,0.49765475,0.00000000,0.95360950,0.29842910,0.12073884,0.00000000
-2.39219610,0.74655336,0.50820376,0.00000000,0.99337741,0.29294400,0.11864232,0.00000000
-2.38619310,0.76697532,0.52387842,0.00000000,1.04188724,0.29107711,0.11788731,0.00000000
-2.38019010,0.79430927,0.54410627,0.00000000,1.09808294,0.29250747,0.11843680,0.00000000
-2.37418709,0.82783981,0.56828518,0.00000000,1.16084133,0.29690415,0.12025720,0.00000000
-2.36818409,0.86681788,0.59579098,0.00000000,1.22898497,0.30392881,0.12331274,0.00000000
-2.36218109,0.91046323,0.62598625,0.00000000,1.30129781,0.31323872,0.12756049,0.00000000
-2.35617809,0.95796938,0.65823022,0.00000000,1.37654355,0.32449021,0.13294603,0.00000000
-2.35017509,1.00851098,0.69188946,0.00000000,1.45348648,0.33734269,0.13940030,0.00000000
-2.34417209,1.06125377,0.72634951,0.00000000,1.53091436,0.35146325,0.14683741,0.00000000
-2.33816908,1.11536688,0.76102672,0.00000000,1.60766263,0.36653167,0.15515385,0.00000000
-2.33216608,1.17003718,0.79538039,0.00000000,1.68263951,0.38224586,0.16422889,0.00000000
-2.32616308,1.22448533,0.82892462,0.00000000,1.75485091,0.39832752,0.17392625,0.00000000
-2.32016008,1.27798291,0.86123942,0.00000000,1.82342455,0.41452792,0.18409702,0.00000000
-2.31415708,1.32987008,0.89198090,0.00000000,1.88763229,0.43063347,0.19458363,0.00000000
-2.30815408,1.37957290,0.92088990,0.00000000,1.94690986,0.44647095,0.20522463,0.00000000
-2.30215108,1.42661979,0.94779875,0.00000000,2.00087305,0.46191216,0.21586025,0.00000000
-2.29614807,1.47065614,0.97263589,0.00000000,2.04932984,0.47687760,0.22633822,0.00000000
-2.29014507,1.51145637,0.99542793,0.00000000,2.09228759,0.49133914,0.23651981,0.00000000
-2.28414207,1.54893280,1.01629900,0.00000000,2.12995494,0.50532129,0.24628549,0.00000000
-2.27813907,1.58314060,1.03546723,0.00000000,2.16273814,0.51890109,0.25554026,0.00000000
-2.27213607,1.61427846,1.05323839,0.00000000,2.19123145,0.53220621,0.26421798,0.00000000
-2.26613307,1.64268456,1.06999662,0.00000000,2.21620209,0.54541161,0.27228477,0.00000000
-2.26013007,1.66882777,1.08619272,0.00000000,2.23856964,0.55873438,0.27974103,0.00000000
-2.25412706,1.69329413,1.10232997,0.00000000,2.25938072,0.57242713,0.28662214,0.00000000
-2.24812406,1.71676901,1.11894823,0.00000000,2.27977962,0.58677002,0.29299750,0.00000000
-2.24212106,1.74001538,1.13660661,0.00000000,2.30097569,0.60206172,0.29896824,0.00000000
-2.23611806,1.76384896,1.15586552,0.00000000,2.32420888,0.61860950,0.30466328,0.00000000
-2.23011506,1.78911127,1.17726859,0.00000000,2.35071427,0.63671904,0.31023428,0.00000000
-2.22411206,1.81664144,1.20132523,0.00000000,2.38168717,0.65668416,0.31584935,0.00000000
-2.21810905,1.84724800,1.22849457,0.00000000,2.41824988,0.67877702,0.32168600,0.00000000
-2.21210605,1.88168183,1.25917124,0.00000000,2.46142130,0.70323905,0.32792354,0.00000000
-2.20610305,1.92061117,1.29367369,0.00000000,2.51209038,0.73027311,0.33473527,0.00000000
-2.20010005,1.96459983,1.33223532,0.00000000,2.57099438,0.76003694,0.34228080,0.00000000
-2.19409705,2.01408916,1.37499877,0.00000000,2.63870220,0.79263826,0.35069877,0.00000000
-2.18809405,2.06938449,1.42201334,0.00000000,2.71560328,0.82813155,0.36010037,0.00000000
-2.18209105,2.13064620,1.47323549,0.00000000,2.80190194,0.86651637,0.37056380,0.00000000
-2.17608804,2.19788542,1.52853211,0.00000000,2.89761667,0.90773727,0.38212987,0.00000000
-2.17008504,2.27096426,1.58768612,0.00000000,3.00258391,0.95168481,0.39479900,0.00000000
-2.16408204,2.34959980,1.65040372,0.00000000,3.11646538,0.99819769,0.40852954,0.00000000
-2.15807904,2.43337152,1.71632285,0.00000000,3.23875802,1.04706542,0.42323758,0.00000000
-2.15207604,2.52173116,1.78502197,0.00000000,3.36880556,1.09803128,0.43879807,0.00000000
-2.14607304,2.61401433,1.85602867,0.00000000,3.50581071,1.15079533,0.45504733,0.00000000
-2.14007004,2.70945314,1.92882752,0.00000000,3.64884722,1.20501710,0.47178670,0.00000000
-2.13406703,2.80718913,2.00286680,0.00000000,3.79687126,1.26031801,0.48878722,0.00000000
