energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
3.55077539,2.34327248,0.05378733,0.45171804,0.42480759,0.26146024,1.08172186,0.98389352,0.22504907,0.22592347
3.55677839,2.24871606,0.05177316,0.43360101,0.40253938,0.25345086,1.01812514,0.94261198,0.21528388,0.22137739
3.56278139,2.15275206,0.04977041,0.41457573,0.38017908,0.24526123,0.95531792,0.90104030,0.20501587,0.21712907
3.56878439,2.05626898,0.04780652,0.39485527,0.35789625,0.23697780,0.89375852,0.85955435,0.19432950,0.21320837
3.57478739,1.96017093,0.04590738,0.37467343,0.33585668,0.22868749,0.83389430,0.81853082,0.18331790,0.20963402
3.58079040,1.86536607,0.04409650,0.35428232,0.31422122,0.22047564,0.77616072,0.77834349,0.17208099,0.20641328
3.58679340,1.77275372,0.04239426,0.33394921,0.29314455,0.21242389,0.72097955,0.73935897,0.16072325,0.20354203
3.59279640,1.68321087,0.04081730,0.31395272,0.27277389,0.20460820,0.66875629,0.70193231,0.14935126,0.20100529
3.59879940,1.59757851,0.03937792,0.29457846,0.25324765,0.19709707,0.61987696,0.66640237,0.13807122,0.19877800
3.60480240,1.51664845,0.03808372,0.27611427,0.23469405,0.18995003,0.57470425,0.63308734,0.12698646,0.19682643
3.61080540,1.44115117,0.03693738,0.25884516,0.21722987,0.18321647,0.53357336,0.60228056,0.11619505,0.19510972
3.61680840,1.37174514,0.03593662,0.24304812,0.20095936,0.17693497,0.49678748,0.57424666,0.10578779,0.19358202
3.62281141,1.30900778,0.03507438,0.22898690,0.18597322,0.17113299,0.46461324,0.54921824,0.09584634,0.19219464
3.62881441,1.25342845,0.03433915,0.21690692,0.17234795,0.16582703,0.43727618,0.52739312,0.08644188,0.19089857
3.63481741,1.20540325,0.03371554,0.20703027,0.16014530,0.16102319,0.41495637,0.50893210,0.07763409,0.18964693
3.64082041,1.16523159,0.03318493,0.19955104,0.14941215,0.15671802,0.39778429,0.49395726,0.06947064,0.18839742
3.64682341,1.13311427,0.03272631,0.19463092,0.14018047,0.15289970,0.38583707,0.48255073,0.06198698,0.18711450
3.65282641,1.10915279,0.03231717,0.19239518,0.13246766,0.14954928,0.37913521,0.47475373,0.05520664,0.18577129
3.65882941,1.09334954,0.03193441,0.19292902,0.12627705,0.14664207,0.37763970,0.47056597,0.04914173,0.18435097
3.66483242,1.08560851,0.03155530,0.19627450,0.12159859,0.14414890,0.38124993,0.46994510,0.04379387,0.18284772
3.67083542,1.08573651,0.03115840,0.20242797,0.11840968,0.14203734,0.38980226,0.47280645,0.03915519,0.18126695
3.67683842,1.09344460,0.03072431,0.21133817,0.11667620,0.14027270,0.40306943,0.47902276,0.03520953,0.17962497
3.68284142,1.10834990,0.03023642,0.22290509,0.11635358,0.13881881,0.42076119,0.48842426,0.03193376,0.17794806
3.68884442,1.12997786,0.02968144,0.23697972,0.11738798,0.13763861,0.44252600,0.50079899,0.02929902,0.17627094
3.69484742,1.15776536,0.02904982,0.25336488,0.11971764,0.13669443,0.46795422,0.51589360,0.02727202,0.17463479
3.70085043,1.19106510,0.02833600,0.27181704,0.12327423,0.13594821,0.49658286,0.53341489,0.02581615,0.17308497
3.70685343,1.22915151,0.02753846,0.29204956,0.12798438,0.13536146,0.52790194,0.55303212,0.02489257,0.17166847
3.71285643,1.27122893,0.02665966,0.31373716,0.13377133,0.13489525,0.56136268,0.57438058,0.02446106,0.17043142
3.71885943,1.31644221,0.02570582,0.33652175,0.14055664,0.13451019,0.59638735,0.59706624,0.02448084,0.16941671
3.72486243,1.36389018,0.02468660,0.36001965,0.14826210,0.13416641,0.63238074,0.62067191,0.02491108,0.16866187
3.73086543,1.41264203,0.02361469,0.38383003,0.15681175,0.13382380,0.66874308,0.64476474,0.02571140,0.16819742
3.73686843,1.46175653,0.02250533,0.40754446,0.16613392,0.13344233,0.70488393,0.66890510,0.02684216,0.16804580
3.74287144,1.51030377,0.02137580,0.43075732,0.17616338,0.13298263,0.74023691,0.69265662,0.02826463,0.16822083
3.74887444,1.55738889,0.02024495,0.45307672,0.18684343,0.13240673,0.77427442,0.71559723,0.02994114,0.16872787
3.75487744,1.60217701,0.01913265,0.47413571,0.19812789,0.13167907,0.80652204,0.73733071,0.03183509,0.16956460
3.76088044,1.64391832,0.01805936,0.49360311,0.20998292,0.13076756,0.83657194,0.75749835,0.03391096,0.17072239
3.76688344,1.68197235,0.01704571,0.51119381,0.22238843,0.12964476,0.86409453,0.77579029,0.03613430,0.17218807
