energy_ev,total_up,total_down,Bi_p_up,Bi_p_down,Bi_d_up,Bi_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.70585293,1.33496699,-1.33496694,0.08701004,-0.08701004,0.00560407,-0.00560407,0.47018951,-0.47018949,0.47855090,-0.47855089,0.00605819,-0.00605819,0.70913469,-0.70913466
-5.69984992,1.25604171,-1.25604166,0.08052171,-0.08052171,0.00528216,-0.00528216,0.43302431,-0.43302429,0.45305557,-0.45305555,0.00528557,-0.00528557,0.66709291,-0.66709289
-5.69384692,1.18330895,-1.18330891,0.07425153,-0.07425153,0.00500447,-0.00500447,0.39886913,-0.39886912,0.42939699,-0.42939698,0.00458841,-0.00458841,0.62861769,-0.62861767
-5.68784392,1.11750218,-1.11750214,0.06826644,-0.06826644,0.00477363,-0.00477363,0.36794997,-0.36794995,0.40786186,-0.40786185,0.00396759,-0.00396759,0.59408107,-0.59408105
-5.68184092,1.05918225,-1.05918222,0.06263098,-0.06263098,0.00459112,-0.00459112,0.34041967,-0.34041966,0.38868298,-0.38868296,0.00342313,-0.00342313,0.56375375,-0.56375373
-5.67583792,1.00873496,-1.00873493,0.05740688,-0.05740688,0.00445727,-0.00445727,0.31636048,-0.31636047,0.37203704,-0.37203704,0.00295445,-0.00295445,0.53780441,-0.53780439
-5.66983492,0.96637419,-0.96637416,0.05265284,-0.05265284,0.00437136,-0.00437136,0.29578842,-0.29578841,0.35804445,-0.35804444,0.00256067,-0.00256067,0.51630213,-0.51630212
-5.66383192,0.93215052,-0.93215050,0.04842474,-0.04842474,0.00433165,-0.00433165,0.27865950,-0.27865950,0.34677099,-0.34677098,0.00224088,-0.00224088,0.49922175,-0.49922174
-5.65782891,0.90596502,-0.90596501,0.04477594,-0.04477594,0.00433552,-0.00433552,0.26487741,-0.26487740,0.33823158,-0.33823158,0.00199442,-0.00199442,0.48645198,-0.48645197
-5.65182591,0.88758777,-0.88758776,0.04175791,-0.04175791,0.00437956,-0.00437956,0.25430230,-0.25430230,0.33239580,-0.33239580,0.00182119,-0.00182119,0.47780619,-0.47780619
-5.64582291,0.87668057,-0.87668056,0.03942086,-0.03942086,0.00445972,-0.00445972,0.24676059,-0.24676059,0.32919517,-0.32919516,0.00172183,-0.00172183,0.47303544,-0.47303543
-5.63981991,0.87282308,-0.87282308,0.03781445,-0.03781444,0.00457147,-0.00457147,0.24205526,-0.24205526,0.32853183,-0.32853183,0.00169800,-0.00169800,0.47184341,-0.47184341
-5.63381691,0.87554163,-0.87554163,0.03698838,-0.03698838,0.00470995,-0.00470995,0.23997644,-0.23997645,0.33028855,-0.33028855,0.00175251,-0.00175251,0.47390297,-0.47390297
