energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-4.58329165,10.41386160,-10.41386962,0.05530221,-0.05530247,0.90698185,-0.90698286,2.80547661,-2.80547725,3.90608405,-3.90608799,0.09633114,-0.09633138,4.87371645,-4.87371890,0.27623043,-0.27623038,0.14795423,-0.14795434
-4.57728864,10.54644969,-10.54645626,0.06162064,-0.06162091,0.92356019,-0.92356100,2.79541165,-2.79541192,3.97268813,-3.97269137,0.10125102,-0.10125127,4.91778842,-4.91779027,0.27192948,-0.27192941,0.14908991,-0.14909001
-4.57128564,10.63901780,-10.63902280,0.06821254,-0.06821281,0.93636668,-0.93636729,2.77548063,-2.77548051,4.02115469,-4.02115717,0.10645223,-0.10645249,4.94339362,-4.94339483,0.26671670,-0.26671660,0.14976254,-0.14976262
-4.56528264,10.68935236,-10.68935571,0.07501340,-0.07501368,0.94519752,-0.94519791,2.74558082,-2.74558031,4.05051271,-4.05051442,0.11185500,-0.11185527,4.94969792,-4.94969845,0.26065845,-0.26065833,0.14992903,-0.14992910
-4.55927964,10.69595567,-10.69595732,0.08194819,-0.08194847,0.94991932,-0.94991949,2.70574944,-2.70574854,4.06016230,-4.06016320,0.11737070,-0.11737097,4.93618681,-4.93618664,0.25383322,-0.25383308,0.14955316,-0.14955321
-4.55327664,10.65808278,-10.65808270,0.08893246,-0.08893274,0.95046950,-0.95046946,2.65617273,-2.65617143,4.04988342,-4.04988352,0.12290349,-0.12290375,4.90268317,-4.90268231,0.24632957,-0.24632942,0.14860725,-0.14860728
-4.54727364,10.57576109,-10.57575930,0.09587397,-0.09587424,0.94685489,-0.94685463,2.59719161,-2.59718994,4.01983461,-4.01983392,0.12835227,-0.12835253,4.84935764,-4.84935609,0.23824406,-0.23824388,0.14707362,-0.14707362
-4.54127064,10.44979228,-10.44978880,0.10267471,-0.10267498,0.93914870,-0.93914823,2.52930354,-2.52930151,3.97054181,-3.97054037,0.13361317,-0.13361341,4.77673092,-4.77672870,0.22967924,-0.22967906,0.14494571,-0.14494570
-4.53526763,10.28173654,-10.28173144,0.10923338,-0.10923363,0.92748616,-0.92748549,2.45315995,-2.45315758,3.90287819,-3.90287603,0.13858227,-0.13858249,4.68566822,-4.68566536,0.22074189,-0.22074169,0.14222893,-0.14222889
-4.52926463,10.07388009,-10.07387345,0.11544807,-0.11544830,0.91205905,-0.91205819,2.36955944,-2.36955676,3.81803594,-3.81803312,0.14315857,-0.14315878,4.57736560,-4.57736213,0.21154131,-0.21154110,0.13894099,-0.13894093
-4.52326163,9.82918718,-9.82917912,0.12121932,-0.12121952,0.89310941,-0.89310838,2.27943666,-2.27943371,3.71749148,-3.71748806,0.14724715,-0.14724733,4.45332882,-4.45332481,0.20218787,-0.20218766,0.13511192,-0.13511185
-4.51725863,9.55123842,-9.55122907,0.12645310,-0.12645328,0.87092282,-0.87092164,2.18384719,-2.18384400,3.60296547,-3.60296151,0.15076222,-0.15076237,4.31534534,-4.31534083,0.19279182,-0.19279160,0.13078358,-0.13078349
-4.51125563,9.24415747,-9.24414699,0.13106395,-0.13106410,0.84582141,-0.84582008,2.08394897,-2.08394560,3.47637931,-3.47637490,0.15363006,-0.15363017,4.16545015,-4.16544521,0.18346218,-0.18346196,0.12600878,-0.12600868
-4.50525263,8.91252856,-8.91251711,0.13497781,-0.13497792,0.81815699,-0.81815555,1.98098079,-1.98097728,3.33980975,-3.33980497,0.15579172,-0.15579180,4.00588663,-4.00588133,0.17430585,-0.17430563,0.12085009,-0.12084997
-4.49924962,8.56130704,-8.56129478,0.13813463,-0.13813470,0.78830446,-0.78830293,1.87623865,-1.87623505,3.19544303,-3.19543796,0.15720525,-0.15720529,3.83906335,-3.83905778,0.16542690,-0.16542668,0.11537822,-0.11537808
-4.49324662,8.19572545,-8.19571258,0.14049056,-0.14049059,0.75665557,-0.75665396,1.77105076,-1.77104712,3.04553002,-3.04552474,0.15784742,-0.15784742,3.66750812,-3.66750236,0.15692580,-0.15692559,0.10967025,-0.10967011
-4.48724362,7.82119730,-7.82118401,0.14201960,-0.14201959,0.72361322,-0.72361156,1.66675192,-1.66674828,2.89234334,-2.89233795,0.15771486,-0.15771483,3.49382017,-3.49381429,0.14889885,-0.14889865,0.10380768,-0.10380753
-4.48124062,7.44322038,-7.44320687,0.14271461,-0.14271455,0.68958634,-0.68958464,1.56465807,-1.56465448,2.73813760,-2.73813217,0.15682448,-0.15682440,3.32062166,-3.32061575,0.14143747,-0.14143728,0.09787432,-0.09787416
-4.47523762,7.06728144,-7.06726790,0.14258768,-0.14258759,0.65498519,-0.65498347,1.46604175,-1.46603825,2.58511303,-2.58510765,0.15521317,-0.15521306,3.15050946,-3.15050361,0.13462748,-0.13462730,0.09195420,-0.09195404
-4.46923462,6.69876353,-6.69875015,0.14166980,-0.14166967,0.62021716,-0.62021545,1.37210895,-1.37210559,2.43538319,-2.43537793,0.15293680,-0.15293666,2.98600792,-2.98600221,0.12854831,-0.12854814,0.08612959,-0.08612943
-4.46323162,6.34285721,-6.34284417,0.14000976,-0.14000960,0.58568296,-0.58568127,1.28397783,-1.28397464,2.29094660,-2.29094154,0.15006855,-0.15006838,2.82952340,-2.82951790,0.12327204,-0.12327189,0.08047907,-0.08047891
-4.45722861,6.00447641,-6.00446389,0.13767252,-0.13767233,0.55177297,-0.55177133,1.20265978,-1.20265680,2.15366237,-2.15365759,0.14669654,-0.14669634,2.68330123,-2.68329601,0.11886236,-0.11886222,0.07507580,-0.07507565
-4.45122561,5.68817986,-5.68816804,0.13473686,-0.13473663,0.51886382,-0.51886224,1.12904288,-1.12904015,2.02522950,-2.02522506,0.14292096,-0.14292074,2.54938549,-2.54938064,0.11537336,-0.11537324,0.06998604,-0.06998590
-4.44522261,5.39809858,-5.39808761,0.13129263,-0.13129238,0.48731498,-0.48731348,1.06387807,-1.06387560,1.90716955,-1.90716550,0.13885083,-0.13885059,2.42958234,-2.42957790,0.11284824,-0.11284815,0.06526791,-0.06526778
-4.43921961,5.13787011,-5.13786013,0.12743764,-0.12743737,0.45746535,-0.45746395,1.00776793,-1.00776575,1.80081227,-1.80080867,0.13460037,-0.13460012,2.32542705,-2.32542309,0.11131795,-0.11131788,0.06097040,-0.06097028
-4.43321661,4.91058023,-4.91057135,0.12327431,-0.12327402,0.42962976,-0.42962846,0.96115828,-0.96115640,1.70728391,-1.70728081,0.13028529,-0.13028504,2.23815557,-2.23815212,0.11079980,-0.11079975,0.05713270,-0.05713259
-4.42721361,4.71871282,-4.71870516,0.11890625,-0.11890596,0.40409538,-0.40409421,0.92433241,-0.92433083,1.62749782,-1.62749527,0.12601909,-0.12601883,2.16868086,-2.16867797,0.11129613,-0.11129610,0.05378377,-0.05378367
-4.42121061,4.56410889,-4.56410253,0.11443496,-0.11443466,0.38111814,-0.38111711,0.89740805,-0.89740678,1.56214719,-1.56214521,0.12190946,-0.12190920,2.11757486,-2.11757253,0.11279310,-0.11279310,0.05094220,-0.05094212
-4.41520760,4.44793554,-4.44793055,0.10995664,-0.10995634,0.36091906,-0.36091816,0.88033706,-0.88033611,1.51169981,-1.51169843,0.11805500,-0.11805475,2.08505634,-2.08505461,0.11525971,-0.11525973,0.04861634,-0.04861627
-4.40920460,4.37066611,-4.37066252,0.10555947,-0.10555918,0.34368062,-0.34367987,0.87290786,-0.87290722,1.47639490,-1.47639415,0.11454237,-0.11454213,2.07098569,-2.07098456,0.11864712,-0.11864717,0.04680461,-0.04680455
-4.40320160,4.33207242,-4.33207025,0.10132127,-0.10132099,0.32954338,-0.32954280,0.87475056,-0.87475021,1.45624213,-1.45624201,0.11144388,-0.11144366,2.07486676,-2.07486621,0.12288836,-0.12288843,0.04549605,-0.04549601
-4.39719860,4.33123006,-4.33122932,0.09730760,-0.09730733,0.31860282,-0.31860240,0.88534500,-0.88534492,1.45102302,-1.45102354,0.10881571,-0.10881551,2.09585665,-2.09585666,0.12789847,-0.12789856,0.04467108,-0.04467105
-4.39119560,4.36653759,-4.36653824,0.09357056,-0.09357030,0.31090652,-0.31090626,0.90403151,-0.90403169,1.46029505,-1.46029621,0.10669674,-0.10669656,2.13278351,-2.13278406,0.13357521,-0.13357532,0.04430235,-0.04430233
-4.38519260,4.43574999,-4.43575196,0.09014803,-0.09014779,0.30645193,-0.30645185,0.93002462,-0.93002504,1.48339875,-1.48340052,0.10510799,-0.10510783,2.18417272,-2.18417377,0.13980031,-0.13980043,0.04435576,-0.04435576
-4.37918959,4.53602654,-4.53602977,0.08706359,-0.08706337,0.30518482,-0.30518490,0.96242943,-0.96243006,1.51946802,-1.51947039,0.10405274,-0.10405260,2.24828106,-2.24828256,0.14644129,-0.14644142,0.04479160,-0.04479161
-4.37318659,4.66399284,-4.66399723,0.08432686,-0.08432666,0.30699842,-0.30699866,1.00026061,-1.00026142,1.56744402,-1.56744695,0.10351719,-0.10351707,2.32313863,-2.32314052,0.15335389,-0.15335402,0.04556569,-0.04556571
-4.36718359,4.81581589,-4.81582133,0.08193439,-0.08193421,0.31173350,-0.31173389,1.04246369,-1.04246465,1.62609260,-1.62609604,0.10347170,-0.10347160,2.40659761,-2.40659983,0.16038495,-0.16038509,0.04663061,-0.04663064
-4.36118059,4.98729094,-4.98729729,0.07987090,-0.07987075,0.31917952,-0.31918005,1.08793841,-1.08793948,1.69402541,-1.69402932,0.10387245,-0.10387238,2.49638659,-2.49638907,0.16737582,-0.16737596,0.04793699,-0.04793703
-4.35517759,5.17393808,-5.17394518,0.07811088,-0.07811075,0.32907676,-0.32907742,1.13556333,-1.13556449,1.76972452,-1.76972885,0.10466354,-0.10466348,2.59016919,-2.59017186,0.17416609,-0.17416622,0.04943464,-0.04943469
-4.34917459,5.37110605,-5.37111375,0.07662034,-0.07662022,0.34111971,-0.34112048,1.18422140,-1.18422261,1.85157021,-1.85157488,0.10577923,-0.10577920,2.68560484,-2.68560763,0.18059750,-0.18059763,0.05107378,-0.05107383
