energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-2.44622311,5.23577517,0.00945059,0.19701749,0.30002503,0.00000000,1.43917944,2.72700200,0.02594241,2.45313167
-2.44022011,5.06566917,0.00924326,0.18975941,0.28650683,0.00000000,1.38785526,2.63213512,0.02369296,2.38347124
-2.43421711,4.89309615,0.00898060,0.18306840,0.27417995,0.00000000,1.33534510,2.53403936,0.02158577,2.31337205
-2.42821411,4.71922859,0.00866730,0.17686845,0.26312514,0.00000000,1.28190322,2.43389486,0.01962790,2.24291830
-2.42221111,4.54537255,0.00830896,0.17108310,0.25340787,0.00000000,1.22784117,2.33296030,0.01782499,2.17226416
-2.41620810,4.37293276,0.00791190,0.16563748,0.24507817,0.00000000,1.17352048,2.23254022,0.01618129,2.10162768
-2.41020510,4.20337216,0.00748296,0.16045997,0.23817067,0.00000000,1.11934255,2.13395043,0.01469969,2.03128109
-2.40420210,4.03816762,0.00702932,0.15548358,0.23270459,0.00000000,1.06573628,2.03848251,0.01338165,1.96153826
-2.39819910,3.87876372,0.00655827,0.15064704,0.22868382,0.00000000,1.01314413,1.94736863,0.01222725,1.89274016
-2.39219610,3.72652667,0.00607703,0.14589564,0.22609687,0.00000000,0.96200716,1.86174779,0.01123514,1.82523922
-2.38619310,3.58270017,0.00559257,0.14118183,0.22491678,0.00000000,0.91274995,1.78263465,0.01040260,1.75938353
-2.38019010,3.44836502,0.00511139,0.13646571,0.22510091,0.00000000,0.86576598,1.71089187,0.00972549,1.69550161
-2.37418709,3.32440414,0.00463947,0.13171537,0.22659071,0.00000000,0.82140422,1.64720686,0.00919828,1.63388860
-2.36818409,3.21147416,0.00418207,0.12690707,0.22931145,0.00000000,0.77995743,1.59207369,0.00881409,1.57479444
-2.36218109,3.10998470,0.00374370,0.12202541,0.23317205,0.00000000,0.74165268,1.54578066,0.00856473,1.51841437
-2.35617809,3.02008594,0.00332809,0.11706334,0.23806493,0.00000000,0.70664449,1.50840406,0.00844075,1.46488220
-2.35017509,2.94166495,0.00293811,0.11202212,0.24386628,0.00000000,0.67501066,1.47980817,0.00843155,1.41426641
-2.34417209,2.87435084,0.00257583,0.10691118,0.25043654,0.00000000,0.64675110,1.45965173,0.00852545,1.36656903
-2.33816908,2.81752849,0.00224255,0.10174780,0.25762137,0.00000000,0.62178937,1.44740068,0.00870985,1.32172726
-2.33216608,2.77036060,0.00193887,0.09655673,0.26525320,0.00000000,0.59997712,1.44234691,0.00897138,1.27961771
-2.32616308,2.73181724,0.00166472,0.09136968,0.27315338,0.00000000,0.58110085,1.44363256,0.00929611,1.24006274
-2.32016008,2.70071215,0.00141949,0.08622457,0.28113493,0.00000000,0.56489097,1.45027932,0.00966973,1.20283895
-2.31415708,2.67574463,0.00120212,0.08116478,0.28900605,0.00000000,0.55103259,1.46122181,0.01007783,1.16768722
-2.30815408,2.65554590,0.00101117,0.07623816,0.29657413,0.00000000,0.53917778,1.47534431,0.01050616,1.13432397
-2.30215108,2.63872834,0.00084494,0.07149604,0.30365037,0.00000000,0.52895865,1.49151943,0.01094089,1.10245342
-2.29614807,2.62393630,0.00070154,0.06699204,0.31005469,0.00000000,0.52000094,1.50864790,0.01136891,1.07178032
-2.29014507,2.60989647,0.00057898,0.06278092,0.31562095,0.00000000,0.51193761,1.52569779,0.01177810,1.04202272
-2.28414207,2.59546640,0.00047524,0.05891736,0.32020201,0.00000000,0.50442186,1.54174204,0.01215762,1.01292456
-2.27813907,2.57967919,0.00038835,0.05545478,0.32367466,0.00000000,0.49713926,1.55599284,0.01249814,0.98426739
-2.27213607,2.56178270,0.00031640,0.05244415,0.32594391,0.00000000,0.48981850,1.56783150,0.01279204,0.95588108
-2.26613307,2.54127175,0.00025761,0.04993288,0.32694664,0.00000000,0.48224042,1.57683280,0.01303358,0.92765292
-2.26013007,2.51791189,0.00021036,0.04796386,0.32665418,0.00000000,0.47424511,1.58278251,0.01321900,0.89953485
-2.25412706,2.49175361,0.00017321,0.04657446,0.32507377,0.00000000,0.46573667,1.58568760,0.01334655,0.87154850
-2.24812406,2.46313640,0.00014489,0.04579582,0.32224873,0.00000000,0.45668573,1.58577844,0.01341650,0.84378772
-2.24212106,2.43268216,0.00012434,0.04565215,0.31825729,0.00000000,0.44712945,1.58350297,0.01343101,0.81641853
-2.23611806,2.40127819,0.00011068,0.04616023,0.31321001,0.00000000,0.43716925,1.57951289,0.01339398,0.78967637
-2.23011506,2.37005030,0.00010324,0.04732906,0.30724600,0.00000000,0.42696623,1.57464246,0.01331086,0.76386069
-2.22411206,2.34032692,0.00010149,0.04915969,0.30052801,0.00000000,0.41673461,1.56988069,0.01318838,0.73932701
-2.21810905,2.31359566,0.00010509,0.05164516,0.29323656,0.00000000,0.40673332,1.56633801,0.01303427,0.71647675
-2.21210605,2.29145392,0.00011387,0.05477069,0.28556347,0.00000000,0.39725630,1.56520866,0.01285691,0.69574516
-2.20610305,2.27555542,0.00012776,0.05851400,0.27770502,0.00000000,0.38862158,1.56773040,0.01266506,0.67758762
-2.20010005,2.26755458,0.00014684,0.06284578,0.26985505,0.00000000,0.38115986,1.57514271,0.01246748,0.66246504
-2.19409705,2.26905076,0.00017126,0.06773037,0.26219836,0.00000000,0.37520264,1.58864533,0.01227269,0.65082864
-2.18809405,2.28153425,0.00020127,0.07312655,0.25490458,0.00000000,0.37107058,1.60935824,0.01208870,0.64310466
-2.18209105,2.30633565,0.00023718,0.07898841,0.24812295,0.00000000,0.36906219,1.63828439,0.01192274,0.63967951
-2.17608804,2.34458019,0.00027932,0.08526639,0.24197803,0.00000000,0.36944342,1.67627630,0.01178114,0.64088588
-2.17008504,2.39714806,0.00032804,0.09190829,0.23656661,0.00000000,0.37243807,1.72400723,0.01166919,0.64698998
-2.16408204,2.46464174,0.00038368,0.09886025,0.23195579,0.00000000,0.37821962,1.78194767,0.01159105,0.65818057
-2.15807904,2.54736085,0.00044652,0.10606776,0.22818237,0.00000000,0.38690430,1.85034728,0.01154971,0.67455976
-2.15207604,2.64528481,0.00051681,0.11347647,0.22525347,0.00000000,0.39854578,1.92922274,0.01154705,0.69613595
-2.14607304,2.75806343,0.00059466,0.12103288,0.22314812,0.00000000,0.41313138,2.01835131,0.01158381,0.72281909
-2.14007004,2.88501534,0.00068012,0.12868486,0.22181999,0.00000000,0.43057999,2.11727007,0.01165971,0.75441824
-2.13406703,3.02513404,0.00077304,0.13638188,0.22120071,0.00000000,0.45074155,2.22528070,0.01177351,0.79064165
-2.12806403,3.17710126,0.00087315,0.14407504,0.22120395,0.00000000,0.47339828,2.34145947,0.01192308,0.83109920
-2.12206103,3.33930735,0.00097998,0.15171689,0.22172968,0.00000000,0.49826754,2.46467220,0.01210550,0.87530742
-2.11605803,3.50987824,0.00109286,0.15926102,0.22266875,0.00000000,0.52500623,2.59359400,0.01231713,0.92269676
-2.11005503,3.68670874,0.00121094,0.16666152,0.22390727,0.00000000,0.55321682,2.72673342,0.01255370,0.97262131
-2.10405203,3.86750159,0.00133315,0.17387232,0.22533089,0.00000000,0.58245480,2.86246072,0.01281031,1.02437066
-2.09804902,4.04981192,0.00145822,0.18084658,0.22682865,0.00000000,0.61223752,2.99903997,0.01308156,1.07718373
-2.09204602,4.23109638,0.00158470,0.18753609,0.22829636,0.00000000,0.64205425,3.13466452,0.01336153,1.13026444
-2.08604302,4.40876634,0.00171097,0.19389090,0.22963935,0.00000000,0.67137729,3.26749525,0.01364390,1.18279880
-2.08004002,4.58024405,0.00183528,0.19985914,0.23077465,0.00000000,0.69967387,3.39570106,0.01392193,1.23397309
-2.07403702,4.74302073,0.00195579,0.20538718,0.23163253,0.00000000,0.72641862,3.51750062,0.01418862,1.28299269
-2.06803402,4.89471504,0.00207058,0.21042015,0.23215730,0.00000000,0.75110625,3.63120449,0.01443674,1.32910094
-2.06203102,5.03313052,0.00217773,0.21490278,0.23230757,0.00000000,0.77326410,3.73525632,0.01465895,1.37159763
-2.05602801,5.15630995,0.00227538,0.21878070,0.23205594,0.00000000,0.79246415,3.82827202,0.01484799,1.40985633
-2.05002501,5.26258495,0.00236174,0.22200197,0.23138814,0.00000000,0.80833411,3.90907526,0.01499679,1.44334000
-2.04402201,5.35061870,0.00243519,0.22451884,0.23030184,0.00000000,0.82056720,3.97672813,0.01509864,1.47161427
