energy_ev,total_up,Hf_p_up,Hf_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-2.23611806,3.84489525,2.47504379,1.24260055,2.09810088,0.00312742,0.01799302,1.24879990
-2.23011506,3.81567074,2.39538670,1.26206034,2.06518308,0.00314811,0.01786644,1.22523791
-2.22411206,3.78858728,2.31585438,1.28435766,2.03223485,0.00316166,0.01772065,1.19985486
-2.21810905,3.76296696,2.23662316,1.30884284,1.99912609,0.00316783,0.01755774,1.17272797
-2.21210605,3.73809230,2.15788205,1.33479980,1.96574158,0.00316648,0.01737983,1.14396884
-2.20610305,3.71323494,2.07983732,1.36146510,1.93199244,0.00315749,0.01718896,1.11372331
-2.20010005,3.68768495,2.00271518,1.38804925,1.89782631,0.00314088,0.01698705,1.08217028
-2.19409705,3.66078037,1.92676281,1.41375978,1.86323616,0.00311670,0.01677586,1.04951976
-2.18809405,3.63193630,1.85224806,1.43782557,1.82826753,0.00308516,0.01655703,1.01601021
-2.18209105,3.60067267,1.77945815,1.45952168,1.79302384,0.00304654,0.01633206,0.98190527
-2.17608804,3.56663954,1.70869749,1.47819374,1.75766949,0.00300127,0.01610240,0.94749006
-2.17008504,3.52963876,1.64028466,1.49328100,1.72243053,0.00294989,0.01586952,0.91306701
-2.16408204,3.48964081,1.57454881,1.50433699,1.68759245,0.00289305,0.01563501,0.87895117
-2.15807904,3.44679533,1.51182523,1.51104669,1.65349510,0.00283155,0.01540066,0.84546517
-2.15207604,3.40143460,1.45245006,1.51323944,1.62052443,0.00276626,0.01516853,0.81293372
-2.14607304,3.35406902,1.39675427,1.51089665,1.58910115,0.00269817,0.01494106,0.78167770
-2.14007004,3.30537421,1.34505669,1.50415387,1.55966659,0.00262831,0.01472107,0.75200794
-2.13406703,3.25616986,1.29765624,1.49329698,1.53266600,0.00255778,0.01451179,0.72421874
-2.12806403,3.20739091,1.25482365,1.47875234,1.50853001,0.00248766,0.01431685,0.69858134
-2.12206103,3.16005203,1.21679272,1.46107142,1.48765496,0.00241902,0.01414020,0.67533754
-2.11605803,3.11520713,1.18375174,1.44091045,1.47038299,0.00235289,0.01398602,0.65469368
-2.11005503,3.07390559,1.15583540,1.41900600,1.45698299,0.00229019,0.01385863,0.63681538
-2.10405203,3.03714762,1.13311778,1.39614761,1.44763343,0.00223174,0.01376228,0.62182310
-2.09804902,3.00584099,1.11560697,1.37314872,1.44240815,0.00217818,0.01370104,0.60978910
-2.09204602,2.98076139,1.10324183,1.35081729,1.44126598,0.00213001,0.01367864,0.60073581
-2.08604302,2.96251869,1.09589131,1.32992731,1.44404517,0.00208754,0.01369825,0.59463583
-2.08004002,2.95153070,1.09335654,1.31119258,1.45046290,0.00205088,0.01376241,0.59141376
-2.07403702,2.94800595,1.09537601,1.29524371,1.46012047,0.00201995,0.01387282,0.59094970
-2.06803402,2.95193606,1.10163344,1.28260921,1.47251377,0.00199448,0.01403030,0.59308445
