energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-3.93496748,0.86801857,0.00966251,0.03230286,0.24963822,0.40586857,0.00279287,0.37263077
-3.92896448,0.88166734,0.01015443,0.03115263,0.24632714,0.41418062,0.00259779,0.37878700
-3.92296148,0.90077885,0.01062211,0.03031933,0.24576004,0.42502159,0.00242154,0.38726461
-3.91695848,0.92479280,0.01105694,0.02974361,0.24765236,0.43819428,0.00226442,0.39781283
-3.91095548,0.95316431,0.01145123,0.02937274,0.25173345,0.45350152,0.00212659,0.41018667
-3.90495248,0.98537506,0.01179842,0.02916122,0.25774932,0.47075126,0.00200815,0.42415152
-3.89894947,1.02094222,0.01209316,0.02907105,0.26546431,0.48976086,0.00190928,0.43948673
-3.89294647,1.05942511,0.01233150,0.02907194,0.27466159,0.51036038,0.00183028,0.45598828
-3.88694347,1.10042925,0.01251090,0.02914128,0.28514293,0.53239497,0.00177168,0.47347036
-3.88094047,1.14360803,0.01263028,0.02926400,0.29672760,0.55572597,0.00173427,0.49176595
-3.87493747,1.18866212,0.01268997,0.02943226,0.30925082,0.58023120,0.00171920,0.51072652
-3.86893447,1.23533694,0.01269168,0.02964513,0.32256182,0.60580416,0.00172798,0.53022096
-3.86293147,1.28341856,0.01263837,0.02990807,0.33652193,0.63235259,0.00176252,0.55013404
-3.85692846,1.33272865,0.01253406,0.03023247,0.35100258,0.65979643,0.00182510,0.57036446
-3.85092546,1.38311881,0.01238373,0.03063506,0.36588382,0.68806538,0.00191838,0.59082288
-3.84492246,1.43446496,0.01219307,0.03113739,0.38105311,0.71709648,0.00204530,0.61143009
-3.83891946,1.48666205,0.01196828,0.03176519,0.39640474,0.74683166,0.00220905,0.63211547
-3.83291646,1.53961957,0.01171587,0.03254784,0.41183989,0.77721553,0.00241295,0.65281589
-3.82691346,1.59325798,0.01144248,0.03351771,0.42726724,0.80819354,0.00266035,0.67347520
-3.82091046,1.64750610,0.01115464,0.03470958,0.44260417,0.83971055,0.00295447,0.69404417
-3.81490745,1.70229948,0.01085862,0.03615994,0.45777833,0.87170973,0.00329830,0.71448091
-3.80890445,1.75757944,0.01056032,0.03790635,0.47272948,0.90413180,0.00369442,0.73475158
-3.80290145,1.81329249,0.01026508,0.03998662,0.48741142,0.93691450,0.00414484,0.75483123
-3.79689845,1.86938980,0.00997763,0.04243802,0.50179365,0.96999204,0.00465088,0.77470448
-3.79089545,1.92582612,0.00970199,0.04529634,0.51586267,1.00329462,0.00521301,0.79436588
-3.78489245,1.98255804,0.00944147,0.04859484,0.52962265,1.03674757,0.00583072,0.81381963
-3.77888944,2.03954094,0.00919858,0.05236321,0.54309520,1.07027022,0.00650242,0.83307854
-3.77288644,2.09672471,0.00897506,0.05662632,0.55631829,1.10377442,0.00722540,0.85216203
-3.76688344,2.15404787,0.00877190,0.06140300,0.56934402,1.13716254,0.00799573,0.87109314
-3.76088044,2.21143046,0.00858933,0.06670477,0.58223538,1.17032516,0.00880829,0.88989456
-3.75487744,2.26876569,0.00842691,0.07253452,0.59506207,1.20313851,0.00965681,0.90858380
-3.74887444,2.32591099,0.00828352,0.07888541,0.60789535,1.23546177,0.01053394,0.92716769
-3.74287144,2.38267878,0.00815747,0.08573967,0.62080235,1.26713457,0.01143135,0.94563656
-3.73686843,2.43882779,0.00804656,0.09306781,0.63383995,1.29797483,0.01233989,0.96395837
-3.73086543,2.49405560,0.00794813,0.10082790,0.64704859,1.32777729,0.01324978,0.98207318
-3.72486243,2.54799295,0.00785918,0.10896521,0.66044633,1.35631294,0.01415079,0.99988850
-3.71885943,2.60020077,0.00777645,0.11741225,0.67402346,1.38332957,0.01503250,1.01727574
-3.71285643,2.65017026,0.00769654,0.12608912,0.68773812,1.40855374,0.01588450,1.03406820
-3.70685343,2.69732660,0.00761598,0.13490428,0.70151304,1.43169412,0.01669661,1.05006094
-3.70085043,2.74103645,0.00753136,0.14375586,0.71523378,1.45244645,0.01745913,1.06501254
-3.69484742,2.78061944,0.00743944,0.15253320,0.72874859,1.47049995,0.01816299,1.07864907
-3.68884442,2.81536339,0.00733724,0.16111896,0.74187000,1.48554509,0.01879998,1.09067005
-3.68284142,2.84454290,0.00722212,0.16939146,0.75437825,1.49728263,0.01936283,1.10075633
-3.67683842,2.86744080,0.00709188,0.17722736,0.76602631,1.50543352,0.01984536,1.10857968
-3.67083542,2.88337177,0.00694484,0.18450451,0.77654659,1.50974945,0.02024252,1.11381358
-3.66483242,2.89170712,0.00677984,0.19110494,0.78565886,1.51002353,0.02055046,1.11614497
-3.65882941,2.89189979,0.00659632,0.19691785,0.79307932,1.50610084,0.02076650,1.11528623
-3.65282641,2.88350865,0.00639428,0.20184254,0.79853027,1.49788821,0.02088913,1.11098713
-3.64682341,2.86622089,0.00617432,0.20579111,0.80175016,1.48536302,0.02091798,1.10304590
-3.64082041,2.83987153,0.00593756,0.20869092,0.80250347,1.46858036,0.02085370,1.09131921
-3.63481741,2.80445920,0.00568563,0.21048662,0.80059004,1.44767834,0.02069800,1.07573039
-3.62881441,2.76015735,0.00542058,0.21114180,0.79585351,1.42288113,0.02045346,1.05627565
-3.62281141,2.70732015,0.00514478,0.21064003,0.78818835,1.39449944,0.02012354,1.03302785
-3.61680840,2.64648284,0.00486090,0.20898545,0.77754537,1.36292839,0.01971247,1.00613784
-3.61080540,2.57835612,0.00457175,0.20620270,0.76393522,1.32864252,0.01922521,0.97583310
-3.60480240,2.50381472,0.00428023,0.20233629,0.74742992,1.29218801,0.01866736,0.94241382
-3.59879940,2.42388028,0.00398923,0.19744945,0.72816217,1.25417236,0.01804508,0.90624652
-3.59279640,2.33969907,0.00370154,0.19162240,0.70632260,1.21525149,0.01736511,0.86775559
