energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-5.60380190,2.75500707,0.47659639,2.20891416,0.00697941,0.05424245,0.37565820,0.08924242,0.31030281,0.00000000
-5.59779890,2.81683122,0.47621423,2.26680734,0.00694069,0.05397655,0.37884656,0.09231046,0.31120333,0.00000000
-5.59179590,2.87955925,0.47602029,2.32415928,0.00690667,0.05381834,0.38301070,0.09591734,0.31290029,0.00000000
-5.58579290,2.94274334,0.47604218,2.38037876,0.00688079,0.05378193,0.38827709,0.10006956,0.31547547,0.00000000
-5.57978989,3.00587840,0.47629502,2.43485890,0.00686612,0.05387704,0.39473522,0.10476395,0.31898916,0.00000000
-5.57378689,3.06840464,0.47678075,2.48698469,0.00686531,0.05410869,0.40243386,0.10998694,0.32347748,0.00000000
-5.56778389,3.12971287,0.47748832,2.53614182,0.00688047,0.05447715,0.41137924,0.11571407,0.32895045,0.00000000
-5.56178089,3.18915288,0.47839470,2.58172661,0.00691310,0.05497807,0.42153502,0.12190972,0.33539112,0.00000000
-5.55577789,3.24604508,0.47946674,2.62315728,0.00696411,0.05560289,0.43282420,0.12852709,0.34275569,0.00000000
-5.54977489,3.29969506,0.48066383,2.65988607,0.00703382,0.05633939,0.44513278,0.13550850,0.35097474,0.00000000
-5.54377189,3.34941085,0.48194115,2.69141220,0.00712199,0.05717247,0.45831508,0.14278604,0.35995543,0.00000000
-5.53776888,3.39452227,0.48325338,2.71729507,0.00722794,0.05808506,0.47220040,0.15028248,0.36958461,0.00000000
-5.53176588,3.43440150,0.48455862,2.73716730,0.00735059,0.05905905,0.48660071,0.15791260,0.37973275,0.00000000
-5.52576288,3.46848420,0.48582235,2.75074694,0.00748864,0.06007636,0.50131892,0.16558476,0.39025848,0.00000000
-5.51975988,3.49628998,0.48702106,2.75784831,0.00764068,0.06111988,0.51615754,0.17320276,0.40101351,0.00000000
-5.51375688,3.51744141,0.48814546,2.75839083,0.00780529,0.06217439,0.53092699,0.18066795,0.41184780,0.00000000
-5.50775388,3.53168047,0.48920302,2.75240537,0.00798126,0.06322736,0.54545352,0.18788149,0.42261470,0.00000000
-5.50175088,3.53888177,0.49021967,2.74003759,0.00816762,0.06426954,0.55958611,0.19474675,0.43317592,0.00000000
-5.49574787,3.53906166,0.49124056,2.72154803,0.00836380,0.06529542,0.57320231,0.20117165,0.44340601,0.00000000
-5.48974487,3.53238292,0.49232990,2.69730875,0.00856975,0.06630339,0.58621255,0.20707110,0.45319636,0.00000000
-5.48374187,3.51915463,0.49356979,2.66779657,0.00878595,0.06729576,0.59856299,0.21236920,0.46245845,0.00000000
-5.47773887,3.49982724,0.49505816,2.63358299,0.00901349,0.06827852,0.61023669,0.21700127,0.47112631,0.00000000
-5.47173587,3.47498302,0.49690592,2.59532135,0.00925409,0.06926090,0.62125325,0.22091562,0.47915810,0.00000000
-5.46573287,3.44532231,0.49923347,2.55373140,0.00951008,0.07025478,0.63166680,0.22407504,0.48653680,0.00000000
-5.45972986,3.41164604,0.50216670,2.50958213,0.00978436,0.07127395,0.64156276,0.22645783,0.49327004,0.00000000
-5.45372686,3.37483529,0.50583265,2.46367331,0.01008034,0.07233323,0.65105328,0.22805846,0.49938898,0.00000000
-5.44772386,3.33582863,0.51035507,2.41681649,0.01040186,0.07344761,0.66027180,0.22888783,0.50494653,0.00000000
-5.44172086,3.29559798,0.51584990,2.36981610,0.01075304,0.07463133,0.66936675,0.22897303,0.51001467,0.00000000
-5.43571786,3.25512381,0.52242097,2.32345114,0.01113817,0.07589695,0.67849494,0.22835668,0.51468132,0.00000000
-5.42971486,3.21537028,0.53015583,2.27845808,0.01156152,0.07725454,0.68781447,0.22709590,0.51904652,0.00000000
-5.42371186,3.17726106,0.53912191,2.23551519,0.01202718,0.07871091,0.69747784,0.22526087,0.52321829,0.00000000
-5.41770885,3.14165630,0.54936314,2.19522872,0.01253889,0.08026903,0.70762504,0.22293299,0.52730813,0.00000000
-5.41170585,3.10933107,0.56089674,2.15812100,0.01309978,0.08192745,0.71837712,0.22020290,0.53142634,0.00000000
-5.40570285,3.08095580,0.57371067,2.12462055,0.01371221,0.08368002,0.72983019,0.21716813,0.53567726,0.00000000
-5.39969985,3.05707881,0.58776131,2.09505413,0.01437755,0.08551567,0.74205016,0.21393069,0.54015464,0.00000000
-5.39369685,3.03811124,0.60297173,2.06964079,0.01509600,0.08741835,0.75506817,0.21059457,0.54493707,0.00000000
-5.38769385,3.02431465,0.61923043,2.04848776,0.01586641,0.08936712,0.76887694,0.20726321,0.55008389,0.00000000
-5.38169085,3.01579135,0.63639066,2.03158814,0.01668615,0.09133649,0.78342820,0.20403703,0.55563148,0.00000000
-5.37568784,3.01247798,0.65427045,2.01882044,0.01755096,0.09329673,0.79863105,0.20101118,0.56159022,0.00000000
-5.36968484,3.01414233,0.67265335,2.00994996,0.01845492,0.09521445,0.81435161,0.19827337,0.56794218,0.00000000
-5.36368184,3.02038398,0.69129011,2.00463203,0.01939044,0.09705329,0.83041390,0.19590211,0.57463972,0.00000000
-5.35767884,3.03063889,0.70990129,2.00241744,0.02034827,0.09877461,0.84660194,0.19396516,0.58160508,0.00000000
-5.35167584,3.04418826,0.72818106,2.00275998,0.02131765,0.10033845,0.86266323,0.19251838,0.58873111,0.00000000
-5.34567284,3.06017194,0.74580196,2.00502639,0.02228643,0.10170442,0.87831356,0.19160498,0.59588301,0.00000000
-5.33966983,3.07760632,0.76242099,2.00850882,0.02324135,0.10283273,0.89324296,0.19125508,0.60290137,0.00000000
-5.33366683,3.09540670,0.77768661,2.01243966,0.02416829,0.10368525,0.90712289,0.19148574,0.60960620,0.00000000
-5.32766383,3.11241381,0.79124687,2.01600889,0.02505265,0.10422653,0.91961441,0.19230125,0.61580199,0.00000000
-5.32166083,3.12742390,0.80275815,2.01838351,0.02587968,0.10442488,0.93037710,0.19369378,0.62128359,0.00000000
-5.31565783,3.13922167,0.81189452,2.01872873,0.02663493,0.10425332,0.93907848,0.19564421,0.62584278,0.00000000
-5.30965483,3.14661499,0.81835723,2.01623047,0.02730463,0.10369048,0.94540368,0.19812323,0.62927513,0.00000000
-5.30365183,3.14847024,0.82188396,2.01011826,0.02787612,0.10272136,0.94906495,0.20109242,0.63138704,0.00000000
-5.29764882,3.14374686,0.82225752,1.99968793,0.02833822,0.10133798,0.94981068,0.20450545,0.63200253,0.00000000
-5.29164582,3.13152975,0.81931358,1.98432309,0.02868158,0.09953975,0.94743360,0.20830918,0.63096951,0.00000000
-5.28564282,3.11105820,0.81294695,1.96351451,0.02889896,0.09733374,0.94177777,0.21244466,0.62816526,0.00000000
-5.27963982,3.08174987,0.80311621,1.93687657,0.02898544,0.09473467,0.93274420,0.21684802,0.62350091,0.00000000
-5.27363682,3.04321892,0.78984637,1.90415987,0.02893854,0.09176471,0.92029465,0.22145116,0.61692454,0.00000000
-5.26763382,2.99528738,0.77322948,1.86525963,0.02875832,0.08845302,0.90445369,0.22618223,0.60842302,0.00000000
-5.26163082,2.93798927,0.75342299,1.82021907,0.02844728,0.08483513,0.88530880,0.23096610,0.59802233,0.00000000
-5.25562781,2.87156744,0.73064614,1.76922803,0.02801029,0.08095213,0.86300855,0.23572456,0.58578648,0.00000000
-5.24962481,2.79646326,0.70517429,1.71261647,0.02745436,0.07684971,0.83775898,0.24037667,0.57181509,0.00000000
-5.24362181,2.71330003,0.67733175,1.65084348,0.02678838,0.07257712,0.80981844,0.24483903,0.55623981,0.00000000
-5.23761881,2.62286083,0.64748319,1.58448221,0.02602284,0.06818605,0.77949095,0.24902631,0.53921982,0.00000000
-5.23161581,2.52606233,0.61602434,1.51420147,0.02516943,0.06372954,0.74711862,0.25285192,0.52093665,0.00000000
-5.22561281,2.42392579,0.58337218,1.44074497,0.02424073,0.05926092,0.71307336,0.25622903,0.50158868,0.00000000
-5.21960980,2.31754686,0.54995520,1.36490923,0.02324976,0.05483286,0.67774832,0.25907197,0.48138557,0.00000000
-5.21360680,2.20806582,0.51620433,1.28752111,0.02220970,0.05049653,0.64154927,0.26129797,0.46054296,0.00000000
-5.20760380,2.09663942,0.48254457,1.20941607,0.02113354,0.04630092,0.60488657,0.26282931,0.43927762,0.00000000
