energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.52576288,13.80875122,0.02530941,1.19410381,1.46698084,1.29793633,7.87753593,8.10977040,3.54371023,0.00000000
-5.51975988,13.68766376,0.02437887,1.16845943,1.46229869,1.32629745,7.95926061,7.97802403,3.56829883,0.00000000
-5.51375688,13.56088013,0.02351813,1.14103599,1.45520748,1.35628175,8.02902705,7.84396195,3.59106794,0.00000000
-5.50775388,13.43238129,0.02275392,1.11214503,1.44602316,1.38800565,8.08684175,7.71064457,3.61245799,0.00000000
-5.50175088,13.30588906,0.02211096,1.08207946,1.43507920,1.42152376,8.13281001,7.58094373,3.63288127,0.00000000
-5.49574787,13.18479924,0.02161146,1.05111092,1.42271949,1.45682435,8.16714622,7.45749259,3.65271532,0.00000000
-5.48974487,13.07212721,0.02127461,1.01948843,1.40929079,1.49382689,8.19018077,7.34264480,3.67229722,0.00000000
-5.48374187,12.97046562,0.02111624,0.98743826,1.39513476,1.53238171,8.20236200,7.23844318,3.69191854,0.00000000
-5.47773887,12.88195353,0.02114842,0.95516465,1.38057976,1.57227176,8.20425212,7.14659744,3.71182063,0.00000000
-5.47173587,12.80825620,0.02137928,0.92285125,1.36593244,1.61321622,8.19651606,7.06847038,3.73218991,0.00000000
-5.46573287,12.75055420,0.02181285,0.89066284,1.35146946,1.65487602,8.17990324,7.00507180,3.75315327,0.00000000
-5.45972986,12.70954106,0.02244892,0.85874716,1.33742940,1.69686083,8.15522239,6.95705912,3.77477331,0.00000000
-5.45372686,12.68542828,0.02328307,0.82723655,1.32400543,1.73873738,8.12331056,6.92474377,3.79704374,0.00000000
-5.44772386,12.67795691,0.02430671,0.79624927,1.31133873,1.78003895,8.08499751,6.90810243,3.81988525,0.00000000
-5.44172086,12.68641510,0.02550721,0.76589044,1.29951327,1.82027551,8.04106777,6.90679218,3.84314196,0.00000000
-5.43571786,12.70966118,0.02686809,0.73625239,1.28855207,1.85894444,7.99222225,6.92016887,3.86657920,0.00000000
-5.42971486,12.74615188,0.02836927,0.70741470,1.27841538,1.89554137,7.93904215,6.94730802,3.88988275,0.00000000
-5.42371186,12.79397562,0.02998743,0.67944380,1.26900095,1.92957100,7.88195732,6.98702775,3.91266020,0.00000000
-5.41770885,12.85089071,0.03169632,0.65239237,1.26014654,1.96055746,7.82122146,7.03791338,3.93444470,0.00000000
-5.41170585,12.91436835,0.03346729,0.62629865,1.25163472,1.98805405,7.75689585,7.09834359,3.95470127,0.00000000
-5.40570285,12.98164028,0.03526970,0.60118587,1.24320006,2.01165218,7.68884316,7.16651770,3.97283601,0.00000000
-5.39969985,13.04975075,0.03707158,0.57706190,1.23453829,2.03098916,7.61673193,7.24048435,3.98820792,0.00000000
-5.39369685,13.11561241,0.03884014,0.55391928,1.22531738,2.04575486,7.54005198,7.31817130,4.00014342,0.00000000
-5.38769385,13.17606556,0.04054247,0.53173577,1.21519010,2.05569706,7.45814016,7.39741656,4.00795306,0.00000000
-5.38169085,13.22793992,0.04214617,0.51047535,1.20380742,2.06062546,7.37021531,7.47600076,4.01095005,0.00000000
