energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-1.65982991,1.30637501,0.00237229,0.07151252,0.34871758,0.82017980,0.00987018,0.63332778,0.21073860,0.00001822
-1.65382691,1.32652996,0.00214236,0.07203311,0.35208539,0.83872093,0.01119602,0.63403166,0.20856927,0.00001964
-1.64782391,1.34315809,0.00194813,0.07232250,0.35453801,0.85445301,0.01264854,0.63279898,0.20601455,0.00002113
-1.64182091,1.35617211,0.00178805,0.07238819,0.35608639,0.86724065,0.01421933,0.62970689,0.20307790,0.00002267
-1.63581791,1.36554348,0.00166002,0.07224088,0.35675873,0.87699753,0.01589668,0.62486491,0.19977269,0.00002427
-1.62981491,1.37129186,0.00156154,0.07189391,0.35659668,0.88368025,0.01766548,0.61840926,0.19612104,0.00002591
-1.62381191,1.37347359,0.00148974,0.07136255,0.35565118,0.88728164,0.01950715,0.61049606,0.19215253,0.00002758
-1.61780890,1.37217011,0.00144153,0.07066326,0.35397816,0.88782396,0.02139975,0.60129405,0.18790270,0.00002927
-1.61180590,1.36747696,0.00141366,0.06981298,0.35163448,0.88535252,0.02331824,0.59097697,0.18341160,0.00003095
-1.60580290,1.35949425,0.00140281,0.06882842,0.34867405,0.87993017,0.02523489,0.57971612,0.17872236,0.00003262
-1.59979990,1.34831915,0.00140565,0.06772542,0.34514473,0.87163295,0.02711985,0.56767351,0.17387993,0.00003425
-1.59379690,1.33404084,0.00141895,0.06651841,0.34108584,0.86054723,0.02894180,0.55499588,0.16893007,0.00003581
-1.58779390,1.31673834,0.00143959,0.06522008,0.33652662,0.84676823,0.03066881,0.54181004,0.16391872,0.00003729
-1.58179090,1.29648111,0.00146464,0.06384108,0.33148567,0.83040018,0.03226918,0.52821964,0.15889160,0.00003867
-1.57578789,1.27333240,0.00149142,0.06239002,0.32597137,0.81155760,0.03371243,0.51430358,0.15389420,0.00003993
-1.56978489,1.24735494,0.00151753,0.06087354,0.31998318,0.79036774,0.03497026,0.50011615,0.14897217,0.00004104
-1.56378189,1.21861849,0.00154092,0.05929655,0.31351386,0.76697353,0.03601745,0.48568869,0.14417179,0.00004200
-1.55777889,1.18720851,0.00155987,0.05766263,0.30655224,0.74153685,0.03683279,0.47103273,0.13954085,0.00004279
-1.55177589,1.15323530,0.00157309,0.05597453,0.29908649,0.71424152,0.03739983,0.45614440,0.13512943,0.00004339
-1.54577289,1.11684279,0.00157968,0.05423466,0.29110764,0.68529573,0.03770751,0.44100962,0.13099081,0.00004382
-1.53976988,1.07821636,0.00157920,0.05244574,0.28261306,0.65493352,0.03775066,0.42560992,0.12718218,0.00004407
-1.53376688,1.03758890,0.00157167,0.05061128,0.27360967,0.62341502,0.03753023,0.40992841,0.12376516,0.00004415
-1.52776388,0.99524477,0.00155759,0.04873616,0.26411675,0.59102534,0.03705340,0.39395557,0.12080605,0.00004407
-1.52176088,0.95152131,0.00153792,0.04682704,0.25416813,0.55807207,0.03633348,0.37769448,0.11837568,0.00004387
-1.51575788,0.90680760,0.00151416,0.04489266,0.24381360,0.52488143,0.03538958,0.36116534,0.11654892,0.00004356
-1.50975488,0.86154074,0.00148827,0.04294411,0.23311954,0.49179332,0.03424614,0.34440888,0.11540371,0.00004319
-1.50375188,0.81619972,0.00146276,0.04099482,0.22216874,0.45915535,0.03293230,0.32748868,0.11501978,0.00004279
-1.49774887,0.77129722,0.00144064,0.03906055,0.21105937,0.42731649,0.03148118,0.31049228,0.11547707,0.00004241
-1.49174587,0.72736997,0.00142545,0.03715922,0.19990335,0.39662035,0.02992905,0.29353102,0.11685379,0.00004211
-1.48574287,0.68496805,0.00142127,0.03531055,0.18882399,0.36739865,0.02831450,0.27673882,0.11922448,0.00004193
-1.47973987,0.64464380,0.00143273,0.03353574,0.17795335,0.33996524,0.02667755,0.26026992,0.12265792,0.00004194
-1.47373687,0.60694093,0.00146501,0.03185697,0.16742919,0.31461079,0.02505886,0.24429583,0.12721524,0.00004220
-1.46773387,0.57238426,0.00152386,0.03029693,0.15739191,0.29159855,0.02349896,0.22900161,0.13294812,0.00004277
-1.46173087,0.54147055,0.00161557,0.02887830,0.14798149,0.27116121,0.02203754,0.21458176,0.13989739,0.00004372
-1.45572786,0.51466079,0.00174694,0.02762321,0.13933458,0.25349898,0.02071294,0.20123583,0.14809195,0.00004511
-1.44972486,0.49237402,0.00192532,0.02655280,0.13158195,0.23877883,0.01956158,0.18916403,0.15754821,0.00004701
-1.44372186,0.47498287,0.00215845,0.02568678,0.12484625,0.22713480,0.01861765,0.17856284,0.16826994,0.00004948
-1.43771886,0.46281062,0.00245447,0.02504296,0.11924016,0.21866931,0.01791284,0.16962087,0.18024860,0.00005260
-1.43171586,0.45612973,0.00282174,0.02463701,0.11486501,0.21345504,0.01747612,0.16251497,0.19346413,0.00005641
-1.42571286,0.45516154,0.00326874,0.02448211,0.11180970,0.21153748,0.01733366,0.15740661,0.20788604,0.00006099
-1.41970985,0.46007688,0.00380383,0.02458876,0.11015003,0.21293755,0.01750878,0.15443863,0.22347477,0.00006640
-1.41370685,0.47099718,0.00443503,0.02496459,0.10994829,0.21765442,0.01802192,0.15373217,0.24018318,0.00007270
-1.40770385,0.48799590,0.00516979,0.02561425,0.11125299,0.22566807,0.01889067,0.15538406,0.25795805,0.00007995
-1.40170085,0.51109994,0.00601461,0.02653932,0.11409876,0.23694156,0.02012980,0.15946432,0.27674138,0.00008820
