energy_ev,total_up,Bi_p_up,Bi_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
5.90395198,2.03475826,0.25932625,0.24114798,2.73020806,0.00132077,0.01569371,0.38840808
5.90995498,1.98140254,0.25937540,0.23275588,2.70535779,0.00124673,0.01502699,0.37369586
5.91595798,1.93724926,0.26182678,0.22462023,2.70234267,0.00117806,0.01433525,0.35940046
5.92196098,1.90271846,0.26674991,0.21680943,2.72187945,0.00111502,0.01362225,0.34558996
5.92796398,1.87812335,0.27418389,0.20938820,2.76443164,0.00105782,0.01289242,0.33233064
5.93396698,1.86366447,0.28413474,0.20241680,2.83018477,0.00100656,0.01215088,0.31968647
5.93996998,1.85942084,0.29657259,0.19594984,2.91901875,0.00096127,0.01140335,0.30771783
5.94597299,1.86533890,0.31142872,0.19003487,3.03047925,0.00092195,0.01065610,0.29647953
5.95197599,1.88122021,0.32859297,0.18471081,3.16375037,0.00088848,0.00991577,0.28601840
5.95797899,1.90670947,0.34791164,0.18000635,3.31763136,0.00086071,0.00918926,0.27637065
5.96398199,1.94128434,0.36918632,0.17593843,3.49052020,0.00083841,0.00848352,0.26755915
5.96998499,1.98424843,0.39217382,0.17251107,3.68040672,0.00082130,0.00780537,0.25959118
5.97598799,2.03472910,0.41658760,0.16971448,3.88487770,0.00080902,0.00716134,0.25245649
5.98199100,2.09168117,0.44210074,0.16752468,4.10113587,0.00080116,0.00655746,0.24612622
5.98799400,2.15389729,0.46835059,0.16590372,4.32603393,0.00079723,0.00599914,0.24055260
5.99399700,2.22002557,0.49494518,0.16480042,4.55612413,0.00079672,0.00549103,0.23566963
6.00000000,2.28859434,0.52147111,0.16415172,4.78772273,0.00079905,0.00503690,0.23139467
