energy_ev,total_up,Mo_p_up,Mo_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
5.11155578,2.82361353,3.19116401,1.27292448,0.56765480,0.00076804,0.56333342,0.00000000
5.11755878,2.81869200,3.17488345,1.26957837,0.56827424,0.00076169,0.57185124,0.00000000
5.12356178,2.80043663,3.14523052,1.25994307,0.56575455,0.00075213,0.57865730,0.00000000
5.12956478,2.76963321,3.10353512,1.24437212,0.56016000,0.00073972,0.58385154,0.00000000
5.13556778,2.72728940,3.05135863,1.22332527,0.55160527,0.00072488,0.58756290,0.00000000
5.14157079,2.67459849,2.99043367,1.19735261,0.54025225,0.00070807,0.58994237,0.00000000
5.14757379,2.61289934,2.92260013,1.16707663,0.52630576,0.00068974,0.59115556,0.00000000
5.15357679,2.54363412,2.84974038,1.13317322,0.51000842,0.00067035,0.59137514,0.00000000
5.15957979,2.46830582,2.77371678,1.09635211,0.49163481,0.00065033,0.59077353,0.00000000
5.16558279,2.38843699,2.69631398,1.05733775,0.47148524,0.00063010,0.58951626,0.00000000
5.17158579,2.30553154,2.61918854,1.01685124,0.44987910,0.00061003,0.58775625,0.00000000
5.17758879,2.22104055,2.54382767,0.97559389,0.42714823,0.00059042,0.58562930,0.00000000
5.18359180,2.13633330,2.47151844,0.93423291,0.40363033,0.00057154,0.58325094,0.00000000
5.18959480,2.05267407,2.40332818,0.89338955,0.37966262,0.00055360,0.58071474,0.00000000
5.19559780,1.97120495,2.34009615,0.85362990,0.35557594,0.00053675,0.57809208,0.00000000
5.20160080,1.89293472,2.28243581,0.81545832,0.33168939,0.00052107,0.57543323,0.00000000
5.20760380,1.81873340,2.23074687,0.77931345,0.30830561,0.00050661,0.57276957,0.00000000
5.21360680,1.74933191,2.18523524,0.74556662,0.28570678,0.00049338,0.57011677,0.00000000
5.21960980,1.68532606,2.14593926,0.71452223,0.26415147,0.00048134,0.56747854,0.00000000
5.22561281,1.62718384,2.11275988,0.68641990,0.24387221,0.00047044,0.56485062,0.00000000
5.23161581,1.57525520,2.08549279,0.66143784,0.22507394,0.00046061,0.56222481,0.00000000
5.23761881,1.52978324,2.06386030,0.63969713,0.20793327,0.00045177,0.55959251,0.00000000
5.24362181,1.49091583,2.04754112,0.62126651,0.19259840,0.00044386,0.55694780,0.00000000
5.24962481,1.45871715,2.03619642,0.60616728,0.17918980,0.00043682,0.55428954,0.00000000
5.25562781,1.43317811,2.02949103,0.59437820,0.16780139,0.00043060,0.55162261,0.00000000
5.26163082,1.41422565,2.02710899,0.58583995,0.15850224,0.00042520,0.54895814,0.00000000
5.26763382,1.40173032,2.02876318,0.58045930,0.15133858,0.00042062,0.54631277,0.00000000
5.27363682,1.39551225,2.03419921,0.57811272,0.14633603,0.00041689,0.54370708,0.00000000
5.27963982,1.39534557,2.04319403,0.57864954,0.14350186,0.00041408,0.54116334,0.00000000
5.28564282,1.40096142,2.05555018,0.58189481,0.14282725,0.00041226,0.53870284,0.00000000
5.29164582,1.41204997,2.07108667,0.58765172,0.14428924,0.00041154,0.53634303,0.00000000
5.29764882,1.42826172,2.08962782,0.59570400,0.14785241,0.00041203,0.53409472,0.00000000
5.30365183,1.44920847,2.11099104,0.60581812,0.15347010,0.00041384,0.53195964,0.00000000
5.30965483,1.47446426,2.13497485,0.61774565,0.16108510,0.00041709,0.52992853,0.00000000
5.31565783,1.50356668,2.16134812,0.63122562,0.17062977,0.00042186,0.52797984,0.00000000
5.32166083,1.53601854,2.18984113,0.64598706,0.18202555,0.00042826,0.52607935,0.00000000
5.32766383,1.57129037,2.22013916,0.66175176,0.19518194,0.00043631,0.52418053,0.00000000
5.33366683,1.60882346,2.25187887,0.67823700,0.20999492,0.00044606,0.52222574,0.00000000
5.33966983,1.64803388,2.28464743,0.69515854,0.22634505,0.00045746,0.52014813,0.00000000
5.34567284,1.68831704,2.31798448,0.71223352,0.24409524,0.00047044,0.51787414,0.00000000
5.35167584,1.72905317,2.35138647,0.72918337,0.26308859,0.00048490,0.51532640,0.00000000
5.35767884,1.76961350,2.38431324,0.74573670,0.28314631,0.00050067,0.51242690,0.00000000
5.36368184,1.80936709,2.41619631,0.76163202,0.30406608,0.00051751,0.50910021,0.00000000
5.36968484,1.84768860,2.44644866,0.77662047,0.32562105,0.00053518,0.50527658,0.00000000
5.37568784,1.88396679,2.47447554,0.79046843,0.34755980,0.00055337,0.50089479,0.00000000
5.38169085,1.91761394,2.49968621,0.80296010,0.36960723,0.00057173,0.49590466,0.00000000
5.38769385,1.94807617,2.52150617,0.81390019,0.39146685,0.00058990,0.49026905,0.00000000
5.39369685,1.97484473,2.53939002,0.82311663,0.41282433,0.00060750,0.48396548,0.00000000
5.39969985,1.99746805,2.55283438,0.83046342,0.43335241,0.00062415,0.47698714,0.00000000
5.40570285,2.01556451,2.56139105,0.83582361,0.45271708,0.00063946,0.46934349,0.00000000
5.41170585,2.02883551,2.56467992,0.83911236,0.47058503,0.00065310,0.46106039,0.00000000
5.41770885,2.03707848,2.56240141,0.84027999,0.48663181,0.00066473,0.45217985,0.00000000
5.42371186,2.04019925,2.55434802,0.83931494,0.50055082,0.00067409,0.44275929,0.00000000
5.42971486,2.03822316,2.54041452,0.83624636,0.51206230,0.00068095,0.43287068,0.00000000
5.43571786,2.03130405,2.52060617,0.83114619,0.52092234,0.00068516,0.42259915,0.00000000
5.44172086,2.01973052,2.49504444,0.82413050,0.52693114,0.00068664,0.41204149,0.00000000
5.44772386,2.00392864,2.46396966,0.81535974,0.52994025,0.00068538,0.40130428,0.00000000
5.45372686,1.98446044,2.42774008,0.80503779,0.52985837,0.00068146,0.39050183,0.00000000
5.45972986,1.96201763,2.38682698,0.79340960,0.52665544,0.00067502,0.37975379,0.00000000
5.46573287,1.93741040,2.34180559,0.78075724,0.52036458,0.00066627,0.36918258,0.00000000
5.47173587,1.91155086,2.29334192,0.76739437,0.51108202,0.00065549,0.35891064,0.00000000
5.47773887,1.88543167,2.24217567,0.75365917,0.49896468,0.00064301,0.34905744,0.00000000
5.48374187,1.86010001,2.18909982,0.73990587,0.48422575,0.00062920,0.33973643,0.00000000
5.48974487,1.83662772,2.13493747,0.72649509,0.46712825,0.00061446,0.33105199,0.00000000
5.49574787,1.81607853,2.08051705,0.71378332,0.44797701,0.00059920,0.32309641,0.00000000
5.50175088,1.79947349,2.02664682,0.70211195,0.42710934,0.00058384,0.31594710,0.00000000
5.50775388,1.78775594,1.97408985,0.69179622,0.40488488,0.00056878,0.30966404,0.00000000
5.51375688,1.78175734,1.92354071,0.68311456,0.38167511,0.00055438,0.30428765,0.00000000
5.51975988,1.78216541,1.87560478,0.67629884,0.35785294,0.00054098,0.29983722,0.00000000
5.52576288,1.78949581,1.83078133,0.67152583,0.33378282,0.00052886,0.29630985,0.00000000
5.53176588,1.80406877,1.78945097,0.66891036,0.30981193,0.00051826,0.29368010,0.00000000
5.53776888,1.82599157,1.75186819,0.66850041,0.28626257,0.00050934,0.29190034,0.00000000
5.54377189,1.85514779,1.71815901,0.67027440,0.26342619,0.00050221,0.29090179,0.00000000
5.54977489,1.89119390,1.68832414,0.67414079,0.24155919,0.00049689,0.29059626,0.00000000
5.55577789,1.93356355,1.66224698,0.67994009,0.22088051,0.00049338,0.29087863,0.00000000
5.56178089,1.98147952,1.63970649,0.68744912,0.20157112,0.00049158,0.29162980,0.00000000
5.56778389,2.03397313,1.62039385,0.69638758,0.18377521,0.00049135,0.29272024,0.00000000
5.57378689,2.08991044,1.60393256,0.70642641,0.16760303,0.00049252,0.29401396,0.00000000
5.57978989,2.14802465,1.58990071,0.71719799,0.15313507,0.00049487,0.29537277,0.00000000
5.58579290,2.20695338,1.57785490,0.72830755,0.14042737,0.00049813,0.29666071,0.00000000
5.59179590,2.26527977,1.56735447,0.73934562,0.12951764,0.00050205,0.29774860,0.00000000
5.59779890,2.32157598,1.55798548,0.74990090,0.12043194,0.00050634,0.29851854,0.00000000
5.60380190,2.37444747,1.54938333,0.75957324,0.11319154,0.00051074,0.29886822,0.00000000
5.60980490,2.42257667,1.54125333,0.76798634,0.10781969,0.00051496,0.29871496,0.00000000
5.61580790,2.46476433,1.53338851,0.77479951,0.10434805,0.00051877,0.29799939,0.00000000
5.62181091,2.49996720,1.52568391,0.77971837,0.10282246,0.00052194,0.29668859,0.00000000
5.62781391,2.52733064,1.51814710,0.78250397,0.10330779,0.00052429,0.29477861,0.00000000
5.63381691,2.54621495,1.51090412,0.78298005,0.10589178,0.00052566,0.29229632,0.00000000
5.63981991,2.55621455,1.50420100,0.78103824,0.11068748,0.00052596,0.28930046,0.00000000
5.64582291,2.55716931,1.49840024,0.77664101,0.11783438,0.00052512,0.28588173,0.00000000
5.65182591,2.54916769,1.49397254,0.76982228,0.12749782,0.00052314,0.28216212,0.00000000
5.65782891,2.53254157,1.49148369,0.76068574,0.13986684,0.00052005,0.27829301,0.00000000
5.66383192,2.50785319,1.49157704,0.74940095,0.15515029,0.00051593,0.27445254,0.00000000
5.66983492,2.47587458,1.49495177,0.73619735,0.17357125,0.00051092,0.27084177,0.00000000
5.67583792,2.43756057,1.50233780,0.72135652,0.19535968,0.00050518,0.26768004,0.00000000
5.68184092,2.39401627,1.51446784,0.70520296,0.22074370,0.00049891,0.26519939,0.00000000
5.68784392,2.34646045,1.53204764,0.68809375,0.24993929,0.00049234,0.26363832,0.00000000
5.69384692,2.29618617,1.55572547,0.67040750,0.28313900,0.00048572,0.26323482,0.00000000
5.69984992,2.24452010,1.58606177,0.65253304,0.32049984,0.00047930,0.26421914,0.00000000
5.70585293,2.19278215,1.62350034,0.63485826,0.36213068,0.00047335,0.26680627,0.00000000
5.71185593,2.14224652,1.66834206,0.61775936,0.40807981,0.00046812,0.27118847,0.00000000
5.71785893,2.09410581,1.72072245,0.60159103,0.45832297,0.00046385,0.27752812,0.00000000
5.72386193,2.04943896,1.78059383,0.58667779,0.51275260,0.00046077,0.28595105,0.00000000
5.72986493,2.00918410,1.84771319,0.57330661,0.57116868,0.00045906,0.29654075,0.00000000
5.73586793,1.97411689,1.92163629,0.56172103,0.63327189,0.00045888,0.30933344,0.00000000
5.74187094,1.94483475,2.00171837,0.55211692,0.69865949,0.00046034,0.32431453,0.00000000
5.74787394,1.92174708,2.08712175,0.54463964,0.76682438,0.00046349,0.34141627,0.00000000
5.75387694,1.90507153,2.17683002,0.53938284,0.83715768,0.00046836,0.36051701,0.00000000
5.75987994,1.89483579,2.26966846,0.53638841,0.90895510,0.00047491,0.38144195,0.00000000
5.76588294,1.89088455,2.36433005,0.53564773,0.98142694,0.00048305,0.40396545,0.00000000
5.77188594,1.89289105,2.45940591,0.53710382,1.05371185,0.00049265,0.42781478,0.00000000
5.77788894,1.90037232,2.55341937,0.54065427,1.12489384,0.00050354,0.45267536,0.00000000
5.78389195,1.91270751,2.64486208,0.54615467,1.19402221,0.00051548,0.47819712,0.00000000
5.78989495,1.92915837,2.73223103,0.55342254,1.26013369,0.00052824,0.50400193,0.00000000
