energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-2.45822911,2.95313756,0.00979979,0.33450181,0.16171023,0.04075104,1.88531191,0.85667187,0.85067733
-2.45222611,2.94519763,0.00991175,0.33205671,0.16489235,0.03924210,1.88287292,0.86554948,0.84196959
-2.44622311,2.94174783,0.01002248,0.33020511,0.16805048,0.03770001,1.88406338,0.87623973,0.83414853
-2.44022011,2.94285089,0.01013412,0.32894957,0.17115123,0.03613764,1.88878476,0.88857255,0.82735686
-2.43421711,2.94847713,0.01024878,0.32827969,0.17415615,0.03456819,1.89687236,0.90235067,0.82172381
-2.42821411,2.95849914,0.01036846,0.32817316,0.17702323,0.03300496,1.90809336,0.91734904,0.81736031
-2.42221111,2.97268947,0.01049497,0.32859742,0.17970845,0.03146099,1.92214686,0.93331538,0.81435439
-2.41620810,2.99072148,0.01062974,0.32951174,0.18216747,0.02994879,1.93866633,0.94997198,0.81276685
-2.41020510,3.01217349,0.01077384,0.33086953,0.18435721,0.02848007,1.95722442,0.96701875,0.81262759
-2.40420210,3.03653629,0.01092782,0.33262078,0.18623746,0.02706552,1.97734016,0.98413771,0.81393276
-2.39819910,3.06322368,0.01109167,0.33471443,0.18777221,0.02571465,1.99848857,1.00099862,0.81664281
-2.39219610,3.09158585,0.01126480,0.33710048,0.18893084,0.02443564,2.02011237,1.01726584,0.82068177
-2.38619310,3.12092520,0.01144597,0.33973176,0.18968908,0.02323529,2.04163547,1.03260599,0.82593778
-2.38019010,3.15051414,0.01163332,0.34256527,0.19002967,0.02211903,2.06247788,1.04669630,0.83226490
-2.37418709,3.17961419,0.01182438,0.34556290,0.18994280,0.02109093,2.08207155,1.05923318,0.83948638
-2.36818409,3.20749602,0.01201611,0.34869163,0.18942633,0.02015381,2.09987662,1.06994083,0.84739914
-2.36218109,3.23345961,0.01220498,0.35192319,0.18848575,0.01930936,2.11539754,1.07857943,0.85577957
-2.35617809,3.25685407,0.01238706,0.35523315,0.18713402,0.01855827,2.12819850,1.08495260,0.86439037
-2.35017509,3.27709642,0.01255810,0.35859971,0.18539122,0.01790044,2.13791753,1.08891387,0.87298828
-2.34417209,3.29368887,0.01271371,0.36200210,0.18328417,0.01733514,2.14427897,1.09037178,0.88133236
-2.33816908,3.30623399,0.01284950,0.36541890,0.18084598,0.01686118,2.14710361,1.08929352,0.88919264
-2.33216608,3.31444741,0.01296117,0.36882635,0.17811551,0.01647708,2.14631627,1.08570696,0.89635871
-2.32616308,3.31816757,0.01304476,0.37219685,0.17513695,0.01618122,2.14195039,1.07970088,0.90264789
-2.32016008,3.31736219,0.01309672,0.37549776,0.17195932,0.01597191,2.13414950,1.07142343,0.90791262
-2.31415708,3.31213133,0.01311413,0.37869067,0.16863607,0.01584751,2.12316531,1.06107903,0.91204676
-2.30815408,3.30270665,0.01309479,0.38173120,0.16522461,0.01580648,2.10935253,1.04892356,0.91499043
-2.30215108,3.28944706,0.01303734,0.38456941,0.16178591,0.01584734,2.09316032,1.03525816,0.91673301
-2.29614807,3.27283049,0.01294137,0.38715086,0.15838404,0.01596867,2.07512075,1.02042187,0.91731437
-2.29014507,3.25344213,0.01280745,0.38941820,0.15508560,0.01616904,2.05583437,1.00478324,0.91682384
-2.28414207,3.23195924,0.01263717,0.39131341,0.15195915,0.01644693,2.03595331,0.98873116,0.91539712
-2.27813907,3.20913284,0.01243313,0.39278033,0.14907438,0.01680060,2.01616252,0.97266533,0.91321116
-2.27213607,3.18576684,0.01219888,0.39376756,0.14650125,0.01722799,1.99715952,0.95698641,0.91047707
-2.26613307,3.16269507,0.01193886,0.39423151,0.14430883,0.01772661,1.97963342,0.94208630,0.90743142
-2.26013007,3.14075694,0.01165826,0.39413930,0.14256408,0.01829337,1.96424382,0.92833870,0.90432629
-2.25412706,3.12077253,0.01136290,0.39347154,0.14133031,0.01892455,1.95160043,0.91609030,0.90141848
-2.24812406,3.10351790,0.01105907,0.39222469,0.14066565,0.01961569,1.94224405,0.90565263,0.89895837
-2.24212106,3.08970160,0.01075331,0.39041290,0.14062132,0.02036155,1.93662962,0.89729511,0.89717900
-2.23611806,3.07994325,0.01045227,0.38806922,0.14123984,0.02115611,1.93511219,0.89123918,0.89628594
-2.23011506,3.07475521,0.01016254,0.38524613,0.14255342,0.02199262,1.93793621,0.88765385,0.89644838
-2.22411206,3.07452803,0.00989039,0.38201537,0.14458231,0.02286368,1.94522879,0.88665286,0.89779196
-2.21810905,3.07952058,0.00964170,0.37846696,0.14733346,0.02376139,1.95699727,0.88829337,0.90039378
-2.21210605,3.08985522,0.00942177,0.37470774,0.15079950,0.02467747,1.97313120,0.89257645,0.90427974
-2.20610305,3.10551853,0.00923522,0.37085914,0.15495809,0.02560352,1.99340886,0.89944921,0.90942443
-2.20010005,3.12636747,0.00908589,0.36705465,0.15977175,0.02653122,2.01750805,0.90880868,0.91575364
