energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
0.93946973,2.35000018,-2.35000012,0.09769038,-0.09769037,0.31167584,-0.31167584,0.26293898,-0.26293897,0.26763611,-0.26763610,0.38096758,-0.38096759,1.00447121,-1.00447121,0.08662713,-0.08662712,0.41782511,-0.41782508
0.94547274,2.37475471,-2.37475467,0.09898416,-0.09898415,0.31581727,-0.31581726,0.26370162,-0.26370161,0.27163217,-0.27163216,0.38293776,-0.38293778,1.00899024,-1.00899025,0.08801039,-0.08801039,0.42443784,-0.42443782
0.95147574,2.39456295,-2.39456293,0.10005415,-0.10005415,0.32007498,-0.32007497,0.26464638,-0.26464638,0.27533200,-0.27533199,0.38453338,-0.38453340,1.01059910,-1.01059912,0.08911991,-0.08911991,0.42992063,-0.42992061
0.95747874,2.40849701,-2.40849701,0.10089722,-0.10089721,0.32418962,-0.32418962,0.26552624,-0.26552624,0.27858731,-0.27858731,0.38571017,-0.38571019,1.00899579,-1.00899583,0.08993070,-0.08993070,0.43412909,-0.43412908
0.96348174,2.41578463,-2.41578465,0.10151320,-0.10151320,0.32791739,-0.32791739,0.26612022,-0.26612022,0.28126151,-0.28126151,0.38644262,-0.38644265,1.00397061,-1.00397065,0.09042128,-0.09042127,0.43694558,-0.43694556
0.96948474,2.41582374,-2.41582379,0.10190464,-0.10190463,0.33103569,-0.33103568,0.26623725,-0.26623725,0.28323261,-0.28323260,0.38672328,-0.38672331,0.99540802,-0.99540807,0.09057427,-0.09057427,0.43828243,-0.43828242
0.97548774,2.40819294,-2.40819301,0.10207645,-0.10207645,0.33334824,-0.33334824,0.26571908,-0.26571908,0.28439573,-0.28439573,0.38656162,-0.38656165,0.98328633,-0.98328640,0.09037707,-0.09037707,0.43808448,-0.43808447
0.98149075,2.39265772,-2.39265782,0.10203565,-0.10203565,0.33468954,-0.33468955,0.26444217,-0.26444217,0.28466534,-0.28466535,0.38598280,-0.38598283,0.96767507,-0.96767515,0.08982220,-0.08982220,0.43633066,-0.43633066
0.98749375,2.36917250,-2.36917262,0.10179104,-0.10179104,0.33492848,-0.33492849,0.26231867,-0.26231868,0.28397692,-0.28397693,0.38502612,-0.38502615,0.94873034,-0.94873043,0.08890778,-0.08890778,0.43303477,-0.43303478
0.99349675,2.33787848,-2.33787862,0.10135301,-0.10135301,0.33397099,-0.33397100,0.25929650,-0.25929651,0.28228822,-0.28228823,0.38374345,-0.38374348,0.92668839,-0.92668848,0.08763762,-0.08763762,0.42824525,-0.42824526
0.99949975,2.29909728,-2.29909744,0.10073338,-0.10073338,0.33176174,-0.33176175,0.25535848,-0.25535849,0.27957991,-0.27957993,0.38219757,-0.38219760,0.90185757,-0.90185768,0.08602132,-0.08602132,0.42204414,-0.42204416
1.00550275,2.25332062,-2.25332081,0.09994522,-0.09994522,0.32828466,-0.32828468,0.25052074,-0.25052075,0.27585581,-0.27585582,0.38046042,-0.38046045,0.87460904,-0.87460915,0.08407414,-0.08407414,0.41454503,-0.41454505
1.01150575,2.20119619,-2.20119640,0.09900283,-0.09900284,0.32356237,-0.32356239,0.24483036,-0.24483038,0.27114234,-0.27114236,0.37861128,-0.37861131,0.84536632,-0.84536644,0.08181669,-0.08181669,0.40589026,-0.40589028
1.01750875,2.14350990,-2.14351012,0.09792169,-0.09792169,0.31765436,-0.31765439,0.23836244,-0.23836246,0.26548761,-0.26548764,0.37673496,-0.37673499,0.81459422,-0.81459434,0.07927447,-0.07927448,0.39624721,-0.39624724
1.02351176,2.08116503,-2.08116526,0.09671835,-0.09671835,0.31065418,-0.31065421,0.23121655,-0.23121657,0.25895975,-0.25895978,0.37491969,-0.37491972,0.78278713,-0.78278726,0.07647731,-0.07647732,0.38580399,-0.38580402
1.02951476,2.01515869,-2.01515893,0.09541039,-0.09541039,0.30268550,-0.30268554,0.22351292,-0.22351294,0.25164483,-0.25164486,0.37325507,-0.37325509,0.75045723,-0.75045736,0.07345860,-0.07345860,0.37476444,-0.37476448
1.03551776,1.94655602,-1.94655627,0.09401626,-0.09401626,0.29389739,-0.29389743,0.21538825,-0.21538827,0.24364427,-0.24364430,0.37182970,-0.37182972,0.71812260,-0.71812272,0.07025450,-0.07025451,0.36334274,-0.36334277
1.04152076,1.87646296,-1.87646321,0.09255509,-0.09255509,0.28445879,-0.28445883,0.20699147,-0.20699149,0.23507184,-0.23507187,0.37072879,-0.37072880,0.68629567,-0.68629579,0.06690307,-0.06690308,0.35175757,-0.35175761
1.04752376,1.80599820,-1.80599845,0.09104633,-0.09104633,0.27455258,-0.27455262,0.19847948,-0.19847951,0.22605040,-0.22605043,0.37003155,-0.37003155,0.65547219,-0.65547231,0.06344333,-0.06344334,0.34022629,-0.34022632
1.05352676,1.73626510,-1.73626534,0.08950941,-0.08950941,0.26436936,-0.26436939,0.19001304,-0.19001306,0.21670840,-0.21670843,0.36980864,-0.36980864,0.62612087,-0.62612098,0.05991437,-0.05991438,0.32895895,-0.32895899
1.05952976,1.66832449,-1.66832473,0.08796317,-0.08796318,0.25410123,-0.25410127,0.18175289,-0.18175291,0.20717635,-0.20717639,0.37011962,-0.37011962,0.59867398,-0.59867408,0.05635449,-0.05635450,0.31815265,-0.31815269
1.06553277,1.60316908,-1.60316930,0.08642536,-0.08642536,0.24393589,-0.24393592,0.17385628,-0.17385631,0.19758339,-0.19758342,0.37101058,-0.37101057,0.57351904,-0.57351913,0.05280036,-0.05280037,0.30798618,-0.30798621
1.07153577,1.54170035,-1.54170056,0.08491195,-0.08491195,0.23405115,-0.23405119,0.16647393,-0.16647395,0.18805390,-0.18805393,0.37251211,-0.37251209,0.55099177,-0.55099186,0.04928632,-0.04928633,0.29861526,-0.29861529
1.07753877,1.48470876,-1.48470895,0.08343652,-0.08343652,0.22461025,-0.22461029,0.15974747,-0.15974749,0.17870462,-0.17870465,0.37463784,-0.37463782,0.53137053,-0.53137061,0.04584381,-0.04584381,0.29016856,-0.29016859
1.08354177,1.43285774,-1.43285792,0.08200968,-0.08200968,0.21575798,-0.21575802,0.15380748,-0.15380749,0.16964200,-0.16964203,0.37738353,-0.37738350,0.51487218,-0.51487225,0.04250083,-0.04250083,0.28274452,-0.28274455
1.08954477,1.38667227,-1.38667244,0.08063850,-0.08063851,0.20761790,-0.20761793,0.14877203,-0.14877204,0.16096013,-0.16096016,0.38072706,-0.38072703,0.50164964,-0.50164970,0.03928167,-0.03928168,0.27640924,-0.27640926
1.09554777,1.34653222,-1.34653236,0.07932613,-0.07932613,0.20029058,-0.20029061,0.14474578,-0.14474579,0.15273925,-0.15273927,0.38462932,-0.38462929,0.49179118,-0.49179123,0.03620668,-0.03620669,0.27119545,-0.27119548
1.10155078,1.31267072,-1.31267084,0.07807151,-0.07807151,0.19385301,-0.19385303,0.14181955,-0.14181956,0.14504475,-0.14504478,0.38903610,-0.38903606,0.48532130,-0.48532134,0.03329224,-0.03329224,0.26710267,-0.26710269
1.10755378,1.28517760,-1.28517771,0.07686933,-0.07686934,0.18835899,-0.18835901,0.14007028,-0.14007029,0.13792691,-0.13792693,0.39388100,-0.39388096,0.48220341,-0.48220344,0.03055076,-0.03055077,0.26409845,-0.26409847
1.11355678,1.26400770,-1.26400778,0.07571020,-0.07571020,0.18384061,-0.18384063,0.13956128,-0.13956128,0.13142108,-0.13142110,0.39908930,-0.39908926,0.48234402,-0.48234404,0.02799098,-0.02799099,0.26212092,-0.26212094
1.11955978,1.24899344,-1.24899351,0.07458093,-0.07458093,0.18031038,-0.18031039,0.14034275,-0.14034275,0.12554852,-0.12554854,0.40458271,-0.40458266,0.48559846,-0.48559847,0.02561816,-0.02561816,0.26108224,-0.26108225
1.12556278,1.23986138,-1.23986143,0.07346521,-0.07346521,0.17776414,-0.17776415,0.14245229,-0.14245229,0.12031759,-0.12031760,0.41028475,-0.41028470,0.49177786,-0.49177787,0.02343452,-0.02343453,0.26087310,-0.26087311
1.13156578,1.23625169,-1.23625172,0.07234425,-0.07234425,0.17618434,-0.17618435,0.14591547,-0.14591546,0.11572540,-0.11572542,0.41612657,-0.41612652,0.50065725,-0.50065725,0.02143966,-0.02143967,0.26136798,-0.26136798
1.13756878,1.23773976,-1.23773977,0.07119779,-0.07119779,0.17554348,-0.17554349,0.15074618,-0.15074617,0.11175969,-0.11175971,0.42205290,-0.42205284,0.51198434,-0.51198433,0.01963106,-0.01963107,0.26243102,-0.26243102
1.14357179,1.24385901,-1.24385901,0.07000505,-0.07000505,0.17580760,-0.17580760,0.15694683,-0.15694682,0.10840085,-0.10840086,0.42802776,-0.42802770,0.52548888,-0.52548886,0.01800457,-0.01800457,0.26392223,-0.26392223
1.14957479,1.25412374,-1.25412372,0.06874581,-0.06874581,0.17693951,-0.17693951,0.16450818,-0.16450816,0.10562402,-0.10562403,0.43403971,-0.43403965,0.54089209,-0.54089206,0.01655493,-0.01655494,0.26570385,-0.26570385
1.15557779,1.26805112,-1.26805109,0.06740148,-0.06740148,0.17890160,-0.17890159,0.17340892,-0.17340890,0.10340109,-0.10340110,0.44010618,-0.44010611,0.55791587,-0.55791584,0.01527630,-0.01527631,0.26764658,-0.26764658
1.16158079,1.28518130,-1.28518126,0.06595609,-0.06595609,0.18165813,-0.18165812,0.18361488,-0.18361486,0.10170258,-0.10170259,0.44627666,-0.44627659,0.57629150,-0.57629145,0.01416268,-0.01416269,0.26963540,-0.26963540
1.16758379,1.30509490,-1.30509485,0.06439718,-0.06439718,0.18517686,-0.18517685,0.19507801,-0.19507798,0.10049925,-0.10049926,0.45263455,-0.45263448,0.59576736,-0.59576731,0.01320837,-0.01320837,0.27157483,-0.27157483
1.17358679,1.32742711,-1.32742704,0.06271652,-0.06271652,0.18942998,-0.18942997,0.20773508,-0.20773505,0.09976341,-0.09976341,0.45929740,-0.45929733,0.61611564,-0.61611558,0.01240830,-0.01240830,0.27339326,-0.27339326
1.17958979,1.35187798,-1.35187790,0.06091059,-0.06091060,0.19439431,-0.19439429,0.22150640,-0.22150636,0.09946988,-0.09946988,0.46641559,-0.46641551,0.63713752,-0.63713745,0.01175836,-0.01175836,0.27504641,-0.27504641
