energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-5.26763382,2.08212218,0.00288910,0.48321237,0.02018291,1.52689792,0.87770249,0.72288774,0.00000000
-5.26163082,2.11008052,0.00328163,0.46069669,0.02199074,1.46881165,0.88978541,0.77844951,0.00000000
-5.25562781,2.15402426,0.00370627,0.43996546,0.02410680,1.42181868,0.90813481,0.84242076,0.00000000
-5.24962481,2.21468368,0.00416143,0.42138938,0.02655942,1.38652695,0.93320938,0.91464920,0.00000000
-5.24362181,2.29245813,0.00464490,0.40527155,0.02937598,1.36327341,0.96534847,0.99483812,0.00000000
-5.23761881,2.38741281,0.00515385,0.39184473,0.03258259,1.35213019,1.00476804,1.08254913,0.00000000
-5.23161581,2.49928748,0.00568484,0.38127135,0.03620382,1.35291796,1.05156157,1.17720909,0.00000000
-5.22561281,2.62751647,0.00623384,0.37364610,0.04026243,1.36522555,1.10570605,1.27812130,0.00000000
-5.21960980,2.77125886,0.00679630,0.36900076,0.04477920,1.38843479,1.16707220,1.38448058,0.00000000
-5.21360680,2.92943737,0.00736725,0.36731089,0.04977257,1.42174946,1.23543849,1.49539189,0.00000000
-5.20760380,3.10078391,0.00794138,0.36850385,0.05525850,1.46422707,1.31050795,1.60989199,0.00000000
-5.20160080,3.28388981,0.00851319,0.37246766,0.06125011,1.51481236,1.39192682,1.72697330,0.00000000
-5.19559780,3.47725824,0.00907711,0.37906017,0.06775744,1.57237127,1.47930409,1.84560922,0.00000000
-5.18959480,3.67935637,0.00962767,0.38811805,0.07478716,1.63572424,1.57223056,1.96477981,0.00000000
-5.18359180,3.88866486,0.01015966,0.39946513,0.08234216,1.70367781,1.67029666,2.08349692,0.00000000
-5.17758879,4.10372246,0.01066827,0.41291970,0.09042132,1.77505357,1.77310779,2.20082767,0.00000000
-5.17158579,4.32316343,0.01114924,0.42830043,0.09901908,1.84871367,1.88029646,2.31591511,0.00000000
-5.16558279,4.54574642,0.01159904,0.44543077,0.10812516,1.92358229,1.99153041,2.42799545,0.00000000
-5.15957979,4.77037336,0.01201493,0.46414164,0.11772420,1.99866256,2.10651643,2.53641078,0.00000000
-5.15357679,4.99609768,0.01239510,0.48427240,0.12779558,2.07304890,2.22499948,2.64061684,0.00000000
-5.14757379,5.22212194,0.01273876,0.50567035,0.13831311,2.14593442,2.34675730,2.74018557,0.00000000
-5.14157079,5.44778505,0.01304619,0.52818868,0.14924497,2.21661392,2.47159079,2.83480225,0.00000000
-5.13556778,5.67254047,0.01331877,0.55168349,0.16055365,2.28448264,2.59931077,2.92425764,0.00000000
-5.12956478,5.89592670,0.01355900,0.57600999,0.17219600,2.34903127,2.72972195,3.00843549,0.00000000
-5.12356178,6.11753236,0.01377051,0.60101830,0.18412347,2.40983819,2.86260514,3.08729629,0.00000000
-5.11755878,6.33695805,0.01395804,0.62654940,0.19628235,2.46655937,2.99769882,3.16085824,0.00000000
-5.11155578,6.55377780,0.01412739,0.65243152,0.20861425,2.51891713,3.13468145,3.22917670,0.00000000
-5.10555278,6.76750255,0.01428544,0.67847736,0.22105670,2.56668842,3.27315559,3.29232321,0.00000000
-5.09954977,6.97754847,0.01444003,0.70448249,0.23354383,2.60969365,3.41263520,3.35036562,0.00000000
-5.09354677,7.18321231,0.01460001,0.73022519,0.24600724,2.64778674,3.55253704,3.40335040,0.00000000
-5.08754377,7.38365576,0.01477513,0.75546777,0.25837695,2.68084721,3.69217718,3.45128842,0.00000000
-5.08154077,7.57790031,0.01497606,0.77995959,0.27058254,2.70877463,3.83077310,3.49414495,0.00000000
-5.07553777,7.76483353,0.01521431,0.80344149,0.28255432,2.73148604,3.96745187,3.53183483,0.00000000
-5.06953477,7.94322689,0.01550222,0.82565169,0.29422474,2.74891629,4.10126438,3.56422297,0.00000000
-5.06353177,8.11176479,0.01585292,0.84633271,0.30552973,2.76102127,4.23120532,3.59113038,0.00000000
-5.05752876,8.26908369,0.01628023,0.86523908,0.31641024,2.76778387,4.35623834,3.61234546,0.00000000
-5.05152576,8.41381972,0.01679861,0.88214535,0.32681380,2.76922215,4.47532564,3.62764002,0.00000000
-5.04552276,8.54466261,0.01742301,0.89685406,0.33669610,2.76539906,4.58746064,3.63678903,0.00000000
-5.03951976,8.66041329,0.01816874,0.90920316,0.34602247,2.75643310,4.69170264,3.63959323,0.00000000
-5.03351676,8.76004253,0.01905125,0.91907256,0.35476944,2.74250905,4.78721188,3.63590315,0.00000000
-5.02751376,8.84274750,0.02008587,0.92638930,0.36292596,2.72388782,4.87328361,3.62564315,0.00000000
-5.02151076,8.90800336,0.02128744,0.93113119,0.37049454,2.70091477,4.94937937,3.60883418,0.00000000
-5.01550775,8.95560717,0.02267001,0.93332869,0.37749203,2.67402542,5.01515435,3.58561368,0.00000000
-5.00950475,8.98571160,0.02424632,0.93306474,0.38394997,2.64374813,5.07047918,3.55625143,0.00000000
-5.00350175,8.99884624,0.02602734,0.93047282,0.38991451,2.61070296,5.11545501,3.52116027,0.00000000
-4.99749875,8.99592515,0.02802173,0.92573295,0.39544580,2.57559637,5.15042105,3.48090067,0.00000000
-4.99149575,8.97823935,0.03023531,0.91906612,0.40061665,2.53921158,5.17595374,3.43617877,0.00000000
-4.98549275,8.94743420,0.03267045,0.91072714,0.40551069,2.50239450,5.19285725,3.38783742,0.00000000
-4.97948974,8.90547162,0.03532559,0.90099623,0.41021971,2.46603553,5.20214527,3.33684045,0.00000000
-4.97348674,8.85457837,0.03819471,0.89016981,0.41484050,2.43104755,5.20501440,3.28425054,0.00000000
-4.96748374,8.79718180,0.04126694,0.87855062,0.41947103,2.39834079,5.20280987,3.23120143,0.00000000
-4.96148074,8.73583533,0.04452625,0.86643771,0.42420616,2.36879547,5.19698462,3.17886554,0.00000000
-4.95547774,8.67313637,0.04795126,0.85411652,0.42913311,2.34323305,5.18905308,3.12841833,0.00000000
-4.94947474,8.61163966,0.05151517,0.84184951,0.43432664,2.32238734,5.18054126,3.08100083,0.00000000
-4.94347174,8.55376971,0.05518595,0.82986748,0.43984449,2.30687651,5.17293517,3.03768198,0.00000000
-4.93746873,8.50173548,0.05892659,0.81836211,0.44572288,2.29717744,5.16762929,2.99942245,0.00000000
-4.93146573,8.45745133,0.06269560,0.80747971,0.45197280,2.29360335,5.16587744,2.96704146,0.00000000
-4.92546273,8.42246711,0.06644765,0.79731659,0.45857679,2.29628607,5.16874775,2.94118812,0.00000000
-4.91945973,8.39791074,0.07013441,0.78791617,0.46548694,2.30516367,5.17708385,2.92231853,0.00000000
