energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.59779890,3.88172320,0.03853905,0.30152512,0.92668997,1.16437289,0.77097006,0.49395829,0.09218550,1.82902683
-5.59179590,3.80970914,0.03663526,0.29911599,0.91028798,1.15984893,0.74223523,0.47581689,0.09002411,1.78486921
-5.58579290,3.73293521,0.03475942,0.29608791,0.89301767,1.15214902,0.71421171,0.45765393,0.08776365,1.73931752
-5.57978989,3.65209754,0.03293535,0.29251252,0.87501569,1.14148233,0.68702456,0.43956747,0.08543700,1.69265858
-5.57378689,3.56802436,0.03118535,0.28847262,0.85644779,1.12813692,0.66080359,0.42165826,0.08307655,1.64522764
-5.56778389,3.48165597,0.02952969,0.28406026,0.83750466,1.11247284,0.63567960,0.40402879,0.08071313,1.59740074
-5.56178089,3.39402105,0.02798632,0.27937454,0.81839686,1.09491305,0.61178027,0.38678203,0.07837509,1.54958566
-5.55577789,3.30621052,0.02657048,0.27451922,0.79934890,1.07593259,0.58922611,0.37002006,0.07608741,1.50221188
-5.54977489,3.21935001,0.02529450,0.26960020,0.78059307,1.05604646,0.56812662,0.35384261,0.07387107,1.45571996
-5.54377189,3.13457234,0.02416759,0.26472302,0.76236304,1.03579666,0.54857692,0.33834553,0.07174249,1.41055109
-5.53776888,3.05299116,0.02319581,0.25999037,0.74488784,1.01573908,0.53065499,0.32361927,0.06971329,1.36713699
-5.53176588,2.97567670,0.02238203,0.25549992,0.72838627,0.99643054,0.51441973,0.30974749,0.06779022,1.32589088
-5.52576288,2.90363480,0.02172601,0.25134228,0.71306224,0.97841667,0.49990994,0.29680581,0.06597528,1.28719969
-5.51975988,2.83778962,0.02122455,0.24759938,0.69910102,0.96222082,0.48714419,0.28486077,0.06426614,1.25141778
-5.51375688,2.77897063,0.02087168,0.24434326,0.68666676,0.94833452,0.47612169,0.27396907,0.06265660,1.21886250
-5.50775388,2.72790406,0.02065889,0.24163527,0.67590107,0.93720950,0.46682397,0.26417710,0.06113736,1.18981132
-5.50175088,2.68520856,0.02057551,0.23952577,0.66692288,0.92925153,0.45921740,0.25552077,0.05969680,1.16450070
-5.49574787,2.65139486,0.02060900,0.23805419,0.65982934,0.92481598,0.45325626,0.24802565,0.05832186,1.14312638
-5.48974487,2.62686871,0.02074530,0.23724958,0.65469752,0.92420505,0.44888630,0.24170735,0.05699897,1.12584491
-5.48374187,2.61193642,0.02096929,0.23713147,0.65158684,0.92766645,0.44604849,0.23657221,0.05571492,1.11277589
-5.47773887,2.60681216,0.02126513,0.23771101,0.65054189,0.93539333,0.44468278,0.23261808,0.05445773,1.10400482
-5.47173587,2.61162594,0.02161665,0.23899228,0.65159523,0.94752510,0.44473168,0.22983523,0.05321734,1.09958593
-5.46573287,2.62643164,0.02200781,0.24097372,0.65477008,0.96414896,0.44614341,0.22820735,0.05198626,1.09954477
-5.45972986,2.65121414,0.02242297,0.24364954,0.66008256,0.98530178,0.44887444,0.22771243,0.05076001,1.10388021
-5.45372686,2.68589492,0.02284731,0.24701102,0.66754311,1.01097210,0.45289136,0.22832358,0.04953738,1.11256567
-5.44772386,2.73033591,0.02326712,0.25104768,0.67715728,1.04110216,0.45817190,0.23000971,0.04832060,1.12554936
-5.44172086,2.78434114,0.02367005,0.25574819,0.68892538,1.07558975,0.46470503,0.23273598,0.04711524,1.14275363
