energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.11755878,1.60588893,0.00132490,0.26834375,0.48190852,0.35675796,0.01940440,0.77623533,0.47520854,0.24316726
-5.11155578,1.67259197,0.00140659,0.27421906,0.49704148,0.38101481,0.02048665,0.81396624,0.47931049,0.25328325
-5.10555278,1.74401187,0.00149659,0.28109364,0.51337057,0.40672628,0.02164114,0.85334422,0.48592257,0.26397760
-5.09954977,1.81931406,0.00159420,0.28890091,0.53068203,0.43365818,0.02285745,0.89386949,0.49496753,0.27512128
-5.09354677,1.89763649,0.00169843,0.29756537,0.54875508,0.46156254,0.02412324,0.93503918,0.50633862,0.28658927
-5.08754377,1.97810777,0.00180798,0.30700435,0.56736668,0.49018225,0.02542436,0.97635779,0.51990090,0.29826353
-5.08154077,2.05986408,0.00192128,0.31712949,0.58629578,0.51925591,0.02674518,1.01734684,0.53549268,0.31003538
-5.07553777,2.14206445,0.00203654,0.32784798,0.60532672,0.54852265,0.02806894,1.05755324,0.55292679,0.32180722
-5.06953477,2.22390351,0.00215178,0.33906358,0.62425191,0.57772701,0.02937815,1.09655628,0.57199191,0.33349362
-5.06353177,2.30462169,0.00226488,0.35067718,0.64287351,0.60662339,0.03065500,1.13397283,0.59245370,0.34502162
-5.05752876,2.38351230,0.00237368,0.36258717,0.66100426,0.63498018,0.03188185,1.16946087,0.61405610,0.35633026
-5.05152576,2.45992575,0.00247597,0.37468943,0.67846749,0.66258328,0.03304166,1.20272119,0.63652257,0.36736952
-5.04552276,2.53327087,0.00256965,0.38687719,0.69509655,0.68923894,0.03411846,1.23349741,0.65955776,0.37809859
-5.03951976,2.60301383,0.00265274,0.39904077,0.71073373,0.71477574,0.03509769,1.26157463,0.68284943,0.38848382
-5.03351676,2.66867497,0.00272344,0.41106732,0.72522906,0.73904577,0.03596661,1.28677682,0.70607103,0.39849622
-5.02751376,2.72982424,0.00278024,0.42284074,0.73843920,0.76192482,0.03671455,1.30896334,0.72888485,0.40810902
-5.02151076,2.78607576,0.00282191,0.43424180,0.75022652,0.78331170,0.03733312,1.32802500,0.75094601,0.41729517
-5.01550775,2.83708216,0.00284755,0.44514865,0.76045882,0.80312673,0.03781632,1.34387988,0.77190721,0.42602511
-5.00950475,2.88252921,0.00285664,0.45543765,0.76900959,0.82130940,0.03816063,1.35646927,0.79142420,0.43426496
-5.00350175,2.92213129,0.00284903,0.46498474,0.77575906,0.83781548,0.03836487,1.36575403,0.80916199,0.44197516
-4.99749875,2.95562801,0.00282492,0.47366707,0.78059599,0.85261362,0.03843014,1.37171160,0.82480142,0.44910968
-4.99149575,2.98278234,0.00278487,0.48136518,0.78342006,0.86568172,0.03835961,1.37433368,0.83804612,0.45561594
-4.98549275,3.00338027,0.00272977,0.48796532,0.78414491,0.87700333,0.03815826,1.37362480,0.84862935,0.46143528
-4.97948974,3.01723208,0.00266077,0.49336207,0.78270149,0.88656420,0.03783256,1.36960171,0.85632061,0.46650412
-4.97348674,3.02417515,0.00257928,0.49746093,0.77904149,0.89434932,0.03739019,1.36229356,0.86093152,0.47075560
-4.96748374,3.02407808,0.00248685,0.50018096,0.77314075,0.90034065,0.03683969,1.35174273,0.86232088,0.47412174
-4.96148074,3.01684588,0.00238520,0.50145710,0.76500225,0.90451565,0.03619014,1.33800627,0.86039849,0.47653591
-4.95547774,3.00242599,0.00227608,0.50124228,0.75465856,0.90684685,0.03545089,1.32115767,0.85512771,0.47793553
-4.94947474,2.98081469,0.00216128,0.49950907,0.74217347,0.90730248,0.03463127,1.30128891,0.84652640,0.47826488
-4.94347174,2.95206371,0.00204252,0.49625090,0.72764279,0.90584820,0.03374042,1.27851248,0.83466644,0.47747787
-4.93746873,2.91628658,0.00192146,0.49148268,0.71119409,0.90244981,0.03278711,1.25296339,0.81967171,0.47554065
-4.93146573,2.87366438,0.00179965,0.48524092,0.69298545,0.89707699,0.03177965,1.22480089,0.80171465,0.47243393
-4.92546273,2.82445069,0.00167849,0.47758334,0.67320324,0.88970760,0.03072587,1.19420978,0.78101168,0.46815494
-4.91945973,2.76897528,0.00155919,0.46858787,0.65205896,0.88033252,0.02963312,1.16140126,0.75781750,0.46271891
-4.91345673,2.70764637,0.00144282,0.45835133,0.62978534,0.86896064,0.02850827,1.12661315,0.73241879,0.45616003
-4.90745373,2.64095105,0.00133024,0.44698756,0.60663174,0.85562368,0.02735789,1.09010947,0.70512734,0.44853177
-4.90145073,2.56945387,0.00122218,0.43462534,0.58285915,0.84038046,0.02618827,1.05217929,0.67627299,0.43990669
-4.89544772,2.49379322,0.00111915,0.42140604,0.55873484,0.82332040,0.02500554,1.01313469,0.64619664,0.43037550
-4.88944472,2.41467544,0.00102155,0.40748097,0.53452696,0.80456589,0.02381581,0.97330810,0.61524354,0.42004561
-4.88344172,2.33286673,0.00092962,0.39300884,0.51049914,0.78427336,0.02262525,0.93304865,0.58375695,0.40903905
-4.87743872,2.24918279,0.00084349,0.37815296,0.48690531,0.76263287,0.02144012,0.89271787,0.55207250,0.39748993
-4.87143572,2.16447650,0.00076321,0.36307865,0.46398488,0.73986613,0.02026687,0.85268466,0.52051313,0.38554146
-4.86543272,2.07962378,0.00068872,0.34795065,0.44195835,0.71622304,0.01911210,0.81331956,0.48938482,0.37334265
-4.85942971,1.99550810,0.00061991,0.33293070,0.42102349,0.69197686,0.01798254,0.77498867,0.45897304,0.36104485
-4.85342671,1.91300412,0.00055663,0.31817540,0.40135218,0.66741808,0.01688503,0.73804711,0.42953997,0.34879820
-4.84742371,1.83296103,0.00049868,0.30383422,0.38308791,0.64284749,0.01582638,0.70283247,0.40132238,0.33674824
-4.84142071,1.75618610,0.00044584,0.29004795,0.36634411,0.61856854,0.01481332,0.66965823,0.37453026,0.32503267
-4.83541771,1.68342930,0.00039789,0.27694738,0.35120317,0.59487950,0.01385237,0.63880759,0.34934590,0.31377862
-4.82941471,1.61536931,0.00035457,0.26465246,0.33771640,0.57206574,0.01294969,0.61052777,0.32592369,0.30310025
-4.82341171,1.55260178,0.00031564,0.25327173,0.32590466,0.55039244,0.01211099,0.58502510,0.30439028,0.29309708
-4.81740870,1.49563001,0.00028085,0.24290222,0.31575983,0.53009810,0.01134141,0.56246106,0.28484522,0.28385287
-4.81140570,1.44485862,0.00024994,0.23362960,0.30724702,0.51138919,0.01064542,0.54294949,0.26736194,0.27543522
-4.80540270,1.40059027,0.00022266,0.22552872,0.30030739,0.49443593,0.01002677,0.52655496,0.25198908,0.26789580
-4.79939970,1.36302547,0.00019876,0.21866427,0.29486153,0.47936953,0.00948839,0.51329256,0.23875202,0.26127123
-4.79339670,1.33226536,0.00017799,0.21309159,0.29081324,0.46628092,0.00903242,0.50312899,0.22765464,0.25558434
-4.78739370,1.30831709,0.00016010,0.20885761,0.28805367,0.45522078,0.00866016,0.49598494,0.21868119,0.25084599
-4.78139070,1.29110153,0.00014487,0.20600152,0.28646544,0.44620097,0.00837213,0.49173877,0.21179821,0.24705695
-4.77538769,1.28046255,0.00013204,0.20455544,0.28592687,0.43919714,0.00816809,0.49023118,0.20695651,0.24420996
-4.76938469,1.27617757,0.00012139,0.20454465,0.28631583,0.43415223,0.00804709,0.49127086,0.20409298,0.24229173
-4.76338169,1.27796845,0.00011269,0.20598758,0.28751339,0.43098078,0.00800759,0.49464083,0.20313239,0.24128458
-4.75737869,1.28551250,0.00010573,0.20889524,0.28940681,0.42957376,0.00804752,0.50010528,0.20398891,0.24116788
-4.75137569,1.29845280,0.00010032,0.21327037,0.29189203,0.42980362,0.00816435,0.50741662,0.20656751,0.24191897
-4.74537269,1.31640765,0.00009625,0.21910604,0.29487544,0.43152945,0.00835522,0.51632263,0.21076505,0.24351359
-4.73936968,1.33897876,0.00009337,0.22638401,0.29827491,0.43460205,0.00861704,0.52657336,0.21647119,0.24592579
-4.73336668,1.36575812,0.00009150,0.23507273,0.30202017,0.43886868,0.00894651,0.53792775,0.22356903,0.24912748
