energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-2.18809405,0.64186992,0.00109861,0.14445354,0.17032953,0.41830660,0.00000000,0.25678369,0.20944833
-2.18209105,0.66118390,0.00136160,0.14597187,0.17267393,0.43362686,0.00000000,0.27269536,0.21405352
-2.17608804,0.68046245,0.00168357,0.14703377,0.17465204,0.44926237,0.00000000,0.28963047,0.21834944
-2.17008504,0.69999200,0.00207304,0.14769654,0.17637092,0.46537448,0.00000000,0.30771560,0.22241587
-2.16408204,0.72009825,0.00253914,0.14802908,0.17795477,0.48214346,0.00000000,0.32707734,0.22634607
-2.15807904,0.74113328,0.00309151,0.14810900,0.17954118,0.49976048,0.00000000,0.34783717,0.23024277
-2.15207604,0.76346168,0.00374003,0.14801952,0.18127679,0.51841925,0.00000000,0.37010613,0.23421394
-2.14607304,0.78744619,0.00449460,0.14784612,0.18331251,0.53830750,0.00000000,0.39397938,0.23836838
-2.14007004,0.81343334,0.00536480,0.14767326,0.18579857,0.55959879,0.00000000,0.41953100,0.24281143
-2.13406703,0.84173957,0.00635956,0.14758115,0.18887941,0.58244483,0.00000000,0.44680896,0.24764086
-2.12806403,0.87263831,0.00748673,0.14764276,0.19268873,0.60696850,0.00000000,0.47583056,0.25294324
-2.12206103,0.90634834,0.00875270,0.14792124,0.19734473,0.63325791,0.00000000,0.50657835,0.25879071
-2.11605803,0.94302381,0.01016192,0.14846767,0.20294580,0.66136154,0.00000000,0.53899672,0.26523845
-2.11005503,0.98274599,0.01171649,0.14931935,0.20956667,0.69128448,0.00000000,0.57298910,0.27232265
-2.10405203,1.02551715,0.01341573,0.15049856,0.21725528,0.72298590,0.00000000,0.60841606,0.28005928
-2.09804902,1.07125633,0.01525585,0.15201188,0.22603033,0.75637767,0.00000000,0.64509415,0.28844348
-2.09204602,1.11979735,0.01722965,0.15385006,0.23587970,0.79132412,0.00000000,0.68279577,0.29744948
-2.08604302,1.17088892,0.01932628,0.15598832,0.24675974,0.82764289,0.00000000,0.72124999,0.30703127
-2.08004002,1.22419674,0.02153117,0.15838724,0.25859542,0.86510670,0.00000000,0.76014445,0.31712365
-2.07403702,1.27930775,0.02382608,0.16099391,0.27128148,0.90344613,0.00000000,0.79912840,0.32764379
-2.06803402,1.33573619,0.02618923,0.16374368,0.28468439,0.94235322,0.00000000,0.83781694,0.33849316
-2.06203102,1.39293159,0.02859565,0.16656204,0.29864528,0.98148586,0.00000000,0.87579646,0.34955979
-2.05602801,1.45028841,0.03101760,0.16936685,0.31298353,1.02047292,0.00000000,0.91263129,0.36072073
-2.05002501,1.50715719,0.03342517,0.17207081,0.32750116,1.05892005,0.00000000,0.94787146,0.37184469
-2.04402201,1.56285703,0.03578698,0.17458398,0.34198768,1.09641601,0.00000000,0.98106154,0.38279484
-2.03801901,1.61668903,0.03807095,0.17681645,0.35622537,1.13253960,0.00000000,1.01175018,0.39343158
-2.03201601,1.66795052,0.04024518,0.17868097,0.36999482,1.16686684,0.00000000,1.03950040,0.40361531
-2.02601301,1.71594957,0.04227878,0.18009550,0.38308048,1.19897844,0.00000000,1.06390004,0.41320913
-2.02001001,1.76001940,0.04414276,0.18098561,0.39527596,1.22846741,0.00000000,1.08457218,0.42208139
-2.01400700,1.79953239,0.04581084,0.18128672,0.40638913,1.25494642,0.00000000,1.10118502,0.43010800
-2.00800400,1.83391305,0.04726016,0.18094595,0.41624652,1.27805504,0.00000000,1.11346099,0.43717449
-2.00200100,1.86264973,0.04847188,0.17992368,0.42469712,1.29746638,0.00000000,1.12118446,0.44317783
-1.99599800,1.88530455,0.04943167,0.17819465,0.43161529,1.31289313,0.00000000,1.12420794,0.44802778
-1.98999500,1.90152145,0.05012996,0.17574866,0.43690277,1.32409276,0.00000000,1.12245628,0.45164800
