energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
2.05002501,4.35448732,0.00924745,1.20723829,1.25481413,0.86541038,0.18155831,1.51407725,1.29540140,0.00103011
2.05602801,4.29168455,0.00880575,1.20504863,1.21722416,0.86248766,0.17242262,1.49791785,1.23712060,0.00100735
2.06203102,4.22754835,0.00846315,1.20239538,1.17858652,0.85921038,0.16294307,1.48171375,1.17732266,0.00098489
2.06803402,4.16365599,0.00822280,1.19959818,1.13947000,0.85578661,0.15323039,1.46605424,1.11678187,0.00096303
2.07403702,4.10153772,0.00808708,1.19696310,1.10045055,0.85242507,0.14339935,1.45150152,1.05624393,0.00094215
2.08004002,4.04261903,0.00805745,1.19476974,1.06209188,0.84932524,0.13356534,1.43856894,0.99640569,0.00092259
2.08604302,3.98816975,0.00813420,1.19326036,1.02492713,0.84666840,0.12384089,1.42770243,0.93789769,0.00090472
2.09204602,3.93926270,0.00831631,1.19263163,0.98944241,0.84461023,0.11433247,1.41926578,0.88127033,0.00088888
2.09804902,3.89674413,0.00860122,1.19302958,0.95606317,0.84327536,0.10513754,1.41353090,0.82698387,0.00087539
2.10405203,3.86121732,0.00898467,1.19454810,0.92514387,0.84275431,0.09634217,1.41067303,0.77540267,0.00086453
2.11005503,3.83303982,0.00946058,1.19723095,0.89696136,0.84310287,0.08801906,1.41077146,0.72679354,0.00085655
2.11605803,3.81233411,0.01002098,1.20107725,0.87171204,0.84434403,0.08022621,1.41381518,0.68132792,0.00085167
2.12206103,3.79901064,0.01065597,1.20604988,0.84951285,0.84647214,0.07300621,1.41971328,0.63908758,0.00085004
2.12806403,3.79280125,0.01135378,1.21208641,0.83040568,0.84945912,0.06638606,1.42830916,0.60007319,0.00085183
2.13406703,3.79330068,0.01210087,1.21911152,0.81436474,0.85326206,0.06037757,1.43939762,0.56421511,0.00085714
2.14007004,3.80001325,0.01288219,1.22705016,0.80130635,0.85783169,0.05497832,1.45274373,0.53138574,0.00086610
2.14607304,3.81240140,0.01368138,1.23584049,0.79110028,0.86312112,0.05017294,1.46810225,0.50141270,0.00087881
2.15207604,3.82993311,0.01448117,1.24544551,0.78358207,0.86909406,0.04593484,1.48523630,0.47409213,0.00089537
2.15807904,3.85212488,0.01526377,1.25586260,0.77856536,0.87573191,0.04222810,1.50393419,0.44920154,0.00091589
2.16408204,3.87857768,0.01601134,1.26713011,0.77585368,0.88303921,0.03900958,1.52402319,0.42651166,0.00094050
2.17008504,3.90900347,0.01670644,1.27933048,0.77525086,0.89104688,0.03623109,1.54537960,0.40579687,0.00096935
2.17608804,3.94324080,0.01733262,1.29258944,0.77656979,0.89981295,0.03384150,1.56793431,0.38684408,0.00100256
2.18209105,3.98125857,0.01787485,1.30707127,0.77963886,0.90942075,0.03178884,1.59167359,0.36945959,0.00104029
2.18809405,4.02314787,0.01832003,1.32297021,0.78430614,0.91997439,0.03002214,1.61663512,0.35347424,0.00108267
2.19409705,4.06910261,0.01865743,1.34049852,0.79044102,0.93159198,0.02849319,1.64289952,0.33874667,0.00112980
2.20010005,4.11939056,0.01887907,1.35987181,0.79793358,0.94439681,0.02715797,1.67057802,0.32516498,0.00118176
2.20610305,4.17431680,0.01898000,1.38129254,0.80669188,0.95850716,0.02597785,1.69979701,0.31264691,0.00123854
2.21210605,4.23418239,0.01895850,1.40493280,0.81663756,0.97402531,0.02492054,1.73068077,0.30113887,0.00130009
2.21810905,4.29924115,0.01881620,1.43091733,0.82770028,0.99102656,0.02396071,1.76333339,0.29061416,0.00136624
2.22411206,4.36965797,0.01855802,1.45930815,0.83981152,1.00954905,0.02308041,1.79782126,0.28107057,0.00143673
2.23011506,4.44547144,0.01819212,1.49009169,0.85289828,1.02958497,0.02226917,1.83415745,0.27252761,0.00151118
2.23611806,4.52656398,0.01772965,1.52316949,0.86687732,1.05107403,0.02152392,1.87228908,0.26502378,0.00158912
2.24212106,4.61264155,0.01718441,1.55835318,0.88165045,1.07389955,0.02084872,1.91208874,0.25861388,0.00166993
2.24812406,4.70322487,0.01657254,1.59536419,0.89710117,1.09788768,0.02025424,1.95335062,0.25336655,0.00175293
2.25412706,4.79765300,0.01591200,1.63383858,0.91309314,1.12280985,0.01975717,1.99579192,0.24936209,0.00183732
2.26013007,4.89509939,0.01522208,1.67333658,0.92947057,1.14838846,0.01937945,2.03905946,0.24669057,0.00192225
2.26613307,4.99459964,0.01452291,1.71335673,0.94606054,1.17430560,0.01914743,2.08274134,0.24545023,0.00200684
2.27213607,5.09508934,0.01383489,1.75335363,0.96267725,1.20021425,0.01909092,2.12638300,0.24574585,0.00209018
2.27813907,5.19544954,0.01317817,1.79275855,0.97912773,1.22575156,0.01924218,2.16950665,0.24768723,0.00217142
2.28414207,5.29455705,0.01257211,1.83100152,0.99521890,1.25055319,0.01963488,2.21163295,0.25138743,0.00224973
2.29014507,5.39133595,0.01203485,1.86753380,1.01076521,1.27426805,0.02030293,2.25230348,0.25696069,0.00232441
2.29614807,5.48480693,0.01158283,1.90184926,1.02559648,1.29657244,0.02127942,2.29110254,0.26451984,0.00239484
2.30215108,5.57413070,0.01123043,1.93350335,1.03956533,1.31718281,0.02259537,2.32767664,0.27417314,0.00246057
2.30815408,5.65864259,0.01098961,1.96212872,1.05255354,1.33586619,0.02427855,2.36175048,0.28602046,0.00252129
2.31415708,5.73787523,0.01086968,1.98744622,1.06447689,1.35244777,0.02635232,2.39313801,0.30014870,0.00257686
2.32016008,5.81156768,0.01087703,2.00927085,1.07528794,1.36681501,0.02883441,2.42174778,0.31662675,0.00262728
2.32616308,5.87965980,0.01101503,2.02751220,1.08497661,1.37891811,0.03173578,2.44758197,0.33549977,0.00267272
2.33216608,5.94227171,0.01128392,2.04216933,1.09356817,1.38876664,0.03505959,2.47072888,0.35678324,0.00271346
2.33816908,5.99966944,0.01168077,2.05332052,1.10111879,1.39642269,0.03880017,2.49134933,0.38045690,0.00274989
2.34417209,6.05221861,0.01219954,2.06110853,1.10770877,1.40199078,0.04294226,2.50965748,0.40645890,0.00278245
2.35017509,6.10032886,0.01283113,2.06572230,1.11343379,1.40560538,0.04746038,2.52589732,0.43468041,0.00281160
2.35617809,6.14439288,0.01356363,2.06737639,1.11839469,1.40741662,0.05231842,2.54031616,0.46496115,0.00283779
2.36218109,6.18472364,0.01438243,2.06628941,1.12268638,1.40757529,0.05746955,2.55313684,0.49708606,0.00286141
2.36818409,6.22149459,0.01527061,2.06266300,1.12638658,1.40621804,0.06285648,2.56453052,0.53078345,0.00288273
2.37418709,6.25468671,0.01620921,2.05666266,1.12954522,1.40345378,0.06841198,2.57459179,0.56572489,0.00290191
2.38019010,6.28404662,0.01717771,2.04840177,1.13217510,1.39935224,0.07405988,2.58331797,0.60152707,0.00291895
2.38619310,6.30905893,0.01815443,2.03792991,1.13424461,1.39393542,0.07971637,2.59059406,0.63775573,0.00293367
2.39219610,6.32893551,0.01911706,2.02522625,1.13567307,1.38717264,0.08529167,2.59618468,0.67393171,0.00294573
2.39819910,6.34262313,0.02004319,2.01019853,1.13632912,1.37897944,0.09069208,2.59973363,0.70953901,0.00295462
2.40420210,6.34882993,0.02091089,1.99268778,1.13603241,1.36922066,0.09582223,2.60077167,0.74403484,0.00295966
2.41020510,6.34606982,0.02169924,1.97247846,1.13455865,1.35771745,0.10058758,2.59873217,0.77686124,0.00296007
2.41620810,6.33272312,0.02238889,1.94931355,1.13164790,1.34425782,0.10489704,2.59297415,0.80745807,0.00295500
2.42221111,6.30711017,0.02296258,1.92291351,1.12701569,1.32861025,0.10866558,2.58281150,0.83527691,0.00294354
2.42821411,6.26757436,0.02340558,1.89299817,1.12036639,1.31053945,0.11181680,2.56754692,0.85979534,0.00292479
2.43421711,6.21256982,0.02370610,1.85930997,1.11140830,1.28982339,0.11428528,2.54650873,0.88053119,0.00289794
2.44022011,6.14074911,0.02385560,1.82163728,1.09986937,1.26627048,0.11601860,2.51908853,0.89705614,0.00286228
2.44622311,6.05104592,0.02384897,1.77983628,1.08551294,1.23973603,0.11697907,2.48477764,0.90900821,0.00281725
2.45222611,5.94274798,0.02368464,1.73385010,1.06815238,1.21013680,0.11714489,2.44320019,0.91610259,0.00276249
2.45822911,5.81555619,0.02336460,1.68372392,1.04766395,1.17746286,0.11651086,2.39414100,0.91814041,0.00269789
2.46423212,5.66962639,0.02289420,1.62961525,1.02399709,1.14178603,0.11508848,2.33756668,0.91501507,0.00262357
2.47023512,5.50559134,0.02228200,1.57179863,0.99718149,1.10326437,0.11290554,2.27363870,0.90671586,0.00253990
2.47623812,5.32456165,0.02153937,1.51066445,0.96733057,1.06214237,0.11000513,2.20271766,0.89332872,0.00244753
2.48224112,5.12810536,0.02068013,1.44671189,0.93464121,1.01874690,0.10644415,2.12535850,0.87503405,0.00234733
2.48824412,4.91820718,0.01972005,1.38053637,0.89938957,0.97347907,0.10229142,2.04229691,0.85210171,0.00224037
2.49424712,4.69720939,0.01867632,1.31281217,0.86192340,0.92680238,0.09762539,1.95442750,0.82488337,0.00212792
2.50025013,4.46773743,0.01756705,1.24427097,0.82265113,0.87922791,0.09253169,1.86277505,0.79380243,0.00201139
2.50625313,4.23261381,0.01641066,1.17567764,0.78202827,0.83129710,0.08710047,1.76846013,0.75934206,0.00189226
2.51225613,3.99476461,0.01522545,1.10780429,0.74054201,0.78356328,0.08142375,1.67266095,0.72203168,0.00177205
2.51825913,3.75712300,0.01402905,1.04140397,0.69869452,0.73657261,0.07559284,1.57657318,0.68243249,0.00165228
2.52426213,3.52253433,0.01283800,0.97718523,0.65698601,0.69084552,0.06969598,1.48136989,0.64112256,0.00153441
2.53026513,3.29366691,0.01166743,0.91578875,0.61589821,0.64685941,0.06381620,1.38816316,0.59868198,0.00141977
2.53626813,3.07293248,0.01053077,0.85776704,0.57587909,0.60503346,0.05802952,1.29796934,0.55567876,0.00130960
2.54227114,2.86241924,0.00943952,0.80356801,0.53732943,0.56571616,0.05240353,1.21167918,0.51265571,0.00120491
2.54827414,2.66384024,0.00840315,0.75352315,0.50059181,0.52917597,0.04699639,1.13003422,0.47011893,0.00110655
2.55427714,2.47849827,0.00742909,0.70784057,0.46594239,0.49559553,0.04185618,1.05360991,0.42852813,0.00101517
2.56028014,2.30726831,0.00652272,0.66660309,0.43358572,0.46506942,0.03702071,0.98280618,0.38828901,0.00093116
2.56628314,2.15059718,0.00568748,0.62977124,0.40365266,0.43760550,0.03251763,0.91784530,0.34974786,0.00085475
2.57228614,2.00851943,0.00492500,0.59719083,0.37620125,0.41312951,0.02836489,0.85877684,0.31318836,0.00078593
2.57828914,1.88068803,0.00423533,0.56860468,0.35122048,0.39149270,0.02457142,0.80548901,0.27883063,0.00072453
2.58429215,1.76641733,0.00361711,0.54366755,0.32863640,0.37248189,0.02113807,0.75772551,0.24683216,0.00067022
2.59029515,1.66473595,0.00306781,0.52196381,0.30832029,0.35583138,0.01805866,0.71510694,0.21729068,0.00062252
2.59629815,1.57444657,0.00258395,0.50302670,0.29009837,0.34123629,0.01532110,0.67715530,0.19024843,0.00058086
2.60230115,1.49418950,0.00216137,0.48635842,0.27376246,0.32836637,0.01290855,0.64332052,0.16569768,0.00054457
2.60830415,1.42250742,0.00179540,0.47145019,0.25908108,0.31687998,0.01080060,0.61300763,0.14358715,0.00051295
2.61430715,1.35790800,0.00148108,0.45780131,0.24581050,0.30643743,0.00897428,0.58560337,0.12382889,0.00048530
2.62031016,1.29892246,0.00121335,0.44493668,0.23370520,0.29671324,0.00740514,0.56050114,0.10630545,0.00046089
2.62631316,1.24415749,0.00098714,0.43242193,0.22252744,0.28740687,0.00606802,0.53712339,0.09087698,0.00043906
2.63231616,1.19233928,0.00079756,0.41987596,0.21205545,0.27825162,0.00493789,0.51494064,0.07738798,0.00041916
2.63831916,1.14234822,0.00063994,0.40698028,0.20209019,0.26902139,0.00399040,0.49348669,0.06567361,0.00040065
2.64432216,1.09324388,0.00050995,0.39348520,0.19246040,0.25953527,0.00320238,0.47236965,0.05556532,0.00038304
2.65032516,1.04428001,0.00040360,0.37921274,0.18302587,0.24965983,0.00255219,0.45127874,0.04689571,0.00036592
2.65632816,0.99490992,0.00031728,0.36405643,0.17367914,0.23930942,0.00201996,0.42998692,0.03950262,0.00034899
2.66233117,0.94478308,0.00024782,0.34797831,0.16434548,0.22844431,0.00158771,0.40834980,0.03323243,0.00033201
2.66833417,0.89373388,0.00019238,0.33100334,0.15498155,0.21706734,0.00123942,0.38630108,0.02794264,0.00031484
2.67433717,0.84176399,0.00014856,0.31321196,0.14557287,0.20521905,0.00096100,0.36384527,0.02350365,0.00029742
2.68034017,0.78901990,0.00011427,0.29473102,0.13613029,0.19297177,0.00074020,0.34104815,0.01980009,0.00027973
