energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-5.36968484,1.14541592,-1.14541598,0.00020423,-0.00020423,0.07122846,-0.07122847,0.22744635,-0.22744636,0.25826223,-0.25826225,0.01365458,-0.01365458,0.63163020,-0.63163022,0.30833434,-0.30833435,0.14990483,-0.14990484
-5.36368184,1.18535700,-1.18535706,0.00022791,-0.00022791,0.07669953,-0.07669954,0.23498350,-0.23498351,0.27200777,-0.27200779,0.01411573,-0.01411573,0.64777657,-0.64777659,0.31319299,-0.31319300,0.15692109,-0.15692110
-5.35767884,1.22058797,-1.22058802,0.00025542,-0.00025542,0.08222371,-0.08222372,0.24149718,-0.24149719,0.28535697,-0.28535699,0.01450244,-0.01450244,0.66067743,-0.66067744,0.31637307,-0.31637308,0.16341238,-0.16341239
-5.35167584,1.25083726,-1.25083730,0.00028719,-0.00028719,0.08777914,-0.08777915,0.24691499,-0.24691500,0.29826594,-0.29826596,0.01480896,-0.01480896,0.67020557,-0.67020558,0.31784686,-0.31784686,0.16931355,-0.16931356
-5.34567284,1.27599993,-1.27599997,0.00032372,-0.00032372,0.09334965,-0.09334966,0.25119669,-0.25119669,0.31071988,-0.31071990,0.01503136,-0.01503136,0.67633598,-0.67633599,0.31764290,-0.31764290,0.17457884,-0.17457885
-5.33966983,1.29614833,-1.29614836,0.00036556,-0.00036556,0.09892615,-0.09892616,0.25433649,-0.25433650,0.32273521,-0.32273523,0.01516776,-0.01516776,0.67915030,-0.67915031,0.31584662,-0.31584662,0.17918472,-0.17918473
-5.33366683,1.31153735,-1.31153738,0.00041331,-0.00041331,0.10450766,-0.10450767,0.25636435,-0.25636435,0.33436059,-0.33436061,0.01521842,-0.01521842,0.67883807,-0.67883807,0.31259907,-0.31259906,0.18313218,-0.18313218
-5.32766383,1.32260382,-1.32260384,0.00046762,-0.00046762,0.11010217,-0.11010218,0.25734603,-0.25734603,0.34567670,-0.34567672,0.01518585,-0.01518585,0.67569456,-0.67569456,0.30809384,-0.30809383,0.18644828,-0.18644829
-5.32166083,1.32996003,-1.32996005,0.00052915,-0.00052915,0.11572710,-0.11572711,0.25738210,-0.25738210,0.35679484,-0.35679487,0.01507483,-0.01507483,0.67011530,-0.67011530,0.30257236,-0.30257236,0.18918696,-0.18918696
-5.31565783,1.33438145,-1.33438146,0.00059858,-0.00059858,0.12140941,-0.12140942,0.25660577,-0.25660577,0.36785426,-0.36785428,0.01489234,-0.01489234,0.66258734,-0.66258734,0.29631759,-0.29631759,0.19142883,-0.19142883
