energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
4.77538769,1.02878541,2.03819065,0.00743776,0.00994329,0.00550236,0.14131182,0.03420981,0.03423699,0.09855229
4.78139070,1.05740151,2.09746069,0.00763091,0.01007602,0.00647572,0.14516226,0.03551996,0.03538480,0.10190785
4.78739370,1.08224157,2.14970855,0.00779379,0.01014516,0.00759224,0.14852647,0.03677458,0.03644686,0.10502848
4.79339670,1.10348832,2.19530650,0.00792741,0.01015114,0.00886465,0.15145324,0.03798417,0.03743276,0.10794185
4.79939970,1.12145096,2.23486577,0.00803369,0.01009603,0.01030528,0.15401636,0.03916277,0.03835620,0.11068749
4.80540270,1.13655423,2.26921283,0.00811537,0.00998354,0.01192577,0.15631446,0.04032745,0.03923457,0.11331564
4.81140570,1.14932287,2.29935632,0.00817586,0.00981889,0.01373678,0.15847047,0.04149764,0.04008850,0.11588569
4.81740870,1.16036198,2.32644624,0.00821918,0.00960876,0.01574778,0.16063038,0.04269444,0.04094109,0.11846431
4.82341171,1.17033464,2.35172771,0.00824970,0.00936107,0.01796681,0.16296180,0.04393974,0.04181725,0.12112336
4.82941471,1.17993776,2.37649160,0.00827202,0.00908486,0.02040040,0.16565203,0.04525544,0.04274287,0.12393764
4.83541771,1.18987749,2.40202482,0.00829075,0.00879000,0.02305349,0.16890608,0.04666261,0.04374404,0.12698272
4.84142071,1.20084556,2.42956276,0.00831039,0.00848704,0.02592947,0.17294437,0.04818074,0.04484626,0.13033287
4.84742371,1.21349753,2.46024652,0.00833507,0.00818694,0.02903026,0.17800041,0.04982712,0.04607379,0.13405916
4.85342671,1.22843420,2.49508667,0.00836853,0.00790084,0.03235653,0.18431830,0.05161638,0.04744903,0.13822795
4.85942971,1.24618653,2.53493540,0.00841391,0.00763990,0.03590790,0.19215010,0.05356009,0.04899203,0.14289963
4.86543272,1.26720491,2.58046764,0.00847373,0.00741503,0.03968321,0.20175292,0.05566666,0.05072018,0.14812782
4.87143572,1.29185247,2.63217154,0.00854984,0.00723676,0.04368081,0.21338564,0.05794127,0.05264792,0.15395874
4.87743872,1.32040238,2.69034768,0.00864340,0.00711503,0.04789879,0.22730509,0.06038604,0.05478661,0.16043099
4.88344172,1.35303857,2.75511593,0.00875490,0.00705907,0.05233510,0.24376149,0.06300021,0.05714449,0.16757543
4.88944472,1.38985894,2.82642826,0.00888423,0.00707720,0.05698763,0.26299317,0.06578048,0.05972659,0.17541509
