energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-3.97098549,0.81149692,0.30129372,0.21262545,0.00000000,0.11135401,0.00000000,0.57062928,0.31708924,0.04327506
-3.96498249,0.77428375,0.28520041,0.20391229,0.00000000,0.10917426,0.00000000,0.54048922,0.30839392,0.03992360
-3.95897949,0.73813059,0.27010627,0.19607954,0.00000000,0.10665845,0.00000000,0.51114914,0.29881929,0.03672298
-3.95297649,0.70354437,0.25624011,0.18926594,0.00000001,0.10385088,0.00000000,0.48298621,0.28849816,0.03370783
-3.94697349,0.67098448,0.24380309,0.18359104,0.00000001,0.10079910,0.00000000,0.45633883,0.27756800,0.03090755
-3.94097049,0.64085782,0.23296659,0.17915358,0.00000001,0.09755306,0.00000000,0.43150367,0.26616909,0.02834611
-3.93496748,0.61351492,0.22387064,0.17603008,0.00000002,0.09416426,0.00000000,0.40873358,0.25444262,0.02604214
-3.92896448,0.58924678,0.21662280,0.17427358,0.00000003,0.09068488,0.00000001,0.38823629,0.24252884,0.02400903
-3.92296148,0.56828229,0.21129722,0.17391252,0.00000005,0.08716677,0.00000001,0.37017365,0.23056512,0.02225519
-3.91695848,0.55078605,0.20793397,0.17494979,0.00000007,0.08366042,0.00000001,0.35466124,0.21868393,0.02078430
-3.91095548,0.53685667,0.20653858,0.17736194,0.00000010,0.08021392,0.00000002,0.34176819,0.20701085,0.01959565
-3.90495248,0.52652526,0.20708173,0.18109867,0.00000014,0.07687187,0.00000002,0.33151725,0.19566245,0.01868445
-3.89894947,0.51975455,0.20949920,0.18608263,0.00000020,0.07367436,0.00000003,0.32388496,0.18474432,0.01804222
-3.89294647,0.51643851,0.21369214,0.19220970,0.00000029,0.07065599,0.00000005,0.31880213,0.17434908,0.01765705
-3.88694347,0.51640292,0.21952766,0.19934970,0.00000040,0.06784499,0.00000007,0.31615454,0.16455465,0.01751403
-3.88094047,0.51940686,0.22684010,0.20734783,0.00000056,0.06526250,0.00000009,0.31578424,0.15542279,0.01759550
-3.87493747,0.52514572,0.23543279,0.21602672,0.00000077,0.06292208,0.00000013,0.31749137,0.14699790,0.01788148
-3.86893447,0.53325562,0.24508062,0.22518925,0.00000106,0.06082937,0.00000018,0.32103684,0.13930640,0.01835001
-3.86293147,0.54331958,0.25553349,0.23462214,0.00000144,0.05898206,0.00000024,0.32614587,0.13235651,0.01897758
