energy_ev,total_up,Cd_p_up,Cd_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-4.89544772,1.72485965,0.72037581,0.10567722,0.34090159,0.00205342,0.23504712,0.66079577
-4.88944472,1.67834948,0.71064809,0.10233136,0.34238610,0.00201354,0.21986920,0.64321578
-4.88344172,1.63708881,0.70085696,0.09961665,0.34255632,0.00197152,0.20664387,0.62893702
-4.87743872,1.60099223,0.69091753,0.09752568,0.34142749,0.00192672,0.19539180,0.61795939
-4.87143572,1.56994286,0.68077984,0.09604258,0.33905466,0.00187870,0.18609569,0.61023382
-4.86543272,1.54379555,0.67042761,0.09514356,0.33552966,0.00182723,0.17870314,0.60566408
-4.85942971,1.52237722,0.65987477,0.09479736,0.33097672,0.00177228,0.17313011,0.60410831
-4.85342671,1.50548451,0.64916033,0.09496571,0.32554660,0.00171400,0.16926469,0.60538034
-4.84742371,1.49287921,0.63834167,0.09560358,0.31940978,0.00165272,0.16697097,0.60925087
-4.84142071,1.48428215,0.62748695,0.09665961,0.31274888,0.00158889,0.16609312,0.61544871
-4.83541771,1.47936631,0.61666699,0.09807639,0.30575059,0.00152305,0.16645932,0.62366240
-4.82941471,1.47775027,0.60594729,0.09979094,0.29859773,0.00145582,0.16788575,0.63354242
-4.82341171,1.47899287,0.59538061,0.10173522,0.29146152,0.00138786,0.17018042,0.64470435
-4.81740870,1.48259003,0.58500065,0.10383692,0.28449467,0.00131982,0.17314690,0.65673316
-4.81140570,1.48797463,0.57481728,0.10602030,0.27782538,0.00125232,0.17658791,0.66918891
-4.80540270,1.49451997,0.56481349,0.10820741,0.27155275,0.00118595,0.18030876,0.68161389
-4.79939970,1.50154720,0.55494443,0.11031938,0.26574359,0.00112119,0.18412068,0.69354117
-4.79339670,1.50833688,0.54513842,0.11227798,0.26043087,0.00105848,0.18784396,0.70450451
-4.78739370,1.51414437,0.53529994,0.11400736,0.25561379,0.00099813,0.19131091,0.71404932
-4.78139070,1.51821864,0.52531442,0.11543586,0.25125951,0.00094039,0.19436858,0.72174434
-4.77538769,1.51982377,0.51505443,0.11649782,0.24730627,0.00088539,0.19688132,0.72719360
-4.76938469,1.51826220,0.50438703,0.11713548,0.24366788,0.00083319,0.19873297,0.73004823
-4.76338169,1.51289860,0.49318164,0.11730063,0.24023918,0.00078377,0.19982876,0.73001744
-4.75737869,1.50318327,0.48131818,0.11695612,0.23690226,0.00073706,0.20009678,0.72687837
-4.75137569,1.48867399,0.46869485,0.11607714,0.23353310,0.00069294,0.19948909,0.72048417
-4.74537269,1.46905501,0.45523520,0.11465206,0.23000833,0.00065125,0.19798234,0.71076999
-4.73936968,1.44415246,0.44089411,0.11268301,0.22621165,0.00061185,0.19557788,0.69775653
-4.73336668,1.41394531,0.42566242,0.11018595,0.22203983,0.00057456,0.19230135,0.68155105
-4.72736368,1.37857139,0.40956990,0.10719038,0.21740782,0.00053925,0.18820185,0.66234571
-4.72136068,1.33832808,0.39268663,0.10373859,0.21225295,0.00050579,0.18335050,0.64041331
-4.71535768,1.29366788,0.37512266,0.09988458,0.20653790,0.00047412,0.17783857,0.61610066
-4.70935468,1.24518875,0.35702610,0.09569259,0.20025243,0.00044417,0.17177523,0.58981991
-4.70335168,1.19362007,0.33857969,0.09123539,0.19341395,0.00041596,0.16528488,0.56203813
-4.69734867,1.13980445,0.31999635,0.08659238,0.18606674,0.00038953,0.15850414,0.53326566
-4.69134567,1.08467645,0.30151355,0.08184748,0.17828012,0.00036497,0.15157871,0.50404369
-4.68534267,1.02923901,0.28338724,0.07708707,0.17014566,0.00034241,0.14465997,0.47493153
-4.67933967,0.97453828,0.26588524,0.07239785,0.16177347,0.00032202,0.13790158,0.44649391
-4.67333667,0.92163799,0.24928059,0.06786490,0.15328802,0.00030397,0.13145602,0.41928893
-4.66733367,0.87159401,0.23384500,0.06356972,0.14482348,0.00028848,0.12547127,0.39385666
-4.66133067,0.82542973,0.21984258,0.05958865,0.13651887,0.00027579,0.12008760,0.37070885
-4.65532766,0.78411304,0.20752401,0.05599129,0.12851327,0.00026610,0.11543454,0.35031980
-4.64932466,0.74853509,0.19712122,0.05283935,0.12094118,0.00025966,0.11162816,0.33311841
-4.64332166,0.71949139,0.18884260,0.05018556,0.11392825,0.00025666,0.10876862,0.31948140
-4.63731866,0.69766517,0.18286882,0.04807295,0.10758749,0.00025729,0.10693802,0.30972770
-4.63131566,0.68361329,0.17934909,0.04653425,0.10201597,0.00026171,0.10619865,0.30411376
-4.62531266,0.67775456,0.17839795,0.04559150,0.09729226,0.00027004,0.10659154,0.30282977
-4.61930965,0.68036055,0.18009250,0.04525590,0.09347445,0.00028235,0.10813552,0.30599655
-4.61330665,0.69154868,0.18446995,0.04552777,0.09059884,0.00029866,0.11082649,0.31366312
-4.60730365,0.71127777,0.19152565,0.04639660,0.08867929,0.00031892,0.11463727,0.32580486
-4.60130065,0.73934580,0.20121149,0.04784137,0.08770723,0.00034304,0.11951771,0.34232223
-4.59529765,0.77539023,0.21343469,0.04983084,0.08765220,0.00037084,0.12539529,0.36304019
-4.58929465,0.81889076,0.22805724,0.05232412,0.08846296,0.00040207,0.13217611,0.38770839
-4.58329165,0.86917478,0.24489592,0.05527123,0.09006909,0.00043641,0.13974624,0.41600236
-4.57728864,0.92542578,0.26372315,0.05861389,0.09238300,0.00047346,0.14797359,0.44752588
-4.57128564,0.98669474,0.28426874,0.06228645,0.09530237,0.00051277,0.15671004,0.48181480
-4.56528264,1.05191487,0.30622282,0.06621698,0.09871286,0.00055381,0.16579406,0.51834249
-4.55927964,1.11991952,0.32923981,0.07032848,0.10249116,0.00059598,0.17505366,0.55652707
-4.55327664,1.18946360,0.35294380,0.07454035,0.10650821,0.00063866,0.18430962,0.59574065
-4.54727364,1.25924794,0.37693516,0.07876990,0.11063256,0.00068117,0.19337909,0.63532044
-4.54127064,1.32794657,0.40079838,0.08293409,0.11473389,0.00072284,0.20207932,0.67458173
-4.53526763,1.39423632,0.42411102,0.08695136,0.11868649,0.00076296,0.21023154,0.71283250
-4.52926463,1.45682789,0.44645365,0.09074342,0.12237266,0.00080086,0.21766497,0.74938926
-4.52326163,1.51449776,0.46742029,0.09423721,0.12568606,0.00083589,0.22422064,0.78359372
-4.51725863,1.56611970,0.48662926,0.09736662,0.12853478,0.00086747,0.22975516,0.81482970
-4.51125563,1.61069502,0.50373387,0.10007425,0.13084411,0.00089506,0.23414415,0.84253951
-4.50525263,1.64738005,0.51843254,0.10231286,0.13255900,0.00091824,0.23728528,0.86623936
-4.49924962,1.67551012,0.53047799,0.10404663,0.13364607,0.00093668,0.23910081,0.88553279
-4.49324662,1.69461872,0.53968503,0.10525202,0.13409509,0.00095015,0.23953953,0.90012168
-4.48724362,1.70445103,0.54593659,0.10591840,0.13392005,0.00095858,0.23857796,0.90981425
-4.48124062,1.70497122,0.54918765,0.10604810,0.13315962,0.00096199,0.23622089,0.91452951
-4.47523762,1.69636306,0.54946702,0.10565625,0.13187710,0.00096057,0.23250105,0.91429795
-4.46923462,1.67902377,0.54687660,0.10477000,0.13015987,0.00095461,0.22747805,0.90925840
-4.46323162,1.65355133,0.54158840,0.10342756,0.12811830,0.00094454,0.22123654,0.89965106
-4.45722861,1.62072583,0.53383929,0.10167677,0.12588425,0.00093091,0.21388371,0.88580714
-4.45122561,1.58148554,0.52392376,0.09957343,0.12360917,0.00091438,0.20554612,0.86813548
-4.44522261,1.53689893,0.51218503,0.09717946,0.12146180,0.00089566,0.19636611,0.84710686
-4.43921961,1.48813374,0.49900489,0.09456091,0.11962562,0.00087558,0.18649780,0.82323669
-4.43321661,1.43642435,0.48479269,0.09178592,0.11829595,0.00085500,0.17610291,0.79706696
-4.42721361,1.38303901,0.46997398,0.08892284,0.11767691,0.00083482,0.16534652,0.76914836
-4.42121061,1.32924781,0.45497928,0.08603834,0.11797807,0.00081597,0.15439293,0.74002315
-4.41520760,1.27629294,0.44023325,0.08319582,0.11941093,0.00079936,0.14340171,0.71020985
-4.40920460,1.22536172,0.42614471,0.08045406,0.12218516,0.00078592,0.13252418,0.68019006
-4.40320160,1.17756337,0.41309781,0.07786607,0.12650457,0.00077651,0.12190034,0.65039804
-4.39719860,1.13390974,0.40144442,0.07547837,0.13256293,0.00077198,0.11165628,0.62121326
-4.39119560,1.09530019,0.39149780,0.07333043,0.14053938,0.00077310,0.10190224,0.59295598
-4.38519260,1.06251047,0.38352781,0.07145444,0.15059371,0.00078058,0.09273130,0.56588585
-4.37918959,1.03618523,0.37775714,0.06987533,0.16286135,0.00079504,0.08421858,0.54020314
-4.37318659,1.01683366,0.37435892,0.06861088,0.17744821,0.00081701,0.07642112,0.51605228
-4.36718359,1.00482773,0.37345518,0.06767203,0.19442546,0.00084691,0.06937819,0.49352728
-4.36118059,1.00040230,0.37511614,0.06706327,0.21382435,0.00088503,0.06311211,0.47267824
-4.35517759,1.00365664,0.37936017,0.06678301,0.23563124,0.00093154,0.05762940,0.45351870
