energy_ev,total_up,P_s_up,P_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-4.63731866,1.81134824,0.00119839,0.03864575,0.30200263,1.36912632,0.47219194,0.00000000
-4.63131566,1.78305900,0.00137277,0.03949493,0.30762593,1.32591813,0.47849760,0.00000000
-4.62531266,1.75340453,0.00156124,0.04045824,0.31334220,1.28069895,0.48504291,0.00000000
-4.61930965,1.72319693,0.00176285,0.04154582,0.31916956,1.23431488,0.49187595,0.00000000
-4.61330665,1.69314648,0.00197622,0.04276185,0.32510350,1.18755542,0.49900719,0.00000000
-4.60730365,1.66383580,0.00219954,0.04410397,0.33111513,1.14112943,0.50640633,0.00000000
-4.60130065,1.63570079,0.00243054,0.04556293,0.33715055,1.09564582,0.51400123,0.00000000
-4.59529765,1.60901916,0.00266658,0.04712258,0.34313136,1.05159982,0.52167861,0.00000000
-4.58929465,1.58390692,0.00290461,0.04876011,0.34895647,1.00936496,0.52928686,0.00000000
-4.58329165,1.56032268,0.00314127,0.05044664,0.35450510,0.96919092,0.53664071,0.00000000
-4.57728864,1.53807940,0.00337297,0.05214805,0.35964072,0.93120695,0.54352767,0.00000000
-4.57128564,1.51686281,0.00359597,0.05382606,0.36421607,0.89543028,0.54971600,0.00000000
-4.56528264,1.49625540,0.00380648,0.05543957,0.36807873,0.86177901,0.55496387,0.00000000
-4.55927964,1.47576465,0.00400077,0.05694605,0.37107730,0.83008831,0.55902934,0.00000000
-4.55327664,1.45485405,0.00417532,0.05830315,0.37306770,0.80012916,0.56168079,0.00000000
-4.54727364,1.43297546,0.00432692,0.05947020,0.37391944,0.77162854,0.56270723,0.00000000
-4.54127064,1.40960106,0.00445281,0.06040981,0.37352161,0.74428991,0.56192825,0.00000000
-4.53526763,1.38425367,0.00455073,0.06108921,0.37178817,0.71781318,0.55920305,0.00000000
-4.52926463,1.35653397,0.00461911,0.06148154,0.36866257,0.69191316,0.55443810,0.00000000
-4.52326163,1.32614350,0.00465707,0.06156684,0.36412129,0.66633580,0.54759340,0.00000000
-4.51725863,1.29290272,0.00466449,0.06133283,0.35817623,0.64087168,0.53868668,0.00000000
-4.51125563,1.25676333,0.00464207,0.06077536,0.35087588,0.61536623,0.52779575,0.00000000
-4.50525263,1.21781467,0.00459131,0.05989855,0.34230524,0.58972664,0.51505867,0.00000000
