energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-3.91095548,0.69653907,0.00022635,0.04154626,0.08062801,0.44999284,0.00046190,0.14708796,0.07596677,0.08945182
-3.90495248,0.72931149,0.00027148,0.04301769,0.08315407,0.47042693,0.00052270,0.15393782,0.08032053,0.09420442
-3.89894947,0.76411256,0.00032514,0.04466511,0.08609516,0.49191332,0.00059442,0.16118900,0.08527088,0.09913945
-3.89294647,0.80081270,0.00038829,0.04646378,0.08938690,0.51440636,0.00067700,0.16878910,0.09077075,0.10425082
-3.88694347,0.83932098,0.00046198,0.04839268,0.09297213,0.53788940,0.00077030,0.17669208,0.09677326,0.10953526
-3.88094047,0.87957126,0.00054726,0.05043378,0.09679927,0.56236574,0.00087409,0.18485577,0.10322957,0.11499059
-3.87493747,0.92150665,0.00064520,0.05257114,0.10082059,0.58784838,0.00098802,0.19323913,0.11008688,0.12061387
-3.86893447,0.96506327,0.00075684,0.05479004,0.10499039,0.61434903,0.00111162,0.20179959,0.11728655,0.12639954
-3.86293147,1.01015427,0.00088314,0.05707605,0.10926336,0.64186701,0.00124426,0.21049041,0.12476251,0.13233747
-3.85692846,1.05665495,0.00102497,0.05941428,0.11359309,0.67037868,0.00138512,0.21925843,0.13244015,0.13841131
-3.85092546,1.10438998,0.00118305,0.06178872,0.11793091,0.69982801,0.00153324,0.22804230,0.14023573,0.14459701
-3.84492246,1.15312341,0.00135790,0.06418170,0.12222511,0.73011883,0.00168747,0.23677128,0.14805640,0.15086170
-3.83891946,1.20255210,0.00154979,0.06657357,0.12642058,0.76110917,0.00184648,0.24536479,0.15580086,0.15716309
-3.83291646,1.25230317,0.00175868,0.06894264,0.13045893,0.79260815,0.00200882,0.25373270,0.16336070,0.16344925
-3.82691346,1.30193545,0.00198420,0.07126520,0.13427907,0.82437560,0.00217288,0.26177633,0.17062235,0.16965901
-3.82091046,1.35094520,0.00222557,0.07351588,0.13781814,0.85612439,0.00233695,0.26939026,0.17746955,0.17572280
-3.81490745,1.39877562,0.00248159,0.07566812,0.14101295,0.88752557,0.00249923,0.27646473,0.18378637,0.18156404
-3.80890445,1.44482995,0.00275059,0.07769474,0.14380158,0.91821587,0.00265787,0.28288852,0.18946041,0.18710091
-3.80290145,1.48848735,0.00303044,0.07956876,0.14612525,0.94780744,0.00281103,0.28855230,0.19438629,0.19224848
-3.79689845,1.52912094,0.00331852,0.08126412,0.14793023,0.97589927,0.00295688,0.29335203,0.19846900,0.19692116
-3.79089545,1.56611714,0.00361178,0.08275658,0.14916979,1.00208974,0.00309365,0.29719250,0.20162722,0.20103522
-3.78489245,1.59889536,0.00390673,0.08402449,0.14980594,1.02598985,0.00321966,0.29999066,0.20379620,0.20451135
-3.77888944,1.62692732,0.00419953,0.08504955,0.14981097,1.04723649,0.00333339,0.30167852,0.20493020,0.20727718
-3.77288644,1.64975514,0.00448604,0.08581745,0.14916873,1.06550537,0.00343344,0.30220578,0.20500433,0.20926963
-3.76688344,1.66700763,0.00476194,0.08631843,0.14787541,1.08052289,0.00351864,0.30154169,0.20401571,0.21043692
-3.76088044,1.67841404,0.00502283,0.08654764,0.14594003,1.09207694,0.00358801,0.29967637,0.20198395,0.21074031
-3.75487744,1.68381525,0.00526434,0.08650543,0.14338440,1.10002595,0.00364082,0.29662138,0.19895081,0.21015544
-3.74887444,1.68317188,0.00548231,0.08619745,0.14024271,1.10430633,0.00367659,0.29240969,0.19497925,0.20867319
-3.74287144,1.67656938,0.00567286,0.08563459,0.13656074,1.10493797,0.00369511,0.28709490,0.19015180,0.20630019
-3.73686843,1.66422031,0.00583260,0.08483289,0.13239466,1.10202794,0.00369644,0.28075001,0.18456842,0.20305887
-3.73086543,1.64646375,0.00595870,0.08381325,0.12780966,1.09577237,0.00368094,0.27346556,0.17834395,0.19898705
-3.72486243,1.62376229,0.00604907,0.08260112,0.12287830,1.08645661,0.00364923,0.26534756,0.17160523,0.19413733
-3.71885943,1.59669685,0.00610244,0.08122610,0.11767884,1.07445381,0.00360225,0.25651500,0.16448815,0.18857594
-3.71285643,1.56595961,0.00611842,0.07972155,0.11229342,1.06022214,0.00354121,0.24709728,0.15713462,0.18238157
-3.70685343,1.53234536,0.00609759,0.07812405,0.10680641,1.04430061,0.00346760,0.23723163,0.14968966,0.17564375
-3.70085043,1.49674151,0.00604155,0.07647304,0.10130277,1.02730375,0.00338320,0.22706042,0.14229873,0.16846128
-3.69484742,1.46011696,0.00595284,0.07481025,0.09586660,1.00991507,0.00329001,0.21672875,0.13510531,0.16094040
-3.68884442,1.42350984,0.00583501,0.07317928,0.09057990,0.99287944,0.00319031,0.20638203,0.12824879,0.15319298
-3.68284142,1.38801434,0.00569248,0.07162505,0.08552147,0.97699426,0.00308660,0.19616394,0.12186278,0.14533459
-3.67683842,1.35476633,0.00553050,0.07019337,0.08076609,0.96309935,0.00298155,0.18621438,0.11607369,0.13748269
-3.67083542,1.32492797,0.00535500,0.06893034,0.07638381,0.95206556,0.00287801,0.17666783,0.11099966,0.12975473
-3.66483242,1.29967094,0.00517249,0.06788183,0.07243946,0.94478182,0.00277897,0.16765179,0.10674969,0.12226635
-3.65882941,1.28015827,0.00498986,0.06709286,0.06899228,0.94214059,0.00268750,0.15928538,0.10342303,0.11512960
-3.65282641,1.26752468,0.00481425,0.06660689,0.06609557,0.94502169,0.00260670,0.15167811,0.10110857,0.10845125
-3.64682341,1.26285516,0.00465289,0.06646517,0.06379646,0.95427422,0.00253967,0.14492876,0.09988434,0.10233112
-3.64082041,1.26716209,0.00451283,0.06670584,0.06213562,0.97069693,0.00248943,0.13912426,0.09981686,0.09686055
-3.63481741,1.28136070,0.00440087,0.06736312,0.06114690,0.99501685,0.00245887,0.13433868,0.10096046,0.09212083
-3.62881441,1.30624332,0.00432331,0.06846634,0.06085697,1.02786666,0.00245067,0.13063219,0.10335629,0.08818186
-3.62281141,1.34245273,0.00428577,0.07003893,0.06128478,1.06976104,0.00246721,0.12805002,0.10703127,0.08510077
-3.61680840,1.39045521,0.00429310,0.07209742,0.06244096,1.12107267,0.00251057,0.12662146,0.11199680,0.08292074
-3.61080540,1.45051418,0.00434915,0.07465038,0.06432714,1.18200856,0.00258234,0.12635889,0.11824726,0.08166991
-3.60480240,1.52266515,0.00445670,0.07769742,0.06693514,1.25258757,0.00268366,0.12725682,0.12575851,0.08136046
-3.59879940,1.60669343,0.00461732,0.08122824,0.07024621,1.33262020,0.00281509,0.12929107,0.13448640,0.08198793
-3.59279640,1.70211555,0.00483129,0.08522189,0.07423027,1.42169172,0.00297654,0.13241818,0.14436533,0.08353073
-3.58679340,1.80816607,0.00509753,0.08964604,0.07884522,1.51914989,0.00316729,0.13657493,0.15530724,0.08595000
-3.58079040,1.92379073,0.00541359,0.09445670,0.08403648,1.62409846,0.00338587,0.14167830,0.16720092,0.08918977
-3.57478739,2.04764771,0.00577566,0.09959807,0.08973673,1.73539752,0.00363011,0.14762577,0.17991198,0.09317753
