energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
0.90945473,4.46366805,0.78873808,2.21440655,0.04277388,0.17174536,0.19375158,0.00000000,0.47233882,1.85524911
0.91545773,4.44118773,0.78557960,2.22419257,0.04249060,0.16958082,0.18981454,0.00000000,0.46306682,1.82414182
0.92146073,4.42707808,0.78525137,2.23761830,0.04217194,0.16812474,0.18659076,0.00000000,0.45484191,1.79625334
0.92746373,4.41993756,0.78733453,2.25381063,0.04180099,0.16733611,0.18409196,0.00000000,0.44765482,1.77112959
0.93346673,4.41816975,0.79137428,2.27179027,0.04136223,0.16716687,0.18232479,0.00000000,0.44147098,1.74824831
0.93946973,4.42004482,0.79689410,2.29050242,0.04084203,0.16756444,0.18129177,0.00000000,0.43623447,1.72704659
0.94547274,4.42376389,0.80341029,2.30884937,0.04022903,0.16847402,0.18099219,0.00000000,0.43187255,1.70694948
0.95147574,4.42752391,0.81044622,2.32572386,0.03951454,0.16984061,0.18142262,0.00000000,0.42830060,1.68739831
0.95747874,4.42958032,0.81754594,2.34004214,0.03869279,0.17161059,0.18257716,0.00000000,0.42542734,1.66787735
0.96348174,4.42830530,0.82428673,2.35077573,0.03776112,0.17373285,0.18444730,0.00000000,0.42315992,1.64793763
0.96948474,4.42223956,0.83029021,2.35698090,0.03672007,0.17615943,0.18702143,0.00000000,0.42140871,1.62721675
0.97548774,4.41013592,0.83523175,2.35782502,0.03557333,0.17884576,0.19028398,0.00000000,0.42009166,1.60545402
0.98149075,4.39099357,0.83884794,2.35260914,0.03432771,0.18175036,0.19421431,0.00000000,0.41913801,1.58250025
0.98749375,4.36408204,0.84094182,2.34078623,0.03299288,0.18483432,0.19878534,0.00000000,0.41849124,1.55832206
0.99349675,4.32895476,0.84138600,2.32197464,0.03158115,0.18806035,0.20396210,0.00000000,0.41811121,1.53300072
0.99949975,4.28545218,0.84012340,2.29596659,0.03010715,0.19139175,0.20970020,0.00000000,0.41797546,1.50672588
1.00550275,4.23369508,0.83716582,2.26273165,0.02858739,0.19479124,0.21594450,0.00000000,0.41807974,1.47978473
1.01150575,4.17406890,0.83259047,2.22241508,0.02703989,0.19821981,0.22262791,0.00000000,0.41843764,1.45254743
1.01750875,4.10720027,0.82653449,2.17533147,0.02548368,0.20163573,0.22967062,0.00000000,0.41907965,1.42544969
1.02351176,4.03392711,0.81918794,2.12195385,0.02393836,0.20499379,0.23697978,0.00000000,0.42005147,1.39897344
1.02951476,3.95526377,0.81078530,2.06289863,0.02242357,0.20824486,0.24444973,0.00000000,0.42141191,1.37362662
1.03551776,3.87236278,0.80159601,1.99890714,0.02095860,0.21133577,0.25196288,0.00000000,0.42323028,1.34992305
1.04152076,3.78647461,0.79191422,1.93082410,0.01956186,0.21420973,0.25939121,0.00000000,0.42558347,1.32836312
1.04752376,3.69890692,0.78204812,1.85957387,0.01825051,0.21680703,0.26659847,0.00000000,0.42855276,1.30941610
1.05352676,3.61098450,0.77230926,1.78613507,0.01704005,0.21906627,0.27344297,0.00000000,0.43222051,1.29350448
1.05952976,3.52401101,0.76300201,1.71151445,0.01594399,0.22092582,0.27978093,0.00000000,0.43666666,1.28099078
1.06553277,3.43923340,0.75441348,1.63672050,0.01497358,0.22232573,0.28547020,0.00000000,0.44196524,1.27216696
