energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-4.26513257,8.08795151,0.01720825,0.15398387,0.70790426,1.31678937,2.31911497,4.99677017,0.06827625,1.63455010
-4.25912956,8.05260724,0.01686843,0.15304415,0.70680532,1.31490267,2.29607615,4.97922248,0.06628783,1.62595933
-4.25312656,8.01097759,0.01649080,0.15189377,0.70437345,1.31271318,2.27011479,4.95822630,0.06419497,1.61596816
-4.24712356,7.96366699,0.01608039,0.15053428,0.70060930,1.31024571,2.24145861,4.93417743,0.06202666,1.60469891
-4.24112056,7.91116453,0.01564272,0.14896898,0.69552051,1.30745881,2.21033554,4.90743444,0.05981127,1.59222750
-4.23511756,7.85385647,0.01518369,0.14720339,0.68912320,1.30425074,2.17697558,4.87832463,0.05757601,1.57858623
-4.22911456,7.79204778,0.01470939,0.14524567,0.68144381,1.30046929,2.14161335,4.84715337,0.05534653,1.56377025
-4.22311156,7.72599097,0.01422601,0.14310698,0.67252103,1.29592475,2.10449137,4.81421556,0.05314666,1.54774720
-4.21710855,7.65592012,0.01373965,0.14080178,0.66240785,1.29040538,2.06586344,4.77980849,0.05099821,1.53046947
-4.21110555,7.58208778,0.01325629,0.13834791,0.65117347,1.28369446,2.02599790,4.74424499,0.04892082,1.51188819
-4.20510255,7.50480246,0.01278163,0.13576665,0.63890496,1.27558803,1.98518056,4.70786606,0.04693200,1.49196829
-4.19909955,7.42446436,0.01232108,0.13308256,0.62570866,1.26591225,1.94371689,4.67105213,0.04504711,1.47070351
-4.19309655,7.34159724,0.01187966,0.13032325,0.61171097,1.25453950,1.90193368,4.63423229,0.04327947,1.44813064
-4.18709355,7.25687463,0.01146202,0.12751890,0.59705880,1.24140237,1.86017974,4.59789101,0.04164046,1.42434205
-4.18109055,7.17113868,0.01107242,0.12470187,0.58191921,1.22650466,1.81882583,4.56257187,0.04013966,1.39949572
-4.17508754,7.08541063,0.01071471,0.12190605,0.56647854,1.20992890,1.77826378,4.52887818,0.03878498,1.37382208
-4.16908454,7.00089193,0.01039240,0.11916631,0.55094073,1.19183994,1.73890477,4.49747029,0.03758279,1.34762732
-4.16308154,6.91895583,0.01010861,0.11651784,0.53552499,1.17248438,1.70117681,4.46905972,0.03653800,1.32129261
-4.15707854,6.84112926,0.00986620,0.11399554,0.52046268,1.15218586,1.66552152,4.44440014,0.03565417,1.29526924
-4.15107554,6.76906561,0.00966771,0.11163348,0.50599354,1.13133647,1.63239006,4.42427552,0.03493353,1.27006974
-4.14507254,6.70450925,0.00951545,0.10946433,0.49236125,1.11038454,1.60223849,4.40948577,0.03437699,1.24625516
-4.13906953,6.64925274,0.00941148,0.10751890,0.47980836,1.08981950,1.57552220,4.40083019,0.03398417,1.22441898
-4.13306653,6.60508846,0.00935766,0.10582576,0.46857082,1.07015445,1.55268985,4.39908932,0.03375330,1.20516827
-4.12706353,6.57375622,0.00935560,0.10441085,0.45887207,1.05190720,1.53417643,4.40500561,0.03368119,1.18910279
-4.12106053,6.55688865,0.00940671,0.10329722,0.45091695,1.03558074,1.52039585,4.41926348,0.03376315,1.17679293
-4.11505753,6.55595661,0.00951212,0.10250476,0.44488562,1.02164376,1.51173292,4.44246940,0.03399290,1.16875728
-4.10905453,6.57221638,0.00967267,0.10204995,0.44092767,1.01051239,1.50853496,4.47513261,0.03436250,1.16544093
-4.10305153,6.60666087,0.00988890,0.10194574,0.43915656,1.00253360,1.51110315,4.51764700,0.03486229,1.16719533
-4.09704852,6.65997664,0.01016094,0.10220127,0.43964480,0.99797114,1.51968396,4.57027488,0.03548088,1.17426055
-4.09104552,6.73250853,0.01048853,0.10282177,0.44241997,0.99699463,1.53446082,4.63313320,0.03620510,1.18675092
-4.08504252,6.82423354,0.01087095,0.10380838,0.44746184,0.99967201,1.55554638,4.70618269,0.03702013,1.20464457
-4.07903952,6.93474501,0.01130697,0.10515803,0.45470070,1.00596589,1.58297573,4.78922054,0.03790952,1.22777750
-4.07303652,7.06324835,0.01179489,0.10686332,0.46401728,1.01573378,1.61670083,4.88187699,0.03885543,1.25584257
-4.06703352,7.20856859,0.01233247,0.10891251,0.47524407,1.02873227,1.65658663,4.98361612,0.03983882,1.28839358
-4.06103052,7.36917013,0.01291696,0.11128951,0.48816833,1.04462489,1.70240893,5.09374115,0.04083973,1.32485442
-4.05502751,7.54318828,0.01354518,0.11397397,0.50253667,1.06299355,1.75385456,5.21140422,0.04183763,1.36453312
-4.04902451,7.72847198,0.01421350,0.11694149,0.51806107,1.08335282,1.81052370,5.33562070,0.04281185,1.40664040
-4.04302151,7.92263647,0.01491796,0.12016395,0.53442633,1.10516685,1.87193471,5.46528768,0.04374196,1.45031206
-4.03701851,8.12312438,0.01565435,0.12360988,0.55129854,1.12786802,1.93753131,5.59920643,0.04460831,1.49463447
-4.03101551,8.32727327,0.01641828,0.12724505,0.56833446,1.15087680,2.00669206,5.73610794,0.04539244,1.53867234
-4.02501251,8.53238734,0.01720531,0.13103308,0.58519134,1.17362194,2.07874183,5.87468112,0.04607764,1.58149753
-4.01900950,8.73581069,0.01801104,0.13493622,0.60153685,1.19556035,2.15296508,6.01360252,0.04664932,1.62221811
-4.01300650,8.93499953,0.01883118,0.13891613,0.61705880,1.21619581,2.22862034,6.15156668,0.04709549,1.66000620
-4.00700350,9.12759055,0.01966170,0.14293477,0.63147415,1.23509586,2.30495558,6.28731586,0.04740712,1.69412386
-4.00100050,9.31146265,0.02049881,0.14695526,0.64453700,1.25190614,2.38122379,6.41966811,0.04757838,1.72394575
-3.99499750,9.48478971,0.02133903,0.15094276,0.65604525,1.26636174,2.45669828,6.54754247,0.04760684,1.74897782
-3.98899450,9.64608217,0.02217920,0.15486521,0.66584563,1.27829502,2.53068709,6.66998023,0.04749359,1.76887121
-3.98299150,9.79421563,0.02301646,0.15869411,0.67383691,1.28763964,2.60254603,6.78616143,0.04724318,1.78343092
-3.97698849,9.92844544,0.02384817,0.16240502,0.67997115,1.29443060,2.67168990,6.89541572,0.04686353,1.79261887
-3.97098549,10.04840669,0.02467185,0.16597804,0.68425301,1.29880043,2.73760145,6.99722731,0.04636562,1.79655139
