energy_ev,total_up,Au_p_up,Au_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-5.82591296,4.31627440,1.17326469,2.33820718,0.43512648,0.03328353,0.12178450,0.04864766,1.37220807
-5.81990995,4.24607642,1.15330748,2.29452713,0.42688173,0.03334755,0.11548747,0.04933948,1.35633197
-5.81390695,4.17174242,1.12992285,2.25130998,0.41762371,0.03327751,0.10931545,0.04988727,1.33743188
-5.80790395,4.09362880,1.10323959,2.20878777,0.40742281,0.03307629,0.10328813,0.05028178,1.31554854
-5.80190095,4.01210678,1.07343082,2.16714559,0.39635848,0.03274941,0.09742021,0.05051597,1.29076205
-5.79589795,3.92758040,1.04071483,2.12653544,0.38451917,0.03230489,0.09172233,0.05058536,1.26319626
-5.78989495,3.84050189,1.00535445,2.08709006,0.37200212,0.03175313,0.08620189,0.05048830,1.23302138
-5.78389195,3.75138329,0.96765463,2.04893592,0.35891268,0.03110669,0.08086399,0.05022610,1.20045485
-5.77788894,3.66080359,0.92795847,2.01220456,0.34536330,0.03037998,0.07571211,0.04980309,1.16576019
-5.77188594,3.56941053,0.88664161,1.97704153,0.33147211,0.02958890,0.07074882,0.04922657,1.12924394
-5.76588294,3.47791709,0.84410532,1.94361245,0.31736109,0.02875041,0.06597624,0.04850663,1.09125080
-5.75987994,3.38709263,0.80076837,1.91210601,0.30315391,0.02788210,0.06139642,0.04765581,1.05215710
-5.75387694,3.29774932,0.75705818,1.88273387,0.28897349,0.02700167,0.05701158,0.04668880,1.01236301
-5.74787394,3.21072457,0.71340142,1.85572763,0.27493938,0.02612644,0.05282415,0.04562191,0.97228369
-5.74187094,3.12686053,0.67021457,1.83133325,0.26116505,0.02527285,0.04883676,0.04447256,0.93233994
-5.73586793,3.04698203,0.62789481,1.80980366,0.24775527,0.02445600,0.04505214,0.04325877,0.89294867
-5.72986493,2.97187413,0.58681152,1.79139004,0.23480367,0.02368921,0.04147285,0.04199852,0.85451359
-5.72386193,2.90226073,0.54729882,1.77633262,0.22239063,0.02298365,0.03810114,0.04070928,0.81741657
-5.71785893,2.83878539,0.50964931,1.76485169,0.21058150,0.02234807,0.03493859,0.03940749,0.78200994
-5.71185593,2.78199551,0.47410935,1.75713950,0.19942548,0.02178858,0.03198593,0.03810807,0.74861002
-5.70585293,2.73233048,0.44087587,1.75335356,0.18895496,0.02130853,0.02924281,0.03682416,0.71749209
-5.69984992,2.69011447,0.41009490,1.75361177,0.17918551,0.02090851,0.02670760,0.03556679,0.68888684
-5.69384692,2.65555380,0.38186160,1.75798942,0.17011649,0.02058645,0.02437729,0.03434475,0.66297834
-5.68784392,2.62873880,0.35622199,1.76651821,0.16173219,0.02033777,0.02224745,0.03316454,0.63990345
-5.68184092,2.60964954,0.33317585,1.77918689,0.15400350,0.02015566,0.02031220,0.03203043,0.61975252
-5.67583792,2.59816473,0.31268090,1.79594332,0.14689003,0.02003143,0.01856433,0.03094457,0.60257117
-5.66983492,2.59407265,0.29465780,1.81669717,0.14034244,0.01995488,0.01699540,0.02990724,0.58836288
-5.66383192,2.59708311,0.27899579,1.84132296,0.13430509,0.01991478,0.01559592,0.02891714,0.57709218
-5.65782891,2.60683937,0.26555872,1.86966255,0.12871864,0.01989927,0.01435558,0.02797169,0.56868809
-5.65182591,2.62292887,0.25419108,1.90152678,0.12352264,0.01989634,0.01326346,0.02706741,0.56304769
-5.64582291,2.64489201,0.24472398,1.93669562,0.11865793,0.01989428,0.01230832,0.02620024,0.56003948
-5.63981991,2.67222851,0.23698073,1.97491678,0.11406882,0.01988205,0.01147882,0.02536595,0.55950658
-5.63381691,2.70440089,0.23078192,2.01590259,0.10970489,0.01984966,0.01076378,0.02456040,0.56126950
-5.62781391,2.74083538,0.22594995,2.05932542,0.10552244,0.01978843,0.01015242,0.02377987,0.56512864
-5.62181091,2.78092060,0.22231288,2.10481218,0.10148551,0.01969121,0.00963459,0.02302127,0.57086652
-5.61580790,2.82400476,0.21970765,2.15193829,0.09756652,0.01955252,0.00920093,0.02228235,0.57824987
-5.60980490,2.86939245,0.21798270,2.20022227,0.09374659,0.01936861,0.00884310,0.02156182,0.58703178
-5.60380190,2.91634222,0.21700006,2.24912163,0.09001541,0.01913748,0.00855394,0.02085945,0.59695406
-5.59779890,2.96406604,0.21663710,2.29803113,0.08637096,0.01885873,0.00832760,0.02017610,0.60775007
-5.59179590,3.01173205,0.21678789,2.34628423,0.08281901,0.01853352,0.00815970,0.01951376,0.61914817
-5.58579290,3.05847143,0.21736443,2.39315858,0.07937244,0.01816435,0.00804748,0.01887548,0.63087598
-5.57978989,3.10339020,0.21829781,2.43788591,0.07605052,0.01775485,0.00798994,0.01826540,0.64266541
-5.57378689,3.14558634,0.21953940,2.47966663,0.07287829,0.01730958,0.00798798,0.01768865,0.65425862
-5.56778389,3.18417214,0.22106201,2.51768905,0.06988582,0.01683382,0.00804451,0.01715130,0.66541476
-5.56178089,3.21830117,0.22286122,2.55115261,0.06710770,0.01633335,0.00816466,0.01666035,0.67591732
-5.55577789,3.24719905,0.22495663,2.57929438,0.06458261,0.01581422,0.00835580,0.01622364,0.68558178
-5.54977489,3.27019644,0.22739310,2.60141762,0.06235288,0.01528266,0.00862773,0.01584981,0.69426329
-5.54377189,3.28676253,0.23024179,2.61692103,0.06046432,0.01474488,0.00899269,0.01554827,0.70186402
-5.53776888,3.29653713,0.23360084,2.62532696,0.05896592,0.01420698,0.00946541,0.01532910,0.70833951
-5.53176588,3.29935907,0.23759549,2.62630716,0.05790966,0.01367493,0.01006299,0.01520300,0.71370385
-5.52576288,3.29528890,0.24237754,2.61970413,0.05735016,0.01315448,0.01080486,0.01518117,0.71803305
-5.51975988,3.28462401,0.24812373,2.60554684,0.05734429,0.01265116,0.01171244,0.01527517,0.72146622
-5.51375688,3.26790439,0.25503318,2.58405948,0.05795051,0.01217031,0.01280884,0.01549672,0.72420433
-5.50775388,3.24590811,0.26332343,2.55566235,0.05922797,0.01171706,0.01411833,0.01585743,0.72650625
-5.50175088,3.21963557,0.27322521,2.52096442,0.06123531,0.01129639,0.01566577,0.01636854,0.72868199
-5.49574787,3.19028270,0.28497580,2.48074762,0.06402915,0.01091311,0.01747575,0.01704049,0.73108316
-5.48974487,3.15920353,0.29881107,2.43594308,0.06766213,0.01057191,0.01957178,0.01788250,0.73409095
-5.48374187,3.12786349,0.31495637,2.38760055,0.07218079,0.01027728,0.02197526,0.01890212,0.73810178
-5.47773887,3.09778499,0.33361636,2.33685191,0.07762302,0.01003356,0.02470436,0.02010470,0.74351135
-5.47173587,3.07048775,0.35496430,2.28487073,0.08401541,0.00984485,0.02777288,0.02149285,0.75069740
-5.46573287,3.04742637,0.37913101,2.23282955,0.09137045,0.00971493,0.03118908,0.02306591,0.76000217
-5.45972986,3.02992810,0.40619407,2.18185692,0.09968384,0.00964721,0.03495458,0.02481951,0.77171506
-5.45372686,3.01913375,0.43616768,2.13299629,0.10893191,0.00964458,0.03906330,0.02674512,0.78605649
-5.44772386,3.01594456,0.46899385,2.08716865,0.11906947,0.00970936,0.04350058,0.02882975,0.80316366
-5.44172086,3.02097787,0.50453527,2.04514067,0.13002815,0.00984312,0.04824254,0.03105575,0.82307884
-5.43571786,3.03453376,0.54257054,2.00749984,0.14171540,0.01004661,0.05325566,0.03340075,0.84574105
-5.42971486,3.05657447,0.58279208,1.97463766,0.15401442,0.01031966,0.05849669,0.03583784,0.87098148
-5.42371186,3.08671792,0.62480712,1.94674167,0.16678492,0.01066104,0.06391295,0.03833585,0.89852304
-5.41770885,3.12424581,0.66814196,1.92379648,0.17986497,0.01106847,0.06944295,0.04085987,0.92798430
-5.41170585,3.16812617,0.71224963,1.90559373,0.19307385,0.01153852,0.07501743,0.04337192,0.95888774
-5.40570285,3.21704962,0.75652090,1.89175021,0.20621596,0.01206663,0.08056077,0.04583185,0.99067209
-5.39969985,3.26947772,0.80029829,1.88173332,0.21908565,0.01264714,0.08599278,0.04819830,1.02270844
-5.39369685,3.32370157,0.84289283,1.87489237,0.23147282,0.01327332,0.09123070,0.05042986,1.05431952
-5.38769385,3.37790787,0.88360292,1.87049434,0.24316914,0.01393750,0.09619150,0.05248623,1.08480130
-5.38169085,3.43024983,0.92173469,1.86776212,0.25397461,0.01463118,0.10079434,0.05432942,1.11344624
-5.37568784,3.47891956,0.95662298,1.86591358,0.26370423,0.01534520,0.10496299,0.05592499,1.13956716
-5.36968484,3.52221904,0.98765225,1.86419968,0.27219441,0.01606990,0.10862829,0.05724312,1.16252071
-5.36368184,3.55862636,1.01427638,1.86193966,0.27930889,0.01679538,0.11173041,0.05825960,1.18172957
-5.35767884,3.58685452,1.03603668,1.85855213,0.28494382,0.01751167,0.11422088,0.05895669,1.19670238
-5.35167584,3.60590036,1.05257715,1.85358048,0.28903185,0.01820899,0.11606422,0.05932369,1.20705072
-5.34567284,3.61508147,1.06365652,1.84671179,0.29154482,0.01887795,0.11723919,0.05935734,1.21250222
-5.33966983,3.61405987,1.06915640,1.83778848,0.29249511,0.01950977,0.11773958,0.05906198,1.21290956
-5.33366683,3.60285144,1.06908516,1.82681255,0.29193541,0.02009652,0.11757439,0.05844942,1.20825485
-5.32766383,3.58182120,1.06357746,1.81394228,0.28995694,0.02063121,0.11676755,0.05753858,1.19864934
-5.32166083,3.55166474,1.05288945,1.79948195,0.28668623,0.02110800,0.11535711,0.05635489,1.18432850
-5.31565783,3.51337693,1.03738974,1.78386518,0.28228050,0.02152225,0.11339393,0.05492951,1.16564281
-5.30965483,3.46820964,1.01754664,1.76763294,0.27692192,0.02187061,0.11093989,0.05329835,1.14304466
-5.30365183,3.41762044,0.99391223,1.75140727,0.27081098,0.02215100,0.10806588,0.05150100,1.11707200
-5.29764882,3.36321458,0.96710394,1.73586212,0.26415923,0.02236263,0.10484938,0.04957954,1.08832946
-5.29164582,3.30668302,0.93778427,1.72169259,0.25718180,0.02250589,0.10137198,0.04757735,1.05746775
-5.28564282,3.24973897,0.90663981,1.70958400,0.25008990,0.02258231,0.09771679,0.04553790,1.02516215
-5.27963982,3.19405561,0.87436000,1.70018199,0.24308372,0.02259437,0.09396592,0.04350360,0.99209107
-5.27363682,3.14120744,0.84161676,1.69406493,0.23634599,0.02254546,0.09019810,0.04151475,0.95891532
-5.26763382,3.09261721,0.80904562,1.69171950,0.23003643,0.02243965,0.08648649,0.03960862,0.92625901
-5.26163082,3.04951047,0.77722888,1.69352040,0.22428729,0.02228163,0.08289686,0.03781863,0.89469257
-5.25562781,3.01287887,0.74668162,1.69971456,0.21920012,0.02207653,0.07948607,0.03617370,0.86471855
-5.24962481,2.98345319,0.71784064,1.71041033,0.21484391,0.02182984,0.07630092,0.03469782,0.83676043
-5.24362181,2.96168668,0.69105680,1.72557174,0.21125453,0.02154730,0.07337753,0.03340972,0.81115483
-5.23761881,2.94774849,0.66659074,1.74501759,0.20843539,0.02123484,0.07074097,0.03232274,0.78814709
-5.23161581,2.94152701,0.64461195,1.76842533,0.20635940,0.02089852,0.06840542,0.03144484,0.76789014
-5.22561281,2.94264226,0.62520114,1.79533906,0.20497190,0.02054452,0.06637461,0.03077874,0.75044664
-5.21960980,2.95046645,0.60835533,1.82518132,0.20419442,0.02017907,0.06464264,0.03032217,0.73579386
-5.21360680,2.96415128,0.59399564,1.85726795,0.20392917,0.01980848,0.06319505,0.03006828,0.72383107
-5.20760380,2.98266085,0.58197696,1.89082555,0.20406389,0.01943907,0.06201006,0.03000607,0.71438895
-5.20160080,3.00480861,0.57209925,1.92501073,0.20447697,0.01907714,0.06106002,0.03012085,0.70724049
-5.19559780,3.02929694,0.56411985,1.95893076,0.20504247,0.01872892,0.06031294,0.03039487,0.70211283
-5.18959480,3.05475810,0.55776615,1.99166492,0.20563509,0.01840045,0.05973396,0.03080781,0.69869967
-5.18359180,3.07979505,0.55274834,2.02228624,0.20613459,0.01809749,0.05928693,0.03133746,0.69667355
-5.17758879,3.10302128,0.54877153,2.04988287,0.20642983,0.01782537,0.05893574,0.03196019,0.69569782
-5.17158579,3.12309827,0.54554697,2.07357907,0.20642211,0.01758878,0.05864565,0.03265163,0.69543766
-5.16558279,3.13877003,0.54280191,2.09255507,0.20602780,0.01739163,0.05838441,0.03338714,0.69556996
-5.15957979,3.14889376,0.54028791,2.10606564,0.20518022,0.01723681,0.05812313,0.03414234,0.69579192
-5.15357679,3.15246612,0.53778737,2.11345698,0.20383078,0.01712603,0.05783703,0.03489363,0.69582790
-5.14757379,3.14864464,0.53511805,2.11418159,0.20194934,0.01705959,0.05750590,0.03561855,0.69543478
-5.14157079,3.13676395,0.53213582,2.10781065,0.19952388,0.01703629,0.05711434,0.03629623,0.69440552
-5.13556778,3.11634653,0.52873533,2.09404385,0.19655953,0.01705332,0.05665182,0.03690767,0.69257115
-5.12956478,3.08710804,0.52484901,2.07271604,0.19307708,0.01710619,0.05611252,0.03743603,0.68980113
-5.12356178,3.04895710,0.52044449,2.04380072,0.18911104,0.01718878,0.05549494,0.03786684,0.68600241
-5.11755878,3.00198987,0.51552050,2.00741005,0.18470730,0.01729345,0.05480146,0.03818814,0.68111712
-5.11155578,2.94647954,0.51010190,1.96379127,0.17992067,0.01741120,0.05403765,0.03839057,0.67511944
-5.10555278,2.88286138,0.50423372,1.91331962,0.17481224,0.01753193,0.05321161,0.03846740,0.66801146
-5.09954977,2.81171368,0.49797489,1.85648787,0.16944669,0.01764475,0.05233317,0.03841445,0.65981871
-5.09354677,2.73373555,0.49139174,1.79389270,0.16388983,0.01773832,0.05141314,0.03823006,0.65058519
-5.08754377,2.64972218,0.48455173,1.72621841,0.15820616,0.01780129,0.05046251,0.03791489,0.64036851
-5.08154077,2.56053862,0.47751767,1.65421844,0.15245679,0.01782270,0.04949178,0.03747175,0.62923505
-5.07553777,2.46709286,0.47034260,1.57869541,0.14669765,0.01779238,0.04851029,0.03690536,0.61725550
-5.06953477,2.37030946,0.46306575,1.50048030,0.14097803,0.01770136,0.04752576,0.03622212,0.60450100
-5.06353177,2.27110437,0.45570955,1.42041166,0.13533957,0.01754224,0.04654385,0.03542981,0.59103982
-5.05752876,2.17036208,0.44827788,1.33931543,0.12981558,0.01730941,0.04556795,0.03453734,0.57693491
-5.05152576,2.06891574,0.44075562,1.25798632,0.12443084,0.01699934,0.04459904,0.03355446,0.56224222
-5.04552276,1.96753089,0.43310955,1.17717113,0.11920172,0.01661068,0.04363580,0.03249149,0.54700995
-5.03951976,1.86689329,0.42529029,1.09755476,0.11413667,0.01614429,0.04267472,0.03135910,0.53127855
-5.03351676,1.76760099,0.41723548,1.01974916,0.10923705,0.01560322,0.04171046,0.03016809,0.51508158
-5.02751376,1.67016075,0.40887374,0.94428552,0.10449813,0.01499254,0.04073625,0.02892920,0.49844723
-5.02151076,1.57498857,0.40012933,0.87160970,0.09991041,0.01431917,0.03974441,0.02765296,0.48140041
-5.01550775,1.48241399,0.39092724,0.80208093,0.09546090,0.01359156,0.03872686,0.02634961,0.46396527
-5.00950475,1.39268755,0.38119837,0.73597342,0.09113462,0.01281939,0.03767574,0.02502898,0.44616794
-5.00350175,1.30599078,0.37088466,0.67348061,0.08691600,0.01201322,0.03658394,0.02370049,0.42803937
-4.99749875,1.22244802,0.35994377,0.61472164,0.08279018,0.01118407,0.03544566,0.02237308,0.40961802
-4.99149575,1.14213916,0.34835315,0.55974944,0.07874429,0.01034311,0.03425687,0.02105529,0.39095234
-4.98549275,1.06511256,0.33611333,0.50855998,0.07476846,0.00950125,0.03301570,0.01975521,0.37210271
-4.97948974,0.99139756,0.32325012,0.46110215,0.07085664,0.00866888,0.03172270,0.01848057,0.35314294
-4.97348674,0.92101567,0.30981583,0.41728770,0.06700719,0.00785554,0.03038105,0.01723873,0.33416103
-4.96748374,0.85399022,0.29588934,0.37700088,0.06322323,0.00706973,0.02899659,0.01603676,0.31525928
-4.96148074,0.79035381,0.28157493,0.34010735,0.05951268,0.00631875,0.02757774,0.01488143,0.29655359
-4.95547774,0.73015356,0.26700020,0.30646212,0.05588813,0.00560860,0.02613531,0.01377924,0.27817212
-4.94947474,0.67345396,0.25231287,0.27591623,0.05236640,0.00494390,0.02468225,0.01273642,0.26025320
-4.94347174,0.62033727,0.23767687,0.24832210,0.04896799,0.00432794,0.02323321,0.01175894,0.24294270
-4.93746873,0.57090191,0.22326773,0.22353763,0.04571626,0.00376271,0.02180415,0.01085241,0.22639084
-4.93146573,0.52525873,0.20926750,0.20142884,0.04263663,0.00324900,0.02041180,0.01002211,0.21074863
-4.92546273,0.48352588,0.19585944,0.18187133,0.03975550,0.00278655,0.01907318,0.00927284,0.19616409
-4.91945973,0.44582229,0.18322260,0.16475073,0.03709932,0.00237414,0.01780500,0.00860890,0.18277827
-4.91345673,0.41226043,0.17152662,0.14996209,0.03469353,0.00200980,0.01662319,0.00803396,0.17072132
-4.90745373,0.38293868,0.16092665,0.13740869,0.03256154,0.00169094,0.01554240,0.00755098,0.16010864
-4.90145073,0.35793355,0.15155889,0.12700024,0.03072387,0.00141456,0.01457553,0.00716205,0.15103729
-4.89544772,0.33729236,0.14353654,0.11865079,0.02919720,0.00117731,0.01373335,0.00686834,0.14358272
-4.88944472,0.32102649,0.13694645,0.11227649,0.02799374,0.00097572,0.01302417,0.00666993,0.13779594
-4.88344172,0.30910562,0.13184653,0.10779344,0.02712056,0.00080626,0.01245358,0.00656577,0.13370116
-4.87743872,0.30145315,0.12826386,0.10511566,0.02657916,0.00066547,0.01202429,0.00655353,0.13129409
-4.87143572,0.29794302,0.12619361,0.10415349,0.02636517,0.00055005,0.01173601,0.00662960,0.13054074
-4.86543272,0.29839804,0.12559884,0.10481235,0.02646821,0.00045688,0.01158544,0.00678898,0.13137706
-4.85942971,0.30258990,0.12641105,0.10699205,0.02687192,0.00038313,0.01156633,0.00702533,0.13370924
-4.85342671,0.31024101,0.12853156,0.11058673,0.02755419,0.00032623,0.01166961,0.00733095,0.13741473
-4.84742371,0.32102789,0.13183367,0.11548530,0.02848751,0.00028393,0.01188360,0.00769687,0.14234415
-4.84142071,0.33458652,0.13616556,0.12157257,0.02963950,0.00025431,0.01219429,0.00811293,0.14832387
-4.83541771,0.35051906,0.14135391,0.12873085,0.03097364,0.00023574,0.01258566,0.00856794,0.15515942
-4.82941471,0.36840225,0.14720807,0.13684205,0.03245007,0.00022690,0.01304008,0.00904990,0.16263955
-4.82341171,0.38779685,0.15352480,0.14579013,0.03402655,0.00022675,0.01353876,0.00954618,0.17054100
-4.81740870,0.40825808,0.16009345,0.15546375,0.03565948,0.00023456,0.01406220,0.01004380,0.17863368
-4.81140570,0.42934659,0.16670137,0.16575899,0.03730508,0.00024980,0.01459070,0.01052977,0.18668636
-4.80540270,0.45063958,0.17313948,0.17658186,0.03892042,0.00027223,0.01510488,0.01099134,0.19447251
-4.79939970,0.47174151,0.17920774,0.18785053,0.04046464,0.00030180,0.01558615,0.01141638,0.20177620
-4.79339670,0.49229410,0.18472050,0.19949702,0.04189997,0.00033870,0.01601720,0.01179367,0.20839781
-4.78739370,0.51198500,0.18951136,0.21146813,0.04319270,0.00038327,0.01638248,0.01211323,0.21415942
-4.78139070,0.53055474,0.19343744,0.22372559,0.04431407,0.00043608,0.01666857,0.01236660,0.21890953
-4.77538769,0.54780169,0.19638297,0.23624521,0.04524086,0.00049787,0.01686449,0.01254706,0.22252711
-4.76938469,0.56358460,0.19826197,0.24901506,0.04595594,0.00056958,0.01696200,0.01264986,0.22492463
-4.76338169,0.57782281,0.19901989,0.26203273,0.04644845,0.00065232,0.01695572,0.01267234,0.22605004
-4.75737869,0.59049384,0.19863428,0.27530163,0.04671382,0.00074743,0.01684323,0.01261399,0.22588769
-4.75137569,0.60162879,0.19711438,0.28882679,0.04675360,0.00085650,0.01662506,0.01247649,0.22445800
-4.74537269,0.61130564,0.19449964,0.30261003,0.04657493,0.00098134,0.01630453,0.01226365,0.22181605
-4.73936968,0.61964101,0.19085740,0.31664522,0.04619001,0.00112410,0.01588761,0.01198125,0.21804910
-4.73336668,0.62678082,0.18627962,0.33091360,0.04561519,0.00128726,0.01538259,0.01163691,0.21327330
-4.72736368,0.63289055,0.18087911,0.34537983,0.04487014,0.00147369,0.01479980,0.01123986,0.20762951
-4.72136068,0.63814568,0.17478525,0.35998895,0.04397682,0.00168670,0.01415122,0.01080069,0.20127877
-4.71535768,0.64272309,0.16813940,0.37466472,0.04295853,0.00193009,0.01345003,0.01033103,0.19439734
-4.70935468,0.64679383,0.16109041,0.38930958,0.04183885,0.00220820,0.01271029,0.00984330,0.18717176
-4.70335168,0.65051788,0.15379021,0.40380633,0.04064086,0.00252595,0.01194644,0.00935043,0.17979399
-4.69734867,0.65404133,0.14638980,0.41802187,0.03938631,0.00288882,0.01117302,0.00886551,0.17245687
-4.69134567,0.65749594,0.13903566,0.43181276,0.03809503,0.00330289,0.01040429,0.00840159,0.16535005
-4.68534267,0.66100132,0.13186691,0.44503259,0.03678450,0.00377478,0.00965396,0.00797140,0.15865652
-4.67933967,0.66466942,0.12501299,0.45754083,0.03546961,0.00431158,0.00893502,0.00758716,0.15254966
-4.67333667,0.66861098,0.11859213,0.46921282,0.03416257,0.00492070,0.00825952,0.00726036,0.14719099
-4.66733367,0.67294340,0.11271043,0.47995039,0.03287308,0.00560976,0.00763859,0.00700166,0.14272850
-4.66133067,0.67779943,0.10746159,0.48969252,0.03160855,0.00638630,0.00708232,0.00682072,0.13929543
-4.65532766,0.68333585,0.10292707,0.49842554,0.03037448,0.00725755,0.00659988,0.00672607,0.13700945
-4.64932466,0.68974144,0.09917673,0.50619209,0.02917495,0.00823010,0.00619956,0.00672509,0.13597219
-4.64332166,0.69724342,0.09626958,0.51309838,0.02801311,0.00930948,0.00588891,0.00682387,0.13626881
-4.63731866,0.70611175,0.09425482,0.51931912,0.02689172,0.01049982,0.00567484,0.00702714,0.13796773
-4.63131566,0.71666058,0.09317268,0.52509968,0.02581360,0.01180340,0.00556383,0.00733824,0.14112018
-4.62531266,0.72924665,0.09305524,0.53075517,0.02478211,0.01322021,0.00556200,0.00775903,0.14575981
-4.61930965,0.74426420,0.09392703,0.53666622,0.02380147,0.01474756,0.00567527,0.00828983,0.15190197
-4.61330665,0.76213645,0.09580526,0.54327136,0.02287697,0.01637971,0.00590942,0.00892937,0.15954303
-4.60730365,0.78330385,0.09869986,0.55105617,0.02201516,0.01810760,0.00627013,0.00967476,0.16865951
-4.60130065,0.80820940,0.10261304,0.56053943,0.02122380,0.01991866,0.00676302,0.01052143,0.17920734
-4.59529765,0.83728164,0.10753871,0.57225663,0.02051178,0.02179668,0.00739352,0.01146316,0.19112106
-4.58929465,0.87091598,0.11346159,0.58674144,0.01988891,0.02372193,0.00816678,0.01249209,0.20431346
-4.58329165,0.90945514,0.12035614,0.60450577,0.01936561,0.02567135,0.00908751,0.01359878,0.21867541
-4.57728864,0.95316962,0.12818550,0.62601908,0.01895256,0.02761888,0.01015972,0.01477232,0.23407623
-4.57128564,1.00223915,0.13690036,0.65168784,0.01866027,0.02953604,0.01138648,0.01600049,0.25036472
-4.56528264,1.05673579,0.14643806,0.68183584,0.01849864,0.03139258,0.01276958,0.01726993,0.26737067
-4.55927964,1.11660986,0.15672191,0.71668630,0.01847648,0.03315725,0.01430918,0.01856642,0.28490720
-4.55327664,1.18167908,0.16766077,0.75634643,0.01860107,0.03479874,0.01600352,0.01987516,0.30277372
-4.54727364,1.25162184,0.17914913,0.80079527,0.01887774,0.03628665,0.01784852,0.02118107,0.32075949
-4.54127064,1.32597490,0.19106761,0.84987538,0.01930949,0.03759246,0.01983747,0.02246919,0.33864775
-4.53526763,1.40413591,0.20328398,0.90328897,0.01989662,0.03869052,0.02196079,0.02372498,0.35622026
-4.52926463,1.48537086,0.21565468,0.96059870,0.02063651,0.03955899,0.02420576,0.02493474,0.37326203
-4.52326163,1.56882642,0.22802685,1.02123363,0.02152338,0.04018062,0.02655642,0.02608590,0.38956615
-4.51725863,1.65354701,0.24024089,1.08450001,0.02254822,0.04054344,0.02899349,0.02716739,0.40493850
-4.51125563,1.73849597,0.25213330,1.14959707,0.02369868,0.04064121,0.03149446,0.02816984,0.41920206
-4.50525263,1.82258059,0.26353998,1.21563726,0.02495923,0.04047374,0.03403375,0.02908581,0.43220081
-4.49924962,1.90467993,0.27429966,1.28167050,0.02631121,0.04004688,0.03658301,0.02990992,0.44380285
-4.49324662,1.98367479,0.28425753,1.34671160,0.02773313,0.03937241,0.03911153,0.03063889,0.45390282
