energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-3.16058029,2.87623592,0.02215146,0.23060491,0.30907162,2.49677462,0.17094607,0.00000000
-3.15457729,2.99702629,0.02302262,0.23835839,0.32067923,2.60610078,0.17641748,0.00000000
-3.14857429,3.12476089,0.02387674,0.24599689,0.33307983,2.72224560,0.18239199,0.00000000
-3.14257129,3.25814656,0.02471534,0.25334435,0.34606333,2.84415543,0.18878670,0.00000000
-3.13656828,3.39580693,0.02554163,0.26022664,0.35941128,2.97069072,0.19551513,0.00000000
-3.13056528,3.53632530,0.02636032,0.26647787,0.37290359,3.10066072,0.20249003,0.00000000
-3.12456228,3.67828374,0.02717736,0.27194627,0.38632477,3.23285533,0.20962561,0.00000000
-3.11855928,3.82029658,0.02799945,0.27649939,0.39946928,3.36607255,0.21683937,0.00000000
-3.11255628,3.96103683,0.02883359,0.28002831,0.41214590,3.49914058,0.22405324,0.00000000
-3.10655328,4.09925486,0.02968647,0.28245079,0.42418103,3.63093357,0.23119425,0.00000000
-3.10055028,4.23378887,0.03056389,0.28371320,0.43542077,3.76038116,0.23819448,0.00000000
-3.09454727,4.36356759,0.03147012,0.28379107,0.44573187,3.88647168,0.24499070,0.00000000
-3.08854427,4.48760607,0.03240738,0.28268851,0.45500165,4.00825009,0.25152346,0.00000000
-3.08254127,4.60499589,0.03337528,0.28043641,0.46313702,4.12481142,0.25773606,0.00000000
-3.07653827,4.71489144,0.03437046,0.27708964,0.47006283,4.23529131,0.26357330,0.00000000
-3.07053527,4.81649434,0.03538634,0.27272343,0.47571972,4.33885520,0.26898037,0.00000000
-3.06453227,4.90903791,0.03641301,0.26742917,0.48006180,4.43468774,0.27390187,0.00000000
-3.05852926,4.99177386,0.03743725,0.26130993,0.48305436,4.52198419,0.27828116,0.00000000
-3.05252626,5.06396277,0.03844286,0.25447591,0.48467184,4.59994515,0.28206022,0.00000000
-3.04652326,5.12487009,0.03941099,0.24704002,0.48489627,4.66777595,0.28517993,0.00000000
-3.04052026,5.17376853,0.04032074,0.23911394,0.48371625,4.72469147,0.28758090,0.00000000
-3.03451726,5.20994760,0.04114987,0.23080473,0.48112665,4.76992686,0.28920490,0.00000000
-3.02851426,5.23273010,0.04187557,0.22221212,0.47712899,4.80275426,0.28999671,0.00000000
-3.02251126,5.24149534,0.04247537,0.21342663,0.47173246,4.82250502,0.28990640,0.00000000
-3.01650825,5.23570788,0.04292800,0.20452846,0.46495550,4.82859660,0.28889190,0.00000000
-3.01050525,5.21495046,0.04321427,0.19558719,0.45682782,4.82056292,0.28692167,0.00000000
-3.00450225,5.17895937,0.04331792,0.18666210,0.44739259,4.79808672,0.28397739,0.00000000
-2.99849925,5.12766018,0.04322631,0.17780319,0.43670876,4.76103217,0.28005642,0.00000000
-2.99249625,5.06120184,0.04293107,0.16905251,0.42485310,4.70947595,0.27517398,0.00000000
-2.98649325,4.97998691,0.04242850,0.16044592,0.41192200,4.64373490,0.26936480,0.00000000
-2.98049025,4.88469610,0.04171988,0.15201485,0.39803260,4.56438866,0.26268418,0.00000000
-2.97448724,4.77630536,0.04081156,0.14378818,0.38332338,4.47229569,0.25520836,0.00000000
-2.96848424,4.65609407,0.03971485,0.13579384,0.36795385,4.36860132,0.24703417,0.00000000
-2.96248124,4.52564349,0.03844580,0.12806028,0.35210348,4.25473720,0.23827787,0.00000000
-2.95647824,4.38682487,0.03702474,0.12061752,0.33596974,4.13241124,0.22907335,0.00000000
-2.95047524,4.24177717,0.03547574,0.11349789,0.31976541,4.00358820,0.21956951,0.00000000
-2.94447224,4.09287484,0.03382598,0.10673632,0.30371507,3.87046109,0.20992720,0.00000000
-2.93846923,3.94268644,0.03210494,0.10037025,0.28805106,3.73541405,0.20031547,0.00000000
-2.93246623,3.79392542,0.03034367,0.09443918,0.27300890,3.60097773,0.19090768,0.00000000
-2.92646323,3.64939462,0.02857397,0.08898399,0.25882245,3.46977863,0.18187717,0.00000000
-2.92046023,3.51192619,0.02682762,0.08404591,0.24571889,3.34448388,0.17339294,0.00000000
-2.91445723,3.38431919,0.02513567,0.07966538,0.23391370,3.22774329,0.16561542,0.00000000
-2.90845423,3.26927664,0.02352775,0.07588091,0.22360585,3.12213066,0.15869232,0.00000000
-2.90245123,3.16934436,0.02203151,0.07272779,0.21497331,3.03008613,0.15275485,0.00000000
-2.89644822,3.08685350,0.02067222,0.07023700,0.20816900,2.95386156,0.14791441,0.00000000
-2.89044522,3.02386856,0.01947234,0.06843419,0.20331734,2.89547065,0.14425972,0.00000000
-2.88444222,2.98214258,0.01845133,0.06733881,0.20051151,2.85664535,0.14185462,0.00000000
-2.87843922,2.96308074,0.01762554,0.06696355,0.19981132,2.83879976,0.14073651,0.00000000
-2.87243622,2.96771335,0.01700812,0.06731389,0.20124207,2.84300269,0.14091557,0.00000000
-2.86643322,2.99667879,0.01660912,0.06838797,0.20479404,2.86995915,0.14237460,0.00000000
-2.86043022,3.05021651,0.01643562,0.07017667,0.21042293,2.92000138,0.14506979,0.00000000
-2.85442721,3.12816997,0.01649189,0.07266385,0.21805103,2.99308888,0.14893200,0.00000000
-2.84842421,3.22999880,0.01677956,0.07582680,0.22756914,3.08881729,0.15386895,0.00000000
-2.84242121,3.35479921,0.01729790,0.07963680,0.23883924,3.20643493,0.15976787,0.00000000
-2.83641821,3.50133149,0.01804397,0.08405977,0.25169767,3.34486623,0.16649880,0.00000000
-2.83041521,3.66805313,0.01901286,0.08905689,0.26595884,3.50274039,0.17391825,0.00000000
-2.82441221,3.85315588,0.02019777,0.09458527,0.28141934,3.67842421,0.18187325,0.00000000
-2.81840920,4.05460535,0.02159015,0.10059853,0.29786226,3.87005732,0.19020553,0.00000000
-2.81240620,4.27018146,0.02317973,0.10704721,0.31506162,4.07558871,0.19875578,0.00000000
-2.80640320,4.49751853,0.02495454,0.11387915,0.33278681,4.29281319,0.20736776,0.00000000
