energy_ev,total_up,Hg_p_up,Hg_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-3.18459230,0.60334739,0.79644555,0.02746100,0.18397049,0.00000000,0.36671574,0.00000000
-3.17858929,0.55807816,0.74172272,0.02474662,0.17108839,0.00000000,0.34172560,0.00000000
-3.17258629,0.51628983,0.69048064,0.02238221,0.15884735,0.00000000,0.31829461,0.00000000
-3.16658329,0.47828822,0.64325980,0.02036200,0.14737837,0.00000000,0.29668679,0.00000000
-3.16058029,0.44437362,0.60059338,0.01868025,0.13680835,0.00000000,0.27716060,0.00000000
-3.15457729,0.41483466,0.56299630,0.01733131,0.12725797,0.00000000,0.25996436,0.00000000
-3.14857429,0.38994161,0.53095395,0.01630963,0.11883958,0.00000000,0.24533124,0.00000000
-3.14257129,0.36993920,0.50491051,0.01560953,0.11165513,0.00000000,0.23347431,0.00000000
-3.13656828,0.35503910,0.48525724,0.01522510,0.10579402,0.00000000,0.22458131,0.00000000
-3.13056528,0.34541227,0.47232085,0.01514980,0.10133120,0.00000000,0.21880962,0.00000000
-3.12456228,0.34118119,0.46635218,0.01537616,0.09832513,0.00000000,0.21628119,0.00000000
-3.11855928,0.34241235,0.46751543,0.01589533,0.09681610,0.00000000,0.21707784,0.00000000
-3.11255628,0.34910913,0.47587816,0.01669667,0.09682452,0.00000000,0.22123676,0.00000000
-3.10655328,0.36120535,0.49140245,0.01776733,0.09834948,0.00000000,0.22874663,0.00000000
-3.10055028,0.37855991,0.51393755,0.01909181,0.10136757,0.00000000,0.23954441,0.00000000
-3.09454727,0.40095272,0.54321440,0.02065166,0.10583202,0.00000000,0.25351295,0.00000000
-3.08854427,0.42808247,0.57884258,0.02242521,0.11167217,0.00000000,0.27047978,0.00000000
-3.08254127,0.45956644,0.62030997,0.02438748,0.11879353,0.00000000,0.29021719,0.00000000
-3.07653827,0.49494285,0.66698574,0.02651021,0.12707822,0.00000000,0.31244379,0.00000000
-3.07053527,0.53367588,0.71812698,0.02876202,0.13638625,0.00000000,0.33682784,0.00000000
-3.06453227,0.57516375,0.77288915,0.03110882,0.14655734,0.00000000,0.36299240,0.00000000
-3.05852926,0.61874979,0.83034071,0.03351438,0.15741352,0.00000000,0.39052236,0.00000000
-3.05252626,0.66373650,0.88948171,0.03594103,0.16876257,0.00000000,0.41897329,0.00000000
-3.04652326,0.70940237,0.94926618,0.03835058,0.18040203,0.00000000,0.44788213,0.00000000
-3.04052026,0.75502106,1.00862783,0.04070537,0.19212403,0.00000000,0.47677932,0.00000000
-3.03451726,0.79988230,1.06650841,0.04296935,0.20372055,0.00000000,0.50520200,0.00000000
-3.02851426,0.84331378,1.12188769,0.04510928,0.21498916,0.00000000,0.53270803,0.00000000
