energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.77188594,3.93242400,-2.89887571,0.03721963,-0.01464911,0.51940200,-0.25462220,0.99992540,-0.97483746,0.00000000,-0.00000000,1.18814272,-1.38917988,1.29636223,-0.49251271,1.76095501,-1.65490189,0.00000000,-0.00000000
-5.76588294,4.01281880,-2.95784124,0.03911012,-0.01584317,0.51884649,-0.26052504,1.02668010,-0.99310601,0.00000000,-0.00000000,1.19323616,-1.42323801,1.30834714,-0.49191435,1.81348211,-1.69028896,0.00000000,-0.00000000
-5.75987994,4.08882221,-3.00714432,0.04085196,-0.01716453,0.51741945,-0.26524771,1.05291029,-1.00747907,0.00000000,-0.00000000,1.20008787,-1.44997284,1.31744344,-0.48950455,1.86449881,-1.72072323,0.00000000,-0.00000000
-5.75387694,4.15945256,-3.04680773,0.04241658,-0.01861764,0.51533960,-0.26875090,1.07799235,-1.01792800,0.00000000,-0.00000000,1.20826836,-1.46906739,1.32397610,-0.48541940,1.91299273,-1.74624320,0.00000000,-0.00000000
-5.74787394,4.22386833,-3.07701786,0.04377799,-0.02020392,0.51286635,-0.27102117,1.10130926,-1.02449429,0.00000000,-0.00000000,1.21732962,-1.48036129,1.32837287,-0.47981925,1.95797954,-1.76696338,0.00000000,-0.00000000
-5.74187094,4.28140853,-3.09810679,0.04491352,-0.02192125,0.51029626,-0.27207065,1.12227241,-1.02728598,0.00000000,-0.00000000,1.22683026,-1.48385426,1.33115800,-0.47288282,1.99853649,-1.78306288,0.00000000,-0.00000000
-5.73586793,4.33162410,-3.11052968,0.04580450,-0.02376351,0.50795801,-0.27193572,1.14034124,-1.02647209,0.00000000,-0.00000000,1.23635880,-1.47970398,1.33294226,-0.46480118,2.03383223,-1.79477199,0.00000000,-0.00000000
-5.72986493,4.37429902,-3.11483880,0.04643679,-0.02572030,0.50620628,-0.27067495,1.15504001,-1.02227526,0.00000000,-0.00000000,1.24555423,-1.46821846,1.33440981,-0.45577179,2.06315156,-1.80235745,0.00000000,-0.00000000
-5.72386193,4.40946025,-3.11165523,0.04680116,-0.02777675,0.50541456,-0.26836626,1.16597111,-1.01496303,0.00000000,-0.00000000,1.25412304,-1.44984326,1.33630215,-0.44599274,2.08591437,-1.80610721,0.00000000,-0.00000000
-5.71785893,4.43737627,-3.10163991,0.04689355,-0.02991350,0.50596714,-0.26510340,1.17282435,-1.00483815,0.00000000,-0.00000000,1.26185207,-1.42514420,1.33939966,-0.43565752,2.10168816,-1.80631548,0.00000000,-0.00000000
-5.71185593,4.45854459,-3.08546552,0.04671505,-0.03210689,0.50825054,-0.26099208,1.17538227,-0.99222844,0.00000000,-0.00000000,1.26861703,-1.39478656,1.34450130,-0.42495051,2.11019404,-1.80326896,0.00000000,-0.00000000
-5.70585293,4.47366912,-3.06379082,0.04627186,-0.03432923,0.51264448,-0.25614578,1.17352136,-0.97747669,0.00000000,-0.00000000,1.27438651,-1.35951165,1.35240301,-0.41404319,2.11130651,-1.79723507,0.00000000,-0.00000000
-5.69984992,4.48362870,-3.03723880,0.04557491,-0.03654936,0.51951261,-0.25068161,1.16720969,-0.96093122,0.00000000,-0.00000000,1.27922164,-1.32011214,1.36387540,-0.40309136,2.10504751,-1.78845283,0.00000000,-0.00000000
-5.69384692,4.48943849,-3.00637981,0.04463952,-0.03873330,0.52919316,-0.24471630,1.15650125,-0.94293732,0.00000000,-0.00000000,1.28327169,-1.27740720,1.37964108,-0.39223342,2.09157573,-1.77712702,0.00000000,-0.00000000
-5.68784392,4.49220610,-2.97172076,0.04348475,-0.04084505,0.54198959,-0.23836265,1.14152771,-0.92383016,0.00000000,-0.00000000,1.28676617,-1.23221874,1.40035241,-0.38158961,2.07117203,-1.76342585,0.00000000,-0.00000000
-5.68184092,4.49308461,-2.93370060,0.04213284,-0.04284757,0.55816147,-0.23172649,1.12248839,-0.90392931,0.00000000,-0.00000000,1.29000384,-1.18534969,1.42656984,-0.37126230,2.04422245,-1.74748230,0.00000000,-0.00000000
-5.67583792,4.49322433,-2.89269244,0.04060841,-0.04470379,0.57791555,-0.22490443,1.09963902,-0.88353499,0.00000000,-0.00000000,1.29333948,-1.13756537,1.45874153,-0.36133725,2.01119962,-1.72939910,0.00000000,-0.00000000
-5.66983492,4.49372550,-2.84901174,0.03893777,-0.04637770,0.60139729,-0.21798237,1.07328017,-0.86292609,0.00000000,-0.00000000,1.29716883,-1.08957845,1.49718445,-0.35188559,1.97264399,-1.70925671,0.00000000,-0.00000000
-5.66383192,4.49559346,-2.80292994,0.03714812,-0.04783545,0.62868290,-0.21103492,1.04374591,-0.84235983,0.00000000,-0.00000000,1.30191252,-1.04203801,1.54206750,-0.34296651,1.92914571,-1.68712397,0.00000000,-0.00000000
-5.65782891,4.49969818,-2.75469229,0.03526687,-0.04904641,0.65977213,-0.20412565,1.01139337,-0.82207271,0.00000000,-0.00000000,1.30799958,-0.99552282,1.59339715,-0.33463029,1.88132807,-1.66307050,0.00000000,-0.00000000
