energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-4.03701851,7.24336245,0.02324851,0.24879569,0.51224100,1.16193362,2.26312892,4.58766558,1.68717811,0.00000000
-4.03101551,7.23491544,0.02260922,0.24796109,0.50760079,1.14317237,2.23381653,4.62013950,1.65720038,0.00000000
-4.02501251,7.22853536,0.02196659,0.24745435,0.50320312,1.12461817,2.20573631,4.65365816,1.62787877,0.00000000
-4.01900950,7.22436802,0.02132276,0.24728278,0.49910414,1.10646144,2.17936050,4.68792159,1.59955835,0.00000000
-4.01300650,7.22239097,0.02067951,0.24744854,0.49535459,1.08886304,2.15510043,4.72252427,1.57253647,0.00000000
-4.00700350,7.22241033,0.02003834,0.24794836,0.49199802,1.07195167,2.13329581,4.75695987,1.54705640,0.00000000
-4.00100050,7.22406134,0.01940050,0.24877314,0.48906884,1.05582205,2.11420510,4.79062847,1.52330236,0.00000000
-3.99499750,7.22681314,0.01876698,0.24990753,0.48659022,1.04053400,2.09799766,4.82284657,1.50139591,0.00000000
-3.98899450,7.22997810,0.01813858,0.25132943,0.48457200,1.02611239,2.08474807,4.85285971,1.48139406,0.00000000
-3.98299150,7.23272603,0.01751592,0.25300966,0.48300882,1.01254813,2.07443306,4.87985778,1.46328923,0.00000000
-3.97698849,7.23410338,0.01689945,0.25491172,0.48187864,0.99980013,2.06693132,4.90299284,1.44701108,0.00000000
-3.97098549,7.23305717,0.01628950,0.25699185,0.48114163,0.98779815,2.06202661,4.92139908,1.43243028,0.00000000
-3.96498249,7.22846354,0.01568629,0.25919933,0.48073982,0.97644649,2.05941404,4.93421479,1.41936409,0.00000000
-3.95897949,7.21916031,0.01508996,0.26147724,0.48059743,0.96562856,2.05870979,4.94060565,1.40758373,0.00000000
-3.95297649,7.20398293,0.01450061,0.26376347,0.48062196,0.95521195,2.05946380,4.93978890,1.39682331,0.00000000
-3.94697349,7.18180296,0.01391831,0.26599223,0.48070617,0.94505419,2.06117543,4.93105789,1.38678999,0.00000000
