energy_ev,total_up,Fe_p_up,Fe_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-5.83191596,3.44603690,1.18867982,0.58354429,1.51109104,0.94583177,0.00218935,0.67534564,1.55843454,0.00000000
-5.82591296,3.50639855,1.22904716,0.58010562,1.54722470,0.96461260,0.00219170,0.68345416,1.59237681,0.00000000
-5.81990995,3.56820937,1.27047668,0.57715587,1.58319461,0.98333574,0.00222772,0.69189080,1.62676448,0.00000000
-5.81390695,3.63094817,1.31262865,0.57476061,1.61851154,1.00183478,0.00229749,0.70058964,1.66137372,0.00000000
-5.80790395,3.69397403,1.35512181,0.57295534,1.65272587,1.01990589,0.00240071,0.70945432,1.69594344,0.00000000
-5.80190095,3.75653533,1.39753694,0.57174577,1.68543357,1.03731133,0.00253667,0.71835894,1.73017706,0.00000000
-5.79589795,3.81778290,1.43942144,0.57110886,1.71627961,1.05378489,0.00270424,0.72715038,1.76374499,0.00000000
-5.78989495,3.87678676,1.48029494,0.57099441,1.74495887,1.06903881,0.00290179,0.73565211,1.79628792,0.00000000
-5.78389195,3.93255578,1.51965580,0.57132717,1.77121457,1.08277202,0.00312724,0.74366926,1.82742066,0.00000000
-5.77788894,3.98405969,1.55698841,0.57200922,1.79483451,1.09467940,0.00337797,0.75099480,1.85673659,0.00000000
-5.77188594,4.03025259,1.59177110,0.57292278,1.81564560,1.10446132,0.00365083,0.75741660,1.88381260,0.00000000
-5.76588294,4.07009724,1.62348466,0.57393310,1.83350718,1.11183346,0.00394216,0.76272503,1.90821457,0.00000000
-5.75987994,4.10258960,1.65162118,0.57489178,1.84830381,1.11653608,0.00424778,0.76672069,1.92950346,0.00000000
-5.75387694,4.12678283,1.67569325,0.57564007,1.85993817,1.11834272,0.00456304,0.76922208,1.94724196,0.00000000
-5.74787394,4.14181026,1.69524325,0.57601259,1.86832479,1.11706776,0.00488288,0.77007276,1.96100192,0.00000000
-5.74187094,4.14690698,1.70985271,0.57584112,1.87338513,1.11257260,0.00520188,0.76914763,1.97037238,0.00000000
-5.73586793,4.14142941,1.71915143,0.57495871,1.87504457,1.10477048,0.00551438,0.76635821,1.97496841,0.00000000
-5.72986493,4.12487269,1.72282639,0.57320391,1.87323161,1.09362948,0.00581459,0.76165646,1.97444054,0.00000000
-5.72386193,4.09688547,1.72063005,0.57042517,1.86787939,1.07917398,0.00609672,0.75503722,1.96848460,0.00000000
-5.71785893,4.05728180,1.71238793,0.56648532,1.85892958,1.06148442,0.00635512,0.74653896,1.95685197,0.00000000
-5.71185593,4.00604973,1.69800524,0.56126596,1.84633819,1.04069544,0.00658441,0.73624289,1.93935953,0.00000000
-5.70585293,3.94335654,1.67747214,0.55467168,1.83008306,1.01699269,0.00677968,0.72427049,1.91589923,0.00000000
-5.69984992,3.86955009,1.65086750,0.54663388,1.81017223,0.99060819,0.00693659,0.71077952,1.88644660,0.00000000
-5.69384692,3.78515613,1.61836090,0.53711411,1.78665260,0.96181475,0.00705150,0.69595874,1.85106781,0.00000000
-5.68784392,3.69087140,1.58021248,0.52610661,1.75961796,0.93091938,0.00712162,0.68002148,1.80992463,0.00000000
-5.68184092,3.58755240,1.53677055,0.51363997,1.72921582,0.89825604,0.00714507,0.66319841,1.76327697,0.00000000
-5.67583792,3.47619986,1.48846691,0.49977776,1.69565205,0.86417793,0.00712096,0.64572974,1.71148249,0.00000000
-5.66983492,3.35793894,1.43580966,0.48461799,1.65919300,0.82904949,0.00704940,0.62785724,1.65499306,0.00000000
-5.66383192,3.23399577,1.37937371,0.46829136,1.62016452,0.79323834,0.00693151,0.60981628,1.59434790,0.00000000
-5.65782891,3.10567060,1.31978919,0.45095832,1.57894769,0.75710737,0.00676937,0.59182839,1.53016356,0.00000000
-5.65182591,2.97430839,1.25772790,0.43280498,1.53597138,0.72100716,0.00656598,0.57409440,1.46312073,0.00000000
-5.64582291,2.84126768,1.19388836,0.41403803,1.49170165,0.68526892,0.00632510,0.55678867,1.39394858,0.00000000
-5.63981991,2.70788880,1.12897988,0.39487883,1.44662875,0.65019812,0.00605120,0.54005435,1.32340688,0.00000000
-5.63381691,2.57546248,1.06370621,0.37555690,1.40125199,0.61606903,0.00574924,0.52400009,1.25226683,0.00000000
-5.62781391,2.44520001,0.99874935,0.35630312,1.35606359,0.58312015,0.00542458,0.50869816,1.18129127,0.00000000
-5.62181091,2.31820615,0.93475418,0.33734285,1.31153211,0.55155084,0.00508277,0.49418397,1.11121506,0.00000000
-5.61580790,2.19545568,0.87231438,0.31888943,1.26808646,0.52151909,0.00472939,0.48045715,1.04272657,0.00000000
-5.60980490,2.07777465,0.81196034,0.30113807,1.22610129,0.49314056,0.00436995,0.46748392,0.97645096,0.00000000
-5.60380190,1.96582688,0.75414930,0.28426068,1.18588453,0.46648876,0.00400966,0.45520065,0.91293599,0.00000000
-5.59779890,1.86010624,0.69925810,0.26840165,1.14766775,0.44159657,0.00365339,0.44351852,0.85264086,0.00000000
-5.59179590,1.76093490,0.64757889,0.25367485,1.11159974,0.41845877,0.00330551,0.43232884,0.79592859,0.00000000
-5.58579290,1.66846745,0.59931758,0.24016187,1.07774369,0.39703562,0.00296985,0.42150899,0.74306194,0.00000000
-5.57978989,1.58270053,0.55459528,0.22791165,1.04607790,0.37725723,0.00264964,0.41092850,0.69420322,0.00000000
-5.57378689,1.50348748,0.51345224,0.21694134,1.01650019,0.35902873,0.00234746,0.40045522,0.64941749,0.00000000
-5.56778389,1.43055704,0.47585429,0.20723849,0.98883541,0.34223573,0.00206528,0.38996104,0.60867921,0.00000000
-5.56178089,1.36353543,0.44170110,0.19876418,0.96284589,0.32675014,0.00180443,0.37932721,0.57188156,0.00000000
-5.55577789,1.30197052,0.41083606,0.19145720,0.93824411,0.31243598,0.00156571,0.36844889,0.53884819,0.00000000
-5.54977489,1.24535716,0.38305716,0.18523880,0.91470703,0.29915506,0.00134934,0.35723885,0.50934655,0.00000000
-5.54377189,1.19316251,0.35812836,0.18001793,0.89189142,0.28677219,0.00115512,0.34563023,0.48310220,0.00000000
-5.53776888,1.14485035,0.33579108,0.17569664,0.86944936,0.27515994,0.00098243,0.33357825,0.45981356,0.00000000
-5.53176588,1.09990345,0.31577522,0.17217538,0.84704339,0.26420272,0.00083037,0.32106096,0.43916621,0.00000000
-5.52576288,1.05784324,0.29780945,0.16935800,0.82436058,0.25379994,0.00069776,0.30807910,0.42084639,0.00000000
-5.51975988,1.01824604,0.28163031,0.16715618,0.80112500,0.24386851,0.00058327,0.29465498,0.40455304,0.00000000
-5.51375688,0.98075544,0.26698992,0.16549309,0.77710813,0.23434420,0.00048543,0.28083076,0.39000795,0.00000000
-5.50775388,0.94509057,0.25366218,0.16430616,0.75213691,0.22518234,0.00040275,0.26666608,0.37696391,0.00000000
-5.50175088,0.91105018,0.24144726,0.16354886,0.72609909,0.21635741,0.00033372,0.25223524,0.36521035,0.00000000
-5.49574787,0.87851249,0.23017446,0.16319138,0.69894600,0.20786200,0.00027688,0.23762412,0.35457672,0.00000000
-5.48974487,0.84743131,0.21970338,0.16322028,0.67069246,0.19970497,0.00023084,0.22292696,0.34493338,0.00000000
-5.48374187,0.81782860,0.20992366,0.16363711,0.64141429,0.19190898,0.00019430,0.20824316,0.33619034,0.00000000
-5.47773887,0.78978420,0.20075339,0.16445618,0.61124345,0.18450764,0.00016610,0.19367419,0.32829403,0.00000000
-5.47173587,0.76342328,0.19213640,0.16570157,0.58036120,0.17754224,0.00014518,0.17932070,0.32122237,0.00000000
-5.46573287,0.73890242,0.18403867,0.16740357,0.54898973,0.17105835,0.00013063,0.16528000,0.31497864,0.00000000
-5.45972986,0.71639478,0.17644424,0.16959487,0.51738270,0.16510249,0.00012166,0.15164386,0.30958451,0.00000000
-5.45372686,0.69607557,0.16935074,0.17230661,0.48581507,0.15971881,0.00011762,0.13849674,0.30507271,0.00000000
-5.44772386,0.67810825,0.16276494,0.17556466,0.45457293,0.15494620,0.00011799,0.12591441,0.30147979,0.00000000
-5.44172086,0.66263235,0.15669841,0.17938625,0.42394353,0.15081575,0.00012236,0.11396307,0.29883944,0.00000000
-5.43571786,0.64975350,0.15116379,0.18377727,0.39420615,0.14734882,0.00013041,0.10269880,0.29717665,0.00000000
-5.42971486,0.63953607,0.14617148,0.18873034,0.36562410,0.14455571,0.00014195,0.09216750,0.29650315,0.00000000
-5.42371186,0.63199890,0.14172728,0.19422376,0.33843806,0.14243497,0.00015687,0.08240514,0.29681433,0.00000000
-5.41770885,0.62711413,0.13783073,0.20022149,0.31286116,0.14097347,0.00017512,0.07343836,0.29808767,0.00000000
-5.41170585,0.62480925,0.13447445,0.20667407,0.28907567,0.14014713,0.00019673,0.06528533,0.30028292,0.00000000
-5.40570285,0.62497208,0.13164430,0.21352050,0.26723148,0.13992224,0.00022179,0.05795688,0.30334376,0.00000000
-5.39969985,0.62745828,0.12932039,0.22069087,0.24744628,0.14025735,0.00025043,0.05145776,0.30720097,0.00000000
-5.39369685,0.63210098,0.12747879,0.22810962,0.22980717,0.14110551,0.00028279,0.04578807,0.31177666,0.00000000
-5.38769385,0.63872178,0.12609379,0.23569924,0.21437357,0.14241682,0.00031906,0.04094468,0.31698945,0.00000000
-5.38169085,0.64714239,0.12514058,0.24338403,0.20118109,0.14414107,0.00035941,0.03692270,0.32276002,0.00000000
-5.37568784,0.65719623,0.12459808,0.25109383,0.19024608,0.14623032,0.00040399,0.03371685,0.32901684,0.00000000
-5.36968484,0.66873907,0.12445179,0.25876737,0.18157046,0.14864125,0.00045294,0.03132271,0.33570144,0.00000000
-5.36368184,0.68165817,0.12469637,0.26635490,0.17514659,0.15133709,0.00050633,0.02973779,0.34277308,0.00000000
-5.35767884,0.69587909,0.12533784,0.27382021,0.17096170,0.15428920,0.00056416,0.02896234,0.35021226,0.00000000
-5.35167584,0.71136996,0.12639523,0.28114154,0.16900181,0.15747788,0.00062637,0.02899990,0.35802304,0.00000000
-5.34567284,0.72814265,0.12790142,0.28831157,0.16925477,0.16089266,0.00069279,0.02985751,0.36623369,0.00000000
-5.33966983,0.74625088,0.12990329,0.29533636,0.17171225,0.16453189,0.00076312,0.03154558,0.37489591,0.00000000
-5.33366683,0.76578525,0.13246088,0.30223332,0.17637072,0.16840170,0.00083694,0.03407734,0.38408237,0.00000000
-5.32766383,0.78686548,0.13564582,0.30902834,0.18323119,0.17251440,0.00091372,0.03746803,0.39388278,0.00000000
-5.32166083,0.80963032,0.13953878,0.31575233,0.19229795,0.17688638,0.00099277,0.04173364,0.40439875,0.00000000
-5.31565783,0.83422565,0.14422634,0.32243726,0.20357630,0.18153570,0.00107327,0.04688933,0.41573761,0.00000000
-5.30965483,0.86079149,0.14979715,0.32911210,0.21706936,0.18647953,0.00115428,0.05294770,0.42800561,0.00000000
-5.30365183,0.88944866,0.15633768,0.33579883,0.23277443,0.19173146,0.00123475,0.05991668,0.44130081,0.00000000
-5.29764882,0.92028583,0.16392775,0.34250887,0.25067883,0.19729905,0.00131354,0.06779745,0.45570612,0.00000000
-5.29164582,0.95334778,0.17263599,0.34924008,0.27075569,0.20318158,0.00138942,0.07658226,0.47128286,0.00000000
-5.28564282,0.98862539,0.18251552,0.35597451,0.29295985,0.20936828,0.00146116,0.08625235,0.48806511,0.00000000
-5.27963982,1.02604811,0.19359994,0.36267720,0.31722422,0.21583702,0.00152750,0.09677604,0.50605530,0.00000000
-5.27363682,1.06547915,0.20590002,0.36929589,0.34345675,0.22255365,0.00158724,0.10810721,0.52522108,0.00000000
-5.26763382,1.10671377,0.21940105,0.37576182,0.37153822,0.22947192,0.00163923,0.12018410,0.54549384,0.00000000
-5.26163082,1.14948064,0.23406114,0.38199153,0.40132103,0.23653407,0.00168244,0.13292863,0.56676873,0.00000000
-5.25562781,1.19344635,0.24981048,0.38788946,0.43262909,0.24367199,0.00171598,0.14624638,0.58890627,0.00000000
-5.24962481,1.23822253,0.26655159,0.39335135,0.46525875,0.25080889,0.00173914,0.16002707,0.61173545,0.00000000
-5.24362181,1.28337544,0.28416067,0.39826816,0.49898082,0.25786146,0.00175139,0.17414582,0.63505798,0.00000000
-5.23761881,1.32843736,0.30248979,0.40253021,0.53354353,0.26474226,0.00175244,0.18846492,0.65865363,0.00000000
-5.23161581,1.37291911,0.32136997,0.40603151,0.56867629,0.27136234,0.00174223,0.20283630,0.68228619,0.00000000
-5.22561281,1.41632320,0.34061494,0.40867387,0.60409396,0.27763387,0.00172090,0.21710436,0.70570981,0.00000000
-5.21960980,1.45815669,0.36002538,0.41037064,0.63950157,0.28347268,0.00168885,0.23110933,0.72867526,0.00000000
-5.21360680,1.49794335,0.37939343,0.41104993,0.67459897,0.28880058,0.00164669,0.24469076,0.75093598,0.00000000
-5.20760380,1.53523442,0.39850732,0.41065715,0.70908545,0.29354736,0.00159519,0.25769118,0.77225342,0.00000000
-5.20160080,1.56961749,0.41715574,0.40915675,0.74266386,0.29765239,0.00153534,0.26995962,0.79240153,0.00000000
-5.19559780,1.60072324,0.43513206,0.40653313,0.77504418,0.30106573,0.00146822,0.28135496,0.81117031,0.00000000
-5.18959480,1.62822991,0.45223787,0.40279068,0.80594645,0.30374880,0.00139503,0.29174891,0.82836817,0.00000000
-5.18359180,1.65186541,0.46828611,0.39795311,0.83510288,0.30567461,0.00131703,0.30102841,0.84382326,0.00000000
-5.17758879,1.67140727,0.48310345,0.39206201,0.86225926,0.30682746,0.00123554,0.30909759,0.85738376,0.00000000
-5.17158579,1.68668085,0.49653206,0.38517485,0.88717586,0.30720250,0.00115183,0.31587896,0.86891737,0.00000000
-5.16558279,1.69755614,0.50843083,0.37736256,0.90962773,0.30680481,0.00106717,0.32131406,0.87831022,0.00000000
-5.15957979,1.70394380,0.51867601,0.36870681,0.92940498,0.30564856,0.00098275,0.32536346,0.88546546,0.00000000
-5.15357679,1.70579098,0.52716161,0.35929728,0.94631297,0.30375597,0.00089969,0.32800619,0.89030187,0.00000000
-5.14757379,1.70307755,0.53379952,0.34922890,0.96017287,0.30115653,0.00081899,0.32923879,0.89275278,0.00000000
-5.14157079,1.69581333,0.53851964,0.33859936,0.97082274,0.29788633,0.00074156,0.32907395,0.89276555,0.00000000
-5.13556778,1.68403668,0.54127008,0.32750702,0.97811941,0.29398771,0.00066817,0.32753901,0.89030195,0.00000000
-5.12956478,1.66781490,0.54201764,0.31604921,0.98194108,0.28950927,0.00059949,0.32467433,0.88533941,0.00000000
-5.12356178,1.64724648,0.54074855,0.30432108,0.98219089,0.28450628,0.00053608,0.32053172,0.87787333,0.00000000
-5.11755878,1.62246531,0.53746961,0.29241500,0.97880124,0.27904142,0.00047838,0.31517299,0.86792035,0.00000000
-5.11155578,1.59364638,0.53220957,0.28042045,0.97173867,0.27318589,0.00042675,0.30866868,0.85552248,0.00000000
-5.10555278,1.56101289,0.52502081,0.26842450,0.96100906,0.26702073,0.00038149,0.30109708,0.84075175,0.00000000
-5.09954977,1.52484389,0.51598101,0.25651253,0.94666286,0.26063827,0.00034281,0.29254337,0.82371515,0.00000000
-5.09354677,1.48548198,0.50519484,0.24476939,0.92879972,0.25414359,0.00031091,0.28309906,0.80455942,0.00000000
-5.08754377,1.44334018,0.49279526,0.23328062,0.90757232,0.24765576,0.00028593,0.27286153,0.78347533,0.00000000
-5.08154077,1.39890733,0.47894436,0.22213374,0.88318888,0.24130879,0.00026804,0.26193364,0.76070095,0.00000000
-5.07553777,1.35275107,0.46383350,0.21141939,0.85591396,0.23525202,0.00025737,0.25042339,0.73652357,0.00000000
-5.06953477,1.30551807,0.44768252,0.20123221,0.82606725,0.22964992,0.00025410,0.23844339,0.71127995,0.00000000
-5.06353177,1.25793067,0.43073795,0.19167141,0.79402031,0.22468111,0.00025838,0.22611030,0.68535464,0.00000000
-5.05752876,1.21077993,0.41327013,0.18284083,0.76019098,0.22053647,0.00027042,0.21354393,0.65917610,0.00000000
-5.05152576,1.16491474,0.39556917,0.17484842,0.72503574,0.21741647,0.00029042,0.20086616,0.63321079,0.00000000
-5.04552276,1.12122726,0.37793989,0.16780532,0.68904010,0.21552750,0.00031860,0.18819958,0.60795514,0.00000000
-5.03951976,1.08063490,0.36069574,0.16182422,0.65270749,0.21507739,0.00035517,0.17566589,0.58392565,0.00000000
-5.03351676,1.04405947,0.34415201,0.15701732,0.61654689,0.21627026,0.00040033,0.16338406,0.56164734,0.00000000
-5.02751376,1.01240410,0.32861843,0.15349379,0.58105998,0.21930070,0.00045424,0.15146842,0.54164108,0.00000000
-5.02151076,0.98652887,0.31439145,0.15135695,0.54672814,0.22434763,0.00051699,0.14002659,0.52441006,0.00000000
-5.01550775,0.96722594,0.30174661,0.15070112,0.51400005,0.23156791,0.00058863,0.12915751,0.51042602,0.00000000
-5.00950475,0.95519534,0.29093099,0.15160851,0.48328027,0.24109017,0.00066907,0.11894954,0.50011568,0.00000000
-5.00350175,0.95102216,0.28215646,0.15414607,0.45491944,0.25300882,0.00075812,0.10947876,0.49384791,0.00000000
-4.99749875,0.95515632,0.27559352,0.15836257,0.42920649,0.26737886,0.00085542,0.10080759,0.49192210,0.00000000
-4.99149575,0.96789556,0.27136633,0.16428608,0.40636299,0.28421139,0.00096046,0.09298366,0.49455817,0.00000000
-4.98549275,0.98937250,0.26954893,0.17192186,0.38654011,0.30347040,0.00107255,0.08603910,0.50188863,0.00000000
-4.97948974,1.01954624,0.27016283,0.18125083,0.36981798,0.32507074,0.00119079,0.07999026,0.51395296,0.00000000
-4.97348674,1.05819910,0.27317615,0.19222884,0.35620755,0.34887762,0.00131412,0.07483777,0.53069452,0.00000000
-4.96748374,1.10493837,0.27850416,0.20478648,0.34565468,0.37470768,0.00144124,0.07056705,0.55196026,0.00000000
-4.96148074,1.15920351,0.28601145,0.21882985,0.33804631,0.40233159,0.00157070,0.06714913,0.57750310,0.00000000
-4.95547774,1.22027828,0.29551550,0.23424198,0.33321811,0.43147834,0.00170088,0.06454186,0.60698706,0.00000000
-4.94947474,1.28730768,0.30679156,0.25088498,0.33096347,0.46184090,0.00183002,0.06269130,0.63999497,0.00000000
-4.94347174,1.35931903,0.31957877,0.26860294,0.33104316,0.49308321,0.00195624,0.06153342,0.67603859,0.00000000
-4.93746873,1.43524654,0.33358732,0.28722525,0.33319527,0.52484833,0.00207763,0.06099589,0.71457078,0.00000000
-4.93146573,1.51395868,0.34850629,0.30657054,0.33714504,0.55676730,0.00219223,0.06099999,0.75499935,0.00000000
-4.92546273,1.59428717,0.36401219,0.32645076,0.34261405,0.58846857,0.00229814,0.06146257,0.79670228,0.00000000
-4.91945973,1.67505697,0.37977764,0.34667551,0.34932852,0.61958759,0.00239351,0.06229801,0.83904358,0.00000000
-4.91345673,1.75511590,0.39548018,0.36705633,0.35702638,0.64977619,0.00247665,0.06342010,0.88138962,0.00000000
-4.90745373,1.83336327,0.41081081,0.38741081,0.36546290,0.67871148,0.00254607,0.06474385,0.92312499,0.00000000
-4.90145073,1.90877632,0.42548198,0.40756640,0.37441489,0.70610396,0.00260049,0.06618720,0.96366780,0.00000000
-4.89544772,1.98043377,0.43923486,0.42736375,0.38368324,0.73170449,0.00263891,0.06767252,1.00248350,0.00000000
-4.88944472,2.04753580,0.45184563,0.44665951,0.39309413,0.75531006,0.00266065,0.06912800,1.03909703,0.00000000
-4.88344172,2.10941984,0.46313060,0.46532848,0.40249884,0.77676810,0.00266536,0.07048881,1.07310288,0.00000000
-4.87743872,2.16557190,0.47295008,0.48326505,0.41177252,0.79597933,0.00265304,0.07169810,1.10417256,0.00000000
-4.87143572,2.21563314,0.48121072,0.50038394,0.42081206,0.81289911,0.00262405,0.07270776,1.13205951,0.00000000
-4.86543272,2.25940182,0.48786655,0.51662019,0.42953350,0.82753741,0.00257910,0.07347900,1.15660112,0.00000000
-4.85942971,2.29683076,0.49291842,0.53192855,0.43786912,0.83995737,0.00251921,0.07398267,1.17771806,0.00000000
-4.85342671,2.32802055,0.49641218,0.54628219,0.44576459,0.85027287,0.00244575,0.07419944,1.19541081,0.00000000
-4.84742371,2.35320914,0.49843541,0.55967098,0.45317638,0.85864499,0.00236030,0.07411973,1.20975379,0.00000000
-4.84142071,2.37275827,0.49911306,0.57209924,0.46006963,0.86527778,0.00226472,0.07374339,1.22088727,0.00000000
-4.83541771,2.38713734,0.49860211,0.58358329,0.46641667,0.87041336,0.00216101,0.07307935,1.22900751,0.00000000
-4.82941471,2.39690537,0.49708537,0.59414872,0.47219612,0.87432661,0.00205131,0.07214489,1.23435551,0.00000000
-4.82341171,2.40269171,0.49476474,0.60382764,0.47739270,0.87731956,0.00193783,0.07096490,1.23720491,0.00000000
-4.81740870,2.40517598,0.49185410,0.61265588,0.48199761,0.87971540,0.00182280,0.06957091,1.23784942,0.00000000
-4.81140570,2.40506790,0.48857208,0.62067036,0.48600928,0.88185243,0.00170840,0.06800001,1.23659043,0.00000000
-4.80540270,2.40308727,0.48513493,0.62790657,0.48943444,0.88407767,0.00159673,0.06629366,1.23372503,0.00000000
-4.79939970,2.39994462,0.48174961,0.63439643,0.49228914,0.88674026,0.00148977,0.06449641,1.22953503,0.00000000
-4.79339670,2.39632278,0.47860745,0.64016631,0.49459968,0.89018456,0.00138931,0.06265456,1.22427732,0.00000000
-4.78739370,2.39285956,0.47587835,0.64523550,0.49640301,0.89474295,0.00129694,0.06081474,1.21817566,0.00000000
-4.78139070,2.39013178,0.47370579,0.64961508,0.49774668,0.90072822,0.00121403,0.05902260,1.21141435,0.00000000
-4.77538769,2.38864092,0.47220269,0.65330709,0.49868800,0.90842571,0.00114170,0.05732141,1.20413378,0.00000000
-4.76938469,2.38880033,0.47144823,0.65630429,0.49929243,0.91808521,0.00108079,0.05575077,1.19642797,0.00000000
-4.76338169,2.39092450,0.47148565,0.65859025,0.49963120,0.92991266,0.00103188,0.05434545,1.18834399,0.00000000
-4.75737869,2.39522037,0.47232115,0.66013992,0.49977825,0.94406217,0.00099528,0.05313431,1.17988334,0.00000000
-4.75137569,2.40178099,0.47392374,0.66092070,0.49980653,0.96062824,0.00097103,0.05213945,1.17100506,0.00000000
-4.74537269,2.41058192,0.47622627,0.66089392,0.49978397,0.97963892,0.00095893,0.05137551,1.16163042,0.00000000
-4.73936968,2.42148039,0.47912736,0.66001678,0.49976931,1.00104992,0.00095850,0.05084924,1.15164900,0.00000000
-4.73336668,2.43421777,0.48249441,0.65824476,0.49980799,1.02474043,0.00096908,0.05055927,1.14092587,0.00000000
-4.72736368,2.44842529,0.48616744,0.65553432,0.49992856,1.05051068,0.00098977,0.05049623,1.12930972,0.00000000
-4.72136068,2.46363328,0.48996380,0.65184605,0.50013966,1.07808187,0.00101953,0.05064306,1.11664154,0.00000000
-4.71535768,2.47928398,0.49368364,0.64714799,0.50042796,1.10709858,0.00105714,0.05097562,1.10276365,0.00000000
-4.70935468,2.49474768,0.49711587,0.64141919,0.50075710,1.13713389,0.00110127,0.05146353,1.08752879,0.00000000
-4.70335168,2.50934199,0.50004468,0.63465326,0.50106797,1.16769726,0.00115049,0.05207129,1.07080897,0.00000000
-4.69734867,2.52235382,0.50225622,0.62686195,0.50128012,1.19824509,0.00120332,0.05275951,1.05250379,0.00000000
-4.69134567,2.53306342,0.50354544,0.61807837,0.50129443,1.22819365,0.00125823,0.05348634,1.03254799,0.00000000
-4.68534267,2.54076967,0.50372276,0.60835995,0.50099699,1.25693423,0.00131372,0.05420895,1.01091792,0.00000000
-4.67933967,2.54481576,0.50262037,0.59779074,0.50026378,1.28384968,0.00136830,0.05488510,0.98763681,0.00000000
-4.67333667,2.54461427,0.50009799,0.58648308,0.49896627,1.30833211,0.00142055,0.05547463,0.96277844,0.00000000
-4.66733367,2.53967051,0.49604786,0.57457827,0.49697728,1.32980071,0.00146915,0.05594088,0.93646921,0.00000000
-4.66133067,2.52960321,0.49039872,0.56224633,0.49417715,1.34771931,0.00151289,0.05625196,0.90888842,0.00000000
-4.65532766,2.51416142,0.48311868,0.54968453,0.49045970,1.36161269,0.00155067,0.05638189,0.88026657,0.00000000
-4.64932466,2.49323685,0.47421682,0.53711476,0.48573770,1.37108105,0.00158159,0.05631139,0.85088180,0.00000000
-4.64332166,2.46687100,0.46374341,0.52477964,0.47994765,1.37581210,0.00160488,0.05602849,0.82105442,0.00000000
